Date,Open,High,Low,Close,Volume
20170707,25.03,25.03,25.03,25.03,2400
20170710,25.05,25.05,25.05,25.05,18800
20170711,25.05,25.05,25.05,25.05,1906
20170712,25.05,25.05,25.05,25.05,31
20170713,25.05,25.05,25.05,25.05,0
20170714,25.06,25.06,25.06,25.06,1500
20170717,25.07,25.07,25.07,25.07,4000
20170718,25.08,25.08,25.08,25.08,4002
20170719,25.08,25.08,25.08,25.08,0
20170720,25.08,25.08,25.08,25.08,5580
20170721,25.07,25.07,25.07,25.07,4780
20170724,25.09,25.09,25.09,25.09,592
20170725,25.1,25.1,25.09,25.09,2000
20170726,25.1,25.1,25.1,25.1,325
20170727,25.1,25.1,25.1,25.1,5975
20170728,25.11,25.11,25.11,25.11,400
20170731,25.11,25.11,25.11,25.11,200
20170801,25.12,25.12,25.12,25.12,9584
20170802,25.12,25.12,25.12,25.12,0
20170803,25.12,25.12,25.12,25.12,7600
20170804,25.12,25.12,25.12,25.12,0
20170807,25.12,25.12,25.12,25.12,0
20170808,25.13,25.13,25.13,25.13,5271
20170809,25.13,25.13,25.13,25.13,21440
20170810,25.13,25.13,25.13,25.13,24385
20170811,25.13,25.13,25.13,25.13,22000
20170814,25.13,25.13,25.13,25.13,3059
20170815,25.14,25.14,25.14,25.14,16640
20170816,25.14,25.14,25.14,25.14,2676
20170817,25.15,25.15,25.15,25.15,13458
20170818,25.15,25.15,25.15,25.15,3600
20170821,25.15,25.15,25.15,25.15,9744
20170822,25.16,25.16,25.16,25.16,8772
20170823,25.16,25.16,25.16,25.16,7160
20170824,25.16,25.16,25.16,25.16,0
20170825,25.16,25.16,25.16,25.16,4866
20170828,25.17,25.17,25.17,25.17,7447
20170829,25.17,25.17,25.17,25.17,0
20170830,25.17,25.17,25.17,25.17,141990
20170831,25.17,25.17,25.17,25.17,2390
20170901,25.18,25.18,25.18,25.18,5135
20170904,25.19,25.19,25.19,25.19,4962
20170905,25.19,25.19,25.17,25.19,28470
20170906,25.19,25.19,25.17,25.19,13901
20170907,25.19,25.19,25.19,25.19,20345
20170908,25.19,25.19,25.19,25.19,5462
20170911,25.2,25.2,25.2,25.2,3180
20170912,25.2,25.2,25.2,25.2,10000
20170913,25.2,25.2,25.2,25.2,6582
20170914,25.2,25.2,25.2,25.2,7329
20170915,25.21,25.21,25.21,25.21,13235
20170918,25.21,25.21,25.2,25.21,2973
20170919,25.21,25.21,25.21,25.21,5023
20170920,25.21,25.21,25.21,25.21,12400
20170921,25.21,25.21,25.21,25.21,0
20170922,25.22,25.22,25.22,25.22,12005
20170925,25.22,25.22,25.22,25.22,11910
20170926,25.21,25.23,25.21,25.23,5773
20170927,25.23,25.23,25.23,25.23,16000
20170928,25.23,25.23,25.23,25.23,14754
20170929,25.23,25.23,25.23,25.23,0
