Date,Open,High,Low,Close,Volume
20160804,4.94,4.94,4.94,4.94,15000
20160805,4.95,4.95,4.95,4.95,2020
20160808,5,5,5,5,14000
20160809,5.01,5.01,5.01,5.01,10000
20160810,5.01,5.01,5.01,5.01,0
20160811,5.04,5.04,5.04,5.04,1200
20160812,5.05,5.05,5.04,5.04,3700
20160815,5.03,5.03,5.03,5.03,6936
20160816,5.03,5.03,5.03,5.03,8278
20160817,5.02,5.02,5.02,5.02,312
20160818,5,5,5,5,22500
20160819,4.98,4.98,4.98,4.98,41916
20160822,5.03,5.03,5.03,5.03,12298
20160823,5.05,5.06,5.05,5.06,16043
20160824,5.08,5.08,5.08,5.08,3602
20160825,5.08,5.08,5.08,5.08,0
20160826,5.06,5.06,5.06,5.06,1787
20160829,5.04,5.05,5.04,5.05,7917
20160830,5.08,5.08,5.08,5.08,7000
20160831,5.13,5.14,5.13,5.13,7835
20160901,5.14,5.14,5.14,5.14,3924
20160902,5.14,5.14,5.11,5.11,2120
20160905,5.2,5.2,5.2,5.2,1000
20160906,5.2,5.2,5.2,5.2,0
20160907,5.16,5.16,5.16,5.16,6000
20160908,5.16,5.16,5.16,5.16,0
20160909,5.14,5.14,5.14,5.14,1966
20160912,5.02,5.02,5,5,7150
20160913,5,5,5,5,0
20160914,4.99,4.99,4.99,4.99,7000
20160915,4.96,4.96,4.93,4.95,11650
20160916,4.95,4.95,4.95,4.95,0
20160919,4.95,4.95,4.95,4.95,0
20160920,4.98,4.98,4.98,4.98,102008
20160921,4.98,4.98,4.98,4.98,0
20160922,4.98,4.98,4.98,4.98,0
20160923,4.98,4.98,4.98,4.98,0
20160926,5.01,5.04,5.01,5.04,3050
20160927,4.98,4.98,4.98,4.98,4000
20160928,4.98,4.98,4.96,4.96,40298
20160929,5.01,5.02,5,5.02,6352
20160930,4.97,4.97,4.97,4.97,402
20161003,5.01,5.01,5.01,5.01,1000
20161004,5.02,5.02,5.02,5.02,105
20161005,5.02,5.02,5.02,5.02,2000
20161006,5.02,5.02,5.02,5.02,0
20161007,5.02,5.02,5.02,5.02,0
20161010,5.04,5.04,5.04,5.04,2830
20161011,5.04,5.04,5.04,5.04,0
20161012,5.06,5.06,5.06,5.06,800
20161013,5.02,5.02,5.02,5.02,26992
20161014,5.02,5.02,5.02,5.02,1000
20161017,5.02,5.02,5.02,5.02,0
20161018,5.02,5.02,5.02,5.02,0
