Date,Open,High,Low,Close,Volume
20240415,2.45,2.45,2.4,2.4,716
20240416,2.4,2.4,2.4,2.4,0
20240417,2.4,2.4,2.4,2.4,0
20240418,2.4,2.4,2.4,2.4,0
20240419,2.4,2.4,2.4,2.4,0
20240422,2.4,2.4,2.4,2.4,0
20240423,2.4,2.4,2.4,2.4,0
20240424,2.4,2.4,2.4,2.4,0
20240426,2.4,2.4,2.4,2.4,0
20240429,2.4,2.4,2.4,2.4,0
20240430,2.4,2.4,2.4,2.4,0
20240501,2.4,2.4,2.4,2.4,0
20240502,2.35,2.35,2.35,2.35,1500
20240503,2.35,2.35,2.35,2.35,0
20240506,2.35,2.35,2.35,2.35,0
20240507,2.35,2.35,2.35,2.35,0
20240508,2.35,2.35,2.35,2.35,0
20240509,2.4,2.4,2.4,2.4,5
20240510,2.4,2.4,2.4,2.4,0
20240513,2.42,2.42,2.42,2.42,41
20240514,2.42,2.42,2.42,2.42,20
20240515,2.42,2.42,2.42,2.42,0
20240516,2.42,2.42,2.42,2.42,0
20240517,2.42,2.42,2.42,2.42,0
20240520,2.42,2.42,2.42,2.42,0
20240521,2.45,2.45,2.45,2.45,92
20240522,2.45,2.45,2.45,2.45,0
20240523,2.44,2.44,2.44,2.44,412
20240524,2.44,2.44,2.44,2.44,0
20240527,2.44,2.44,2.44,2.44,0
20240528,2.44,2.44,2.44,2.44,20
20240529,2.44,2.44,2.44,2.44,3
20240530,2.38,2.38,2.38,2.38,5
20240531,2.38,2.38,2.38,2.38,0
20240603,2.4,2.4,2.4,2.4,21
20240604,2.4,2.4,2.4,2.4,0
20240605,2.4,2.4,2.4,2.4,9
20240606,2.38,2.39,2.38,2.39,24
20240607,2.39,2.39,2.39,2.39,0
20240611,2.39,2.39,2.39,2.39,10460
20240612,2.4,2.4,2.38,2.38,8
20240613,2.38,2.38,2.38,2.38,0
20240614,2.38,2.38,2.38,2.38,0
20240617,2.4,2.4,2.4,2.4,10
20240618,2.4,2.4,2.4,2.4,0
20240619,2.4,2.4,2.4,2.4,0
20240620,2.4,2.4,2.4,2.4,0
20240621,2.38,2.38,2.37,2.37,4
20240624,2.39,2.39,2.39,2.39,19
20240625,2.39,2.39,2.39,2.39,0
20240626,2.39,2.39,2.39,2.39,0
20240627,2.39,2.39,2.39,2.39,0
20240628,2.39,2.39,2.39,2.39,0
20240701,2.39,2.39,2.39,2.39,0
20240702,2.39,2.39,2.39,2.39,0
20240703,2.39,2.39,2.39,2.39,0
20240704,2.39,2.39,2.39,2.39,0
20240705,2.31,2.31,2.31,2.31,150
20240708,2.31,2.31,2.3,2.3,10
20240709,2.3,2.3,2.3,2.3,0
20240710,2.3,2.3,2.3,2.3,0
20240711,2.31,2.31,2.31,2.31,43
20240712,2.31,2.31,2.3,2.3,4
20240715,2.33,2.33,2.33,2.33,10
20240716,2.33,2.33,2.33,2.33,0
20240717,2.34,2.34,2.34,2.34,4
20240718,2.34,2.34,2.34,2.34,0
20240719,2.31,2.31,2.31,2.31,38
20240722,2.31,2.31,2.31,2.31,0
20240723,2.29,2.29,2.28,2.29,44
20240724,2.29,2.29,2.29,2.29,0
20240725,2.29,2.29,2.29,2.29,0
20240726,2.29,2.29,2.29,2.29,0
20240729,2.29,2.29,2.29,2.29,0
20240730,2.29,2.29,2.29,2.29,0
20240731,2.29,2.29,2.29,2.29,0
20240801,2.29,2.29,2.29,2.29,0
20240802,2.29,2.29,2.29,2.29,0
20240805,2.31,2.31,2.3,2.3,14
20240806,2.3,2.3,2.3,2.3,0
20240807,2.3,2.3,2.3,2.3,0
20240808,2.32,2.32,2.32,2.32,4
20240809,2.37,2.37,2.37,2.37,5
20240812,2.37,2.37,2.37,2.37,0
20240813,2.36,2.38,2.36,2.38,10
20240814,2.38,2.38,2.38,2.38,0
20240815,2.4,2.4,2.38,2.38,4
20240816,2.38,2.38,2.38,2.38,0
20240819,2.38,2.38,2.38,2.38,0
20240820,2.38,2.38,2.38,2.38,0
20240821,2.38,2.38,2.38,2.38,0
20240822,2.38,2.38,2.38,2.38,0
20240823,2.38,2.38,2.38,2.38,0
20240826,2.42,2.42,2.42,2.42,2
20240827,2.42,2.42,2.42,2.42,0
20240828,2.42,2.42,2.42,2.42,0
20240829,2.42,2.42,2.42,2.42,0
