Date,Open,High,Low,Close,Volume
20160621,5.12,5.19,5.12,5.19,100500
20160622,5.22,5.27,5.22,5.27,51497
20160623,5.26,5.33,5.26,5.29,186971
20160624,5.29,5.29,5.07,5.07,61478
20160627,5.08,5.09,5.08,5.08,12885
20160628,5.09,5.1,5.09,5.1,32140
20160629,5.1,5.1,5.1,5.1,0
20160630,5.34,5.34,5.33,5.33,15242
20160701,5.37,5.4,5.37,5.37,11205
20160704,5.37,5.37,5.37,5.37,0
20160705,5.42,5.42,5.42,5.42,10945
20160706,5.36,5.36,5.33,5.34,81568
20160707,5.34,5.34,5.34,5.34,0
20160708,5.34,5.34,5.34,5.34,0
20160711,5.38,5.38,5.38,5.38,1200
20160712,5.38,5.38,5.38,5.38,0
20160713,5.48,5.48,5.48,5.48,25000
20160714,5.45,5.45,5.45,5.45,25000
20160715,5.45,5.45,5.45,5.45,0
20160718,5.45,5.45,5.45,5.45,0
20160719,5.46,5.46,5.46,5.46,1407
20160720,5.43,5.43,5.43,5.43,7500
20160721,5.43,5.43,5.43,5.43,0
20160722,5.43,5.43,5.43,5.43,0
20160725,5.43,5.43,5.43,5.43,0
20160726,5.34,5.34,5.34,5.34,5088
20160727,5.34,5.34,5.34,5.34,0
20160728,5.34,5.34,5.34,5.34,0
20160729,5.3,5.3,5.27,5.27,4016
20160801,5.29,5.31,5.29,5.31,52454
20160802,5.31,5.31,5.31,5.31,0
20160803,5.16,5.16,5.16,5.16,350
20160804,5.23,5.23,5.23,5.23,953
20160805,5.23,5.23,5.23,5.23,0
20160808,5.23,5.23,5.23,5.23,0
20160809,5.23,5.23,5.23,5.23,0
20160810,5.36,5.36,5.36,5.36,1000
20160811,5.33,5.33,5.33,5.33,250
20160812,5.39,5.39,5.39,5.39,4250
20160815,5.42,5.42,5.42,5.42,3679
20160816,5.44,5.44,5.43,5.43,7057
20160817,5.43,5.43,5.43,5.43,0
20160818,5.43,5.43,5.43,5.43,0
20160819,5.52,5.52,5.52,5.52,970
20160822,5.49,5.49,5.49,5.49,2000
20160823,5.45,5.45,5.45,5.45,3750
20160824,5.43,5.45,5.43,5.45,4750
20160825,5.43,5.43,5.43,5.43,94
20160826,5.41,5.41,5.41,5.41,1000
20160829,5.41,5.41,5.41,5.41,0
20160830,5.47,5.47,5.47,5.47,9000
20160831,5.47,5.47,5.47,5.47,690
20160901,5.4,5.4,5.4,5.4,100
20160902,5.35,5.35,5.35,5.35,11092
20160905,5.35,5.35,5.35,5.35,0
20160906,5.35,5.35,5.35,5.35,0
20160907,5.49,5.49,5.49,5.49,925
20160908,5.49,5.49,5.49,5.49,0
20160909,5.49,5.49,5.49,5.49,0
20160912,5.44,5.44,5.44,5.44,1743
20160913,5.44,5.44,5.44,5.44,0
20160914,5.35,5.35,5.35,5.35,1000
20160915,5.35,5.35,5.35,5.35,0
20160916,5.35,5.35,5.35,5.35,0
20160919,5.34,5.34,5.34,5.34,4000
20160920,5.34,5.34,5.34,5.34,0
20160921,5.3,5.3,5.3,5.3,38900
20160922,5.39,5.39,5.38,5.38,5779
20160923,5.42,5.42,5.42,5.42,18450
20160926,5.42,5.42,5.42,5.42,0
20160927,5.37,5.37,5.37,5.37,3000
20160928,5.27,5.27,5.27,5.27,900
20160929,5.45,5.46,5.45,5.46,8850
20160930,5.46,5.46,5.46,5.46,0
20161003,5.46,5.46,5.46,5.46,0
20161004,5.46,5.46,5.46,5.46,0
20161005,5.46,5.46,5.46,5.46,0
20161006,5.63,5.64,5.63,5.64,2850
20161007,5.64,5.64,5.64,5.64,0
20161010,5.66,5.66,5.66,5.66,4543
20161011,5.66,5.66,5.66,5.66,0
20161012,5.69,5.69,5.68,5.68,96500
20161013,5.61,5.61,5.61,5.61,36000
20161014,5.61,5.61,5.61,5.61,0
20161017,5.63,5.63,5.63,5.63,8902
20161018,5.63,5.63,5.63,5.63,0
20161019,5.64,5.64,5.64,5.64,35562
20161020,5.64,5.64,5.64,5.64,0
20161021,5.68,5.68,5.68,5.68,500
20161024,5.68,5.68,5.68,5.68,0
20161025,5.68,5.68,5.68,5.68,0
20161026,5.68,5.68,5.68,5.68,0
20161027,5.68,5.68,5.68,5.68,0
20161028,5.68,5.68,5.68,5.68,0
20161031,5.68,5.68,5.68,5.68,0
20161101,5.68,5.68,5.68,5.68,0
20161102,5.55,5.55,5.55,5.55,4630
20161103,5.55,5.55,5.55,5.55,0
20161104,5.47,5.47,5.47,5.47,9258
20161107,5.51,5.51,5.5,5.5,35725
20161108,5.5,5.5,5.5,5.5,0
20161109,5.47,5.47,5.25,5.25,49500
20161110,5.25,5.25,5.25,5.25,0
20161111,5.25,5.25,5.25,5.25,0
20161114,5.49,5.49,5.49,5.49,526
20161115,5.49,5.49,5.49,5.49,0
20161116,5.66,5.66,5.66,5.66,180
20161117,5.66,5.66,5.66,5.66,0
20161118,5.66,5.66,5.66,5.66,0
20161121,5.66,5.66,5.66,5.66,0
20161122,5.66,5.66,5.66,5.66,0
20161123,5.66,5.66,5.66,5.66,0
20161124,5.66,5.66,5.66,5.66,0
20161125,5.66,5.66,5.66,5.66,0
20161128,5.73,5.74,5.73,5.74,70175
20161129,5.74,5.74,5.74,5.74,0
20161130,5.74,5.74,5.74,5.74,0
20161201,5.87,5.89,5.87,5.89,58470
