Date,Open,High,Low,Close,Volume
20210922,30.13,30.13,30.13,30.13,4696
20210923,30.68,30.68,30.68,30.68,60
20210924,30.68,30.68,30.68,30.68,0
20210927,30.68,30.68,30.68,30.68,0
20210928,30.12,30.12,30.12,30.12,128
20210929,29.94,29.94,29.94,29.94,17
20210930,29.94,29.94,29.94,29.94,0
20211001,29.94,29.94,29.94,29.94,0
20211004,29.94,29.94,29.94,29.94,0
20211005,29.94,29.94,29.94,29.94,0
20211006,29.94,29.94,29.94,29.94,0
20211007,29.13,29.13,29.13,29.13,133
20211008,29.13,29.13,29.13,29.13,0
20211011,29.13,29.13,29.13,29.13,0
20211012,28.24,28.24,28.24,28.24,377
20211013,28.24,28.24,28.24,28.24,0
20211014,28.81,28.81,28.81,28.81,30
20211015,28.81,28.81,28.81,28.81,0
20211018,28.81,28.81,28.81,28.81,0
20211019,28.81,28.81,28.81,28.81,0
20211020,28.81,28.81,28.81,28.81,0
20211021,29.06,29.08,29.06,29.07,10056
20211022,29.07,29.07,29.07,29.07,0
20211025,29.69,29.69,29.69,29.69,99
20211026,29.7,29.7,29.7,29.7,2000
20211027,29.7,29.7,29.7,29.7,0
20211028,29.7,29.7,29.7,29.7,0
20211029,29.35,29.39,29.35,29.39,6000
20211101,29.77,29.77,29.77,29.77,60
20211102,29.66,29.66,29.66,29.66,3000
20211103,30.51,30.51,30.2,30.2,11000
20211104,30.2,30.2,30.2,30.2,0
20211105,30.2,30.2,30.2,30.2,0
20211108,30.2,30.2,30.2,30.2,0
20211109,30.85,30.85,30.85,30.85,67
20211110,30.85,30.85,30.85,30.85,81
20211111,30.85,30.85,30.85,30.85,0
20211112,30.96,30.96,30.96,30.96,3000
20211115,30.96,30.96,30.96,30.96,0
20211116,30.78,30.78,30.78,30.78,31
20211117,31.28,31.29,31.26,31.29,11000
20211118,31.3,31.43,31.29,31.43,283
20211119,31.49,31.49,31.45,31.45,127
20211122,31.64,31.64,31.64,31.64,15
20211123,31.33,31.33,31.28,31.28,12000
20211124,31.28,31.28,31.28,31.28,0
20211125,31.28,31.28,31.28,31.28,0
20211126,31,31,31,31,300
20211129,31,31,31,31,0
20211130,31.23,31.24,31.21,31.21,9000
20211201,31.21,31.21,31.21,31.21,34
20211202,31.21,31.21,31.21,31.21,0
20211203,31.21,31.21,31.21,31.21,0
20211206,31.21,31.21,31.21,31.21,0
20211207,31.21,31.21,31.21,31.21,0
20211208,31.21,31.21,31.21,31.21,0
20211209,31.21,31.21,31.21,31.21,0
20211210,31.21,31.21,31.21,31.21,80
20211213,31.21,31.21,31.21,31.21,0
20211214,31.34,31.34,31.34,31.34,80
20211215,30.86,31.37,30.86,31.37,6000
20211216,31.07,31.26,31.07,31.23,28000
20211217,30.64,30.64,30.64,30.64,12000
20211220,30.63,30.65,30.6,30.6,14434
20211221,30.68,30.69,30.68,30.69,3016
20211222,30.8,30.8,30.8,30.8,10500
20211223,30.91,30.91,30.91,30.91,1500
20211224,30.92,30.92,30.92,30.92,1
20211229,30.92,30.92,30.92,30.92,0
20211230,30.95,30.95,30.95,30.95,160
20211231,31.02,31.02,30.65,30.65,6000
20220104,30.65,30.65,30.65,30.65,0
20220105,30.65,30.65,30.65,30.65,0
20220106,30.65,30.65,30.65,30.65,0
20220107,30.65,30.65,30.65,30.65,0
20220110,30.65,30.65,30.65,30.65,0
20220111,30.65,30.65,30.65,30.65,0
20220112,30.65,30.65,30.65,30.65,0
20220113,30.65,30.65,30.65,30.65,0
20220114,29,29,29,29,68
20220117,29.31,29.31,29.31,29.31,3
20220118,29.31,29.31,29.31,29.31,0
20220119,28.8,28.8,28.8,28.8,300
20220120,28.8,28.8,28.8,28.8,0
20220121,28.17,28.17,28.17,28.17,346
20220124,28.05,28.05,28.05,28.05,244
20220125,28.05,28.05,28.05,28.05,0
20220127,28.05,28.05,28.05,28.05,0
20220128,27.8,27.8,27.8,27.8,359
20220131,27.8,27.8,27.8,27.8,0
20220201,27.8,27.8,27.8,27.8,0
20220202,27.8,27.8,27.8,27.8,0
20220203,27.8,27.8,27.8,27.8,0
20220204,27.8,27.8,27.8,27.8,0
20220207,27.8,27.8,27.8,27.8,0
20220208,27.8,27.8,27.8,27.8,0
20220209,27.8,27.8,27.8,27.8,0
20220210,27.8,27.8,27.8,27.8,0
20220211,27.8,27.8,27.8,27.8,0
20220214,27.8,27.8,27.8,27.8,0
20220215,27.8,27.8,27.8,27.8,0
20220216,27.8,27.8,27.8,27.8,0
20220217,27.8,27.8,27.8,27.8,0
20220218,27.79,27.79,27.79,27.79,17
20220221,27.79,27.79,27.79,27.79,0
20220222,27.79,27.79,27.79,27.79,0
20220223,27.79,27.79,27.79,27.79,0
20220224,27.79,27.79,27.79,27.79,0
20220225,27.79,27.79,27.79,27.79,0
20220228,27.66,27.66,27.66,27.66,248
20220301,27.66,27.66,27.66,27.66,0
20220302,27.66,27.66,27.66,27.66,0
20220303,27.66,27.66,27.66,27.66,0
20220304,26.32,26.32,26.32,26.32,3000
20220307,25.63,25.63,25.42,25.42,5500
20220308,25.42,25.42,25.42,25.42,0
20220309,25.42,25.42,25.42,25.42,0
20220310,26.19,26.19,26.09,26.11,5748
20220311,26.11,26.11,26.11,26.11,0
20220314,26.11,26.11,26.11,26.11,0
20220315,26.11,26.11,26.11,26.11,0
20220316,26.11,26.11,26.11,26.11,0
20220317,26.11,26.11,26.11,26.11,0
20220318,26.11,26.11,26.11,26.11,0
20220321,26.11,26.11,26.11,26.11,0
20220322,26.11,26.11,26.11,26.11,0
20220323,26.11,26.11,26.11,26.11,0
20220324,26.11,26.11,26.11,26.11,0
20220325,26.11,26.11,26.11,26.11,0
20220328,26.64,26.66,26.64,26.64,3046
20220329,26.64,26.64,26.64,26.64,0
20220330,26.64,26.64,26.64,26.64,0
20220331,26.64,26.64,26.64,26.64,0
20220401,26.64,26.64,26.64,26.64,0
20220404,26.64,26.64,26.64,26.64,0
20220405,26.64,26.64,26.64,26.64,0
20220406,26.32,26.32,26.32,26.32,19
20220407,26.32,26.32,26.32,26.32,0
20220408,26.32,26.32,26.32,26.32,0
20220411,26.32,26.32,26.32,26.32,0
20220412,25.81,25.81,25.81,25.81,20
20220413,25.81,25.81,25.81,25.81,0
20220414,25.97,25.97,25.97,25.97,1000
20220419,26.17,26.17,25.89,25.89,4241
20220420,25.89,25.89,25.89,25.89,0
20220421,25.89,25.89,25.89,25.89,0
20220422,25.89,25.89,25.89,25.89,0
20220426,25.89,25.89,25.89,25.89,0
20220427,25.72,25.72,25.59,25.59,3500
20220428,25.59,25.59,25.59,25.59,0
20220429,25.59,25.59,25.59,25.59,0
20220502,25.59,25.59,25.59,25.59,0
20220503,25.59,25.59,25.59,25.59,0
20220504,25.65,25.65,25.65,25.65,11
20220505,25.65,25.65,25.65,25.65,0
20220506,25.65,25.65,25.65,25.65,0
20220509,25.65,25.65,25.65,25.65,0
20220510,25.65,25.65,25.65,25.65,0
20220511,25.65,25.65,25.65,25.65,0
20220512,25.65,25.65,25.65,25.65,0
20220513,25.6,25.6,25.6,25.6,194
20220516,25.11,25.11,25.11,25.11,8
20220517,25.11,25.11,25.11,25.11,0
20220518,25.11,25.11,25.11,25.11,0
20220519,25.11,25.11,25.11,25.11,0
20220520,24.94,24.99,24.94,24.99,199
20220523,24.99,24.99,24.99,24.99,0
20220524,24.64,24.64,24.64,24.64,20
20220525,24.64,24.64,24.64,24.64,0
20220526,24.64,24.64,24.64,24.64,0
20220527,24.64,24.64,24.64,24.64,0
20220530,24.64,24.64,24.64,24.64,0
20220531,24.64,24.64,24.64,24.64,0
20220601,24.64,24.64,24.64,24.64,0
20220602,24.64,24.64,24.64,24.64,0
20220603,24.64,24.64,24.64,24.64,0
20220606,24.64,24.64,24.64,24.64,0
20220607,24.64,24.64,24.64,24.64,0
20220608,24.64,24.64,24.64,24.64,0
20220609,24.64,24.64,24.64,24.64,0
20220610,24.97,24.97,24.96,24.96,315
20220614,24.03,24.03,24.03,24.03,800
20220615,24.03,24.03,24.03,24.03,0
20220616,24.03,24.03,24.03,24.03,0
20220617,24.03,24.03,24.03,24.03,0
20220620,24.03,24.03,24.03,24.03,0
20220621,24.03,24.03,24.03,24.03,0
20220622,24.03,24.03,24.03,24.03,0
20220623,24.03,24.03,24.03,24.03,0
20220624,24.03,24.03,24.03,24.03,0
20220627,24.03,24.03,24.03,24.03,0
