Date,Open,High,Low,Close,Volume
20240423,25.29,25.29,25.25,25.25,5243
20240424,25.25,25.25,25.25,25.25,0
20240426,24.72,24.79,24.72,24.79,198
20240429,25.04,25.07,24.82,24.92,174
20240430,25.01,25.09,24.96,25.09,514
20240501,24.72,24.8,24.64,24.67,9308
20240502,24.75,24.84,24.71,24.79,1268
20240503,24.92,24.95,24.85,24.95,1982
20240506,25.08,25.24,25.08,25.24,464
20240507,25.57,25.71,25.48,25.71,49
20240508,25.95,25.95,25.75,25.75,560
20240509,25.84,25.84,25.47,25.47,1192
20240510,25.61,25.75,25.61,25.75,782
20240513,25.6,25.69,25.57,25.69,1153
20240514,25.66,25.67,25.52,25.52,359
20240515,25.89,25.89,25.75,25.76,5178
20240516,26.16,26.47,26.09,26.43,263
20240517,26.15,26.15,26.11,26.11,78
20240520,26.19,26.3,26.18,26.3,1215
20240521,26.15,26.23,26.13,26.19,2412
20240522,26.28,26.34,26.15,26.23,664
20240523,25.85,25.98,25.77,25.92,2300
20240524,25.55,25.64,25.55,25.6,642
20240527,25.81,25.89,25.81,25.89,319
20240528,25.85,25.87,25.77,25.79,106
20240529,25.48,25.48,25.25,25.29,650
20240530,24.94,25.07,24.94,25.03,4065
20240531,25.34,25.34,25.25,25.27,1355
20240603,25.75,25.75,25.65,25.65,67
20240604,25.61,25.65,25.61,25.65,15
20240605,25.71,25.79,25.71,25.72,2196
20240606,26.06,26.06,26.06,26.06,973
20240607,26.15,26.2,26.09,26.2,272
20240611,25.87,25.87,25.64,25.7,825
20240612,25.48,25.48,25.4,25.4,94
20240613,25.71,25.71,25.71,25.71,881
20240614,25.64,25.64,25.49,25.54,511
20240617,25.48,25.51,25.45,25.51,143
20240618,25.6,25.76,25.6,25.76,45
20240619,25.77,25.77,25.77,25.77,1
20240620,25.7,25.71,25.7,25.71,85
20240621,25.88,25.88,25.72,25.83,954
20240624,25.8,25.86,25.55,25.55,59
20240625,25.82,26.03,25.82,26.03,225
20240626,25.78,25.81,25.68,25.81,268
20240627,25.36,25.62,25.21,25.62,7332
20240628,26.01,26.01,25.82,25.82,102
20240701,25.35,25.51,25.29,25.51,1738
20240702,25.52,25.52,25.3,25.43,718
20240703,25.49,25.49,25.35,25.49,70
20240704,25.92,25.92,25.88,25.9,405
20240705,25.9,25.92,25.81,25.89,2045
20240708,25.71,25.75,25.57,25.57,1022
20240709,25.81,25.91,25.81,25.91,39
20240710,25.7,25.85,25.68,25.85,634
20240711,26.25,26.25,26.16,26.16,32
20240712,26.54,26.54,26.54,26.54,1
20240715,26.94,26.94,26.77,26.8,431
20240716,26.86,26.86,26.75,26.75,77
20240717,26.96,27.19,26.96,27.07,1249
20240718,27.02,27.08,26.93,26.93,1293
20240719,26.54,26.55,26.44,26.55,365
20240722,26.34,26.4,26.29,26.34,3673
20240723,26.63,26.67,26.63,26.66,542
20240724,26.52,26.58,26.46,26.46,326
20240725,26.19,26.19,26.07,26.11,1461
20240726,26.3,26.44,26.3,26.38,48
20240729,26.66,26.71,26.62,26.62,2294
20240730,26.3,26.46,26.25,26.46,91
20240731,26.78,27.22,26.78,27.16,264
20240801,27.37,27.41,27.35,27.41,1029
20240802,26.5,26.57,26.32,26.41,9946
20240805,25.53,25.53,24.92,25.01,1239
20240806,24.92,25.28,24.87,25.22,2136
20240807,24.92,25.39,24.92,25.36,2060
20240808,25,25.18,24.95,25.18,677
20240809,25.6,25.6,25.41,25.52,111
20240812,25.91,25.91,25.76,25.8,397
20240813,25.77,25.83,25.77,25.83,432
20240814,26.15,26.17,25.95,25.95,1085
20240815,26.15,26.2,26.03,26.08,158
20240816,26.49,26.64,26.49,26.53,1115
20240819,26.51,26.68,26.51,26.62,339
20240820,26.81,26.85,26.69,26.71,212
20240821,26.6,26.78,26.54,26.78,279
20240822,26.97,26.99,26.94,26.99,2632
20240823,26.81,26.92,26.75,26.92,51
20240826,27.11,27.2,27.06,27.19,683
20240827,27.22,27.28,27.13,27.15,115
20240828,27.07,27.07,26.91,27.07,757
20240829,27.02,27.08,26.95,27.08,53
20240830,27.27,27.28,27.23,27.28,69
20240902,27.1,27.39,27.1,27.39,2712
20240903,27.36,27.43,27.36,27.43,1005
20240904,26.89,26.93,26.61,26.68,631
20240905,26.77,26.94,26.77,26.86,4555
20240906,26.89,27.12,26.89,27.01,307
20240909,26.5,26.92,26.5,26.92,305
20240910,27.16,27.16,27.16,27.16,11
20240911,27.1,27.12,26.87,26.91,501
20240912,27.25,27.29,27.25,27.29,15
20240913,27.84,27.85,27.57,27.57,184
20240916,27.76,27.87,27.7,27.73,403
20240917,27.87,27.87,27.85,27.87,275
20240918,27.72,27.87,27.72,27.85,160
20240919,27.93,28.09,27.87,28.08,313
20240920,28.29,28.34,28.08,28.15,1025
20240923,27.86,28,27.81,27.87,809
20240924,27.77,27.82,27.77,27.82,46
20240925,27.95,27.95,27.8,27.8,108
20240926,27.98,28.14,27.95,28.14,742
