Date,Open,High,Low,Close,Volume
20220209,11.93,11.95,11.87,11.95,30
20220210,12.22,12.23,12.12,12.12,10971
20220211,12.1,12.1,11.96,12.01,7598
20220214,11.96,11.96,11.84,11.84,10432
20220215,11.79,11.79,11.75,11.75,1255
20220216,11.75,11.93,11.75,11.82,20694
20220217,11.68,11.68,11.52,11.54,21808
20220218,11.5,11.5,11.43,11.49,1626
20220221,11.36,11.36,11.25,11.28,2372
20220222,11.1,11.1,10.95,10.95,13879
20220223,10.97,10.97,10.94,10.95,13802
20220224,10.84,10.84,10.73,10.73,35167
20220225,11,11.01,10.98,10.98,292
20220228,11,11.01,11,11.01,5133
20220301,11.01,11.01,11.01,11.01,45
20220302,11.02,11.02,10.95,10.95,10352
20220303,10.95,10.95,10.85,10.85,1138
20220304,10.67,10.67,10.38,10.38,28169
20220307,10.43,10.43,9.98,9.98,4426
20220308,9.98,9.99,9.96,9.99,341
20220309,9.99,9.99,9.99,9.99,0
20220310,10.15,10.15,10.15,10.15,165
20220311,10.12,10.12,9.99,9.99,324
20220314,9.87,10.02,9.87,9.94,962
20220315,9.68,9.68,9.62,9.68,11031
20220316,9.68,9.68,9.68,9.68,0
20220317,10.54,10.54,10.54,10.54,12900
20220318,10.55,10.55,10.48,10.48,600
20220321,10.48,10.48,10.48,10.48,0
20220322,10.5,10.5,10.5,10.5,143
20220323,10.79,10.83,10.79,10.8,982
20220324,10.67,10.67,10.67,10.67,50
20220325,10.61,10.61,10.61,10.61,300
20220328,10.5,10.5,10.38,10.38,1547
20220329,10.38,10.38,10.38,10.38,0
20220330,10.82,10.9,10.82,10.88,2092
20220331,10.79,10.79,10.66,10.66,77
20220401,10.59,10.6,10.5,10.6,621
20220404,10.61,10.65,10.61,10.65,2111
20220405,10.91,10.91,10.91,10.91,139
20220406,10.63,10.64,10.62,10.64,698
20220407,10.56,10.56,10.46,10.46,951
20220408,10.4,10.4,10.4,10.4,69
20220411,10.2,10.2,10.18,10.18,275
20220412,10.24,10.26,10.2,10.2,18104
20220413,10.16,10.16,10.14,10.16,8025
20220414,10.16,10.16,10.16,10.16,0
20220419,10.16,10.16,10.01,10.01,3826
20220420,10,10,9.96,9.96,578
20220421,9.77,9.77,9.625,9.625,1565
20220422,9.48,9.48,9.335,9.34,616
20220426,9.57,9.78,9.57,9.7,13248
20220427,9.52,9.52,9.455,9.46,10116
20220428,9.46,9.46,9.39,9.39,2204
20220429,9.44,9.47,9.44,9.47,10050
20220502,9.55,9.6,9.55,9.6,1367
20220503,9.6,9.6,9.6,9.6,0
20220504,9.6,9.6,9.6,9.6,0
20220505,9.6,9.6,9.6,9.6,0
20220506,9.46,9.46,9.3,9.34,41533
20220509,9.34,9.34,9.34,9.34,0
20220510,8.91,8.91,8.73,8.86,7792
20220511,8.75,8.91,8.71,8.91,51663
20220512,8.84,8.86,8.8,8.86,44316
20220513,9.21,9.24,9.2,9.22,791
20220516,9.51,9.51,9.39,9.39,916
20220517,9.39,9.39,9.39,9.39,156
20220518,9.39,9.39,9.39,9.39,0
20220519,9.47,9.47,9.44,9.44,283
20220520,9.67,9.67,9.67,9.67,54
20220523,9.67,9.67,9.67,9.67,0
20220524,9.7,9.7,9.7,9.7,104
20220525,9.7,9.7,9.7,9.7,0
20220526,9.7,9.7,9.7,9.7,0
20220527,9.73,9.73,9.62,9.62,4110
20220530,9.62,9.62,9.62,9.62,0
20220531,9.62,9.62,9.62,9.62,0
20220601,9.76,9.76,9.73,9.73,846
20220602,9.65,9.65,9.61,9.61,83
20220603,9.61,9.61,9.61,9.61,0
20220606,9.68,9.68,9.68,9.68,50
20220607,9.69,9.69,9.69,9.69,1
20220608,9.69,9.69,9.69,9.69,0
20220609,10,10.02,10,10.02,201
20220610,9.81,9.82,9.81,9.81,7500
20220614,9.42,9.42,9.35,9.35,1315
20220615,9.35,9.35,9.35,9.35,0
20220616,9.34,9.34,9.34,9.34,3
20220617,9.34,9.34,9.34,9.34,0
20220620,9.28,9.28,9.28,9.28,2500
20220621,9.28,9.28,9.28,9.28,0
20220622,9.35,9.35,9.34,9.35,137
20220623,9.35,9.46,9.35,9.42,954
20220624,9.7,9.8,9.7,9.8,1182
