Date,Open,High,Low,Close,Volume
20240926,10.13,10.28,10.08,10.09,22267
20240927,10.07,10.07,10.02,10.03,4328
20240930,10.13,10.13,9.99,9.99,11611
20241001,10.1,10.1,10,10,1800
20241002,9.97,9.98,9.96,9.98,7100
20241003,9.99,9.99,9.99,9.99,1200
20241004,9.99,9.99,9.99,9.99,0
20241007,10.22,10.23,10.21,10.21,927
20241008,10.21,10.21,10.21,10.21,0
20241009,10.24,10.25,10.23,10.23,15723
20241010,10.32,10.32,10.29,10.3,7783
20241011,10.33,10.33,10.27,10.28,7249
20241014,10.3,10.46,10.27,10.3,9444
20241015,10.43,10.43,10.35,10.36,2358
20241016,10.28,10.28,10.25,10.25,5020
20241017,10.27,10.27,10.24,10.25,295
20241018,10.28,10.28,10.24,10.24,156
20241021,10.3,10.3,10.26,10.28,14220
20241022,10.31,10.33,10.3,10.3,11192
20241023,10.3,10.3,10.25,10.25,1075
20241024,10.27,10.34,10.25,10.33,36300
20241025,10.4,10.43,10.4,10.43,4500
20241028,10.64,10.67,10.55,10.61,4844
20241029,10.56,10.56,10.56,10.56,94
20241030,10.61,10.68,10.61,10.68,9560
20241031,10.77,10.77,10.49,10.5,29288
20241101,10.52,10.52,10.3,10.32,13029
20241104,10.51,10.51,10.32,10.32,9216
20241105,10.42,10.42,10.31,10.31,3494
20241106,10.39,10.62,10.38,10.62,2407
20241107,10.62,11.02,10.62,10.7,5095
20241108,10.94,10.94,10.71,10.74,14812
20241111,11,11,10.86,10.89,48654
20241112,10.96,11.03,10.96,11.03,36725
20241113,11,11,10.88,10.94,20359
20241114,11.09,11.09,11.02,11.08,9952
20241115,11.2,11.2,10.98,10.98,11487
20241118,11.1,11.1,10.92,10.95,60782
20241119,11,11,10.93,10.935,311
20241120,10.95,10.95,10.93,10.95,2879
20241121,10.95,10.95,10.88,10.89,14017
20241122,10.98,10.99,10.965,10.97,1678
20241125,11.05,11.24,11.02,11.09,1247
20241126,11.13,11.13,11.045,11.06,23025
20241127,11.12,11.12,11.06,11.09,13702
20241128,11.18,11.18,11.03,11.06,4565
20241129,11.08,11.26,11.04,11.2,15237
20241202,11,11.15,11,11.15,4643
20241203,11.31,11.31,11.24,11.26,22727
20241204,11.27,11.37,11.26,11.35,2891
20241205,11.38,11.4,11.38,11.39,5384
20241206,11.38,11.42,11.37,11.41,13253
20241209,11.56,11.58,11.5,11.57,12450
20241210,11.51,11.51,11.45,11.49,3216
20241211,11.57,11.67,11.54,11.67,6212
20241212,11.72,11.76,11.62,11.67,11984
20241213,11.67,11.68,11.62,11.62,8011
20241216,11.62,11.66,11.6,11.64,12416
20241217,11.56,11.73,11.56,11.73,15345
20241218,11.75,11.93,11.725,11.77,28929
20241219,12,12,11.535,11.56,11484
20241220,11.6,11.6,11.45,11.45,10893
20241223,11.53,11.85,11.51,11.53,6961
20241224,11.7,11.7,11.57,11.58,9272
20241227,11.67,11.7,11.66,11.69,2018
20241230,11.7,12.09,11.57,11.57,7323
20241231,11.58,11.58,11.51,11.54,6227
20250102,11.59,11.66,11.53,11.59,16041
20250103,11.72,11.72,11.58,11.6,7696
20250106,11.7,11.7,11.62,11.66,15539
20250107,11.78,11.78,11.755,11.76,3529
20250108,11.76,11.76,11.695,11.71,25980
20250109,11.71,11.71,11.67,11.69,3544
20250110,11.68,11.7,11.67,11.7,3731
20250113,11.83,11.83,11.62,11.65,17721
20250114,11.65,11.69,11.65,11.66,4677
20250115,11.7,11.71,11.66,11.66,1929
20250116,11.81,11.83,11.795,11.81,4434
20250117,11.87,11.9,11.69,11.9,36507
