Date,Open,High,Low,Close,Volume
20191128,25.1,25.1,25.09,25.09,55040
20191129,25.09,25.09,25.09,25.09,80000
20191202,25.06,25.06,25.06,25.06,9632
20191203,24.96,24.96,24.92,24.92,48102
20191204,25.03,25.25,25.02,25.07,17215
20191205,25.04,25.04,25.03,25.03,400
20191206,25,25,24.99,24.99,51571
20191209,24.99,24.99,24.99,24.99,160000
20191210,25,25,25,25,19394
20191211,24.97,24.98,24.96,24.96,46208
20191212,24.96,24.96,24.96,24.96,0
20191213,24.87,24.89,24.86,24.87,84819
20191216,24.99,25,24.99,25,41440
20191217,24.99,24.99,24.98,24.99,4826
20191218,24.98,24.98,24.98,24.98,4683
20191219,24.98,24.98,24.98,24.98,80000
20191220,24.86,24.86,24.85,24.86,821
20191223,24.88,24.88,24.88,24.88,12
20191224,24.85,24.85,24.85,24.85,400
20191227,24.85,24.85,24.85,24.85,0
20191230,24.86,24.87,24.86,24.86,1800
20191231,24.84,24.84,24.84,24.84,844
20200102,24.83,24.83,24.83,24.83,204
20200103,24.85,24.86,24.85,24.86,70000
20200106,24.86,24.86,24.86,24.86,0
20200107,24.86,24.86,24.86,24.86,0
20200108,24.86,24.86,24.86,24.86,0
20200109,24.86,24.86,24.86,24.86,0
20200110,24.9,24.9,24.9,24.9,191507
20200113,24.94,24.94,24.94,24.94,1603
20200114,24.9,24.9,24.89,24.89,1360
20200115,24.92,24.92,24.89,24.92,1543
20200116,24.98,24.98,24.98,24.98,600
20200117,24.98,24.98,24.93,24.93,947
20200120,24.93,24.93,24.93,24.93,0
20200121,25,25,25,25,432
20200122,25,25,25,25,0
20200123,25,25,25,25,0
20200124,25.12,25.12,25.12,25.12,247080
20200128,25.24,25.25,25.22,25.25,160485
20200129,25.25,25.25,25.25,25.25,0
20200130,25.3,25.3,25.3,25.3,843
20200131,25.32,25.32,25.32,25.32,721
20200203,25.34,25.34,25.34,25.34,600
20200204,25.4,25.4,25.37,25.37,1547
20200205,25.3,25.3,25.28,25.29,277346
20200206,25.23,25.23,25.23,25.23,100
20200207,25.25,25.26,25.25,25.25,14190
20200210,25.26,25.26,25.26,25.26,400
20200211,25.33,25.33,25.25,25.25,1212
20200212,25.29,25.29,25.22,25.22,3282
20200213,25.28,25.28,25.28,25.28,25
20200214,25.28,25.28,25.28,25.28,0
20200217,25.3,25.32,25.3,25.32,4000
20200218,25.31,25.32,25.31,25.32,1759
20200219,25.32,25.32,25.32,25.32,0
20200220,25.37,25.37,25.37,25.37,1126
20200221,25.44,25.44,25.44,25.44,2668
20200224,25.43,25.43,25.43,25.43,2000
20200225,25.51,25.51,25.51,25.51,1572
20200226,25.52,25.52,25.52,25.52,548
20200227,25.53,25.53,25.53,25.53,2247
20200228,25.53,25.53,25.53,25.53,0
20200302,25.68,25.68,25.67,25.67,5239
20200303,25.64,25.64,25.64,25.64,4817
20200304,25.72,25.72,25.72,25.72,3900
20200305,25.7,25.7,25.7,25.7,15587
20200306,25.76,25.76,25.76,25.76,19
20200309,25.89,25.89,25.88,25.88,1417
20200310,25.79,25.79,25.75,25.75,3652
20200311,25.69,25.69,25.69,25.69,74
20200312,25.31,25.31,25.31,25.31,233
20200313,25.42,25.42,25.3,25.3,140
20200316,25,25,25,25,100
20200317,24.81,25.02,24.8,25.02,6501
20200318,24.9,24.9,24.9,24.9,40
20200319,24.1,24.1,24.1,24.1,10000
20200320,24.6,24.6,24.33,24.33,7000
20200323,24.51,24.51,24.51,24.51,23
20200324,24.92,24.92,24.92,24.92,596
20200325,24.92,24.92,24.92,24.92,0
20200326,24.78,24.78,24.78,24.78,59
20200327,24.78,24.78,24.78,24.78,0
20200330,24.69,25.06,24.69,25.06,10800
20200331,24.67,24.7,24.6,24.7,21409
20200401,24.7,24.99,24.66,24.99,229020
20200402,24.98,24.98,24.98,24.98,100
20200403,24.98,24.98,24.98,24.98,0
20200406,24.6,24.6,24.6,24.6,1016
20200407,24.82,24.82,24.82,24.82,5000
20200408,24.82,24.82,24.82,24.82,0
20200409,24.82,24.82,24.82,24.82,0
20200414,24.82,24.82,24.82,24.82,0
20200415,24.82,24.82,24.82,24.82,0
20200416,24.82,24.82,24.82,24.82,0
20200417,24.82,24.82,24.82,24.82,0
20200420,24.82,24.82,24.82,24.82,0
20200421,25.05,25.05,25.04,25.04,2634
20200422,25.04,25.04,25.04,25.04,0
20200423,25.01,25.01,25,25,829
20200424,25,25,25,25,0
20200427,24.9,25.08,24.9,25.08,2504
20200428,25.09,25.09,25.09,25.09,993
20200429,25.14,25.14,25.14,25.14,1183
20200430,25.01,25.16,25.01,25.16,1262
20200501,25.25,25.28,25.25,25.27,477
20200504,25.32,25.32,25.32,25.32,4270
20200505,25.32,25.32,25.32,25.32,0
20200506,25.32,25.32,25.32,25.32,0
20200507,25.32,25.32,25.32,25.32,0
20200508,25.3,25.3,25.3,25.3,41
20200511,25.29,25.29,25.29,25.29,1348
20200512,25.29,25.29,25.29,25.29,0
20200513,25.29,25.29,25.29,25.29,0
20200514,25.29,25.29,25.29,25.29,0
20200515,25.16,25.26,25.16,25.26,2118
20200518,25.24,25.24,25.24,25.24,13848
20200519,25.13,25.13,25.13,25.13,99
20200520,25.13,25.13,25.13,25.13,0
20200521,25.24,25.24,25.24,25.24,197
20200522,25.24,25.24,25.24,25.24,1
20200525,25.3,25.3,25.3,25.3,2773
20200526,25.3,25.3,25.3,25.3,0
20200527,25.29,25.29,25.25,25.25,988
20200528,25.31,25.31,25.31,25.31,295
20200529,25.31,25.31,25.31,25.31,0
20200601,25.34,25.34,25.34,25.34,1228
20200602,25.34,25.34,25.32,25.32,1182
