Date,Open,High,Low,Close,Volume
20210805,10.05,10.05,10.03,10.04,117037
20210806,10.07,10.08,10.07,10.08,22205
20210809,10.06,10.09,10.05,10.09,16586
20210810,10.08,10.08,10.06,10.06,22593
20210811,10.05,10.06,10.05,10.06,12346
20210812,10.04,10.06,10.04,10.06,52831
20210813,10.06,10.07,10.06,10.07,35978
20210816,10.07,10.07,10.06,10.06,48432
20210817,10.06,10.06,10.06,10.06,10915
20210818,10.05,10.05,10.04,10.05,9180
20210819,10.05,10.06,10.04,10.05,72890
20210820,10.03,10.03,10.02,10.02,13884
20210823,10.04,10.04,10.03,10.04,21486
20210824,10.05,10.05,10.05,10.05,17250
20210825,10.05,10.05,10.05,10.05,20823
20210826,10.05,10.06,10.05,10.06,76454
20210827,10.05,10.07,10.05,10.07,65494
20210830,10.07,10.07,10.07,10.07,11010
20210831,10.07,10.07,10.04,10.05,40096
20210901,10.03,10.03,10.03,10.03,638
20210902,10.05,10.05,10.05,10.05,25560
20210903,10.09,10.09,10.09,10.09,5500
20210906,10.05,10.06,10.05,10.05,7230
20210907,10.04,10.04,10.02,10.02,44138
20210908,10.08,10.08,10.08,10.08,7940
20210909,10.04,10.07,10.04,10.07,48985
20210910,10.04,10.04,10.04,10.04,43922
20210913,10.06,10.1,10.06,10.1,53173
20210914,10.08,10.1,10.08,10.1,8044
20210915,10.09,10.1,10.08,10.09,80831
20210916,10.1,10.1,10.1,10.1,51036
20210917,10.1,10.1,10.1,10.1,35905
20210920,10.1,10.1,10.1,10.1,6876
20210921,10.09,10.1,10.08,10.08,7892
20210922,10.06,10.06,10.06,10.06,19182
20210923,10.06,10.07,10.06,10.07,40602
20210924,10.05,10.09,10.04,10.09,7253
20210927,10.09,10.09,10.09,10.09,11810
20210928,10.04,10.06,10.04,10.06,6600
20210929,10.03,10.03,10.01,10.01,8338
20210930,10.03,10.03,10.03,10.03,1251
20211001,9.98,10,9.98,10,11609
20211004,9.99,9.99,9.98,9.98,9477
20211005,9.97,10.01,9.97,10.01,22007
20211006,9.99,10.02,9.99,10.02,18027
20211007,10,10.01,9.98,9.98,11311
20211008,9.98,10,9.98,10,13700
20211011,10,10,10,10,0
20211012,10.02,10.02,10.02,10.02,2000
20211013,9.99,10,9.99,10,15506
20211014,9.96,9.97,9.96,9.97,28761
20211015,9.97,9.99,9.97,9.99,7827
20211018,9.99,10.02,9.99,10.02,7008
20211019,10,10,10,10,2100
20211020,10,10,10,10,400
20211021,10.03,10.04,10,10.02,20790
20211022,10.02,10.02,10.02,10.02,22285
20211025,10.03,10.03,10.02,10.02,16567
20211026,10.02,10.02,10,10,2500
20211027,10.01,10.01,10,10,20217
20211028,10.04,10.04,10,10,8573
20211029,10,10,10,10,18500
20211101,10,10,10,10,3000
20211102,10,10,9.96,9.98,2404
20211103,9.99,9.99,9.99,9.99,2200
20211104,9.92,9.94,9.92,9.94,11360
20211105,9.94,9.94,9.94,9.94,0
20211108,9.95,9.95,9.95,9.95,7298
20211109,9.96,9.96,9.96,9.96,1278
20211110,9.96,9.96,9.95,9.95,2592
20211111,9.97,9.98,9.97,9.98,44857
20211112,9.94,9.97,9.94,9.97,1570
20211115,9.97,9.97,9.97,9.97,13471
20211116,9.95,9.95,9.95,9.95,50895
20211117,9.94,9.95,9.94,9.95,20982
20211118,9.93,9.93,9.9,9.9,7282
20211119,9.88,9.9,9.87,9.89,8896
20211122,9.89,9.89,9.89,9.89,4586
20211123,9.86,9.87,9.85,9.87,4306
20211124,9.88,9.88,9.88,9.88,200
20211125,9.88,9.88,9.86,9.86,7552
20211126,9.85,9.91,9.81,9.91,17266
20211129,9.85,9.85,9.69,9.69,4372
20211130,9.69,9.69,9.69,9.69,0
20211201,9.73,9.73,9.73,9.73,1042
20211202,9.8,9.8,9.8,9.8,4078
20211203,9.8,9.8,9.8,9.8,17513
20211206,9.8,9.8,9.8,9.8,5080
20211207,9.82,9.82,9.82,9.82,2040
20211208,9.82,9.82,9.82,9.82,90
20211209,9.82,9.82,9.82,9.82,0
20211210,9.84,9.87,9.84,9.85,8761
20211213,9.82,9.85,9.82,9.85,23508
20211214,9.9,9.9,9.9,9.9,1115
20211215,9.83,9.83,9.83,9.83,947
20211216,9.85,9.86,9.84,9.86,15869
20211217,9.86,9.86,9.86,9.86,0
20211220,9.86,9.86,9.85,9.85,1727
20211221,9.86,9.86,9.82,9.82,6200
20211222,9.84,9.84,9.84,9.84,20366
20211223,9.84,9.89,9.84,9.89,19299
20211224,9.89,9.89,9.89,9.89,3000
20211229,9.89,9.89,9.89,9.89,0
20211230,9.94,9.94,9.94,9.94,5000
20211231,9.94,9.94,9.94,9.94,0
20220104,9.94,9.94,9.92,9.94,27635
20220105,9.96,9.96,9.96,9.96,1880
20220106,9.96,9.96,9.96,9.96,1928
20220107,9.96,9.96,9.96,9.96,18072
20220110,9.95,9.95,9.95,9.95,20370
20220111,9.95,9.95,9.95,9.95,2909
20220112,9.92,9.92,9.92,9.92,408
20220113,9.92,9.92,9.92,9.92,0
20220114,9.92,9.92,9.92,9.92,92
20220117,9.9,9.9,9.9,9.9,7547
20220118,9.84,9.84,9.84,9.84,303
20220119,9.87,9.9,9.87,9.9,15803
20220120,9.9,9.9,9.89,9.89,25600
20220121,9.9,9.92,9.9,9.92,6912
20220124,9.93,9.94,9.9,9.9,9526
20220125,9.9,9.91,9.9,9.91,11377
20220127,9.79,9.79,9.79,9.79,580
20220128,9.89,9.9,9.89,9.9,186674
20220131,9.81,9.84,9.81,9.84,8180
20220201,9.84,9.84,9.75,9.75,20759
20220202,9.75,9.75,9.75,9.75,0
20220203,9.75,9.82,9.75,9.8,5196
20220204,9.8,9.8,9.8,9.8,6105
20220207,9.8,9.8,9.8,9.8,10250
20220208,9.8,9.8,9.8,9.8,0
20220209,9.68,9.68,9.64,9.68,7534
20220210,9.69,9.71,9.66,9.71,9729
20220211,9.69,9.7,9.69,9.7,7949
20220214,9.72,9.72,9.71,9.71,4908
20220215,9.71,9.71,9.66,9.66,10639
20220216,9.66,9.66,9.66,9.66,0
20220217,9.68,9.68,9.68,9.68,8417
20220218,9.64,9.68,9.64,9.68,3272
20220221,9.66,9.66,9.63,9.64,22454
20220222,9.64,9.64,9.61,9.61,16995
20220223,9.62,9.62,9.62,9.62,409
20220224,9.6,9.6,9.6,9.6,995
20220225,9.6,9.63,9.54,9.54,8552
20220228,9.63,9.63,9.63,9.63,349
20220301,9.49,9.49,9.49,9.49,4093
20220302,9.45,9.45,9.38,9.4,2319
20220303,9.4,9.43,9.4,9.43,20324
20220304,9.43,9.43,9.43,9.43,0
20220307,9.42,9.42,9.28,9.28,3047
20220308,9.28,9.28,9.28,9.28,0
20220309,9.28,9.28,9.28,9.28,0
20220310,9.25,9.34,9.25,9.34,14801
20220311,9.38,9.38,9.38,9.38,1426
20220314,9.38,9.38,9.38,9.38,0
20220315,9.37,9.37,9.37,9.37,550
20220316,9.34,9.34,9.34,9.34,1100
20220317,9.32,9.43,9.32,9.43,3192
20220318,9.43,9.46,9.43,9.46,15953
20220321,9.49,9.49,9.49,9.49,1000
20220322,9.44,9.5,9.44,9.5,15869
20220323,9.49,9.49,9.49,9.49,600
20220324,9.49,9.49,9.49,9.49,0
20220325,9.52,9.54,9.52,9.54,2948
20220328,9.53,9.53,9.53,9.53,426
20220329,9.57,9.57,9.56,9.56,7430
20220330,9.56,9.6,9.56,9.6,4185
20220331,9.63,9.63,9.61,9.61,3288
20220401,9.6,9.6,9.6,9.6,1003
20220404,9.61,9.61,9.61,9.61,3121
20220405,9.61,9.61,9.61,9.61,3000
20220406,9.61,9.65,9.61,9.65,16627
20220407,9.65,9.7,9.58,9.58,9746
20220408,9.6,9.6,9.55,9.57,8993
20220411,9.55,9.55,9.5,9.5,6057
20220412,9.5,9.5,9.5,9.5,0
20220413,9.47,9.47,9.47,9.47,394
20220414,9.53,9.53,9.505,9.52,3460
20220419,9.56,9.56,9.56,9.56,2098
20220420,9.58,9.58,9.58,9.58,1959
20220421,9.57,9.57,9.57,9.57,1317
20220422,9.55,9.57,9.55,9.57,176046
20220426,9.57,9.57,9.57,9.57,0
20220427,9.51,9.51,9.44,9.44,3306
20220428,9.39,9.39,9.39,9.39,5633
20220429,9.37,9.4,9.37,9.4,6521
20220502,9.37,9.37,9.37,9.37,3403
20220503,9.37,9.37,9.37,9.37,1100
20220504,9.38,9.38,9.38,9.38,6390
20220505,9.35,9.35,9.29,9.32,13679
20220506,9.32,9.32,9.32,9.32,100
20220509,9.32,9.32,9.32,9.32,0
20220510,9.27,9.27,9.16,9.16,30800
20220511,9.16,9.16,9.15,9.15,15100
20220512,9.18,9.18,9.16,9.16,19408
20220513,9.16,9.16,9.13,9.13,5267
20220516,9.17,9.17,9.17,9.17,5985
20220517,9.14,9.14,9.14,9.14,991
20220518,9.16,9.22,9.16,9.22,1165
20220519,9.22,9.22,9.19,9.19,11537
20220520,9.19,9.19,9.19,9.19,0
20220523,9.11,9.11,9.11,9.11,3193
20220524,9.11,9.12,9.11,9.12,22594
20220525,9.12,9.12,9.12,9.12,0
20220526,9.1,9.1,9.1,9.1,4946
20220527,9.12,9.12,9.12,9.12,5915
20220530,9.17,9.17,9.17,9.17,10802
20220531,9.22,9.22,9.22,9.22,1500
20220601,9.22,9.22,9.22,9.22,0
20220602,9.22,9.22,9.22,9.22,0
20220603,9.22,9.22,9.22,9.22,0
20220606,9.29,9.29,9.25,9.25,74700
20220607,9.24,9.24,9.24,9.24,2159
20220608,9.25,9.25,9.25,9.25,400
20220609,9.25,9.25,9.25,9.25,0
20220610,9.23,9.23,9.21,9.22,21902
20220614,9.18,9.18,9.18,9.18,12500
20220615,9.12,9.13,9.1,9.1,14119
20220616,9.1,9.1,9.04,9.04,12792
20220617,8.99,8.99,8.99,8.99,919
20220620,8.97,8.97,8.97,8.97,2425
20220621,8.97,8.97,8.96,8.96,208
20220622,8.96,8.96,8.96,8.96,0
20220623,8.95,8.95,8.9,8.92,2148
20220624,8.92,8.92,8.92,8.92,0
20220627,8.83,8.83,8.8,8.8,9959
20220628,8.9,8.9,8.85,8.85,1591
20220629,8.92,8.92,8.88,8.88,9368
20220630,8.87,8.87,8.73,8.73,15281
20220701,8.73,8.75,8.71,8.71,4974
20220704,8.71,8.71,8.71,8.71,0
20220705,8.71,8.71,8.71,8.71,0
20220706,8.69,8.69,8.69,8.69,3445
20220707,8.585,8.63,8.585,8.63,21378
20220708,8.76,8.76,8.71,8.71,7639
20220711,8.73,8.73,8.73,8.73,781
20220712,8.88,8.88,8.88,8.88,22200
20220713,8.88,8.88,8.75,8.75,22880
20220714,8.75,8.75,8.75,8.75,0
20220715,8.75,8.75,8.74,8.74,821
20220718,8.74,8.74,8.74,8.74,0
20220719,8.78,8.8,8.78,8.8,90727
20220720,8.81,8.84,8.79,8.79,20113
20220721,8.9,8.9,8.9,8.9,322
20220722,8.88,8.89,8.88,8.89,3939
20220725,8.88,8.9,8.88,8.9,2506
20220726,8.97,8.97,8.97,8.97,91
20220727,8.96,8.96,8.96,8.96,7961
20220728,8.96,8.97,8.96,8.97,600
20220729,9.01,9.01,9.01,9.01,13795
20220801,8.98,9.03,8.98,9.03,16891
20220802,9.04,9.04,9.04,9.04,8026
20220803,9.01,9.01,9.01,9.01,787
20220804,9.05,9.06,9.05,9.06,17050
20220805,9.06,9.07,9.06,9.07,3193
20220808,9.06,9.06,9.04,9.04,11281
20220809,9.04,9.11,9.04,9.1,9585
20220810,9.06,9.06,9.06,9.06,7395
20220811,9.04,9.04,9.04,9.04,6411
20220812,9.02,9.07,9.02,9.07,4178
20220815,9.07,9.07,9.07,9.07,0
20220816,9.09,9.09,9.09,9.09,3158
20220817,9.1,9.11,9.1,9.11,2744
20220818,9.1,9.1,9.06,9.06,4447
20220819,9.06,9.06,9.06,9.06,1261
20220822,9.08,9.08,9.08,9.08,1100
20220823,9.03,9.03,9.01,9.01,12456
20220824,9.01,9.01,9.01,9.01,0
20220825,9.01,9.01,9.01,9.01,0
20220826,9.03,9.03,9.03,9.03,5612
20220829,9.03,9.03,9.03,9.03,0
20220830,9.03,9.03,9.03,9.03,0
20220831,9.02,9.02,8.99,9,4625
20220901,9,9.01,8.91,8.91,12257
20220902,8.9,8.9,8.9,8.9,3210
20220905,8.9,8.9,8.89,8.89,3696
20220906,8.91,8.91,8.9,8.9,1111
20220907,8.88,8.88,8.88,8.88,1211
20220908,8.88,8.88,8.88,8.88,0
20220909,8.88,8.88,8.88,8.88,0
20220912,8.9,8.94,8.9,8.91,10607
20220913,8.92,8.92,8.92,8.92,2935
20220914,8.95,8.95,8.95,8.95,16440
20220915,8.98,8.98,8.95,8.95,7734
20220916,8.95,8.95,8.95,8.95,0
20220919,8.92,8.92,8.92,8.92,100
20220920,8.93,8.94,8.91,8.91,9895
20220921,8.93,8.93,8.91,8.91,326
20220923,8.91,8.92,8.91,8.92,2073
20220926,8.92,8.95,8.92,8.95,2883
20220927,8.85,8.85,8.85,8.85,1850
20220928,8.85,8.85,8.85,8.85,0
20220929,8.8,8.8,8.67,8.71,14640
20220930,8.62,8.62,8.6,8.6,19900
20221003,8.63,8.63,8.63,8.63,532
20221004,8.53,8.53,8.53,8.53,1657
20221005,8.6,8.6,8.6,8.6,1303
20221006,8.55,8.56,8.54,8.54,6860
20221007,8.54,8.54,8.54,8.54,0
20221010,8.58,8.58,8.57,8.57,20180
20221011,8.57,8.58,8.57,8.58,7561
20221012,8.55,8.55,8.55,8.55,753
20221013,8.56,8.56,8.55,8.55,4408
20221014,8.48,8.48,8.45,8.45,780
20221017,8.44,8.48,8.44,8.48,9075
20221018,8.48,8.53,8.48,8.53,6560
20221019,8.53,8.53,8.51,8.53,6983
20221020,8.53,8.55,8.53,8.55,3360
20221021,8.57,8.58,8.54,8.58,2994
20221024,8.54,8.54,8.54,8.54,2074
20221025,8.57,8.6,8.54,8.6,6431
20221026,8.6,8.6,8.56,8.56,3489
20221027,8.63,8.63,8.63,8.63,9007
20221028,8.67,8.7,8.67,8.7,2338
20221031,8.7,8.71,8.7,8.71,1000
20221101,8.7,8.7,8.7,8.7,15000
20221102,8.74,8.74,8.74,8.74,572
20221103,8.73,8.74,8.73,8.74,6540
20221104,8.74,8.78,8.69,8.69,5481
20221107,8.7,8.7,8.67,8.67,6807
20221108,8.7,8.7,8.7,8.7,2500
20221109,8.72,8.72,8.67,8.67,6637
20221110,8.69,8.72,8.69,8.72,1925
20221111,8.74,8.74,8.74,8.74,2395
20221114,8.75,8.84,8.71,8.84,20776
20221115,8.84,8.84,8.84,8.84,0
20221116,8.84,8.84,8.84,8.84,0
20221117,8.87,8.88,8.86,8.88,10879
20221118,8.88,8.88,8.87,8.87,978
20221121,8.87,8.88,8.85,8.85,20737
20221122,8.89,8.89,8.89,8.89,358
20221123,8.92,8.92,8.92,8.92,448
20221124,8.9,8.93,8.89,8.91,5032
20221125,8.91,8.91,8.91,8.91,0
20221128,8.95,8.99,8.95,8.95,16298
20221129,8.99,8.99,8.99,8.99,5812
20221130,8.93,8.93,8.93,8.93,2164
20221201,8.93,8.93,8.93,8.93,0
20221202,8.89,8.89,8.89,8.89,2063
20221205,8.89,8.89,8.89,8.89,2006
20221206,8.89,8.89,8.89,8.89,0
20221207,8.93,8.96,8.93,8.96,1639
20221208,8.96,8.96,8.91,8.91,2716
20221209,8.94,8.94,8.93,8.93,58164
20221212,8.93,8.93,8.93,8.93,0
20221213,8.94,8.94,8.91,8.91,5066
20221214,8.93,8.94,8.91,8.91,14942
20221215,8.94,8.97,8.91,8.94,8325
20221216,8.98,8.98,8.98,8.98,2300
20221219,8.98,8.98,8.96,8.96,22270
20221220,8.96,8.96,8.96,8.96,18719
20221221,8.94,8.94,8.89,8.93,28836
20221222,8.91,8.93,8.91,8.93,2951
20221223,8.89,8.93,8.89,8.93,6899
20221228,8.94,8.94,8.94,8.94,6702
20221229,8.94,8.94,8.94,8.94,9533
20221230,8.94,8.94,8.94,8.94,6906
20230103,8.93,8.93,8.93,8.93,470
20230104,8.94,8.94,8.94,8.94,6
20230105,8.94,8.94,8.94,8.94,5012
20230106,8.98,8.98,8.98,8.98,2824
20230109,8.94,8.97,8.79,8.79,10920
20230110,8.88,8.88,8.88,8.88,3
20230111,8.92,8.96,8.92,8.96,100
20230112,8.96,8.99,8.95,8.99,5054
20230113,8.99,9.01,8.99,9.01,3195
20230116,9.05,9.05,9.05,9.05,6568
20230117,9.05,9.05,9.05,9.05,4229
20230118,9.06,9.08,9.04,9.04,8121
20230119,9.13,9.14,9.12,9.14,1394
20230120,9.18,9.18,9.17,9.17,8147
20230123,9.1,9.1,9.06,9.1,14382
20230124,9.1,9.1,9.09,9.1,30764
20230125,9.13,9.14,9.1,9.1,7819
20230127,9.14,9.38,9.1,9.14,7859
20230130,9.18,9.2,9.18,9.2,8374
20230131,9.2,9.22,9.19,9.19,6146
20230201,9.35,9.35,9.19,9.2,55858
20230202,9.08,9.23,9.07,9.23,37554
20230203,9.22,9.22,9.17,9.19,5665
20230206,9.34,9.4,9.3,9.39,10484
20230207,9.39,9.39,9.34,9.37,9734
20230208,9.28,9.28,9.26,9.26,4225
20230209,9.32,9.33,9.28,9.28,11523
20230210,9.32,9.36,9.31,9.36,20853
20230213,9.37,9.39,9.37,9.39,28741
20230214,9.31,9.32,9.3,9.31,17547
20230215,9.28,9.32,9.28,9.32,7542
20230216,9.32,9.34,9.32,9.32,5605
20230217,9.28,9.29,9.28,9.29,9410
20230220,9.26,9.28,9.26,9.28,33288
20230221,9.25,9.25,9.09,9.22,11311
20230222,9.31,9.31,9.16,9.17,6527
20230223,9.25,9.25,9.2,9.2,24003
20230224,9.21,9.22,9.205,9.22,22683
20230227,9.24,9.27,9.23,9.23,15438
20230228,9.22,9.22,9.2,9.2,24771
20230301,9.19,9.19,9.17,9.18,6428
20230302,9.15,9.15,9.14,9.15,5962
20230303,9.2,9.2,9.2,9.2,522
20230306,9.17,9.18,9.17,9.17,450
20230307,9.19,9.2,9.17,9.2,27944
20230308,9.26,9.26,9.26,9.26,5636
20230309,9.22,9.22,9.21,9.21,10102
20230310,9.2,9.24,9.18,9.24,13799
20230313,9.1,9.15,9.09,9.09,16693
20230314,9.1,9.1,8.91,8.91,17678
20230315,8.91,8.91,8.86,8.9,7253
20230316,8.46,8.63,8.34,8.59,40899
20230317,8.55,8.55,8.38,8.47,9287
20230320,8.3,8.3,6.99,6.99,48811
20230321,7.01,7.64,7,7.62,67774
20230322,7.89,8.08,7.81,8.08,14135
20230323,8.02,8.21,8.01,8.21,18448
20230324,8.13,8.19,8.13,8.18,10525
20230327,8.15,8.17,8.08,8.08,8152
20230328,8.03,8.08,7.97,8,9819
20230329,8,8.08,8,8.02,11350
20230330,8.05,8.07,8,8.07,21118
20230331,8.04,8.09,8.03,8.09,8909
20230403,8.1,8.11,8.09,8.11,8915
20230404,8.14,8.23,8.09,8.23,5581
20230405,8.18,8.19,8.15,8.19,26370
20230406,8.2,8.23,8.2,8.23,1319
20230411,8.16,8.2,8.16,8.2,196
20230412,8.21,8.21,8.21,8.21,12270
20230413,8.16,8.17,8.15,8.16,1359
20230414,8.15,8.19,8.14,8.19,16517
20230417,8.31,8.31,8.25,8.26,5285
20230418,8.28,8.29,8.24,8.24,9306
20230419,8.24,8.25,8.24,8.25,702
20230420,8.3,8.35,8.3,8.35,2533
20230421,8.3,8.3,8.3,8.3,511
20230424,8.3,8.37,8.3,8.31,2544
20230426,8.25,8.34,8.25,8.34,884
20230427,8.33,8.33,8.26,8.28,2565
20230428,8.24,8.3,8.23,8.3,3267
20230501,8.22,8.22,8.22,8.22,53078
20230502,8.18,8.19,8.11,8.11,4246
20230503,8.15,8.15,8.15,8.15,369
20230504,8.15,8.2,8.12,8.12,42500
20230505,8.14,8.14,8.14,8.14,1864
20230508,8.13,8.14,8.11,8.11,5568
20230509,8.12,8.13,8.12,8.13,1137
20230510,8.19,8.19,8.15,8.15,127
20230511,8.17,8.18,8.14,8.18,9545
20230512,8.19,8.19,8.16,8.16,1879
20230515,8.17,8.17,8.13,8.13,4641
20230516,8.12,8.13,8.12,8.12,1357
20230517,8.18,8.21,8.17,8.17,5794
20230518,8.2,8.21,8.2,8.21,5395
20230519,8.23,8.25,8.23,8.23,6771
20230522,8.21,8.25,8.21,8.23,2973
20230523,8.26,8.3,8.25,8.25,7923
20230524,8.32,8.32,8.32,8.32,2352
20230525,8.34,8.35,8.34,8.35,5324
20230526,8.31,8.31,8.29,8.29,6448
20230529,8.27,8.28,8.27,8.28,974
20230530,8.28,8.28,8.28,8.28,643
20230531,8.32,8.35,8.32,8.35,13000
20230601,8.23,8.25,8.21,8.21,3222
20230602,8.26,8.26,8.23,8.23,2076
20230605,8.24,8.25,8.21,8.22,45499
20230606,8.24,8.24,8.22,8.22,5586
20230607,8.25,8.28,8.24,8.28,24531
20230608,8.27,8.31,8.27,8.31,5236
