Date,Open,High,Low,Close,Volume
20221214,10.07,10.07,10.07,10.07,99
20221215,10.07,10.07,10.07,10.07,0
20221216,10.07,10.07,10.07,10.07,0
20221219,9.75,9.75,9.75,9.75,1500
20221220,9.75,9.75,9.75,9.75,0
20221221,9.75,9.75,9.75,9.75,0
20221222,9.73,9.73,9.73,9.73,2055
20221223,9.96,9.96,9.96,9.96,308
20221228,9.96,9.96,9.96,9.96,0
20221229,9.96,9.96,9.96,9.96,0
20221230,9.96,9.96,9.96,9.96,0
20230103,9.59,9.59,9.59,9.59,1
20230104,9.59,9.59,9.59,9.59,0
20230105,8.79,8.79,8.79,8.79,1
20230106,8.79,8.79,8.79,8.79,0
20230109,8.79,8.79,8.79,8.79,0
20230110,8.79,8.79,8.79,8.79,0
20230111,8.79,8.79,8.79,8.79,0
20230112,8.9,8.91,8.9,8.91,9
20230113,8.91,8.91,8.91,8.91,0
20230116,8.91,8.91,8.91,8.91,0
20230117,8.91,8.91,8.91,8.91,0
20230118,8.91,8.91,8.91,8.91,0
20230119,8.91,8.91,8.91,8.91,0
20230120,9.36,9.36,9.36,9.36,105
20230123,9.36,9.36,9.36,9.36,0
20230124,9.22,9.22,9.22,9.22,2169
20230125,9.05,9.05,9.05,9.05,65
20230127,9.05,9.05,9.05,9.05,0
20230130,9.05,9.05,9.05,9.05,0
20230131,9.05,9.05,9.05,9.05,0
20230201,9.76,9.76,9.75,9.75,71
20230202,9.75,9.75,9.75,9.75,0
20230203,9.75,9.75,9.75,9.75,0
20230206,9.75,9.75,9.75,9.75,0
20230207,9.75,9.75,9.75,9.75,0
20230208,9.75,9.75,9.75,9.75,55
20230209,9.75,9.75,9.75,9.75,1
20230210,9.75,9.75,9.75,9.75,0
20230213,9.75,9.75,9.75,9.75,0
20230214,9.75,9.75,9.75,9.75,0
20230215,9.75,9.75,9.75,9.75,52
20230216,9.75,9.75,9.75,9.75,0
20230217,9.75,9.75,9.75,9.75,0
20230220,10.3,10.3,10.3,10.3,205
20230221,10.3,10.3,10.3,10.3,0
20230222,10.3,10.3,10.3,10.3,0
20230223,10.3,10.3,10.3,10.3,0
20230224,10.3,10.3,10.3,10.3,0
20230227,10.3,10.3,10.3,10.3,0
20230228,10.3,10.3,10.3,10.3,0
20230301,10.3,10.3,10.3,10.3,0
20230302,10.5,10.52,10.5,10.52,126
20230303,10.52,10.52,10.52,10.52,0
20230306,10.52,10.52,10.52,10.52,0
20230307,10.14,10.16,10.14,10.16,2
20230308,10.16,10.16,10.16,10.16,0
20230309,10.16,10.16,10.16,10.16,0
20230310,10.16,10.16,10.16,10.16,0
20230313,10.9,10.9,10.89,10.89,1388
20230314,10.89,10.89,10.89,10.89,0
20230315,10.89,10.89,10.89,10.89,0
20230316,10.89,10.89,10.89,10.89,0
20230317,9.93,9.93,9.8,9.8,2001
