Date,Open,High,Low,Close,Volume
20150626,23.57,23.58,23.56,23.56,1450
20150629,23.97,23.97,23.73,23.73,12625
20150630,23.27,23.36,23.23,23.26,12630
20150701,23.26,23.26,23.26,23.26,0
20150702,22.63,22.63,22.62,22.62,87
20150703,23.21,23.21,23.21,23.21,10
20150706,23.21,23.21,23.21,23.21,0
20150707,23.98,23.98,23.98,23.98,1230
20150708,22.94,23,22.94,23,629
20150709,22.85,22.85,22.85,22.85,660
20150710,22.79,22.82,22.79,22.82,1635
20150713,22.82,22.82,22.82,22.82,0
20150714,22.68,22.68,22.68,22.68,1200
20150715,22.55,22.6,22.54,22.54,1515
20150716,22.38,22.38,22.38,22.38,1300
20150717,22.18,22.18,22.18,22.18,500
20150720,20.87,20.87,20.87,20.87,500
20150721,19.05,19.16,19.05,19.16,1979
20150722,19.11,19.17,19.11,19.17,13811
20150723,19.21,19.27,19.19,19.26,4407
20150724,18.49,18.5,18.49,18.5,4000
20150727,19.36,19.38,19.36,19.36,5179
20150728,18.72,18.72,18.68,18.72,5125
20150729,18.72,18.76,18.72,18.76,3265
20150730,19.12,19.12,18.96,18.96,4075
20150731,18.53,18.53,18.53,18.53,2700
20150803,18.53,18.53,18.53,18.53,0
20150804,18.31,18.31,18.1,18.15,5798
20150805,18.02,18.15,18.02,18.15,1446
20150806,17.93,17.93,17.83,17.9,5332
20150807,17.9,17.9,17.9,17.9,0
20150810,18.14,18.23,18.13,18.23,1789
20150811,19.26,19.39,19.19,19.35,6906
20150812,19.84,20.03,19.81,20.03,9515
20150813,21.01,21.04,21.01,21.04,2193
20150814,19.9,19.93,19.85,19.93,5033
20150817,19.73,19.73,19.73,19.73,550
20150818,20.49,20.49,20.49,20.49,965
20150819,20.23,20.23,20.23,20.23,392
20150820,20.73,21,20.73,21,6453
20150821,21.73,21.99,21.6,21.96,20378
20150824,21.26,21.26,21.01,21.01,31328
20150825,19.72,19.75,19.7,19.72,15431
20150826,19.2,19.2,19.12,19.2,5279
20150827,18.41,18.55,18.41,18.48,8719
20150828,19.21,19.27,19.19,19.27,6000
20150831,19.8,19.93,19.77,19.87,10223
20150901,19.93,20.03,19.93,20.03,8321
20150902,19.57,19.57,19.53,19.53,2900
20150903,19.35,19.46,19.34,19.46,5079
20150904,19.13,19.13,19.13,19.13,156
20150907,19.39,19.4,19.39,19.4,1865
20150908,19.31,19.31,19.27,19.27,536
20150909,19.32,19.32,19.32,19.32,150
20150910,18.86,18.86,18.75,18.75,2133
20150911,18.66,18.68,18.66,18.68,3021
20150914,18.62,18.65,18.52,18.65,7783
20150915,18.31,18.42,18.31,18.42,6380
20150916,18.42,18.42,18.42,18.42,0
20150917,19.36,19.36,19.31,19.31,1300
20150918,19.89,19.89,19.85,19.87,265
20150921,20.09,20.09,19.9,20.06,11050
20150922,19.5,19.72,19.5,19.71,10613
20150923,18.92,18.98,18.9,18.98,1138
20150924,19,19.2,19,19.2,4586
20150925,20.21,20.21,20.07,20.08,16250
20150928,19.85,19.93,19.85,19.93,3736
20150929,19.27,19.31,19.27,19.31,675
20150930,19.18,19.28,19.18,19.26,1319
20151001,19.5,19.5,19.42,19.42,10619
20151002,19.18,19.18,19.18,19.18,1542
20151005,20.47,20.47,20.47,20.47,3200
20151006,21.29,21.4,21.27,21.27,4451
20151007,21.93,21.93,21.9,21.92,2067
20151008,21.67,21.67,21.58,21.62,6587
20151009,21.27,21.59,21.27,21.59,22821
20151012,22.27,22.3,22.14,22.29,16194
20151013,21.66,21.66,21.29,21.29,9400
20151014,21.92,22.15,21.89,22.15,90518
20151015,23.11,23.11,23,23,7482
20151016,22.99,23.14,22.98,23.07,9519
20151019,22.48,22.64,22.45,22.49,14671
20151020,21.82,21.82,21.54,21.54,26580
20151021,22.45,22.57,22.44,22.57,9670
20151022,21.91,21.96,21.9,21.91,5369
20151023,22.32,22.46,22.3,22.46,4131
20151026,22.84,22.85,22.82,22.83,4275
20151027,22.07,22.16,22.05,22.16,2627
20151028,22.53,22.63,22.53,22.63,9899
20151029,22.43,22.48,22.35,22.35,8710
20151030,21.44,21.44,21.4,21.43,6329
20151102,20.93,21.03,20.88,20.96,8452
20151103,21.04,21.12,21.02,21.06,15629
20151104,20.82,21.04,20.82,20.97,24836
20151105,20.54,20.7,20.54,20.67,68186
20151106,19.84,20,19.84,19.92,26258
20151109,19.2,19.4,19.13,19.34,27184
20151110,19.67,19.72,19.61,19.72,43433
20151111,19.18,19.36,19.17,19.33,21882
20151112,19.41,19.41,19.24,19.24,8058
20151113,19,19,18.87,18.93,8972
20151116,19.36,19.52,19.36,19.52,14075
20151117,19.46,19.46,19.33,19.33,7649
20151118,18.48,18.52,18.34,18.45,17834
20151119,18.45,18.45,18.45,18.45,0
20151120,19.43,19.43,19.4,19.4,2720
20151123,18.64,18.64,18.47,18.53,14559
20151124,18.57,18.64,18.57,18.6,3301
20151125,19.22,19.22,19.22,19.22,522
20151126,18.99,19.09,18.98,19.09,5600
20151127,19.1,19.1,19.1,19.1,1122
20151130,18.81,18.81,18.6,18.73,13513
20151201,19.1,19.26,19.1,19.25,24500
20151202,19.42,19.46,19.37,19.37,10000
20151203,18.96,19.05,18.92,18.92,13120
20151204,19.23,19.23,19.23,19.23,500
20151207,20.18,20.19,20.11,20.12,14146
20151208,19.49,19.62,19.43,19.62,21000
20151209,19.54,19.6,19.54,19.6,2752
20151210,19.75,19.75,19.6,19.68,6985
20151211,19.53,19.66,19.51,19.51,23090
20151214,20.05,20.05,19.95,20.05,16270
20151215,18.7,18.91,18.7,18.87,33483
20151216,18.96,19.08,18.95,19.08,20470
20151217,19.59,19.59,19.45,19.5,22048
20151218,18.83,18.84,18.83,18.84,1415
20151221,19.3,19.3,19.07,19.13,2021
20151222,19.28,19.28,19.28,19.28,500
20151223,19.05,19.06,19.05,19.06,3500
20151224,19.38,19.46,19.38,19.45,22100
20151229,19.12,19.14,19.12,19.14,5000
20151230,19.18,19.18,19.18,19.18,500
20151231,18.78,18.78,18.71,18.73,5083
20160104,18.73,18.73,18.73,18.73,0
20160105,18.73,18.73,18.73,18.73,0
20160106,19.51,19.51,19.36,19.5,30557
20160107,19.5,20.34,19.5,20.34,5185
20160108,21.28,21.28,20.91,20.91,3506
20160111,20.94,20.94,20.75,20.75,2921
20160112,19.96,20.05,19.96,20.04,15000
20160113,19.51,19.51,19.16,19.16,12754
20160114,19.16,19.16,19.16,19.16,0
20160115,18.87,19.03,18.87,18.99,22518
20160118,19.1,19.1,19.1,19.1,785
20160119,19.13,19.13,19.1,19.1,5677
20160120,18.8,18.8,17.99,18.45,10160
20160121,18.42,18.42,18.4,18.4,7500
20160122,18.53,18.53,18.3,18.44,13600
20160125,18.62,18.76,18.62,18.76,2206
20160127,19.8,19.88,19.8,19.88,3225
20160128,20.14,20.14,19.99,19.99,2550
20160129,19.39,19.6,19.32,19.6,2935
20160201,20.09,20.09,20.09,20.09,500
20160202,20.47,20.47,20.45,20.45,8300
20160203,20.36,20.4,20.29,20.31,21500
20160204,21.5,21.5,21.4,21.43,4117
20160205,21.52,22.44,20.15,22.44,25243
20160208,23.85,23.86,23.67,23.67,27421
20160209,24.71,25.13,24.58,25.1,65855
