Date,Open,High,Low,Close,Volume
20140502,19.68,19.68,19.67,19.68,35005
20140505,19.68,19.68,19.68,19.68,0
20140506,19.68,19.68,19.68,19.68,0
20140507,19.63,19.63,19.4,19.4,210
20140508,19.8,19.8,19.8,19.8,25000
20140509,19.79,19.88,19.77,19.84,1804
20140512,19.75,19.75,19.75,19.75,5000
20140513,20.21,20.21,20.08,20.08,20700
20140514,20.15,20.3,20.15,20.28,402
20140515,20.28,20.28,20.28,20.28,0
20140516,20.28,20.28,20.28,20.28,0
20140519,19.78,19.78,19.69,19.69,15900
20140520,19.53,19.68,19.38,19.68,61275
20140521,19.25,19.64,19.25,19.64,20700
20140522,20.21,20.21,20.21,20.21,10
20140523,20.35,20.36,20.35,20.36,20300
20140526,20.42,20.42,20.38,20.38,3557
20140527,20.56,20.56,20.46,20.46,11439
20140528,20.46,20.46,20.46,20.46,0
20140529,20.45,20.54,20.45,20.54,20975
20140530,20.5,20.5,20.3,20.3,10950
20140602,20.44,20.44,20.44,20.44,150
20140603,20.1,20.1,20.1,20.1,500
20140604,20.1,20.1,20.1,20.1,0
20140605,19.56,19.56,19.56,19.56,20000
20140606,19.56,19.56,19.56,19.56,0
20140610,20.18,20.18,20.15,20.15,20100
20140611,20.15,20.15,20.15,20.15,0
20140612,19.67,19.71,19.67,19.7,1510
20140613,19.21,19.34,19.19,19.34,23100
20140616,19.34,19.34,19.34,19.34,0
20140617,19.3,19.45,19.3,19.45,1000
20140618,19.38,19.38,19.38,19.38,154
20140619,20,20,20,20,2500
20140620,19.8,19.8,19.76,19.76,22500
20140623,19.89,19.89,19.87,19.87,325
20140624,19.74,19.74,19.57,19.57,435
20140625,19.3,19.33,19.3,19.33,2750
20140626,19.33,19.33,19.33,19.33,0
20140627,19.88,19.88,19.88,19.88,251
20140630,19.63,19.63,19.58,19.58,3100
20140701,19.48,19.53,19.26,19.26,20675
20140702,19.78,19.78,19.74,19.74,12605
20140703,20.05,20.18,20.05,20.18,10200
20140704,20.18,20.18,20.18,20.18,0
20140707,20.57,20.57,20.43,20.43,6000
20140708,20.36,20.43,20.36,20.43,6074
20140709,19.8,19.8,19.8,19.8,270
20140710,19.89,19.89,19.89,19.89,8
20140711,20.17,20.17,20.17,20.17,200
20140714,20.39,20.39,20.39,20.39,510
20140715,20.5,20.5,20.27,20.27,1365
20140716,20.3,20.3,20.3,20.3,1250
20140717,20.74,20.74,20.63,20.63,2232
20140718,20.15,20.15,20.15,20.15,744
20140721,20.6,20.6,20.56,20.56,65000
20140722,20.53,20.6,20.53,20.6,9243
20140723,20.8,21.1,20.8,20.86,24378
20140724,20.92,20.92,20.92,20.92,500
20140725,20.95,20.95,20.83,20.83,1950
20140728,20.75,20.8,20.75,20.8,3939
20140729,20.88,21.02,20.88,21.02,1095
20140730,21.02,21.02,21.02,21.02,0
20140731,21.38,21.38,21.35,21.35,275
20140801,20.65,20.65,20.6,20.6,940
20140804,20.55,20.56,20.49,20.52,33798
20140805,20.5,20.5,20.5,20.5,250
20140806,20.17,20.17,20.16,20.16,2896
20140807,20.16,20.16,20.16,20.16,0
20140808,19.56,19.56,19.56,19.56,10000
20140811,19.92,19.94,19.8,19.83,39143
20140812,20.27,20.27,20.27,20.27,101
20140813,20.33,20.36,20.28,20.28,2120
20140814,20.5,20.68,20.4,20.68,5744
20140815,20.7,20.84,20.7,20.84,599
20140818,20.84,20.84,20.84,20.84,0
20140819,21.34,21.34,21.34,21.34,620
20140820,21.34,21.48,21.34,21.48,37355
20140821,21.8,21.8,21.8,21.8,5
20140822,21.61,21.61,21.59,21.59,430
20140825,21.5,21.57,21.44,21.44,1285
20140826,21.47,21.47,21.44,21.44,6535
20140827,21.68,21.68,21.66,21.66,1045
20140828,21.6,21.6,21.53,21.53,8385
20140829,21.51,21.54,21.51,21.54,5581
20140901,21.83,21.83,21.62,21.62,1479
20140902,21.53,21.7,21.53,21.7,4235
20140903,21.7,21.7,21.7,21.7,0
20140904,21.83,21.83,21.83,21.83,10000
20140905,21.66,21.66,21.6,21.6,2630
20140908,21.55,21.55,21.32,21.32,850
20140909,21.42,21.46,21.42,21.46,1364
20140910,21.2,21.27,21.2,21.27,3295
20140911,21.51,21.95,21.13,21.13,29050
20140912,20.95,20.95,20.86,20.89,11000
20140915,20.55,20.58,20.45,20.45,16275
20140916,20.42,20.42,20.15,20.2,107432
20140917,20.29,20.31,19.85,19.85,29352
