Date,Open,High,Low,Close,Volume
20231206,20.72,20.81,20.72,20.81,2
20231207,20.77,20.77,20.77,20.77,3000
20231208,20.77,20.77,20.77,20.77,0
20231211,20.77,20.77,20.77,20.77,0
20231212,20.63,20.63,20.63,20.63,363
20231213,20.63,20.63,20.63,20.63,0
20231214,20.63,20.63,20.63,20.63,0
20231215,20.63,20.63,20.63,20.63,0
20231218,21.52,21.7,21.52,21.7,2147
20231219,21.7,21.7,21.7,21.7,0
20231220,21.71,21.71,21.67,21.67,931
20231221,21.95,21.95,21.95,21.95,45
20231222,21.91,21.93,21.86,21.9,1386
20231227,22.11,22.12,22.11,22.12,90
20231228,22.3,22.37,22.3,22.36,409
20231229,22.38,22.38,22.18,22.18,68
20240102,22.12,22.12,22.12,22.12,250
20240103,21.78,21.83,21.78,21.82,1795
20240104,21.91,21.91,21.86,21.86,7250
20240105,21.66,21.66,21.57,21.57,736
20240108,21.25,21.25,21.25,21.25,100
20240109,21.25,21.25,21.25,21.25,0
20240110,21.55,21.55,21.55,21.55,100
20240111,21.5,21.5,21.5,21.5,27
20240112,21.5,21.5,21.5,21.5,0
20240115,21.5,21.5,21.5,21.5,0
20240116,21.38,21.38,21.3,21.3,1899
20240117,21.3,21.3,21.3,21.3,0
20240118,21.3,21.3,21.3,21.3,0
20240119,20.76,20.76,20.69,20.69,1224
20240122,20.68,20.68,20.68,20.68,23
20240123,20.68,20.68,20.68,20.68,0
20240124,20.95,20.95,20.89,20.89,1090
20240125,20.89,20.89,20.89,20.89,0
20240129,20.89,20.89,20.89,20.89,0
20240130,21.31,21.36,21.31,21.36,1745
20240131,21.51,21.51,21.49,21.49,5000
20240201,22,22,22,22,72000
20240202,22,22,22,22,0
20240205,21.61,21.61,21.61,21.61,1
20240206,21.23,21.41,21.23,21.31,7080
20240207,21.31,21.31,21.31,21.31,0
20240208,21.31,21.31,21.31,21.31,0
20240209,21.31,21.31,21.31,21.31,0
20240212,21.31,21.31,21.31,21.31,0
20240213,21.31,21.31,21.31,21.31,0
20240214,20.77,20.77,20.76,20.76,4000
20240215,21.38,21.38,21.38,21.38,500
20240216,21.27,21.27,21.27,21.27,10343
20240219,21.25,21.25,21.24,21.24,3150
20240220,21.34,21.34,21.34,21.34,1
20240221,21.34,21.34,21.34,21.34,0
20240222,21.34,21.34,21.34,21.34,0
20240223,21.34,21.34,21.34,21.34,0
20240226,21.62,21.62,21.53,21.53,2421
20240227,21.54,21.54,21.54,21.54,335
20240228,21.54,21.54,21.54,21.54,0
20240229,21.58,21.58,21.58,21.58,697
20240301,21.58,21.58,21.58,21.58,0
20240304,21.58,21.58,21.58,21.58,0
20240305,21.58,21.58,21.58,21.58,0
20240306,21.58,21.58,21.58,21.58,0
20240307,21.58,21.58,21.58,21.58,0
20240308,21.58,21.58,21.58,21.58,0
20240311,21.58,21.58,21.58,21.58,0
20240312,22.29,22.29,22.26,22.26,226
20240313,22,22,22,22,1500
20240314,21.86,21.86,21.86,21.86,355
20240315,21.58,21.58,21.58,21.58,231
20240318,21.55,21.55,21.55,21.55,14
20240319,21.55,21.55,21.55,21.55,0
20240320,21.82,21.82,21.82,21.82,274
20240321,21.82,21.82,21.82,21.82,0
20240322,21.85,21.85,21.85,21.85,14
20240325,22.11,22.11,22.11,22.11,900
20240326,21.97,21.97,21.9,21.9,29
20240327,21.9,21.9,21.9,21.9,0
20240328,21.9,21.9,21.9,21.9,0
20240402,21.9,21.9,21.9,21.9,0
20240403,21.9,21.9,21.9,21.9,0
20240404,21.55,21.55,21.55,21.55,230
20240405,21.55,21.55,21.55,21.55,0
20240408,21.41,21.41,21.41,21.41,47
20240409,21.31,21.34,21.31,21.34,26
20240410,21.82,21.82,21.82,21.82,23
20240411,21.82,21.82,21.82,21.82,0
20240412,21,21,20.89,20.89,522
20240415,21.21,21.21,21.21,21.21,190
20240416,21.21,21.21,21.21,21.21,0
20240417,21.21,21.21,21.21,21.21,0
20240418,20.75,20.75,20.75,20.75,955
20240419,20.75,20.75,20.75,20.75,0
20240422,20.8,20.8,20.72,20.72,4
20240423,20.95,20.96,20.95,20.96,2
20240424,20.89,20.89,20.5,20.5,530
20240426,19.86,19.96,19.85,19.85,553
20240429,20.06,20.06,20.06,20.06,238
20240430,20.37,20.37,20.37,20.37,238
20240501,20.37,20.37,20.37,20.37,0
20240502,20.37,20.37,20.37,20.37,0
20240503,20.37,20.37,20.37,20.37,0
20240506,20.48,20.48,20.48,20.48,185
20240507,20.86,20.86,20.86,20.86,2
20240508,21.105,21.13,21.105,21.13,710
20240509,20.64,20.64,20.64,20.64,750
20240510,20.64,20.64,20.64,20.64,0
20240513,20.64,20.64,20.64,20.64,0
20240514,20.64,20.64,20.64,20.64,0
20240515,20.64,20.64,20.64,20.64,0
20240516,21.18,21.39,21.18,21.39,3773
20240517,21.33,21.33,21.33,21.33,25
20240520,21.19,21.25,21.18,21.25,1342
20240521,21.08,21.1,21.08,21.1,254
20240522,21.1,21.1,21.1,21.1,0
20240523,21.01,21.11,21.01,21.11,302
20240524,21.11,21.11,21.11,21.11,0
20240527,21.08,21.08,21.08,21.08,185
20240528,21.15,21.15,21.15,21.15,283
20240529,21.15,21.15,21.15,21.15,0
20240530,21.15,21.15,21.15,21.15,0
20240531,20.62,20.62,20.62,20.62,130
