Date,Open,High,Low,Close,Volume
20231206,20.56,20.56,20.56,20.56,1
20231207,20.56,20.56,20.56,20.56,0
20231208,20.56,20.56,20.56,20.56,0
20231211,20.3,20.3,20.3,20.3,3475
20231212,20.4,20.4,20.4,20.4,450
20231213,20.4,20.4,20.4,20.4,0
20231214,21.24,21.49,21.23,21.49,5303
20231215,21.54,21.54,21.54,21.54,500
20231218,21.7,21.7,21.7,21.7,1383
20231219,21.7,21.7,21.7,21.7,0
20231220,21.76,21.76,21.76,21.76,1
20231221,21.76,21.76,21.76,21.76,0
20231222,21.79,21.79,21.79,21.79,500
20231227,21.79,21.79,21.79,21.79,0
20231228,21.79,21.79,21.79,21.79,0
20231229,21.79,21.79,21.79,21.79,0
20240102,21.79,21.79,21.79,21.79,0
20240103,21.41,21.52,21.41,21.52,1898
20240104,21.61,21.61,21.61,21.61,240
20240105,21.61,21.61,21.61,21.61,0
20240108,20.95,20.95,20.95,20.95,200
20240109,20.95,20.95,20.95,20.95,0
20240110,21.17,21.17,21.17,21.17,200
20240111,21.17,21.17,21.17,21.17,0
20240112,21.17,21.17,21.17,21.17,0
20240115,21.35,21.35,21.35,21.35,1000
20240116,21.35,21.35,21.35,21.35,0
20240117,21.35,21.35,21.35,21.35,0
20240118,21.35,21.35,21.35,21.35,0
20240119,21.35,21.35,21.35,21.35,0
20240122,21.35,21.35,21.35,21.35,0
20240123,20.8,20.8,20.8,20.8,932
20240124,20.8,20.8,20.8,20.8,0
20240125,20.8,20.8,20.8,20.8,0
20240129,20.8,20.8,20.8,20.8,0
20240130,20.8,20.8,20.8,20.8,0
20240131,20.8,20.8,20.8,20.8,0
20240201,20.8,20.8,20.8,20.8,0
20240202,20.8,20.8,20.8,20.8,0
20240205,20.8,20.8,20.8,20.8,0
20240206,20.66,20.66,20.66,20.66,125
20240207,20.9,20.9,20.9,20.9,480
20240208,20.79,20.79,20.79,20.79,139
20240209,20.53,20.55,20.53,20.55,2922
20240212,20.55,20.55,20.55,20.55,0
20240213,20.55,20.55,20.55,20.55,0
20240214,19.8,19.81,19.8,19.81,64
20240215,19.81,19.81,19.81,19.81,0
20240216,19.81,19.81,19.81,19.81,0
20240219,19.81,19.81,19.81,19.81,0
20240220,19.89,19.89,19.75,19.75,501
20240221,19.99,19.99,19.98,19.98,600
20240222,19.98,19.98,19.98,19.98,0
20240223,19.98,19.98,19.98,19.98,0
20240226,19.98,19.98,19.98,19.98,0
20240227,19.97,19.97,19.97,19.97,25
20240228,19.97,19.97,19.97,19.97,0
20240229,19.97,19.97,19.97,19.97,0
20240301,19.97,19.97,19.97,19.97,0
20240304,19.97,19.97,19.97,19.97,0
20240305,19.97,19.97,19.97,19.97,0
20240306,19.97,19.97,19.97,19.97,0
20240307,19.97,19.97,19.97,19.97,0
20240308,19.97,19.97,19.97,19.97,0
20240311,19.97,19.97,19.97,19.97,0
20240312,20.85,20.85,20.76,20.79,1018
20240313,20.79,20.79,20.79,20.79,0
20240314,20.4,20.4,20.25,20.25,2
20240315,19.96,19.96,19.96,19.96,100
20240318,19.85,19.85,19.85,19.85,250
20240319,19.77,19.77,19.77,19.77,260
20240320,19.92,19.92,19.92,19.92,300
20240321,19.92,19.92,19.92,19.92,0
20240322,20.14,20.14,20.14,20.14,8000
20240325,20.29,20.29,20.29,20.29,1475
20240326,20.29,20.29,20.29,20.29,0
20240327,20.17,20.17,20.17,20.17,330
20240328,20.17,20.17,20.16,20.16,7500
20240402,20.16,20.16,20.16,20.16,0
20240403,19.63,19.68,19.62,19.62,1109
20240404,19.66,19.66,19.55,19.58,5555
20240405,19.58,19.58,19.58,19.58,0
20240408,19.4,19.4,19.35,19.35,733
20240409,19.35,19.41,19.33,19.34,2026
20240410,19.6,19.66,19.6,19.66,3026
20240411,19.66,19.66,19.66,19.66,0
