Date,Open,High,Low,Close,Volume
20200512,24.96,24.96,24.96,24.96,4792
20200513,25.08,25.08,25,25.05,5032
20200514,25.17,25.17,25.16,25.16,2340
20200515,25.17,25.18,25.16,25.16,935
20200518,25.09,25.09,25.09,25.09,796
20200519,24.86,24.86,24.86,24.86,2456
20200520,24.86,24.86,24.86,24.86,0
20200521,24.86,24.86,24.86,24.86,0
20200522,24.86,24.86,24.86,24.86,0
20200525,25.05,25.11,25.05,25.11,2300
20200526,25.12,25.12,25.1,25.1,76
20200527,25.1,25.1,25.1,25.1,0
20200528,24.93,24.93,24.8,24.8,2525
20200529,24.8,24.8,24.8,24.8,0
20200601,25.03,25.03,24.88,24.88,70
20200602,24.86,24.87,24.85,24.85,1678
20200603,24.8,24.8,24.75,24.75,1500
20200604,24.57,24.57,24.57,24.57,800
20200605,24.57,24.57,24.57,24.57,0
20200609,24.37,24.37,24.37,24.37,97
20200610,24.37,24.37,24.37,24.37,0
20200611,24.37,24.37,24.37,24.37,0
20200612,25.02,25.03,25,25,1224
20200615,24.93,24.93,24.93,24.93,140
20200616,24.93,24.93,24.93,24.93,0
20200617,24.84,24.84,24.84,24.84,100
20200618,24.84,24.84,24.84,24.84,0
20200619,24.87,24.87,24.86,24.86,371
20200622,24.82,24.82,24.82,24.82,25
20200623,24.82,24.82,24.82,24.82,0
20200624,24.82,24.82,24.82,24.82,0
20200625,24.89,24.9,24.89,24.9,1190
20200626,24.96,24.96,24.96,24.96,600
20200629,25.1,25.1,25.1,25.1,1000
20200630,25,25,25,25,400
20200701,24.4,24.4,24.4,24.4,250
20200702,24.44,24.44,24.44,24.44,21
20200703,24.27,24.28,24.27,24.28,420
20200706,24.28,24.28,24.28,24.28,0
20200707,24.28,24.28,24.28,24.28,0
20200708,24.28,24.28,24.28,24.28,0
20200709,24.46,24.58,24.46,24.58,1540
20200710,24.58,24.58,24.58,24.58,0
20200713,24.56,24.56,24.56,24.56,100
20200714,24.56,24.56,24.56,24.56,0
20200715,24.56,24.56,24.56,24.56,0
