Date,Open,High,Low,Close,Volume
20150818,10.02,10.02,10.02,10.02,200
20150819,9.94,9.94,9.94,9.94,100
20150820,9.94,9.94,9.94,9.94,0
20150821,9.94,9.94,9.94,9.94,0
20150824,8.41,8.43,8.41,8.41,121510
20150825,7.76,7.98,7.66,7.66,192958
20150826,7.29,7.71,7.29,7.69,9419
20150827,8.21,8.21,8.01,8.05,18088
20150828,8.55,8.55,8.41,8.41,1510
20150831,8.29,8.34,8.26,8.31,14302
20150901,8.15,8.15,7.99,8,17111
20150902,7.92,8,7.92,8,9733
20150903,8.16,8.16,8.11,8.11,3400
20150904,8.04,8.04,7.94,7.94,6190
20150907,7.9,7.9,7.86,7.86,1100
20150908,7.99,8.03,7.99,8.03,8500
20150909,8.42,8.42,8.41,8.41,12000
20150910,7.99,8.08,7.99,8.07,11050
20150911,8.07,8.07,8.07,8.07,0
20150914,8.31,8.31,8.26,8.28,11491
20150915,8.28,8.28,8.28,8.28,0
20150916,8.37,8.37,8.37,8.37,12000
20150917,8.55,8.58,8.55,8.56,7648
20150918,8.44,8.52,8.44,8.52,44200
20150921,8.52,8.52,8.52,8.52,0
20150922,8.33,8.33,8.33,8.33,3200
20150923,7.94,7.94,7.88,7.9,13537
20150924,8.01,8.01,7.92,7.92,10746
20150925,8.06,8.06,7.97,7.97,160000
20150928,7.8,7.9,7.8,7.89,20875
20150929,7.44,7.47,7.4,7.47,26925
20150930,7.45,7.48,7.45,7.48,23600
20151001,7.77,8.01,7.77,7.99,7177
20151002,7.99,7.99,7.99,7.99,0
20151005,8.1,8.13,8.1,8.13,4150
20151006,8.42,8.44,8.42,8.44,17700
20151007,8.35,8.35,8.32,8.32,10982
20151008,8.45,8.45,8.45,8.45,1000
20151009,8.74,8.74,8.74,8.74,600
20151012,8.71,8.71,8.71,8.71,625
20151013,8.71,8.71,8.71,8.71,0
20151014,8.71,8.71,8.71,8.71,0
20151015,8.71,8.71,8.71,8.71,0
20151016,8.85,8.85,8.85,8.85,1631
20151019,8.89,8.89,8.89,8.89,133
20151020,8.89,8.89,8.89,8.89,0
20151021,8.89,8.89,8.89,8.89,0
20151022,8.89,8.89,8.89,8.89,0
20151023,8.89,8.89,8.89,8.89,0
20151026,9.29,9.29,9.25,9.28,57891
20151027,9.27,9.28,9.21,9.21,21867
20151028,9.21,9.21,9.21,9.21,0
20151029,9.45,9.45,9.42,9.43,46162
20151030,9.54,9.54,9.52,9.52,1715
20151102,9.28,9.28,9.28,9.28,1250
20151103,9.28,9.28,9.28,9.28,0
20151104,9.28,9.28,9.28,9.28,0
20151105,9.59,9.59,9.57,9.57,2405
20151106,9.57,9.57,9.57,9.57,0
20151109,9.55,9.55,9.55,9.55,1000
20151110,9.38,9.38,9.38,9.38,157
20151111,9.4,9.4,9.4,9.4,10000
20151112,9.31,9.38,9.31,9.38,8985
20151113,9.09,9.1,9.08,9.08,5920
20151116,8.74,8.75,8.74,8.75,44874
20151117,9.13,9.18,9.13,9.18,4700
20151118,9.14,9.14,9.14,9.14,22110
20151119,9.43,9.43,9.43,9.43,4670
20151120,9.41,9.41,9.4,9.4,11626
20151123,9.4,9.4,9.4,9.4,0
20151124,9.46,9.46,9.46,9.46,214
20151125,9.46,9.5,9.46,9.5,4823
20151126,9.5,9.5,9.5,9.5,0
20151127,9.5,9.5,9.5,9.5,0
20151130,9.5,9.5,9.5,9.5,0
20151201,9.47,9.54,9.47,9.54,10320
20151202,9.59,9.62,9.58,9.59,7811
20151203,9.42,9.43,9.38,9.41,10755
20151204,9.18,9.19,9.17,9.19,4047
20151207,9.44,9.46,9.44,9.46,17000
20151208,9.4,9.4,9.4,9.4,5330
20151209,9.23,9.26,9.23,9.26,124
20151210,9.07,9.07,9.07,9.07,320
