Date,Open,High,Low,Close,Volume
20240423,25.22,25.23,25.11,25.22,6238
20240424,25.49,25.49,25.4,25.4,922
20240426,25.16,25.18,25.08,25.1,6842
20240429,25.32,25.32,25.24,25.24,140
20240430,25.28,25.34,25.25,25.34,241
20240501,25.04,25.09,24.98,25,8401
20240502,24.99,25.06,24.99,25,2505
20240503,25.17,25.19,25.09,25.17,1176
20240506,25.4,25.4,25.23,25.35,3242
20240507,25.62,25.77,25.6,25.68,7104
20240508,25.95,25.95,25.82,25.87,1689
20240509,25.89,25.89,25.72,25.73,3437
20240510,25.91,25.91,25.85,25.9,1870
20240513,25.89,25.94,25.87,25.93,7306
20240514,25.92,25.92,25.85,25.89,2807
20240515,26.02,26.02,25.95,25.96,1336
20240516,26.31,26.42,26.23,26.42,392
20240517,26.26,26.3,26.2,26.21,2854
20240520,26.28,26.32,26.28,26.3,1444
20240521,26.29,26.4,26.29,26.38,2059
20240522,26.43,26.44,26.35,26.35,3878
20240523,26.32,26.43,26.27,26.43,3590
20240524,26.1,26.1,26.04,26.05,3470
20240527,26.21,26.21,26.15,26.21,1044
20240528,26.25,26.25,26.16,26.16,758
20240529,26.01,26.03,25.84,25.9,10270
20240530,25.6,25.61,25.6,25.61,92
20240531,25.65,25.65,25.59,25.61,3042
20240603,26.05,26.06,25.94,25.99,299
20240604,25.9,25.94,25.86,25.91,1978
20240605,26.01,26.04,25.98,26,731
20240606,26.38,26.38,26.28,26.37,631
20240607,26.4,26.43,26.35,26.41,611
20240611,26.47,26.47,26.26,26.33,1251
20240612,26.26,26.26,26.16,26.17,1222
20240613,26.46,26.46,26.4,26.4,587
20240614,26.4,26.4,26.32,26.34,469
20240617,26.35,26.39,26.3,26.3,278
20240618,26.48,26.61,26.48,26.57,337
20240619,26.59,26.59,26.44,26.44,436
20240620,27.1,27.1,26.5,26.56,1353
20240621,26.57,26.57,26.41,26.53,1877
20240624,26.6,26.6,26.34,26.41,7916
20240625,26.47,26.59,26.47,26.59,676
20240626,26.51,26.57,26.43,26.46,2367
20240627,26.37,26.37,26.22,26.36,4489
20240628,26.7,26.75,26.65,26.66,3074
20240701,26.7,26.7,26.09,26.12,4488
20240702,26.18,26.18,26.11,26.17,21300
20240703,26.3,26.3,26.24,26.24,2343
20240704,26.52,26.52,26.44,26.51,657
20240705,26.6,26.6,26.42,26.42,381
20240708,26.48,26.48,26.33,26.4,3254
20240709,26.51,26.61,26.5,26.59,415
20240710,26.55,26.55,26.42,26.51,2642
20240711,26.89,26.89,26.79,26.87,1744
20240712,26.87,26.93,26.82,26.87,3797
20240715,27.08,27.16,27.04,27.1,1807
20240716,27.16,27.2,27.13,27.2,9177
20240717,27.38,27.44,27.37,27.39,8763
20240718,27.2,27.63,27.07,27.08,7546
20240719,26.84,26.84,26.73,26.82,1438
20240722,26.7,26.71,26.54,26.71,5398
20240723,27.02,27.05,27,27.01,1999
20240724,26.96,26.97,26.87,26.93,2924
20240725,26.63,26.67,26.49,26.49,5130
20240726,26.56,26.6,26.46,26.52,1523
20240729,26.93,26.99,26.9,26.98,1309
20240730,26.66,26.76,26.58,26.69,5800
