Date,Open,High,Low,Close,Volume
20211129,3.28,3.29,3.26,3.29,37484
20211130,3.3,3.33,3.3,3.33,161904
20211201,3.29,3.29,3.27,3.28,5173
20211202,3.28,3.28,3.28,3.28,0
20211203,3.28,3.28,3.28,3.28,11333
20211206,3.3,3.3,3.3,3.3,1000
20211207,3.33,3.33,3.33,3.33,25200
20211208,3.33,3.33,3.33,3.33,0
20211209,3.33,3.33,3.33,3.33,0
20211210,3.33,3.33,3.33,3.33,0
20211213,3.37,3.37,3.37,3.37,1483
20211214,3.36,3.36,3.35,3.36,31281
20211215,3.36,3.36,3.36,3.36,0
20211216,3.36,3.36,3.36,3.36,0
20211217,3.36,3.36,3.36,3.36,0
20211220,3.33,3.33,3.33,3.33,3000
20211221,3.33,3.33,3.33,3.33,0
20211222,3.34,3.35,3.34,3.35,3019
20211223,3.38,3.38,3.38,3.38,1500
20211224,3.38,3.38,3.38,3.38,3000
20211229,3.38,3.38,3.38,3.38,0
20211230,3.38,3.38,3.38,3.38,0
20211231,3.38,3.38,3.38,3.38,0
20220104,3.44,3.44,3.44,3.44,200
20220105,3.47,3.47,3.47,3.47,2300
20220106,3.47,3.47,3.47,3.47,0
20220107,3.46,3.46,3.46,3.46,434
20220110,3.45,3.45,3.45,3.45,173
20220111,3.45,3.45,3.45,3.45,0
20220112,3.41,3.41,3.4,3.4,73
20220113,3.41,3.41,3.41,3.41,138
20220114,3.41,3.41,3.41,3.41,0
20220117,3.41,3.41,3.41,3.41,0
20220118,3.41,3.41,3.41,3.41,0
20220119,3.41,3.41,3.41,3.41,0
20220120,3.41,3.41,3.41,3.41,0
20220121,3.41,3.41,3.41,3.41,0
20220124,3.3,3.3,3.3,3.3,285
20220125,3.21,3.21,3.21,3.21,590
20220127,3.27,3.27,3.27,3.27,450
20220128,3.27,3.27,3.27,3.27,0
20220131,3.27,3.27,3.27,3.27,0
20220201,3.27,3.27,3.27,3.27,0
20220202,3.3,3.3,3.29,3.29,5362
20220203,3.29,3.29,3.29,3.29,0
20220204,3.28,3.28,3.27,3.27,3369
20220207,3.27,3.27,3.27,3.27,0
20220208,3.27,3.27,3.27,3.27,0
20220209,3.27,3.27,3.27,3.27,0
20220210,3.27,3.27,3.27,3.27,0
20220211,3.27,3.27,3.27,3.27,0
20220214,3.27,3.27,3.27,3.27,0
20220215,3.29,3.29,3.29,3.29,200
20220216,3.37,3.37,3.37,3.37,15
20220217,3.39,3.39,3.39,3.39,1500
20220218,3.36,3.36,3.36,3.36,149
20220221,3.41,3.41,3.38,3.38,592
20220222,3.38,3.38,3.38,3.38,0
20220223,3.35,3.35,3.35,3.35,6000
20220224,3.32,3.32,3.28,3.28,27600
20220225,3.27,3.27,3.27,3.27,1525
20220228,3.27,3.27,3.27,3.27,0
20220301,3.27,3.27,3.27,3.27,0
20220302,3.27,3.27,3.27,3.27,0
20220303,3.27,3.27,3.27,3.27,0
20220304,3.27,3.27,3.27,3.27,0
20220307,3.27,3.27,3.27,3.27,0
20220308,3.2,3.2,3.2,3.2,305
20220309,3.2,3.2,3.2,3.2,0
20220310,3.2,3.2,3.2,3.2,0
20220311,3.24,3.24,3.24,3.24,1552
20220314,3.24,3.24,3.24,3.24,0
20220315,3.24,3.24,3.24,3.24,0
20220316,3.31,3.31,3.31,3.31,139
20220317,3.35,3.37,3.35,3.37,5969
20220318,3.37,3.37,3.37,3.37,0
20220321,3.32,3.35,3.32,3.35,309
20220322,3.35,3.35,3.35,3.35,0
