Date,Open,High,Low,Close,Volume
20231102,24.69,24.69,24.64,24.66,20000
20231103,24.66,24.66,24.64,24.64,16000
20231106,24.4,24.4,24.33,24.33,35000
20231107,24.3,24.3,24.26,24.26,312255
20231108,24.44,24.45,24.38,24.38,145164
20231109,24.28,24.28,24.28,24.28,110068
20231110,24.47,24.63,24.47,24.61,5375
20231113,24.43,24.43,24.29,24.29,22757
20231114,24.35,24.41,24.35,24.38,6221
20231115,24.59,24.59,24.11,24.18,33745
20231116,24.2,24.2,24.2,24.2,2318
20231117,24.52,24.53,24.5,24.53,5203
20231120,24.25,24.26,24.14,24.14,17125
20231121,24.19,24.2,24.17,24.19,429108
20231122,24.31,24.35,24.31,24.35,1136
20231123,24.31,24.33,24.28,24.32,4696
20231124,24.25,24.27,24.22,24.27,85911
20231127,24.29,24.29,24.26,24.26,20001
20231128,24.34,24.38,24.3,24.33,140191
20231129,24.51,24.57,24.51,24.56,3499
20231130,24.68,24.68,24.6,24.6,2731
20231201,24.65,24.65,24.65,24.65,391
20231204,24.81,25.35,24.81,25.01,35700
20231205,24.49,24.73,24.49,24.66,490259
20231206,24.47,24.49,24.47,24.49,536
20231207,24.7,24.8,24.7,24.8,5297
20231208,24.56,24.57,24.52,24.52,10941
20231211,24.34,24.37,24.31,24.34,9374
20231212,24.15,24.15,24.06,24.06,6640
20231213,24.1,24.12,24.1,24.12,1263
20231214,24.21,24.21,24.13,24.16,2360
20231215,24.27,24.27,24.2,24.2,212
20231218,24.09,24.09,24.04,24.05,9508
20231219,24.14,24.14,24.02,24.05,5393
20231220,24.14,24.14,24.07,24.07,486
20231221,24.09,24.1,24.08,24.08,307
20231222,24.08,24.15,24.08,24.15,1020
20231227,24.18,24.18,24.08,24.08,15008
20231228,24.08,24.08,24.08,24.08,0
20231229,24.17,24.18,24.14,24.14,13435
20240102,24.14,24.14,24.14,24.14,31
20240103,24.38,24.38,24.34,24.38,1507
20240104,24.24,24.25,24.24,24.25,144
20240105,24.25,24.25,24.25,24.25,0
20240108,24.34,24.34,24.24,24.24,607
20240109,24.15,24.17,24.13,24.14,1452
20240110,24.21,24.21,24.16,24.16,255
20240111,24.16,24.16,24.11,24.11,4
20240112,24.21,24.21,24.2,24.2,499
20240115,24.49,24.52,24.49,24.52,9184
20240116,24.67,24.75,24.62,24.75,43426
20240117,24.75,24.75,24.75,24.75,0
20240118,24.5,24.51,24.43,24.45,11242
20240119,24.54,24.56,24.53,24.56,277
20240122,24.52,24.52,24.52,24.52,3
20240123,24.53,24.57,24.52,24.55,2801
20240124,24.58,24.58,24.58,24.58,2
20240125,24.49,24.49,24.47,24.48,3690
