Date,Open,High,Low,Close,Volume
20230522,24.7,24.7,24.69,24.69,2500
20230523,24.69,24.69,24.69,24.69,0
20230524,24.69,24.69,24.69,24.69,0
20230525,24.69,24.69,24.69,24.69,0
20230526,24.69,24.69,24.69,24.69,0
20230529,24.17,24.17,24.17,24.17,1667
20230530,24.2,24.21,24.2,24.21,226
20230531,24.21,24.21,24.21,24.21,0
20230601,24.27,24.27,24.27,24.27,7000
20230602,24.17,24.17,24.17,24.17,21
20230605,24.44,24.44,24.44,24.44,500
20230606,24.44,24.44,24.44,24.44,0
20230607,24.44,24.44,24.44,24.44,0
20230608,24.64,24.64,24.64,24.64,10
20230609,24.64,24.64,24.64,24.64,535347
20230613,24.64,24.64,24.64,24.64,0
20230614,24.46,24.46,24.46,24.46,1621
20230615,24.46,24.46,24.46,24.46,0
20230616,24.46,24.46,24.46,24.46,0
20230619,24.46,24.46,24.46,24.46,0
20230620,24.46,24.46,24.46,24.46,0
20230621,24.74,24.74,24.74,24.74,300
20230622,24.65,24.65,24.54,24.54,870
20230623,24.54,24.54,24.54,24.54,0
20230626,24.22,24.22,24.22,24.22,49
20230627,24.4,24.4,24.4,24.4,551
20230628,24.43,24.43,24.43,24.43,550
20230629,24.45,24.45,24.45,24.45,40
20230630,24.44,24.65,24.44,24.65,5200
20230703,24.47,24.47,24.39,24.39,4805
20230704,24.39,24.39,24.39,24.39,0
20230705,24.54,24.54,24.54,24.54,3950
20230706,24.54,24.54,24.54,24.54,0
20230707,24.54,24.54,24.54,24.54,0
20230710,24.54,24.54,24.54,24.54,0
20230711,24.54,24.54,24.54,24.54,0
20230712,24.54,24.54,24.54,24.54,0
20230713,24.65,24.65,24.65,24.65,3516
20230714,24.65,24.65,24.65,24.65,0
20230717,24.65,24.65,24.65,24.65,0
20230718,24.34,24.34,24.33,24.34,4648
20230719,24.28,24.28,24.28,24.28,41
20230720,24.6,24.6,24.53,24.53,129
20230721,24.7,24.7,24.7,24.7,40
20230724,24.84,24.84,24.84,24.84,4000
20230725,24.89,24.89,24.89,24.89,28179
20230726,25.01,25.01,24.86,24.86,42
20230727,24.86,24.86,24.86,24.86,0
20230728,24.86,24.86,24.86,24.86,50326
20230731,24.67,24.68,24.67,24.68,1681474
20230801,24.77,24.77,24.65,24.65,17
20230802,24.65,24.65,24.44,24.54,6713
20230803,24.5,24.5,24.5,24.5,20
20230804,24.2,24.2,24.06,24.06,23
20230807,24.2,24.2,23.92,24.01,38970
20230808,24.01,24.01,24.01,24.01,0
20230809,24,24,23.88,23.88,12
20230810,23.88,23.88,23.88,23.88,0
20230811,23.88,23.88,23.88,23.88,0
20230814,24.2,24.2,24.2,24.2,4000
20230815,24.2,24.2,24.2,24.2,0
20230816,23.62,23.71,23.62,23.71,1381
20230817,23.71,23.71,23.71,23.71,0
20230818,23.62,23.62,23.5,23.5,293
20230821,23.5,23.5,23.5,23.5,0
20230822,23.5,23.5,23.5,23.5,0
20230823,23.44,23.44,23.44,23.44,375
20230824,23.44,23.44,23.44,23.44,0
20230825,23.44,23.44,23.44,23.44,0
20230828,23.44,23.44,23.44,23.44,0
20230829,23.44,23.44,23.44,23.44,0
20230830,23.7,23.7,23.7,23.7,26586
20230831,23.83,23.83,23.83,23.83,8552
20230901,23.65,23.65,23.65,23.65,22470
20230904,23.63,23.63,23.63,23.63,1
20230905,23.63,23.63,23.63,23.63,0
20230906,23.63,23.63,23.63,23.63,0
20230907,23.22,23.22,23.22,23.22,1166069
20230908,23.4,23.4,23.35,23.35,1887
20230911,23.46,23.5,23.46,23.5,467
20230912,23.51,23.51,23.47,23.51,4823
20230913,23.63,23.63,23.54,23.63,7731
20230914,24,24.03,23.62,23.62,3538
20230915,23.91,23.98,23.9,23.98,5811
20230918,23.99,23.99,23.97,23.99,2240
20230919,23.8,23.87,23.79,23.79,7320
20230920,23.735,23.735,23.72,23.73,588
20230921,23.82,23.82,23.72,23.8,585
20230922,23.72,23.72,23.39,23.51,2535
20230925,23.44,23.44,23.35,23.37,800
20230926,23.28,23.32,23.23,23.23,868
20230927,22.98,23,22.9,23,384531
20230928,22.77,22.78,22.71,22.76,120116
20230929,22.75,22.75,22.45,22.53,1999
20231002,22.615,22.62,22.57,22.57,34
20231003,21.96,21.96,21.85,21.94,129927
20231004,21.79,21.87,21.74,21.74,5285
20231005,21.73,21.85,21.73,21.84,10774
20231006,21.89,21.89,21.85,21.87,2889
20231009,21.68,21.68,21.68,21.68,3276
20231010,22.02,22.02,21.98,21.98,666
20231011,22.23,22.23,22.23,22.23,879
20231012,22.59,22.61,22.56,22.59,48012
20231013,22.41,22.41,22.38,22.38,224
20231016,22.48,22.48,22.39,22.45,1103
20231017,22.6,22.6,22.49,22.49,81243
20231018,22.45,22.52,22.45,22.5,36591
20231019,22.25,22.29,22.23,22.29,971
20231020,22.11,22.11,22.04,22.04,9009
20231023,21.95,21.96,21.95,21.96,588
20231024,21.85,21.85,21.73,21.77,2123
20231025,21.94,22.02,21.94,21.98,525
20231026,22.08,22.08,21.96,21.96,844
20231027,22.18,22.23,22.18,22.23,368
20231030,22,22.02,21.87,21.87,9767
20231031,22.08,22.08,22.01,22.01,6939
20231101,22.24,22.25,22.24,22.24,12403
20231102,22.51,22.51,22.47,22.47,15543
20231103,22.91,22.99,22.91,22.96,51453
20231106,23.15,23.15,23.12,23.15,1240
20231107,22.98,22.98,22.95,22.95,4609
20231108,22.84,22.84,22.84,22.84,638
20231109,22.78,22.78,22.78,22.78,446
20231110,22.64,22.69,22.64,22.69,243
20231113,22.65,22.65,22.64,22.64,418
20231114,22.81,22.82,22.65,22.68,87014
20231115,23.27,23.27,23.18,23.2,19536
20231116,23.2,23.27,23.2,23.27,2266
20231117,23.41,23.41,23.36,23.38,667
20231120,23.43,23.43,23.43,23.43,344
20231121,23.45,23.45,23.45,23.45,24
20231122,23.42,23.48,23.42,23.48,4240
20231123,23.54,23.54,23.47,23.48,1181
20231124,23.5,23.52,23.49,23.52,2301
20231127,23.5,23.5,23.49,23.49,267
20231128,23.58,23.58,23.535,23.56,487
20231129,23.57,23.67,23.57,23.67,4005
20231130,23.63,23.63,23.56,23.56,1446
20231201,23.74,23.79,23.74,23.77,946
20231204,24,24,23.93,23.93,7754
20231205,23.92,23.97,23.9,23.97,12976
20231206,23.81,23.94,23.81,23.93,3490
20231207,23.98,24.12,23.98,24.12,13084
20231208,24.13,24.15,24.1,24.1,10044
20231211,24.15,24.16,24.12,24.16,545520
20231212,24.12,24.12,24.1,24.1,43831
20231213,24.08,24.09,23.98,23.98,14004
20231214,24.34,24.65,24.34,24.59,31720
20231215,24.59,24.59,24.49,24.53,45502
20231218,24.19,24.3,24.19,24.22,5770
20231219,24.14,24.15,24.1,24.11,2096
20231220,24.19,24.31,24.19,24.24,2454
20231221,24.01,24.07,24.01,24.03,8225
20231222,24.09,24.16,24.09,24.1,2151
20231227,24.3,24.3,24.22,24.22,2435
20231228,24.35,24.37,24.35,24.37,224
20231229,24.39,24.39,24.39,24.39,5000
20240102,24.37,24.37,24.37,24.37,659
20240103,24.48,24.51,24.47,24.49,18268
20240104,26,26,24.43,24.43,2307
20240105,24.45,24.46,24.45,24.45,280
20240108,24.33,24.35,24.31,24.31,2045
20240109,24.47,24.47,24.43,24.43,448
20240110,24.49,24.49,24.39,24.45,16065
20240111,24.44,24.5,24.44,24.5,3762
20240112,24.21,24.21,24.13,24.13,2551
20240115,24.23,24.27,24.23,24.25,2247
20240116,24.2,24.23,24.16,24.16,2665
20240117,24,24.05,23.99,23.99,36165
20240118,23.63,23.66,23.63,23.64,1084483
20240119,23.53,23.55,23.51,23.55,90192
20240122,23.55,23.62,23.53,23.6,13603
20240123,23.58,23.58,23.53,23.53,3355
20240124,23.65,23.65,23.49,23.54,114923
20240125,23.49,23.49,23.36,23.47,105920
20240129,23.63,23.73,23.63,23.73,40691
20240130,23.72,23.78,23.72,23.74,1071397
20240131,23.69,23.79,23.69,23.69,2754
