Date,Open,High,Low,Close,Volume
20220614,3.87,3.87,3.87,3.87,3875
20220615,3.87,3.87,3.87,3.87,0
20220616,3.87,3.87,3.87,3.87,0
20220617,3.87,3.87,3.87,3.87,0
20220620,3.87,3.87,3.87,3.87,0
20220621,3.87,3.87,3.87,3.87,0
20220622,3.84,3.84,3.84,3.84,31210
20220623,3.84,3.84,3.84,3.84,0
20220624,3.84,3.84,3.84,3.84,0
20220627,3.84,3.84,3.84,3.84,0
20220628,3.84,3.84,3.84,3.84,0
20220629,3.84,3.84,3.84,3.84,0
20220630,3.84,3.84,3.84,3.84,0
20220701,3.83,3.83,3.83,3.83,6500
20220704,3.83,3.83,3.83,3.83,0
20220705,3.85,3.85,3.85,3.85,3900
20220706,3.86,3.86,3.86,3.86,18653
20220707,3.86,3.86,3.86,3.86,0
20220708,3.86,3.86,3.86,3.86,0
20220711,3.86,3.86,3.86,3.86,0
20220712,3.86,3.86,3.86,3.86,0
20220713,3.86,3.86,3.86,3.86,0
20220714,3.86,3.86,3.86,3.86,0
20220715,3.86,3.86,3.86,3.86,0
20220718,3.86,3.86,3.86,3.86,0
20220719,3.82,3.82,3.82,3.82,10475
20220720,3.82,3.82,3.82,3.82,0
20220721,3.83,3.83,3.83,3.83,6520
20220722,3.78,3.78,3.78,3.78,5270
20220725,3.78,3.78,3.78,3.78,0
20220726,3.78,3.78,3.78,3.78,0
20220727,3.78,3.78,3.78,3.78,0
20220728,3.78,3.78,3.78,3.78,0
20220729,3.85,3.85,3.85,3.85,7792
20220801,3.85,3.85,3.85,3.85,6500
20220802,3.85,3.85,3.85,3.85,0
20220803,3.85,3.85,3.85,3.85,0
20220804,3.87,3.87,3.87,3.87,52000
20220805,3.87,3.87,3.87,3.87,28750
20220808,3.87,3.87,3.87,3.87,0
20220809,3.88,3.88,3.88,3.88,19350
20220810,3.86,3.86,3.86,3.86,5175
20220811,3.85,3.85,3.85,3.85,6470
20220812,3.83,3.86,3.83,3.86,5500
20220815,3.86,3.86,3.86,3.86,0
20220816,3.95,3.95,3.95,3.95,2526
20220817,3.95,3.95,3.95,3.95,0
20220818,3.95,3.95,3.95,3.95,0
20220819,4,4,4,4,7591
20220822,4,4,4,4,0
20220823,4,4,4,4,0
20220824,4,4,4,4,0
20220825,3.88,3.88,3.88,3.88,100000
20220826,3.88,3.88,3.88,3.88,0
20220829,3.84,3.84,3.83,3.83,83385
20220830,3.83,3.83,3.83,3.83,0
20220831,3.83,3.83,3.83,3.83,0
20220901,3.79,3.79,3.79,3.79,77500
20220902,3.79,3.79,3.79,3.79,0
20220905,3.79,3.79,3.79,3.79,0
20220906,3.79,3.79,3.79,3.79,0
20220907,3.79,3.79,3.79,3.79,0
20220908,3.79,3.79,3.79,3.79,0
20220909,3.86,3.86,3.85,3.85,6380
20220912,3.85,3.85,3.85,3.85,0
20220913,3.93,3.93,3.93,3.93,7633
20220914,3.87,3.87,3.87,3.87,84
20220915,3.84,3.85,3.84,3.85,2667
20220916,3.84,3.84,3.84,3.84,67
20220919,3.81,3.81,3.81,3.81,3000
20220920,3.83,3.83,3.83,3.83,520
20220921,3.83,3.83,3.83,3.83,0
20220923,3.7,3.7,3.7,3.7,3000
20220926,3.67,3.67,3.64,3.64,3707
20220927,3.69,3.69,3.69,3.69,1632
20220928,3.68,3.68,3.68,3.68,2019
20220929,3.69,3.73,3.69,3.7,22616
20220930,3.66,3.67,3.66,3.67,6006
20221003,3.64,3.64,3.64,3.64,9500
20221004,3.75,3.8,3.75,3.77,11073
20221005,3.8,3.84,3.8,3.84,4930
20221006,3.82,3.83,3.81,3.83,3276
20221007,3.82,3.82,3.8,3.82,38926
20221010,3.82,3.82,3.82,3.82,0
20221011,3.82,3.82,3.82,3.82,2002
20221012,3.82,3.82,3.82,3.82,0
20221013,3.8,3.8,3.8,3.8,5507
20221014,3.86,3.86,3.86,3.86,2004
20221017,3.87,3.9,3.86,3.86,4057
20221018,3.86,3.86,3.86,3.86,0
20221019,3.86,3.86,3.86,3.86,0
20221020,3.92,3.92,3.88,3.88,7970
20221021,3.87,3.87,3.87,3.87,32300
20221024,3.9,3.9,3.84,3.87,13080
20221025,3.95,3.96,3.92,3.92,15567
20221026,3.92,3.92,3.92,3.92,47
20221027,3.92,3.92,3.92,3.92,0
20221028,3.92,3.92,3.92,3.92,0
20221031,3.97,3.97,3.97,3.97,33722
20221101,3.97,3.97,3.97,3.97,0
20221102,4.03,4.03,4.01,4.01,77021
20221103,4.01,4.01,4.01,4.01,0
20221104,4.01,4.01,4.01,4.01,0
20221107,4.06,4.06,4.06,4.06,19806
20221108,4.02,4.02,4.02,4.02,55435
20221109,4.02,4.02,4.02,4.02,986
20221110,4.02,4.02,4.02,4.02,0
20221111,4.02,4.02,4.02,4.02,0
20221114,4.02,4.02,4.02,4.02,0
20221115,4.02,4.02,4.02,4.02,0
20221116,4.02,4.02,4.02,4.02,0
20221117,4.01,4.01,4.01,4.01,27515
20221118,4.02,4.02,4.02,4.02,1245
20221121,4.05,4.05,4.05,4.05,24641
20221122,4.05,4.05,4.05,4.05,0
20221123,4.09,4.09,4.09,4.09,3997
20221124,4.08,4.08,4.07,4.07,72997
20221125,4.07,4.07,4.07,4.07,39580
20221128,4.07,4.07,4.07,4.07,0
20221129,4.07,4.07,4.07,4.07,0
20221130,4.1,4.1,4.1,4.1,1
20221201,4.12,4.12,4.12,4.12,8495
20221202,4.1,4.11,4.1,4.11,25953
20221205,4.1,4.1,4.1,4.1,9439
20221206,4.14,4.14,4.12,4.12,9021
20221207,4.11,4.11,4.11,4.11,24534
20221208,4.11,4.11,4.11,4.11,0
