Date,Open,High,Low,Close,Volume
20230602,24.47,24.47,24.47,24.47,3021
20230605,24.98,25.03,24.96,25.03,2011
20230606,24.87,24.87,24.87,24.87,2512
20230607,25.13,25.13,25.13,25.13,67
20230608,25.46,25.46,25.46,25.46,10
20230609,25.46,25.46,25.46,25.46,446444
20230613,25.16,25.16,25.16,25.16,1
20230614,25.16,25.16,25.16,25.16,0
20230615,25.16,25.16,25.16,25.16,0
20230616,25.16,25.16,25.16,25.16,0
20230619,25.33,25.33,25.33,25.33,1975
20230620,25.33,25.33,25.33,25.33,0
20230621,25.1,25.1,25.1,25.1,4
20230622,24.88,24.88,24.82,24.82,1000
20230623,24.51,24.51,24.5,24.5,3900
20230626,24.5,24.5,24.5,24.5,0
20230627,24.71,24.71,24.71,24.71,501
20230628,24.89,24.89,24.89,24.89,500
20230629,24.89,24.89,24.89,24.89,0
20230630,24.89,24.89,24.89,24.89,0
20230703,25,25.07,24.99,25.07,1510
20230704,25.27,25.27,25.27,25.27,3250
20230705,25.27,25.27,25.27,25.27,0
20230706,25.4,25.4,25.28,25.28,4
20230707,25.28,25.28,25.28,25.28,0
20230710,25.28,25.28,25.28,25.28,0
20230711,25.16,25.16,25.16,25.16,3528
20230712,25.16,25.16,25.16,25.16,0
20230713,25.16,25.16,25.16,25.16,0
20230714,25.16,25.16,25.16,25.16,0
20230717,25.16,25.16,25.16,25.16,0
20230718,25.76,25.76,25.76,25.76,4003
20230719,25.76,25.76,25.76,25.76,0
20230720,26,26,26,26,38
20230721,26,26,26,26,0
20230724,26,26,26,26,0
20230725,26.26,26.26,26.26,26.26,2881
20230726,26.27,26.27,26.27,26.27,38
20230727,26.27,26.27,26.27,26.27,0
20230728,26.27,26.27,26.27,26.27,0
20230731,25.81,25.81,25.78,25.78,40
20230801,25.83,25.83,25.83,25.83,5
20230802,25.73,25.73,25.6,25.69,4885
20230803,25.64,25.64,25.64,25.64,39168
20230804,25.7,25.7,25.5,25.5,63
20230807,25.23,25.32,25.23,25.32,750
20230808,25.32,25.32,25.32,25.32,0
20230809,25.36,25.37,25.29,25.29,41
20230810,25.29,25.29,25.29,25.29,0
20230811,25.29,25.29,25.29,25.29,0
20230814,25.32,25.32,25.29,25.29,4039
20230815,25.29,25.29,25.29,25.29,0
20230816,25.29,25.29,25.29,25.29,0
20230817,25.29,25.29,25.29,25.29,0
20230818,25.29,25.29,25.29,25.29,0
20230821,25.29,25.29,25.29,25.29,0
20230822,25.29,25.29,25.29,25.29,0
20230823,25.29,25.29,25.29,25.29,0
20230824,25.29,25.29,25.29,25.29,0
20230825,25.29,25.29,25.29,25.29,0
20230828,25.29,25.29,25.29,25.29,0
20230829,25.29,25.29,25.29,25.29,0
20230830,25.15,25.17,25.15,25.17,59
20230831,25.17,25.17,25.17,25.17,0
20230901,25.17,25.17,25.17,25.17,0
20230904,25.12,25.12,25.11,25.11,1313
20230905,26,26,26,26,2
20230906,24.88,24.88,24.87,24.87,4637
20230907,24.91,24.91,24.91,24.91,5
20230908,24.91,24.91,24.91,24.91,0
20230911,25,25,25,25,1
20230912,24.9,24.9,24.9,24.9,40
20230913,24.9,24.9,24.88,24.88,23
20230914,24.95,24.95,24.95,24.95,403
20230915,24.95,24.95,24.95,24.95,0
20230918,25.13,25.13,25.04,25.04,3623
20230919,26,26,25,25,3
20230920,25.2,25.2,24.73,24.73,49
20230921,24.82,24.82,24.82,24.82,1
20230922,24.18,24.19,24.12,24.12,44
20230925,24.05,24.08,24.05,24.08,207
20230926,23.83,23.89,23.83,23.89,43
