Date,Open,High,Low,Close,Volume
20221026,10.03,10.09,10.03,10.08,17492
20221027,10.08,10.08,10.08,10.08,0
20221028,10.08,10.08,10,10,25100
20221031,10,10,9.81,9.81,5500
20221101,9.83,9.87,9.83,9.85,20000
20221102,9.85,9.85,9.85,9.85,0
20221103,10.14,10.14,10.14,10.14,20
20221104,10.25,10.25,10.25,10.25,10
20221107,10.6,10.65,10.6,10.61,15060
20221108,10.79,10.79,10.77,10.77,97
20221109,10.77,10.93,10.77,10.93,485
20221110,10.93,10.93,10.74,10.74,812
20221111,11.03,11.06,10.98,11.05,20848
20221114,11.05,11.19,10.99,11.01,6436
20221115,11.02,11.02,10.7,10.7,2005
20221116,10.81,10.81,10.65,10.65,2583
20221117,10.68,10.68,10.45,10.45,5243
20221118,10.46,10.46,10.36,10.36,747
20221121,10.41,10.41,10.15,10.2,15783
20221122,10.2,10.2,10.2,10.2,0
20221123,10.2,10.2,10.2,10.2,0
20221124,10.34,10.34,10.34,10.34,206
20221125,10.36,10.36,10.27,10.29,31431
20221128,10.1,10.1,10.03,10.05,1017
20221129,10.14,10.16,10.14,10.16,11094
20221130,10.28,10.28,10.22,10.22,5177
20221201,10.66,10.66,10.48,10.56,164
20221202,10.54,10.64,10.38,10.5,27084
20221205,10.67,10.72,10.56,10.61,56312
20221206,10.69,10.69,10.46,10.62,23772
20221207,10.71,10.72,10.71,10.72,928
20221208,10.79,10.79,10.62,10.62,1242
20221209,10.7,10.7,10.7,10.7,1
20221212,10.7,10.7,10.7,10.7,0
20221213,10.5,10.5,10.42,10.49,2068
20221214,10.45,10.49,10.45,10.49,5373
20221215,10.51,10.51,10.51,10.51,1
20221216,10.55,10.56,10.33,10.33,211
20221219,10.33,10.33,10.33,10.33,0
20221220,10.33,10.33,10.2,10.2,513
20221221,10.25,10.27,10.21,10.21,634
20221222,10.16,10.22,10.16,10.21,3001
20221223,10.3,10.3,9.93,9.93,645
20221228,9.98,9.98,9.98,9.98,150
20221229,9.99,9.99,9.9,9.9,177
20221230,10.09,10.09,9.92,9.92,406
20230103,9.82,9.82,9.73,9.79,2089
20230104,9.89,9.89,9.87,9.87,15000
20230105,9.87,9.87,9.87,9.87,0
20230106,10.14,10.14,10.14,10.14,100
20230109,10.25,10.25,10.24,10.24,2502
20230110,10.3,10.33,10.3,10.3,11044
20230111,10.43,10.44,10.43,10.44,2754
20230112,10.52,10.52,10.5,10.51,13153
20230113,10.55,10.68,10.55,10.68,96
20230116,10.68,10.68,10.32,10.32,587
20230117,10.56,10.57,10.5,10.5,2351
20230118,10.63,10.63,10.63,10.63,13
20230119,10.7,10.7,10.66,10.66,11
20230120,10.81,10.81,10.81,10.81,48
20230123,10.81,10.81,10.81,10.81,0
20230124,11.02,11.02,10.95,10.95,112
20230125,10.97,11,10.97,11,245
20230127,11.05,11.07,11.05,11.07,91
20230130,11.08,11.08,11,11,192
20230131,10.94,10.94,10.94,10.94,10
20230201,10.94,10.94,10.94,10.94,0
20230202,11.07,11.07,11.07,11.07,10000
20230203,11.07,11.07,11.07,11.07,0
20230206,11.07,11.07,11.07,11.07,0
20230207,10.83,10.83,10.8,10.8,7066
20230208,10.8,10.8,10.8,10.8,0
20230209,10.82,10.82,10.82,10.82,2
20230210,10.78,10.78,10.78,10.78,2
20230213,10.6,10.6,10.56,10.56,194
20230214,10.5,10.65,10.5,10.65,210
20230215,10.67,10.67,10.67,10.67,1
20230216,10.49,10.49,10.49,10.49,21
20230217,10.49,10.49,10.49,10.49,10
20230220,10.46,10.46,10.34,10.4,229
20230221,10.4,10.4,10.4,10.4,0
20230222,10.42,10.44,10.42,10.44,2
20230223,10.33,10.33,10.33,10.33,1000
20230224,10.33,10.33,10.33,10.33,0
20230227,10.33,10.33,10.33,10.33,0
20230228,10.27,10.27,10.26,10.26,10275
20230301,10.28,10.3,10.25,10.3,4628
20230302,10.43,10.45,10.43,10.45,116
20230303,10.43,10.43,10.4,10.4,7944
20230306,10.53,10.53,10.53,10.53,49
20230307,10.32,10.32,10.31,10.31,95
20230308,10.29,10.29,10.29,10.29,100
20230309,10.29,10.29,10.29,10.29,0
20230310,10.35,10.35,10.29,10.29,197
20230313,10.29,10.29,9.99,9.99,199
20230314,9.87,9.88,9.82,9.82,2895
20230315,9.91,9.91,9.91,9.91,3018
20230316,9.67,9.67,9.67,9.67,10
20230317,9.67,9.67,9.63,9.63,1046
20230320,9.63,9.63,9.41,9.41,1451
20230321,9.41,9.41,9.41,9.41,0
20230322,9.41,9.41,9.41,9.41,0
20230323,9.41,9.41,9.41,9.41,0
20230324,9.41,9.41,9.41,9.41,0
20230327,9.91,9.91,9.68,9.68,556
20230328,9.68,9.68,9.68,9.68,0
20230329,9.68,9.68,9.68,9.68,0
20230330,9.9,9.98,9.9,9.95,5157
20230331,10.25,10.25,10.25,10.25,1000
20230403,10.5,10.5,10.01,10.01,121
20230404,10.02,10.02,9.98,9.98,1692
20230405,9.98,9.98,9.98,9.98,20
20230406,9.9,9.9,9.9,9.9,222
20230411,10,10.01,10,10.01,1545
20230412,10.12,10.13,10.05,10.05,15975
20230413,10.09,10.09,10.09,10.09,500
20230414,10.09,10.09,10.09,10.09,0
20230417,10.09,10.09,10.09,10.09,0
20230418,10.09,10.5,10.08,10.4,192433
20230419,10.4,10.4,10.4,10.4,0
20230420,10.5,10.5,10.21,10.21,1674
20230421,10.1,10.1,10.1,10.1,4971
20230424,10.1,10.1,9.79,9.79,242
20230426,9.79,9.79,9.79,9.79,0
20230427,9.79,9.79,9.79,9.79,0
20230428,9.79,9.79,9.79,9.79,0
20230501,9.79,9.79,9.79,9.79,0
20230502,9.8,9.8,9.8,9.8,203
20230503,9.71,9.71,9.71,9.71,250
20230504,9.68,9.68,9.68,9.68,11
20230505,9.68,9.68,9.62,9.62,112
20230508,9.74,9.74,9.74,9.74,49
20230509,9.83,9.91,9.82,9.91,3512
20230510,9.81,9.81,9.81,9.81,413
20230511,9.79,9.81,9.79,9.81,913
20230512,9.82,9.82,9.81,9.81,708
20230515,9.71,9.9,9.68,9.9,39750
20230516,9.9,9.9,9.9,9.9,0
20230517,9.86,9.86,9.85,9.85,350
20230518,9.84,10.1,9.84,10.03,122312
20230519,9.96,9.98,9.9,9.9,300
20230522,9.9,9.9,9.9,9.9,2
20230523,9.9,9.9,9.9,9.9,950
20230524,9.9,9.9,9.58,9.59,2044
20230525,9.6,9.67,9.52,9.52,2779
20230526,9.55,9.55,9.55,9.55,315150
20230529,9.71,9.71,9.58,9.58,135706
20230530,9.59,9.59,9.4,9.4,608
20230531,9.4,9.4,9.4,9.4,0
20230601,9.38,9.38,9.38,9.38,105
20230602,9.54,9.54,9.54,9.54,52
20230605,9.6,9.6,9.6,9.6,45000
20230606,9.6,9.6,9.6,9.6,0
20230607,9.57,9.57,9.5,9.5,115
20230608,9.5,9.51,9.5,9.51,3
20230609,9.44,9.54,9.44,9.54,4135
20230613,9.54,9.54,9.35,9.35,17544
20230614,9.55,9.56,9.4,9.56,1325
20230615,9.56,9.56,9.56,9.56,4
20230616,9.58,9.58,9.55,9.55,358
20230619,9.56,9.56,9.56,9.56,4
20230620,9.4,9.44,9.38,9.44,15686
20230621,9.44,9.44,9.44,9.44,0
20230622,9.45,9.45,9.35,9.35,48
20230623,9.35,9.35,9.32,9.32,821
20230626,9.27,9.27,9.27,9.27,525
20230627,9.36,9.36,9.36,9.36,45
20230628,9.36,9.36,9.36,9.36,0
20230629,9.4,9.4,9.36,9.36,10586
20230630,9.36,9.36,9.36,9.36,0
20230703,9.3,9.35,9.3,9.35,59
20230704,9.35,9.35,9.35,9.35,0
20230705,9.54,9.54,9.54,9.54,6
20230706,9.54,9.54,9.54,9.54,0
20230707,9.5,9.61,9.35,9.61,2366
20230710,9.61,9.61,9.42,9.42,27
20230711,9.46,9.46,9.46,9.46,1
20230712,9.47,9.47,9.47,9.47,5
20230713,9.56,9.56,9.56,9.56,53
20230714,9.66,9.66,9.66,9.66,103
20230717,9.64,9.64,9.56,9.56,106
20230718,9.55,9.55,9.5,9.5,420
20230719,9.5,9.5,9.5,9.5,0
20230720,9.51,9.53,9.51,9.53,5374
20230721,9.53,9.53,9.53,9.53,5
20230724,9.52,9.52,9.5,9.5,326
