Date,Open,High,Low,Close,Volume
20200910,20.05,20.05,20,20,5752
20200911,20,20,19.89,19.93,2927
20200914,20,20.07,20,20.03,19898
20200915,20.06,20.06,19.98,19.98,1718
20200916,20.19,20.19,20.16,20.16,4657
20200917,20.16,20.16,19.95,19.95,2121
20200918,19.95,19.95,19.95,19.95,534
20200921,19.97,19.97,19.8,19.8,2504
20200922,19.8,19.8,19.75,19.75,11156
20200923,20.03,20.14,20.03,20.13,787
20200924,20.13,20.15,20.06,20.1,861
20200925,20.18,20.18,20.18,20.18,739
20200928,20.18,20.18,20.18,20.18,0
20200929,20.56,20.56,20.55,20.55,1213
20200930,20.25,20.25,20.2,20.2,3050
20201001,20.2,20.2,20.2,20.2,0
20201002,20.23,20.23,20.23,20.23,1494
20201005,20.27,20.27,20.27,20.27,25
20201006,20.38,20.38,20.38,20.38,50
20201007,20.5,20.5,20.5,20.5,182
20201008,20.72,20.72,20.7,20.7,1528
20201009,20.84,20.86,20.83,20.83,2058
20201012,21,21,20.81,20.81,489
20201013,21.06,21.06,21.03,21.03,217
20201014,20.99,20.99,20.99,20.99,1425
20201015,20.94,20.95,20.9,20.91,1494
20201016,21.04,21.04,21.04,21.04,25
20201019,21.08,21.11,21.08,21.11,459
20201020,21.39,21.39,21.06,21.06,14953
20201021,21,21,20.98,20.99,2087
20201022,20.9,20.9,20.68,20.7,1360
20201023,20.75,20.75,20.75,20.75,25
20201026,20.62,20.62,20.6,20.6,5775
20201027,20.6,20.6,20.39,20.39,3290
20201028,20.36,20.36,20.12,20.12,4463
20201029,20,20,20,20,750
20201030,19.9,19.9,19.81,19.81,697
20201102,19.81,19.81,19.81,19.81,0
20201103,20.1,20.1,20.1,20.1,252
20201104,20.18,20.18,20.18,20.18,26
20201105,20.73,20.76,20.73,20.76,1437
20201106,20.6,20.6,20.55,20.55,2475
20201109,21.01,21.01,20.71,20.71,2600
20201110,20.87,20.87,20.68,20.68,6022
20201111,20.94,20.94,20.94,20.94,193
20201112,21.08,21.08,20.97,20.97,1488
20201113,20.97,20.97,20.97,20.97,0
20201116,21.2,21.2,21.2,21.2,94
20201117,21.3,21.3,21.12,21.12,4208
20201118,21.22,21.22,21.22,21.22,27
20201119,21.1,21.1,21.02,21.02,2024
20201120,21.04,21.06,21.04,21.06,4050
20201123,21.01,21.01,21.01,21.01,9
20201124,21.26,21.26,21.26,21.26,1000
20201125,21.35,21.37,21.35,21.37,2970
20201126,21.37,21.37,21.21,21.22,1398
20201127,21.16,21.16,21.16,21.16,414
20201130,21.23,21.23,21.11,21.11,5226
20201201,21.25,21.38,21.25,21.32,1335
20201202,21.3,21.3,21.3,21.3,7039
20201203,21.3,21.3,21.3,21.3,0
20201204,21.18,21.21,21.18,21.21,24685
20201207,21.4,21.42,21.31,21.31,20957
20201208,21.26,21.3,21.26,21.29,5792
20201209,21.55,21.55,21.55,21.55,41
20201210,21.55,21.55,21.55,21.55,0
20201211,21.05,21.05,21.05,21.05,1535
20201214,21.05,21.1,21.05,21.07,5271
20201215,21.2,21.2,21.05,21.05,1046
20201216,21.03,21.03,21,21.02,1751
20201217,21,21,21,21,25
20201218,21,21,21,21,0
20201221,20.96,21.01,20.96,21.01,7373
20201222,20.98,20.98,20.98,20.98,1809
20201223,20.95,20.95,20.9,20.9,333
20201224,20.88,20.88,20.88,20.88,38
20201229,20.88,20.88,20.88,20.88,125
20201230,20.88,20.88,20.88,20.88,0
20201231,20.78,20.78,20.78,20.78,99
20210104,20.78,20.79,20.78,20.79,350
20210105,20.74,20.74,20.69,20.69,142
20210106,20.69,20.69,20.69,20.69,0
20210107,20.8,20.8,20.8,20.8,50
20210108,20.8,20.8,20.8,20.8,0
20210111,21.12,21.12,21.11,21.11,717
20210112,21.14,21.23,21.14,21.23,330
20210113,21.08,21.08,21.08,21.08,700
20210114,21.08,21.08,21.08,21.08,0
20210115,21.08,21.08,21.08,21.08,0
20210118,21.06,21.06,21.06,21.06,948
20210119,21.15,21.2,21.15,21.2,1586
20210120,21.2,21.2,21.2,21.2,0
20210121,21.33,21.34,21.29,21.34,569
20210122,21.26,21.26,21.26,21.26,100
20210125,21.31,21.31,21.31,21.31,40
20210127,21.26,21.26,21.2,21.24,2412
20210128,21.19,21.19,20.8,21.04,22972
20210129,21,21,20.91,20.91,320
20210201,20.72,20.88,20.72,20.85,10271
20210202,21.08,21.08,21.03,21.03,263
20210203,21.31,21.5,21.31,21.5,732
20210204,21.26,21.26,21.17,21.17,10338
20210205,21.46,21.53,21.46,21.53,1251
20210208,21.79,21.79,21.79,21.79,4
20210209,21.5,21.5,21.43,21.44,423
20210210,21.44,21.44,21.44,21.44,0
20210211,21.44,21.44,21.44,21.44,0
20210212,21.49,21.49,21.49,21.49,24
20210215,21.49,21.49,21.49,21.49,0
20210216,21.62,21.62,21.62,21.62,3787
20210217,21.56,21.56,21.56,21.56,232
20210218,21.43,21.43,21.43,21.43,233
20210219,21.25,21.25,21.25,21.25,420
20210222,21.01,21.02,21,21,1456
20210223,20.81,20.89,20.81,20.89,1115
20210224,20.7,20.75,20.7,20.75,1252
20210225,20.84,20.84,20.8,20.8,6056
20210226,20.69,20.7,20.69,20.7,548
20210301,20.86,20.95,20.86,20.87,7537
20210302,21.18,21.18,21.08,21.08,2053
20210303,20.94,20.94,20.94,20.94,295
20210304,20.78,20.78,20.67,20.67,6202
20210305,20.61,20.61,20.61,20.61,10
20210308,20.61,20.61,20.61,20.61,0
20210309,21.31,21.34,21.31,21.34,1100
20210310,21.28,21.28,21.28,21.28,4
20210311,21.39,21.39,21.39,21.39,150
20210312,21.39,21.39,21.39,21.39,0
20210315,21.38,21.44,21.38,21.44,196
20210316,21.59,21.6,21.59,21.6,113
20210317,21.6,21.6,21.6,21.6,0
20210318,21.6,21.6,21.6,21.6,0
20210319,21.54,21.63,21.54,21.63,376
20210322,21.63,21.63,21.63,21.63,0
20210323,21.63,21.63,21.63,21.63,0
20210324,21.94,21.94,21.94,21.94,50
20210325,21.93,21.93,21.93,21.93,32
20210326,22,22,22,22,4000
20210329,22,22,22,22,0
20210330,22.21,22.21,22.21,22.21,96
20210331,22.21,22.21,22.21,22.21,0
20210401,22.14,22.37,22.14,22.37,54
20210406,22.55,22.55,22.55,22.55,151
20210407,22.62,22.62,22.6,22.6,1022
20210408,22.76,22.76,22.74,22.74,1576
20210409,22.79,22.79,22.75,22.75,1394
20210412,22.75,22.75,22.75,22.75,0
20210413,22.75,22.75,22.75,22.75,0
20210414,22.85,22.85,22.85,22.85,130
20210415,22.85,22.85,22.56,22.56,292
20210416,22.8,22.83,22.8,22.83,1774
20210419,22.83,22.83,22.83,22.83,0
20210420,22.8,22.8,22.75,22.75,671
20210421,22.76,22.76,22.76,22.76,878
20210422,22.76,22.76,22.76,22.76,0
20210423,23.06,23.06,22.96,22.96,54
20210426,22.96,22.96,22.96,22.96,60
20210427,22.9,22.9,22.9,22.9,1100
20210428,22.92,23.03,22.92,23.03,308
20210429,23.24,23.24,23.24,23.24,32
20210430,22.86,22.86,22.86,22.86,450
20210503,22.95,23,22.95,22.99,3584
20210504,22.96,22.96,22.96,22.96,1740
20210505,22.87,22.89,22.86,22.89,2405
20210506,22.85,22.85,22.85,22.85,486
20210507,22.93,22.93,22.93,22.93,191
20210510,22.92,22.92,22.89,22.89,4153
20210511,23,23,22.69,22.69,1925
20210512,22.52,22.52,22.52,22.52,440
20210513,22.58,22.58,22.54,22.54,942
20210514,22.82,22.82,22.81,22.81,4500
20210517,22.89,22.93,22.89,22.92,4059
20210518,22.88,22.88,22.82,22.85,4163
20210519,22.65,22.65,22.6,22.62,8144
20210520,22.75,22.75,22.75,22.75,71
20210521,22.98,22.98,22.98,22.98,320
20210524,23.06,23.06,23.06,23.06,900
20210525,23.17,23.2,23.13,23.2,2377
20210526,23.2,23.21,23.1,23.1,8612
20210527,23.12,23.12,23.12,23.12,702
20210528,23.29,23.29,23.27,23.27,1050
