Date,Open,High,Low,Close,Volume
20030328,55.6,56,55.5,55.55,7386
20030331,55.8,56.3,55.8,56.3,3750
20030401,57,59.5,56.3,56.4,8282
20030402,56.3,56.3,55.5,55.55,7873
20030403,55,55.05,54.8,54.9,3193
20030404,54.9,54.9,54.25,54.25,4367
20030407,54.25,54.25,54.1,54.1,47
20030408,54.2,54.2,53.9,53.9,10020
20030409,54.25,54.25,54.15,54.15,1274
20030410,54.25,54.45,54.2,54.45,2796
20030411,54.05,54.2,54,54.1,6570
20030414,54.1,54.1,54.1,54.1,0
20030415,54.2,54.2,54.2,54.2,470
20030416,54,54,53.7,53.7,725
20030417,53.65,53.65,53.65,53.65,20230
20030422,54.8,54.8,54.65,54.65,360
20030423,54.15,54.15,53.8,53.8,135570
20030424,54,54,53.95,53.95,5980
20030428,54.2,54.6,54.2,54.5,71400
20030429,54.45,54.45,54.45,54.45,10110
20030430,54.45,54.45,54.45,54.45,0
20030501,54.6,54.6,54.3,54.3,708
20030502,54.6,54.6,54.3,54.5,160660
20030505,54.5,54.5,54.5,54.5,0
20030506,54.15,54.15,54.15,54.15,521
20030507,54.15,54.15,54.15,54.15,70000
20030508,54,54,54,54,210
20030509,53.86,54.45,53.86,54.45,297
20030512,54.45,54.45,54.45,54.45,0
20030513,53.9,54.2,53.9,54.2,86429
20030514,54.2,54.2,54.2,54.2,0
20030515,54.2,54.2,54.2,54.2,85246
20030516,54.5,55,54.5,55,524
20030519,55,55.1,54.8,55.1,4318
20030520,56.65,56.65,55.5,56,11454
20030521,56,56,56,56,43070
20030522,56.8,57,56.8,57,1380
20030523,56.4,56.4,56,56.1,5470
20030526,56.35,56.4,56.09,56.4,24446
20030527,56.59,56.6,56.5,56.5,12220
20030528,56.3,56.3,56.15,56.15,11985
20030529,56.26,56.26,56.1,56.1,4406
20030530,56.5,56.74,56.5,56.55,15675
20030602,56.7,56.7,55.8,55.8,7168
20030603,56.14,56.14,56,56.1,10975
20030604,55.64,55.7,55.5,55.7,2797
20030605,55.3,55.3,54.85,54.93,10655
20030606,55.2,55.26,55.1,55.26,4850
20030610,55.3,55.4,55.01,55.09,47202
20030611,54.46,54.46,53.9,54.17,17473
20030612,53.84,53.95,53.6,53.7,10518
20030613,53.55,53.65,53.45,53.65,5730
20030616,54.05,54.2,54,54.2,76365
20030617,54.1,54.3,54,54.25,22951
20030618,54.62,54.62,54.35,54.39,6550
20030619,53.7,53.8,53.5,53.8,3991
20030620,54.2,54.25,54.18,54.25,6920
20030623,53.85,53.85,53.8,53.82,10000
20030624,53.5,53.7,53.08,53.08,12766
20030625,52.63,52.63,52.55,52.58,2550
20030626,52.3,52.38,52.2,52.35,986
20030627,51.98,52.05,51.95,51.95,5928
20030630,52.18,52.18,51.45,51.98,14025
20030701,51.85,52,51.57,52,27865
20030702,52,52.05,51.9,52,46870
20030703,51.9,51.9,51.75,51.75,34255
20030704,51.75,51.77,51.55,51.55,5935
20030707,51.74,51.74,51.73,51.73,1270
20030708,51.67,51.67,51.67,51.67,10343
20030709,52.39,52.39,52.26,52.3,2097
20030710,52.3,52.9,52.3,52.7,1600
20030711,52.6,52.8,52.5,52.5,5020
20030714,52.67,52.67,52.5,52.5,1603
20030715,52.51,53.37,52.51,53,8640
20030716,52.96,52.96,52.5,52.83,2385
20030717,52.64,52.75,52.64,52.75,1680
20030718,52.81,53.4,52.81,53.4,28870
20030721,53.94,53.95,53.93,53.93,2301
20030722,53.75,54.13,53.75,53.75,1840
20030723,54.27,54.27,54.1,54.18,8093
20030724,54.41,54.8,54.41,54.5,7879
20030725,54.6,54.7,54.45,54.48,40288
20030728,54.55,54.55,54.28,54.5,38100
20030729,54.7,54.75,54.46,54.46,36945
20030730,54.6,54.77,54.6,54.77,236
20030731,54.5,54.5,54.5,54.5,60
20030801,54.96,55.03,54.96,55.03,585
20030804,53.8,54.04,53.8,53.98,11152
20030805,54.3,54.3,54.15,54.15,446
20030806,54.4,54.56,54.32,54.49,91732
20030807,54.48,54.6,54.38,54.6,5710
20030808,54.4,54.4,54.4,54.4,314
20030811,55,55.13,54.97,55.04,1832
20030812,55.17,55.3,55.04,55.2,1115
20030813,54.8,54.9,54.8,54.8,6915
20030814,55.2,55.26,55,55.1,130948
20030815,55.9,56.16,55.7,55.82,12398
20030818,55.83,55.83,55,55.08,15640
20030819,54.9,55.18,54.85,55.18,3550
20030820,55.01,55.27,55.01,55.2,19690
20030821,55.7,55.7,55.5,55.5,27224
20030822,55.5,55.82,55.5,55.6,7325
20030825,55.7,55.9,55.7,55.75,18104
20030826,56,56.19,56,56.19,2100
20030827,56.45,56.6,56.36,56.36,10515
20030828,58.2,58.65,58,58.2,12415
20030829,58.11,58.11,57.3,57.6,11800
20030901,58.32,58.34,58.24,58.34,204037
20030902,58.41,58.85,58.41,58.8,213493
20030903,58.35,58.55,58.22,58.5,11865
20030904,58.96,58.96,58.5,58.65,4070
20030905,58.47,58.47,58.13,58.13,15124
20030908,58.34,58.34,58.11,58.11,86750
20030909,58.15,58.4,58.05,58.12,13000
20030910,58.26,58.28,58.1,58.26,53531
20030911,58.28,58.28,57.9,57.9,41320
20030912,58,58,57.25,57.55,152494
20030915,57.16,57.16,56.9,56.9,109543
20030916,56.7,56.7,56,56.64,101180
20030917,56.64,56.64,56.2,56.5,16555
20030918,56.73,57.05,56.65,56.65,3135
20030919,56.72,56.72,56.45,56.45,2655
20030922,56.7,57.28,56.7,57.28,35968
20030923,57.28,57.4,57.23,57.37,15565
20030924,57.44,57.44,57,57.07,1739
20030925,57.54,57.54,57.32,57.32,1487
20030926,56.94,56.94,56.85,56.89,7344
20030929,56.67,56.67,56.56,56.6,5347
20030930,56.6,56.72,56.32,56.46,10795
20031001,56.5,56.5,56.4,56.5,51300
20031002,56.3,56.5,56.25,56.5,10485
20031003,56.16,56.26,56.1,56.1,16222
20031006,55.33,55.33,55,55.11,84513
20031007,54.75,54.78,54.6,54.6,12640
20031008,54.84,54.93,54.75,54.75,11125
20031009,54.62,54.62,54.45,54.55,4958
20031010,54.05,54.1,53.96,54,16693
20031013,54.08,54.08,53.72,53.85,50370
20031014,54.11,54.67,54.11,54.55,96322
20031015,54.6,54.63,54.57,54.59,30200
20031016,54.49,54.49,54.33,54.38,1703
20031017,54.31,54.31,54.04,54.2,196066
20031020,53.93,53.93,53.55,53.55,4878
20031021,54.12,54.15,53.78,54.12,14661
20031022,54.9,54.9,54.5,54.57,6157
20031023,54.93,55.18,54.8,55.18,21698
20031024,55.05,55.05,54.86,54.95,20000
20031027,55.65,55.67,55.5,55.5,7880
20031028,55.32,55.35,55,55.1,11356
20031029,54.51,54.51,54.37,54.4,4865
20031030,55.07,55.2,55.07,55.15,11083
20031031,54.76,54.76,54.67,54.73,31250
20031103,54.7,54.7,54.25,54.54,53827
20031104,54.3,54.3,53.95,54.1,16174
20031105,53.89,53.89,53.34,53.58,21902
20031106,53.75,53.8,53.6,53.6,14551
20031107,53.95,54,53.9,53.95,6460
20031110,54,54,53.7,54,23311
20031111,54,54.15,53.9,54.05,11696
20031112,54.5,54.63,54.3,54.53,33959
20031113,55,55.14,54.95,55.05,3419
20031114,55.02,55.06,54.92,55.06,12084
20031117,55.17,55.55,55.15,55.5,4821
20031118,55.25,55.37,55.19,55.19,49596
20031119,55.25,55.5,55.25,55.48,27585
20031120,54.97,55.13,54.92,55.06,32312
20031121,54.92,54.92,54.75,54.75,29100
20031124,54.75,55.05,54.75,55.01,103328
20031125,54.64,54.73,54.48,54.58,22680
20031126,54.62,54.74,54.5,54.74,19020
20031127,54.98,55.01,54.85,54.93,10056
20031128,54.84,54.85,54.84,54.85,225
20031201,55.05,55.17,55,55.13,33519
20031202,55.52,55.52,55.25,55.25,39571
20031203,55.36,55.37,55.19,55.21,36033
20031204,55.2,55.2,54.97,55.04,2410
20031205,55.4,55.4,54.91,54.92,5781
20031208,55.43,55.43,55,55.19,9254
20031209,55.09,55.19,55,55.1,41761
20031210,55.2,55.31,54.96,55.15,20650
20031211,55.03,55.15,54.86,55.13,42296
20031212,54.76,54.76,54.45,54.66,63454
20031215,55.07,55.07,54.4,54.68,17763
20031216,55.1,55.3,55.05,55.3,12084
20031217,55,55.1,54.9,54.9,4485
