Date,Open,High,Low,Close,Volume
20230405,50.48,50.48,50.48,50.48,10
20230406,50.48,50.48,50.48,50.48,0
20230411,50.48,50.48,50.48,50.48,0
20230412,50.48,50.48,50.48,50.48,0
20230413,50.48,50.48,50.48,50.48,0
20230414,50.48,50.48,50.48,50.48,0
20230417,50.48,50.48,50.48,50.48,0
20230418,50.48,50.48,50.48,50.48,0
20230419,50.48,50.48,50.48,50.48,0
20230420,50.48,50.48,50.48,50.48,0
20230421,50.48,50.48,50.48,50.48,0
20230424,50.48,50.48,50.48,50.48,0
20230426,50.48,50.48,50.48,50.48,0
20230427,50.48,50.48,50.48,50.48,0
20230428,50.48,50.48,50.48,50.48,0
20230501,50.55,50.55,50.55,50.55,1
20230502,50.55,50.55,50.55,50.55,0
20230503,50.22,50.22,50.22,50.22,11
20230504,50.22,50.22,50.22,50.22,0
20230505,50.22,50.22,50.22,50.22,0
20230508,50.22,50.22,50.22,50.22,0
20230509,50.22,50.22,50.22,50.22,0
20230510,50.22,50.22,50.22,50.22,0
20230511,50.22,50.22,50.22,50.22,0
20230512,50.22,50.22,50.22,50.22,0
20230515,50.22,50.22,50.22,50.22,0
20230516,50.22,50.22,50.22,50.22,0
20230517,50.22,50.22,50.22,50.22,0
20230518,50.22,50.22,50.22,50.22,0
20230519,50.22,50.22,50.22,50.22,0
20230522,50.22,50.22,50.22,50.22,0
20230523,50.22,50.22,50.22,50.22,0
20230524,50.22,50.22,50.22,50.22,0
20230525,50.22,50.22,50.22,50.22,0
20230526,49.9,49.9,49.9,49.9,1
20230529,49.96,49.96,49.96,49.96,10
20230530,49.98,49.98,49.89,49.89,2
20230531,49.89,49.89,49.89,49.89,0
20230601,49.96,49.96,49.79,49.79,5000
20230602,49.79,49.79,49.79,49.79,0
20230605,49.79,49.79,49.79,49.79,0
20230606,49.79,49.79,49.79,49.79,0
20230607,49.79,49.79,49.79,49.79,0
20230608,49.79,49.79,49.79,49.79,0
20230609,49.79,49.79,49.79,49.79,0
20230613,49.79,49.79,49.79,49.79,0
20230614,49.79,49.79,49.79,49.79,0
20230615,49.79,49.79,49.79,49.79,0
20230616,49.79,49.79,49.79,49.79,0
20230619,49.79,49.79,49.79,49.79,0
20230620,49.79,49.79,49.79,49.79,0
20230621,49.79,49.79,49.79,49.79,0
20230622,49.79,49.79,49.79,49.79,0
20230623,49.79,49.79,49.79,49.79,0
20230626,49.79,49.79,49.79,49.79,0
20230627,49.79,49.79,49.79,49.79,0
20230628,49.79,49.79,49.79,49.79,0
20230629,49.79,49.79,49.79,49.79,0
20230630,49.41,49.41,49.41,49.41,1
20230703,49.41,49.41,49.41,49.41,0
20230704,49.41,49.41,49.41,49.41,0
20230705,49.41,49.41,49.41,49.41,0
20230706,49.41,49.41,49.41,49.41,0
20230707,48.92,48.92,48.92,48.92,1
20230710,48.98,48.98,48.79,48.83,13002
20230711,48.89,48.89,48.89,48.89,15002
20230712,49.01,49.01,49.01,49.01,5
20230713,49.01,49.01,49.01,49.01,0
20230714,49.01,49.01,49.01,49.01,0
20230717,49.01,49.01,49.01,49.01,0
20230718,49.01,49.01,49.01,49.01,0
20230719,49.01,49.01,49.01,49.01,0
20230720,49.01,49.01,49.01,49.01,0
20230721,49.24,49.24,49.24,49.24,1
20230724,49.24,49.24,49.24,49.24,0
20230725,49.24,49.24,49.24,49.24,0
20230726,49.24,49.24,49.24,49.24,0
20230727,49.24,49.24,49.24,49.24,0
20230728,49.48,49.52,49.48,49.52,522
20230731,49.54,49.54,49.54,49.54,5
20230801,49.48,49.48,49.48,49.48,196
20230802,49.6,49.6,49.6,49.6,13
20230803,49.6,49.6,49.6,49.6,0
20230804,49.6,49.6,49.6,49.6,0
20230807,49.67,49.68,49.67,49.68,2000
20230808,49.55,49.56,49.55,49.55,15000
20230809,49.55,49.55,49.55,49.55,15000
20230810,49.55,49.55,49.55,49.55,0
20230811,49.55,49.55,49.55,49.55,0
20230814,49.65,49.68,49.65,49.68,100
20230815,49.55,49.55,49.55,49.55,1139
20230816,49.64,49.64,49.64,49.64,100
20230817,49.64,49.64,49.64,49.64,0
20230818,49.64,49.64,49.64,49.64,0
20230821,49.64,49.64,49.64,49.64,0
20230822,49.63,49.63,49.63,49.63,2
20230823,49.63,49.63,49.63,49.63,0
20230824,49.63,49.63,49.63,49.63,0
20230825,49.63,49.63,49.63,49.63,0
20230828,49.63,49.63,49.63,49.63,0
20230829,49.63,49.63,49.63,49.63,0
20230830,49.87,49.87,49.87,49.87,1219
20230831,49.8,49.8,49.8,49.8,10
20230901,49.77,49.77,49.76,49.76,874
20230904,49.76,49.76,49.76,49.76,0
20230905,49.76,49.76,49.76,49.76,0
20230906,49.76,49.76,49.76,49.76,0
20230907,49.76,49.76,49.76,49.76,0
20230908,49.76,49.76,49.76,49.76,0
20230911,49.76,49.76,49.76,49.76,0
20230912,49.76,49.76,49.76,49.76,0
20230913,49.76,49.76,49.76,49.76,0
20230914,49.76,49.76,49.76,49.76,0
20230915,49.76,49.76,49.76,49.76,0
20230918,49.76,49.76,49.76,49.76,0
20230919,49.76,49.76,49.76,49.76,0
20230920,49.76,49.76,49.76,49.76,0
20230921,49.76,49.76,49.76,49.76,0
20230922,49.76,49.76,49.76,49.76,0
20230925,49.76,49.76,49.76,49.76,0
20230926,49.76,49.76,49.76,49.76,0
20230927,49.565,49.565,49.565,49.565,114
20230928,49.565,49.565,49.565,49.565,0
20230929,49.565,49.565,49.565,49.565,0
20231002,49.565,49.565,49.565,49.565,0
20231003,49.565,49.565,49.565,49.565,0
20231004,49.565,49.565,49.565,49.565,0
20231005,49.25,49.25,49.25,49.25,337
