Date,Open,High,Low,Close,Volume
20120727,25,25,25,25,1
20120730,25,25,25,25,0
20120731,25,25,25,25,0
20120801,25,25,25,25,0
20120802,25,25,25,25,0
20120803,25,25,25,25,0
20120806,25,25,25,25,0
20120807,25,25,25,25,0
20120808,24.57,24.57,24.57,24.57,606
20120809,24.57,24.57,24.57,24.57,0
20120810,24.57,24.57,24.57,24.57,0
20120813,24.57,24.57,24.57,24.57,0
20120814,24.57,24.57,24.57,24.57,0
20120815,24.57,24.57,24.57,24.57,0
20120816,24.57,24.57,24.57,24.57,0
20120817,24.57,24.57,24.57,24.57,0
20120820,24.57,24.57,24.57,24.57,0
20120821,24.57,24.57,24.57,24.57,0
20120822,24.57,24.57,24.57,24.57,0
20120823,24.57,24.57,24.57,24.57,0
20120824,24.57,24.57,24.57,24.57,0
20120827,24.57,24.57,24.57,24.57,0
20120828,24.57,24.57,24.57,24.57,0
20120829,24.57,24.57,24.57,24.57,0
20120830,24.57,24.57,24.57,24.57,0
20120831,24.57,24.57,24.57,24.57,0
20120903,24.57,24.57,24.57,24.57,0
20120904,24.57,24.57,24.57,24.57,0
20120905,24.57,24.57,24.57,24.57,0
20120906,24.57,24.57,24.57,24.57,0
20120907,24.57,24.57,24.57,24.57,0
20120910,24.57,24.57,24.57,24.57,0
20120911,24.57,24.57,24.57,24.57,0
20120912,24.92,24.92,24.92,24.92,1215
20120913,24.92,24.92,24.92,24.92,0
20120914,24.92,24.92,24.92,24.92,0
20120917,24.92,24.92,24.92,24.92,0
20120918,24.92,24.92,24.92,24.92,0
20120919,24.78,24.78,24.78,24.78,185
20120920,24.78,24.78,24.78,24.78,0
20120921,24.78,24.78,24.78,24.78,0
20120924,24.71,24.71,24.71,24.71,2000
20120925,24.71,24.71,24.71,24.71,0
20120926,24.71,24.71,24.71,24.71,0
20120927,24.71,24.71,24.71,24.71,0
20120928,24.71,24.71,24.71,24.71,0
20121001,24.71,24.71,24.71,24.71,0
20121002,24.71,24.71,24.71,24.71,0
20121003,24.71,24.71,24.71,24.71,0
20121004,24.71,24.71,24.71,24.71,0
20121005,24.71,24.71,24.71,24.71,0
20121008,25,25,25,25,1
20121009,25,25,25,25,0
20121010,25,25,25,25,0
20121011,25,25,25,25,0
20121012,25,25,25,25,0
20121015,25,25,25,25,0
20121016,25,25,25,25,0
20121017,25,25,25,25,0
20121018,25,25,25,25,0
20121019,25,25,25,25,0
20121022,25,25,25,25,0
20121023,25,25,25,25,0
20121024,25,25,25,25,0
20121025,25,25,25,25,0
20121026,25,25,25,25,0
20121029,25,25,25,25,0
20121030,25,25,25,25,0
20121031,25,25,25,25,0
20121101,24.93,24.93,24.93,24.93,600
20121102,24.93,24.93,24.93,24.93,0
20121105,24.93,24.93,24.93,24.93,0
20121106,24.93,24.93,24.93,24.93,0
20121107,24.93,24.93,24.93,24.93,0
20121108,24.85,24.85,24.85,24.85,200
20121109,24.85,24.85,24.85,24.85,0
20121112,24.85,24.85,24.85,24.85,0
20121113,24.85,24.85,24.85,24.85,0
20121114,24.85,24.85,24.85,24.85,0
20121115,24.85,24.85,24.85,24.85,0
20121116,24.85,24.85,24.85,24.85,0
20121119,24.85,24.85,24.85,24.85,0
20121120,24.85,24.85,24.85,24.85,0
20121121,24.85,24.85,24.85,24.85,0
20121122,24.85,24.85,24.85,24.85,0
20121123,24.85,24.85,24.85,24.85,0
20121126,24.85,24.85,24.85,24.85,0
20121127,24.85,24.85,24.85,24.85,0
20121128,24.85,24.85,24.85,24.85,0
20121129,24.85,24.85,24.85,24.85,0
20121130,24.85,24.85,24.85,24.85,0
20121203,24.85,24.85,24.85,24.85,0
20121204,24.85,24.85,24.85,24.85,0
20121205,24.85,24.85,24.85,24.85,0
20121206,24.85,24.85,24.85,24.85,0
20121207,24.85,24.85,24.85,24.85,0
20121210,24.85,24.85,24.85,24.85,0
20121211,24.85,24.85,24.85,24.85,0
20121212,24.85,24.85,24.85,24.85,0
20121213,24.85,24.85,24.85,24.85,0
20121214,24.85,24.85,24.85,24.85,0
20121217,24.85,24.85,24.85,24.85,0
20121218,24.85,24.85,24.85,24.85,0
20121219,24.85,24.85,24.85,24.85,0
20121220,24.85,24.85,24.85,24.85,0
20121221,24.85,24.85,24.85,24.85,0
20121224,24.85,24.85,24.85,24.85,0
20121227,24.85,24.85,24.85,24.85,0
20121228,24.57,24.57,24.57,24.57,5000
20121231,24.57,24.57,24.57,24.57,0
20130102,24.57,24.57,24.57,24.57,0
20130103,24.57,24.57,24.57,24.57,0
20130104,24.57,24.57,24.57,24.57,0
20130107,24.57,24.57,24.57,24.57,5000
20130108,24.57,24.57,24.57,24.57,0
20130109,24.57,24.57,24.57,24.57,0
20130110,24.57,24.57,24.57,24.57,0
20130111,24.57,24.57,24.57,24.57,0
20130114,24.57,24.57,24.57,24.57,0
20130115,24.53,24.53,24.53,24.53,1000
20130116,24.53,24.53,24.53,24.53,0
20130117,24.53,24.53,24.53,24.53,0
20130118,24.53,24.53,24.53,24.53,0
20130121,24.53,24.53,24.53,24.53,0
20130122,24.53,24.53,24.53,24.53,0
20130123,24.53,24.53,24.53,24.53,0
20130124,24.53,24.53,24.53,24.53,0
20130125,24.53,24.53,24.53,24.53,0
20130129,24.53,24.53,24.53,24.53,0
20130130,24.61,24.61,24.61,24.61,200
20130131,24.61,24.61,24.61,24.61,0
