Date,Open,High,Low,Close,Volume
20211125,19.89,19.95,19.89,19.95,52620
20211126,20,20,19.71,19.74,71312
20211129,19.67,19.87,19.67,19.72,93812
20211130,19.94,19.97,19.88,19.88,14102
20211201,19.71,19.71,19.61,19.65,41103
20211202,19.44,19.63,19.42,19.63,9375
20211203,19.83,19.83,19.68,19.69,7949
20211206,19.61,19.64,19.56,19.63,17874
20211207,19.46,19.47,19.38,19.46,31626
20211208,19.72,19.74,19.65,19.73,49158
20211209,19.51,19.52,19.45,19.45,9687
20211210,19.42,19.43,19.38,19.38,5624
20211213,19.3,19.36,19.26,19.3,5094
20211214,19.09,19.11,19.02,19.09,6939
20211215,18.96,18.96,18.89,18.92,9036
20211216,19.03,19.04,18.95,19.03,4253
20211217,18.91,18.91,18.75,18.75,11225
20211220,18.78,18.85,18.65,18.65,2430
20211221,18.78,18.78,18.7,18.7,5673
20211222,18.95,18.95,18.86,18.86,296
20211223,19.24,19.24,19.23,19.23,2280
20211224,19.5,19.5,19.23,19.23,1150
20211229,19.5,19.59,19.5,19.53,2509
20211230,19.38,19.38,19.25,19.25,3511
20211231,19.37,19.37,19.24,19.24,7394
20220104,19.24,19.47,19.24,19.44,7692
20220105,19.44,19.44,19.42,19.42,386
20220106,18.93,18.93,18.75,18.76,7841
20220107,19,19,19,19,60
20220110,18.95,18.95,18.65,18.66,7229
20220111,18.53,18.53,18.41,18.49,3482
20220112,18.84,18.84,18.84,18.84,1768
20220113,18.84,18.84,18.78,18.78,725
20220114,18.61,18.61,18.49,18.49,4533
20220117,18.49,18.53,18.47,18.49,721
20220118,18.69,18.69,18.47,18.47,5147
20220119,18.43,18.43,18.17,18.17,893
20220120,18.06,18.09,18,18.06,862
20220121,18.05,18.05,17.87,17.9,1108
20220124,17.78,17.78,17.68,17.72,1418
20220125,17.5,17.5,17.12,17.21,9087
20220127,17.3,17.55,17.18,17.18,6752
20220128,17.77,17.78,17.74,17.77,2188
20220131,18.01,18.05,17.97,17.97,1022
20220201,18.64,18.64,18.45,18.55,1383
20220202,18.56,18.61,18.56,18.61,2538
20220203,18.54,18.62,18.54,18.62,1568
20220204,18.6,18.6,18.35,18.35,1185
20220207,18.4,18.4,18.3,18.33,8690
20220208,18.25,18.33,18.25,18.27,966
20220209,18.05,18.05,17.97,17.97,1814
20220210,18.35,18.35,18.26,18.26,511
20220211,18,18.02,18,18.02,4194
20220214,17.82,17.82,17.46,17.74,14007
20220215,17.65,17.65,17.47,17.47,548
20220216,17.72,17.73,17.72,17.73,1134
20220217,17.7,17.74,17.66,17.66,7500
20220218,17.45,17.45,17.3,17.36,1018
20220221,17.12,17.22,17.12,17.22,10890
20220222,16.79,16.83,16.74,16.75,2234
20220223,16.8,16.96,16.8,16.9,684
20220224,16.78,16.78,16.29,16.31,31225
20220225,16,16.65,16,16.65,13194
20220228,16.94,16.94,16.66,16.66,25274
20220301,16.99,16.99,16.99,16.99,390
20220302,16.69,16.69,16.53,16.53,117
20220303,16.86,16.86,16.79,16.79,2090
20220304,16.43,16.43,15.94,15.94,6278
20220307,15.94,15.94,15.05,15.05,1261
20220308,14.97,14.97,14.9,14.94,3901
20220309,15.23,15.36,15.23,15.36,1697
20220310,15.81,15.87,15.81,15.81,16547
20220311,15.78,15.78,15.61,15.61,9260
20220314,15.82,15.92,15.82,15.92,374
20220315,15.8,15.91,15.8,15.91,3346
20220316,15.91,15.91,15.86,15.86,943
20220317,15.86,15.86,15.86,15.86,0
20220318,15.86,15.86,15.86,15.86,0
20220321,16.46,16.68,16.46,16.56,1407
20220322,16.68,16.68,16.5,16.5,902
20220323,16.7,16.72,16.7,16.7,1730
20220324,16.41,16.41,16.27,16.27,2099
20220325,16.28,16.28,16.18,16.18,724
20220328,16.17,16.17,16.13,16.13,2629
20220329,16.24,16.35,16.24,16.35,8563
20220330,16.45,16.74,16.45,16.65,10249
20220331,16.68,16.68,16.48,16.57,4138
20220401,16.555,16.63,16.555,16.63,1108
20220404,16.71,16.71,16.635,16.64,827
20220405,16.67,16.67,16.63,16.63,5301
20220406,16.25,16.28,16.25,16.28,10082
20220407,16,16,16,16,3500
20220408,16.08,16.08,16,16,952
20220411,16.1,16.16,16.06,16.06,9940
20220412,16.06,16.06,15.85,15.88,1936
20220413,15.8,15.84,15.76,15.76,2994
20220414,16.11,16.11,16.02,16.07,633
20220419,16.15,16.15,16.06,16.06,1126
20220420,16.2,16.21,16.13,16.13,849
20220421,16.4,16.4,16.36,16.36,53
20220422,16,16,15.92,15.92,1444
20220426,15.83,15.84,15.82,15.82,8369
20220427,15.23,15.23,15.04,15.1,1722
20220428,15.23,15.23,15.23,15.23,125
20220429,15.23,15.4,15.23,15.4,534
20220502,15.23,15.26,15.09,15.235,4651
20220503,15.15,15.15,15.15,15.15,1052
20220504,15.26,15.26,15.26,15.26,27
20220505,15.22,15.3,15.22,15.3,5653
20220506,15.15,15.15,14.97,15.01,1988
20220509,14.55,14.85,14.55,14.85,3450
20220510,14.6,14.6,14.47,14.48,851
20220511,14.68,14.76,14.68,14.76,6493
20220512,14.61,14.61,14.61,14.61,10000
20220513,14.61,14.61,14.61,14.61,0
20220516,15.12,15.12,15.09,15.09,297
20220517,15.09,15.09,15.08,15.08,10
20220518,15.3,15.305,15.3,15.305,753
20220519,15.305,15.305,15.305,15.305,0
20220520,15.305,15.305,15.305,15.305,0
20220523,14.7,14.7,14.7,14.7,78
20220524,15.15,15.15,14.82,14.82,411
20220525,14.67,14.67,14.67,14.67,55
20220526,14.875,14.89,14.875,14.89,2044
20220527,15.08,15.32,15.08,15.32,106
20220530,15.59,15.66,15.59,15.66,6784
20220531,15.645,15.66,15.645,15.66,1499
20220601,15.41,15.45,15.41,15.45,191
20220602,15.17,15.19,15.17,15.19,2183
20220603,15.36,15.36,15.36,15.36,1940
20220606,15.28,15.28,15.28,15.28,10000
20220607,15.27,15.27,15.27,15.27,553
20220608,15.29,15.29,15.29,15.29,2000
20220609,15.13,15.13,15.13,15.13,426
20220610,14.86,14.87,14.83,14.83,2660
20220614,13.96,14.03,13.92,14.03,373
20220615,13.75,13.77,13.75,13.77,1094
20220616,13.85,13.92,13.85,13.86,10099
20220617,13.14,13.23,13.14,13.23,1108
20220620,13.3,13.42,13.3,13.38,1182
20220621,13.5,13.5,13.43,13.5,1081
20220622,13.5,13.5,13.43,13.43,1627
20220623,13.6,13.61,13.6,13.61,96
20220624,13.7,13.7,13.7,13.7,75
20220627,14.03,14.15,14.02,14.13,15261
20220628,14.23,14.23,14.15,14.18,3306
20220629,14.04,14.04,13.99,14.03,379
20220630,13.77,13.77,13.66,13.66,174
20220701,13.41,13.41,13.34,13.34,1014
20220704,13.66,13.66,13.645,13.65,787
20220705,13.63,13.63,13.58,13.6,214
20220706,13.75,13.75,13.67,13.67,207
20220707,13.75,13.76,13.75,13.76,5001
20220708,13.68,13.91,13.68,13.91,427
20220711,13.8,13.81,13.8,13.81,320
20220712,13.81,13.81,13.81,13.81,0
20220713,13.96,13.96,13.95,13.95,1382
20220714,13.74,13.74,13.74,13.74,301
20220715,13.78,13.78,13.78,13.78,72
20220718,13.82,13.82,13.82,13.82,441
20220719,13.92,13.92,13.92,13.92,718
20220720,14.22,14.22,14.22,14.22,625
20220721,14.3,14.31,14.3,14.31,7501
20220722,14.52,14.52,14.52,14.52,6138
20220725,14.46,14.46,14.4,14.42,589
20220726,14.42,14.42,14.35,14.365,40
20220727,14.28,14.28,14.28,14.28,23
20220728,14.39,14.41,14.375,14.38,1216
20220729,14.38,14.38,14.38,14.38,0
20220801,15.1,15.14,15.08,15.08,611
20220802,15.09,15.09,15.05,15.05,73
20220803,15.05,15.05,15.05,15.05,0
20220804,15.09,15.12,15.03,15.03,5708
20220805,15.23,15.24,15.22,15.22,2465
20220808,15.13,15.13,15.05,15.1,7227
20220809,15.1,15.1,15.1,15.1,6
20220810,14.87,14.87,14.85,14.85,1540
20220811,15.05,15.25,15.05,15.19,876
20220812,15.17,15.19,15.17,15.19,1181
20220815,15.16,15.17,15.16,15.17,1679
20220816,15.4,15.4,15.32,15.34,1002
20220817,15.35,15.39,15.35,15.39,1112
20220818,15.24,15.25,15.18,15.25,2414
20220819,15.25,15.25,15.25,15.25,0
20220822,15.1,15.1,14.86,14.86,1202
20220823,14.85,14.85,14.63,14.63,1308
20220824,14.65,14.65,14.6,14.6,368
20220825,14.76,14.76,14.76,14.76,55
20220826,14.845,14.845,14.845,14.845,7
20220829,14.33,14.4,14.28,14.4,1164
20220830,14.4,14.4,14.3,14.3,141
20220831,14.27,14.27,14.27,14.27,285
20220901,14.37,14.37,14.26,14.29,730
20220902,14.03,14.03,14.03,14.03,8
20220905,14.09,14.11,14.08,14.08,706
20220906,14.11,14.18,14.11,14.14,323
20220907,14.09,14.1,14.09,14.1,177
20220908,14.2,14.37,14.2,14.37,4461
20220909,14.37,14.37,14.37,14.37,0
20220912,14.45,14.6,14.45,14.6,3607
20220913,14.71,14.71,14.71,14.71,54
20220914,14.5,14.5,14.35,14.41,1009
20220915,14.38,14.38,14.35,14.37,331
20220916,14.37,14.37,14.37,14.37,0
20220919,14.12,14.12,14.12,14.12,704
20220920,14.12,14.12,14.12,14.12,0
20220921,14.12,14.12,13.87,13.89,66
20220923,13.31,13.35,13.31,13.34,872
20220926,13,13,13,13,76
20220927,13,13.01,12.99,13.01,299
20220928,13.03,13.03,12.97,12.97,118
20220929,13.2,13.2,13.2,13.2,950
20220930,13.2,13.2,13.2,13.2,0
20221003,13.2,13.2,13.2,13.2,0
20221004,13.2,13.25,13.2,13.25,10576
20221005,13.81,13.93,13.81,13.93,572
20221006,13.81,13.81,13.8,13.8,12
20221007,13.77,13.77,13.77,13.77,1054
20221010,13.47,13.47,13.38,13.38,580
20221011,13.42,13.42,13.42,13.42,500
20221012,13.33,13.33,13.24,13.33,5514
20221013,13.33,13.33,13.33,13.33,0
20221014,13.4,13.52,13.4,13.49,15271
20221017,13.61,13.63,13.61,13.63,5007
20221018,13.63,13.63,13.63,13.63,0
20221019,14.1,14.1,14.1,14.1,11
20221020,14.1,14.1,14.1,14.1,0
20221021,14.1,14.1,14.1,14.1,0
20221024,13.68,13.68,13.66,13.66,110
20221025,13.9,13.9,13.85,13.85,542
20221026,14.23,14.26,14.23,14.26,167
20221027,14.26,14.26,14.26,14.26,0
20221028,14.26,14.26,14.26,14.26,0
20221031,14.26,14.26,14.26,14.26,0
20221101,14.54,14.54,14.45,14.45,91
20221102,14.54,14.66,14.54,14.66,235
20221103,14.63,14.63,14.63,14.63,6
20221104,14.55,14.58,14.53,14.55,339
20221107,14.61,14.64,14.55,14.64,1408
20221108,14.89,14.89,14.89,14.89,100
20221109,14.87,14.87,14.87,14.87,12
20221110,14.72,14.74,14.72,14.74,100
20221111,15.43,15.43,15.43,15.43,34
20221114,15.47,15.47,15.47,15.47,36
20221115,15.75,15.75,15.59,15.59,1506
20221116,15.59,15.59,15.59,15.59,0
20221117,14.87,14.87,14.86,14.86,383
20221118,14.85,14.85,14.84,14.84,1426
20221121,14.91,14.91,14.91,14.91,270
20221122,15.04,15.04,15.04,15.04,267
20221123,15.09,15.09,15.09,15.09,199
20221124,15.04,15.04,15.04,15.04,676
20221125,15.04,15.04,15.04,15.04,0
20221128,15.08,15.11,15.08,15.11,2651
20221129,15.09,15.09,14.99,14.99,1224
20221130,14.99,14.99,14.99,14.99,0
20221201,14.99,14.99,14.99,14.99,0
20221202,15.07,15.07,15.04,15.04,2097
20221205,14.85,14.85,14.85,14.85,25
20221206,14.77,14.77,14.77,14.77,1986
20221207,14.56,14.56,14.51,14.51,5093
20221208,14.29,14.29,14.29,14.29,73
20221209,14.3,14.3,14.3,14.3,5000
20221212,14.23,14.31,14.23,14.31,5237
20221213,14.47,14.47,14.47,14.47,108
20221214,14.56,14.59,14.56,14.59,10232
20221215,14.65,14.65,14.6,14.6,149
20221216,14.48,14.48,14.43,14.43,302
20221219,14.43,14.43,14.43,14.43,0
20221220,14.02,14.02,13.91,13.92,10257
20221221,13.92,13.92,13.92,13.92,0
20221222,14.1,14.2,14.1,14.2,856
20221223,14.2,14.2,14.2,14.2,0
20221228,14.01,14.01,14.01,14.01,36
20221229,13.98,13.98,13.98,13.98,3
20221230,14.05,14.05,14.05,14.05,536
20230103,14.05,14.05,13.94,13.94,6197
20230104,14.15,14.15,14.06,14.06,886
20230105,14.27,14.27,14.27,14.27,7
20230106,14.19,14.19,14.19,14.19,52
20230109,14.18,14.22,14.18,14.22,511
20230110,14.33,14.33,14.33,14.33,2
20230111,14.44,14.46,14.44,14.46,227
20230112,14.67,14.75,14.67,14.75,449
20230113,14.78,14.84,14.78,14.84,1000
20230116,14.84,14.84,14.82,14.82,2506
20230117,14.93,14.94,14.93,14.93,1156
20230118,14.88,14.93,14.88,14.93,105
20230119,14.89,14.97,14.89,14.97,1102
20230120,14.59,14.59,14.59,14.59,15
20230123,14.77,14.77,14.73,14.75,1465
20230124,14.87,14.94,14.87,14.94,1833
20230125,14.94,14.94,14.94,14.94,4
20230127,14.94,15.06,14.94,15,5774
20230130,15.06,15.06,15.06,15.06,40
20230131,15.1,15.1,15.1,15.1,66
20230201,15.09,15.09,15.09,15.09,1328
20230202,15.15,15.15,15.15,15.15,1300
20230203,15.53,15.79,15.53,15.79,178
20230206,15.8,15.87,15.8,15.82,314
20230207,15.83,15.83,15.71,15.71,383
20230208,15.72,15.72,15.68,15.69,2778
20230209,15.69,15.69,15.65,15.65,1534
20230210,15.6,15.6,15.6,15.6,32
20230213,15.6,15.6,15.6,15.6,0
20230214,15.62,15.62,15.62,15.62,3
20230215,15.62,15.62,15.62,15.62,0
20230216,15.69,15.75,15.69,15.75,275
20230217,15.67,15.67,15.67,15.67,766
20230220,15.66,15.66,15.6,15.6,962
20230221,15.6,15.6,15.51,15.56,1520
20230222,15.37,15.37,15.35,15.35,2280
20230223,15.35,15.35,15.35,15.35,0
20230224,15.35,15.35,15.35,15.35,0
20230227,15.35,15.35,15.35,15.35,0
20230228,15.73,15.79,15.73,15.79,302
20230301,15.77,15.79,15.77,15.77,1267
20230302,15.77,15.77,15.77,15.77,0
20230303,15.77,15.77,15.77,15.77,0
20230306,15.77,15.77,15.77,15.77,0
20230307,15.77,15.77,15.77,15.77,0
20230308,15.94,15.97,15.94,15.97,51
20230309,16.03,16.08,16.03,16.08,467
20230310,16.08,16.08,16.08,16.08,0
20230313,14.77,14.84,14.77,14.84,991
20230314,14.84,14.84,14.84,14.84,0
20230315,14.5,14.64,14.5,14.64,854
20230316,14.47,14.48,14.47,14.48,1026
20230317,14.53,14.53,14.53,14.53,34
20230320,14.18,14.18,14.13,14.13,1533
20230321,14.07,14.21,14.07,14.21,6
20230322,14.21,14.21,14.21,14.21,0
20230323,14.45,14.58,14.45,14.53,5620
20230324,14.56,14.56,14.56,14.56,100
20230327,14.58,14.6,14.58,14.59,644
20230328,14.72,14.72,14.72,14.72,14
20230329,14.62,14.62,14.62,14.62,14
20230330,14.81,14.83,14.81,14.83,1400
20230331,14.83,14.83,14.83,14.83,0
20230403,15.16,15.16,15.1,15.1,1734
20230404,15.1,15.1,14.83,14.83,1272
20230405,14.8,14.8,14.8,14.8,159
20230406,14.74,14.74,14.74,14.74,519
20230411,14.74,14.74,14.74,14.74,0
20230412,15.12,15.12,15.08,15.08,7
20230413,15.04,15.04,15.03,15.03,8076
20230414,15.15,15.21,15.14,15.21,4580
20230417,15.21,15.21,15.21,15.21,0
20230418,15.31,15.31,15.27,15.27,540
20230419,15.3,15.32,15.3,15.32,365
20230420,15.37,15.42,15.37,15.42,78
20230421,15.26,15.26,15.26,15.26,225
20230424,15.26,15.26,15.26,15.26,0
20230426,15.26,15.26,15.26,15.26,70
20230427,15.12,15.26,15.12,15.26,754
20230428,15.26,15.26,15.26,15.26,0
20230501,15.74,15.74,15.74,15.74,1576
20230502,15.5,15.58,15.5,15.58,48911
20230503,15.23,15.23,15.22,15.22,32
20230504,15.22,15.22,15.22,15.22,0
20230505,14.84,14.86,14.8,14.8,17807
20230508,14.85,15.08,14.85,15.08,379
20230509,15.03,15.03,15.03,15.03,19075
20230510,15.03,15.03,15.03,15.03,0
20230511,15.03,15.03,14.98,15,443
20230512,15,15,15,15,0
20230515,15,15,15,15,0
20230516,15.19,15.22,15.19,15.22,9482
20230517,15.24,15.24,15.24,15.24,3
20230518,15.24,15.29,15.24,15.29,836
20230519,15.29,15.29,15.29,15.29,0
20230522,15.29,15.51,15.29,15.51,120
20230523,15.69,15.72,15.62,15.62,2673
20230524,15.62,15.65,15.61,15.65,2006
20230525,15.57,15.57,15.57,15.57,638
20230526,15.59,15.62,15.59,15.62,54
20230529,15.65,15.85,15.65,15.81,359
20230530,15.84,15.85,15.84,15.85,2
