Date,Open,High,Low,Close,Volume
20160503,25.55,25.55,25.55,25.55,6900
20160504,25.55,25.55,25.55,25.55,0
20160505,24.91,24.91,24.74,24.74,662
20160506,24.74,24.74,24.74,24.74,0
20160509,24.74,24.74,24.74,24.74,0
20160510,25,25,25,25,100
20160511,25,25,25,25,0
20160512,25,25,25,25,0
20160513,25.15,25.15,25.15,25.15,5533
20160516,25.15,25.15,25.15,25.15,0
20160517,25.15,25.15,25.15,25.15,0
20160518,25.47,25.47,25.43,25.43,2600
20160519,25.13,25.22,25.13,25.22,2392
20160520,25.22,25.22,25.22,25.22,0
20160523,25.4,25.4,25.25,25.25,6420
20160524,25.15,25.15,25.15,25.15,2500
20160525,25.15,25.15,25.15,25.15,0
20160526,25.45,25.45,25.45,25.45,1100
20160527,25.45,25.45,25.45,25.45,0
20160530,25.45,25.45,25.45,25.45,0
20160531,25.45,25.45,25.45,25.45,0
20160601,25.1,25.1,25.01,25.01,700
20160602,24.87,24.87,24.76,24.76,14750
20160603,24.76,24.76,24.76,24.76,0
20160606,24.76,24.76,24.76,24.76,0
20160607,25.33,25.36,25.33,25.36,1400
20160608,25.36,25.36,25.36,25.36,0
20160609,25.18,25.18,25.18,25.18,380
20160610,24.75,24.75,24.75,24.75,404
20160614,24.6,24.6,24.46,24.46,3000
20160615,24.01,24.01,24.01,24.01,1000
20160616,24.01,24.01,24.01,24.01,0
20160617,24.01,24.01,24.01,24.01,0
20160620,24.01,24.01,24.01,24.01,0
20160621,24.61,24.61,24.61,24.61,1260
20160622,24.66,24.66,24.64,24.64,2070
20160623,24.64,24.64,24.64,24.64,0
20160624,24.4,24.4,24.4,24.4,200
20160627,24.4,24.4,24.4,24.4,0
20160628,24.4,24.4,24.4,24.4,0
20160629,24.4,24.4,24.4,24.4,0
20160630,24.4,24.4,24.4,24.4,0
20160701,24.4,24.4,24.4,24.4,0
20160704,24.4,24.4,24.4,24.4,0
20160705,24.4,24.4,24.4,24.4,0
20160706,23.79,23.79,23.79,23.79,2500
20160707,23.79,23.79,23.79,23.79,0
20160708,23.79,23.79,23.79,23.79,0
20160711,23.79,23.79,23.79,23.79,0
20160712,23.79,23.79,23.79,23.79,0
20160713,23.79,23.79,23.79,23.79,0
20160714,23.79,23.79,23.79,23.79,0
20160715,23.79,23.79,23.79,23.79,0
20160718,23.79,23.79,23.79,23.79,0
20160719,23.79,23.79,23.79,23.79,0
20160720,23.79,23.79,23.79,23.79,0
20160721,23.79,23.79,23.79,23.79,0
20160722,25.44,25.45,25.44,25.45,745
20160725,25.67,25.67,25.67,25.67,160
20160726,25.62,25.62,25.62,25.62,300
20160727,25.79,25.79,25.79,25.79,70
20160728,25.79,25.79,25.79,25.79,0
20160729,25.75,25.75,25.75,25.75,5000
20160801,25.75,25.75,25.75,25.75,0
20160802,25.83,25.83,25.83,25.83,2940
20160803,25.4,25.41,25.37,25.37,10920
20160804,25.44,25.44,25.38,25.38,4343
20160805,25.38,25.38,25.38,25.38,0
20160808,25.38,25.38,25.38,25.38,0
20160809,25.52,25.64,25.51,25.64,1175
20160810,25.64,25.64,25.64,25.64,0
20160811,25.35,25.35,25.35,25.35,1975
20160812,25.35,25.35,25.35,25.35,500
20160815,25.35,25.35,25.35,25.35,0
20160816,25.35,25.35,25.35,25.35,0
20160817,25.33,25.33,25.33,25.33,2000
20160818,25.33,25.33,25.33,25.33,1900
20160819,25.29,25.29,25.29,25.29,500
20160822,25.42,25.42,25.39,25.39,2320
20160823,25.39,25.39,25.39,25.39,0
20160824,25.75,25.75,25.75,25.75,50
20160825,25.25,25.25,25.25,25.25,2550
20160826,25.27,25.27,25.27,25.27,1300
20160829,25.27,25.27,25.27,25.27,0
20160830,25.27,25.27,25.27,25.27,0
20160831,25.03,25.03,24.75,24.75,302
20160901,24.94,24.94,24.89,24.89,10400
20160902,24.89,24.89,24.89,24.89,0
20160905,24.78,24.78,24.78,24.78,4000
20160906,24.69,24.69,24.69,24.69,2000
20160907,24.88,24.88,24.88,24.88,980
20160908,25,25,24.65,24.65,320
20160909,24.39,24.39,24.39,24.39,2000
20160912,24.39,24.39,24.39,24.39,0
20160913,24.01,24.01,24.01,24.01,415
20160914,23.87,23.93,23.87,23.93,2195
20160915,23.93,23.93,23.93,23.93,0
20160916,23.93,23.93,23.93,23.93,0
20160919,23.93,23.93,23.93,23.93,0
20160920,23.83,23.83,23.83,23.83,500
20160921,23.85,23.85,23.85,23.85,70
20160922,23.85,23.85,23.85,23.85,0
20160923,23.85,23.85,23.85,23.85,0
20160926,23.85,23.85,23.85,23.85,0
20160927,24.1,24.1,24.1,24.1,188
20160928,24.1,24.1,24.1,24.1,0
20160929,24.1,24.1,24.1,24.1,0
20160930,24.1,24.1,24.1,24.1,0
20161003,24.1,24.1,24.1,24.1,0
20161004,24.1,24.1,24.1,24.1,0
20161005,24.1,24.1,24.1,24.1,0
20161006,23.82,23.82,23.81,23.82,14200
20161007,23.82,23.82,23.82,23.82,0
20161010,23.97,23.97,23.97,23.97,42
20161011,23.97,23.97,23.97,23.97,0
20161012,23.97,23.97,23.97,23.97,0
20161013,23.97,23.97,23.97,23.97,0
20161014,23.9,23.9,23.83,23.83,705
20161017,23.75,23.75,23.75,23.75,150
20161018,23.7,23.7,23.7,23.7,200
20161019,23.7,23.7,23.7,23.7,0
20161020,23.76,23.76,23.74,23.74,2000
20161021,23.74,23.74,23.74,23.74,0
20161024,23.74,23.74,23.74,23.74,0
20161025,23.74,23.74,23.74,23.74,0
20161026,23.43,23.43,23.26,23.26,2500
20161027,23.13,23.13,23.13,23.13,500
20161028,23.13,23.13,23.13,23.13,0
20161031,23.13,23.13,23.13,23.13,0
20161101,23.13,23.13,23.13,23.13,0
20161102,23.13,23.13,23.13,23.13,0
20161103,23.13,23.13,23.13,23.13,0
20161104,23.13,23.13,23.13,23.13,0
20161107,23.13,23.13,23.13,23.13,0
20161108,23.13,23.13,23.13,23.13,0
20161109,23.13,23.13,23.13,23.13,0
20161110,23.13,23.13,23.13,23.13,0
20161111,23.13,23.13,23.13,23.13,0
20161114,23.13,23.13,23.13,23.13,0
