Date,Open,High,Low,Close,Volume
20240502,35.74,35.74,35.5,35.5,687
20240503,35.18,35.18,35.18,35.18,28
20240506,35,35.03,35,35.03,65
20240507,35.17,35.17,35.17,35.17,84
20240508,35.26,35.26,35.2,35.2,56
20240509,35.2,35.23,35.2,35.23,1818
20240510,35.63,35.78,35.63,35.78,136
20240513,35.82,35.86,35.82,35.82,539
20240514,35.42,35.42,35.42,35.42,37
20240515,35.64,35.64,35.56,35.56,230
20240516,35.78,35.88,35.78,35.88,288
20240517,35.63,35.78,35.63,35.78,398
20240520,36.3,36.35,36.3,36.35,52
20240521,36.45,36.45,36.25,36.25,456
20240522,36.35,36.35,36.28,36.28,122
20240523,36,36,35.84,35.84,42
20240524,35.84,35.86,35.45,35.45,156
20240527,35.33,35.33,35.29,35.29,289
20240528,35.39,35.39,35.32,35.32,179
20240529,35.42,35.48,35.42,35.48,4
20240530,35.4,35.4,35.32,35.36,166
20240531,35.46,35.46,35.29,35.29,1612
20240603,35,35,34.9,34.92,32
20240604,35.07,35.07,35.07,35.07,36
20240605,35.07,35.13,35.03,35.13,110
20240606,35.35,35.63,35.35,35.53,460
20240607,35.53,35.53,35.53,35.53,0
20240611,34.95,34.97,34.95,34.97,29
20240612,35,35,35,35,54
20240613,34.96,34.96,34.74,34.74,318
20240614,34.84,34.86,34.77,34.77,84
20240617,35.28,35.28,35.22,35.22,32
20240618,35.1,35.14,35.06,35.06,10
20240619,35.03,35.03,34.96,34.97,876
20240620,34.97,35.08,34.97,35.08,2
20240621,35.53,35.53,35.45,35.45,17
20240624,35,35.09,34.94,35.05,519
20240625,35.06,35.06,35.05,35.05,3
20240626,35.05,35.05,34.82,34.82,10
20240627,34.6,34.61,34.48,34.53,375
20240628,35.01,35.04,35.01,35.04,2
20240701,34.91,34.91,34.91,34.91,32
20240702,34.91,34.91,34.91,34.91,0
20240703,34.99,35,34.99,35,8
20240704,35,35,35,35,0
20240705,35.08,35.08,35.07,35.08,998
20240708,35.08,35.08,35.08,35.08,0
20240709,35.09,35.1,35.04,35.04,56
20240710,35.16,35.16,35.16,35.16,18
20240711,35.24,35.24,35.22,35.22,2
20240712,35.22,35.22,35.22,35.22,0
20240715,35.54,35.63,35.54,35.63,26
20240716,35.63,35.63,35.63,35.63,0
20240717,35.63,35.63,35.63,35.63,0
20240718,36.6,36.67,36.59,36.59,49
20240719,36.46,36.46,36.45,36.45,603
20240722,36.5,36.5,36.04,36.04,22
20240723,36.22,36.23,36.07,36.15,85
20240724,36.5,36.72,36.5,36.61,206
20240725,36.56,36.56,36.17,36.27,4995
20240726,36.15,36.26,36.15,36.22,25
20240729,36.22,36.22,36.22,36.22,0
20240730,36.22,36.22,36.22,36.22,0
20240731,36.91,36.91,36.91,36.91,2075
20240801,37.48,37.49,37.43,37.43,22
20240802,37.43,37.43,37.43,37.43,0
20240805,37.54,37.79,37.47,37.79,166
20240806,37.79,37.79,36.88,37,692
20240807,36.73,36.73,36.47,36.47,1386
20240808,36.67,36.67,36.5,36.63,1496
20240809,36.78,36.78,36.66,36.66,578
20240812,36.66,36.66,36.66,36.66,0
20240813,36.66,36.66,36.66,36.66,0
20240814,37.2,37.2,37.09,37.09,5
20240815,37.09,37.1,36.99,36.99,14
20240816,37.07,37.07,36.98,36.98,4
20240819,37.41,37.5,37.41,37.41,19
20240820,37.25,37.25,37.23,37.23,27
20240821,37.28,37.35,37.24,37.35,5
20240822,37.22,37.22,37.1,37.1,1366
20240823,37.03,37.16,37.03,37.15,9421
20240826,37.15,37.15,37,37.03,25
20240827,37.13,37.14,37,37,3536
20240828,37.18,37.18,36.92,36.92,522
20240829,36.98,37.07,36.98,36.98,4
20240830,36.98,36.98,36.98,36.98,0
20240902,37.03,37.03,36.86,36.86,86
20240903,36.75,36.93,36.75,36.93,152
20240904,37.2,37.27,37.2,37.21,3
20240905,37.17,37.18,37.08,37.08,50
