Date,Open,High,Low,Close,Volume
20160901,5,5.01,5,5.01,38005
20160902,5.06,5.06,5.05,5.05,2800
20160905,5.12,5.13,5.12,5.12,15600
20160906,5.1,5.1,5.1,5.1,22000
20160907,5.08,5.08,5.08,5.08,2485
20160908,5.06,5.06,5.06,5.06,2500
20160909,5.07,5.08,5.07,5.08,10635
20160912,5.04,5.04,5.04,5.04,2000
20160913,5.04,5.04,5.04,5.04,0
20160914,5.1,5.1,5.09,5.09,8850
20160915,5.08,5.09,5.08,5.08,38827
20160916,5.1,5.1,5.09,5.1,17591
20160919,5.17,5.17,5.17,5.17,4000
20160920,5.13,5.13,5.09,5.1,56463
20160921,5.06,5.07,5.04,5.07,10592
20160922,5.07,5.09,5.07,5.08,25303
20160923,5.13,5.15,5.13,5.14,37802
20160926,5.14,5.14,5.12,5.13,103565
20160927,5.09,5.09,5.08,5.08,18712
20160928,5.09,5.09,5.08,5.09,17000
20160929,5.1,5.1,5.08,5.09,69680
20160930,5.09,5.09,5.09,5.09,0
20161003,5.19,5.2,5.19,5.2,5535
20161004,5.18,5.18,5.18,5.18,378
20161005,5.21,5.21,5.21,5.21,3853
20161006,5.24,5.25,5.23,5.24,7651
20161007,5.23,5.23,5.22,5.22,3239
20161010,5.22,5.22,5.21,5.21,37595
20161011,5.2,5.2,5.2,5.2,3420
20161012,5.16,5.16,5.11,5.11,151295
20161013,5.1,5.12,5.07,5.07,61278
20161014,5.06,5.06,5.05,5.06,17160
20161017,5.03,5.03,5.02,5.03,9020
20161018,4.99,4.99,4.98,4.98,14000
20161019,5.01,5.01,4.98,4.98,65880
20161020,4.93,4.93,4.92,4.92,10500
20161021,4.98,4.99,4.97,4.97,54808
20161024,5,5.02,5,5.02,28700
20161025,5.06,5.06,5.05,5.05,8500
20161026,5,5,4.96,4.96,38839
20161027,5.04,5.05,5.04,5.05,13375
20161028,5.06,5.07,5.06,5.07,8000
20161031,5.1,5.1,5.1,5.1,6026
20161101,5.09,5.12,5.09,5.1,24780
20161102,5.06,5.06,5.03,5.03,13167
20161103,4.98,4.98,4.97,4.97,1420
20161104,4.98,4.98,4.98,4.98,4303
20161107,5.03,5.03,5.03,5.03,400
20161108,5.07,5.07,5.07,5.07,4000
20161109,5.02,5.02,4.91,4.91,10568
20161110,5.15,5.16,5.15,5.16,3464
20161111,5.19,5.19,5.18,5.19,24286
20161114,5.32,5.34,5.28,5.33,21059
20161115,5.33,5.33,5.3,5.32,10435
20161116,5.34,5.34,5.34,5.34,11000
20161117,5.4,5.42,5.4,5.41,20654
20161118,5.48,5.49,5.47,5.48,52004
20161121,5.53,5.53,5.53,5.53,5469
20161122,5.54,5.56,5.52,5.56,35113
20161123,5.48,5.48,5.44,5.44,11901
20161124,5.48,5.48,5.47,5.47,14330
20161125,5.45,5.45,5.45,5.45,2374
20161128,5.44,5.44,5.42,5.42,15171
20161129,5.37,5.37,5.35,5.36,7238
20161130,5.37,5.37,5.37,5.37,4950
20161201,5.4,5.4,5.39,5.4,57016
20161202,5.25,5.25,5.2,5.24,8865
20161205,5.22,5.22,5.22,5.22,20480
20161206,5.22,5.22,5.22,5.22,0
20161207,5.29,5.31,5.29,5.31,16005
20161208,5.33,5.33,5.32,5.32,12497
20161209,5.37,5.38,5.37,5.38,6484
20161212,5.38,5.38,5.38,5.38,0
20161213,5.28,5.29,5.28,5.29,15000
20161214,5.33,5.33,5.33,5.33,5730
20161215,5.35,5.37,5.35,5.37,5607
20161216,5.37,5.37,5.37,5.37,0
20161219,5.43,5.45,5.43,5.45,3990
20161220,5.5,5.5,5.5,5.5,3117
20161221,5.5,5.5,5.47,5.47,2059
20161222,5.47,5.48,5.42,5.42,51912
20161223,5.43,5.43,5.43,5.43,1200
20161228,5.43,5.43,5.43,5.43,0
20161229,5.45,5.45,5.44,5.44,2405
20161230,5.44,5.44,5.44,5.44,0
20170103,5.45,5.46,5.45,5.46,920
20170104,5.44,5.44,5.43,5.43,1919
20170105,5.44,5.45,5.44,5.45,11000
20170106,5.45,5.45,5.45,5.45,0
20170109,5.51,5.51,5.51,5.51,9895
20170110,5.45,5.45,5.45,5.45,1467
20170111,5.5,5.5,5.5,5.5,9596
20170112,5.55,5.55,5.44,5.44,41542
20170113,5.43,5.43,5.42,5.42,25133
20170116,5.47,5.48,5.46,5.47,113335
20170117,5.47,5.49,5.46,5.46,44400
20170118,5.38,5.38,5.37,5.38,13929
20170119,5.41,5.42,5.39,5.41,21375
20170120,5.36,5.4,5.36,5.4,8604
20170123,5.4,5.4,5.4,5.4,0
20170124,5.36,5.36,5.33,5.33,7150
20170125,5.33,5.33,5.33,5.33,0
20170127,5.49,5.49,5.47,5.47,21051
20170130,5.47,5.47,5.4,5.43,3885
20170131,5.41,5.41,5.4,5.4,10688
20170201,5.5,5.5,5.47,5.49,9731
20170202,5.42,5.43,5.4,5.42,17062
20170203,5.44,5.44,5.44,5.44,8335
20170206,5.48,5.49,5.48,5.49,2500
20170207,5.5,5.51,5.48,5.5,27165
20170208,5.52,5.53,5.52,5.53,1238
20170209,5.53,5.53,5.53,5.53,1555
20170210,5.53,5.53,5.53,5.53,0
20170213,5.57,5.58,5.57,5.58,1700
20170214,5.59,5.59,5.59,5.59,1235
20170215,5.6,5.6,5.59,5.59,3652
20170216,5.54,5.57,5.54,5.57,16650
20170217,5.57,5.57,5.56,5.56,28982
20170220,5.61,5.62,5.61,5.62,3390
20170221,5.64,5.65,5.64,5.64,24170
20170222,5.65,5.65,5.65,5.65,914
20170223,5.63,5.63,5.63,5.63,25011
20170224,5.58,5.58,5.56,5.57,46692
20170227,5.62,5.62,5.6,5.6,28208
20170228,5.6,5.61,5.58,5.58,73708
20170301,5.58,5.59,5.5,5.52,223191
20170302,5.5,5.51,5.49,5.51,5786
20170303,5.55,5.55,5.55,5.55,36845
20170306,5.55,5.55,5.52,5.54,32566
20170307,5.51,5.51,5.48,5.48,3333
20170308,5.48,5.48,5.47,5.47,776
20170309,5.57,5.57,5.57,5.57,14451
20170310,5.58,5.58,5.58,5.58,500
20170313,5.59,5.6,5.56,5.56,12336
20170314,5.61,5.62,5.61,5.62,22675
20170315,5.61,5.61,5.59,5.59,23905
20170316,5.55,5.55,5.53,5.54,16576
20170317,5.61,5.61,5.6,5.6,20572
20170320,5.56,5.57,5.56,5.56,9316
20170321,5.57,5.57,5.57,5.57,10050
20170322,5.52,5.52,5.5,5.52,10178
20170323,5.52,5.52,5.52,5.52,0
20170324,5.61,5.63,5.58,5.63,19058
20170327,5.6,5.6,5.6,5.6,73707
20170328,5.64,5.66,5.64,5.65,39255
20170329,5.63,5.63,5.6,5.6,8463
20170330,5.63,5.67,5.63,5.67,17221
20170331,5.69,5.69,5.65,5.66,12230
20170403,5.63,5.71,5.63,5.71,29572
20170404,5.66,5.66,5.61,5.65,15462
20170405,5.61,5.61,5.6,5.6,39380
20170406,5.62,5.62,5.59,5.6,7948
20170407,5.64,5.64,5.64,5.64,3176
20170410,5.69,5.69,5.69,5.69,1000
20170411,5.65,5.67,5.65,5.67,8500
20170412,5.68,5.68,5.67,5.67,13184
20170413,5.6,5.6,5.57,5.58,6823
20170418,5.56,5.59,5.54,5.59,31517
20170419,5.56,5.58,5.55,5.55,34059
20170420,5.63,5.63,5.6,5.6,1040
20170421,5.6,5.61,5.6,5.6,16602
20170424,5.65,5.65,5.6,5.61,6900
20170426,5.64,5.72,5.64,5.72,2901
20170427,5.72,5.75,5.72,5.75,23134
20170428,5.73,5.74,5.71,5.74,22718
20170501,5.73,5.73,5.69,5.69,6124
20170502,5.69,5.69,5.68,5.68,15277
20170503,5.69,5.71,5.69,5.71,42539
20170504,5.76,5.77,5.75,5.77,22171
20170505,5.83,5.85,5.83,5.85,66156
20170508,5.91,5.92,5.89,5.91,37279
20170509,5.92,5.93,5.9,5.93,27977
20170510,5.93,5.93,5.92,5.92,45477
20170511,5.92,5.93,5.91,5.92,9406
20170512,5.88,5.88,5.85,5.85,49362
20170515,5.85,5.86,5.84,5.85,125265
20170516,5.96,5.97,5.95,5.95,45121
20170517,5.95,5.95,5.9,5.93,91540
20170518,5.82,5.82,5.76,5.77,82043
20170519,5.76,5.77,5.76,5.76,31531
20170522,5.77,5.78,5.76,5.78,18905
20170523,5.83,5.83,5.77,5.8,33348
20170524,5.84,5.86,5.83,5.86,32197
20170525,5.84,5.86,5.83,5.86,53371
20170526,5.87,5.9,5.87,5.88,33897
20170529,5.88,5.88,5.85,5.88,57874
20170530,5.88,5.88,5.87,5.88,16936
20170531,5.85,5.85,5.82,5.84,45808
20170601,5.88,5.93,5.87,5.91,71851
20170602,6.03,6.04,6.02,6.04,254534
20170605,5.98,6,5.96,5.96,55423
20170606,5.94,5.95,5.92,5.92,48511
20170607,5.93,5.94,5.9,5.91,22810
20170608,5.9,5.91,5.89,5.89,25126
20170609,5.92,5.93,5.92,5.93,25392
20170613,5.85,5.85,5.75,5.76,160256
20170614,5.8,5.83,5.78,5.78,79653
20170615,5.73,5.74,5.68,5.69,32751
20170616,5.7,5.71,5.69,5.71,8796
20170619,5.69,5.69,5.67,5.69,74625
20170620,5.73,5.73,5.72,5.72,10493
20170621,5.71,5.71,5.69,5.69,18398
20170622,5.74,5.74,5.74,5.74,25785
20170623,5.78,5.79,5.77,5.78,57521
20170626,5.79,5.79,5.78,5.79,46922
20170627,5.77,5.77,5.73,5.73,19089
20170628,5.71,5.71,5.66,5.68,72538
20170629,5.77,5.77,5.74,5.74,20857
20170630,5.62,5.64,5.58,5.61,88066
20170703,5.59,5.59,5.48,5.49,84018
20170704,5.5,5.5,5.41,5.47,77214
20170705,5.5,5.5,5.45,5.47,40451
20170706,5.51,5.52,5.51,5.51,16539
20170707,5.48,5.49,5.47,5.47,7057
20170710,5.55,5.55,5.55,5.55,41748
20170711,5.55,5.56,5.55,5.55,17880
20170712,5.58,5.58,5.55,5.56,15362
20170713,5.59,5.59,5.58,5.58,9867
20170714,5.57,5.57,5.52,5.52,253760
20170717,5.48,5.49,5.46,5.48,240474
20170718,5.51,5.51,5.42,5.44,29455
20170719,5.43,5.43,5.42,5.42,43085
20170720,5.46,5.51,5.44,5.51,24726
20170721,5.44,5.49,5.44,5.48,26801
20170724,5.43,5.43,5.39,5.39,103423
20170725,5.38,5.39,5.37,5.38,19105
20170726,5.41,5.41,5.39,5.41,214117
20170727,5.29,5.29,5.22,5.23,151377
20170728,5.23,5.24,5.21,5.22,81351
20170731,5.2,5.22,5.2,5.21,41891
20170801,5.17,5.18,5.16,5.18,15831
20170802,5.23,5.26,5.23,5.25,51504
20170803,5.19,5.2,5.18,5.19,19732
20170804,5.2,5.22,5.2,5.21,27437
20170807,5.21,5.22,5.21,5.22,14882
20170808,5.22,5.22,5.2,5.2,20768
20170809,5.18,5.19,5.16,5.16,115085
20170810,5.17,5.18,5.17,5.18,88965
20170811,5.08,5.1,5.08,5.1,21195
20170814,5.13,5.15,5.13,5.15,29146
20170815,5.23,5.23,5.22,5.23,22410
20170816,5.23,5.23,5.21,5.21,274742
20170817,5.2,5.2,5.17,5.19,381015
20170818,5.13,5.14,5.12,5.13,180298
20170821,5.11,5.11,5.09,5.1,85824
20170822,5.1,5.11,5.1,5.11,72968
