Date,Open,High,Low,Close,Volume
20221116,22.64,22.64,22.64,22.64,1
20221117,22.71,22.71,22.69,22.69,2259
20221118,22.8,22.8,22.62,22.62,2214
20221121,22.6,22.64,22.6,22.64,411
20221122,22.65,22.65,22.58,22.58,184
20221123,22.71,22.71,22.7,22.7,2523
20221124,22.67,22.67,22.67,22.67,1767
20221125,22.67,22.67,22.67,22.67,0
20221128,22.65,22.65,22.65,22.65,440
20221129,22.67,22.67,22.67,22.67,960
20221130,22.67,22.67,22.67,22.67,0
20221201,22.67,22.67,22.67,22.67,0
20221202,22.67,22.67,22.67,22.67,22
20221205,22.67,22.67,22.67,22.67,0
20221206,22.74,22.74,22.74,22.74,19
20221207,22.74,22.74,22.74,22.74,0
20221208,22.74,22.74,22.74,22.74,0
20221209,22.8,22.8,22.8,22.8,26
20221212,22.8,22.8,22.8,22.8,0
20221213,22.8,22.8,22.8,22.8,0
20221214,22.8,22.8,22.8,22.8,0
20221215,22.82,22.82,22.82,22.82,20
20221216,22.82,22.82,22.82,22.82,0
20221219,22.79,22.79,22.79,22.79,87
20221220,22.79,22.79,22.79,22.79,0
20221221,22.79,22.79,22.79,22.79,0
20221222,22.93,22.93,22.93,22.93,1290
20221223,22.93,22.93,22.93,22.93,0
20221228,22.93,22.93,22.93,22.93,0
20221229,22.93,22.93,22.93,22.93,0
20221230,22.93,22.93,22.93,22.93,0
20230103,22.93,22.93,22.93,22.93,0
20230104,22.93,22.93,22.93,22.93,0
20230105,22.93,22.93,22.93,22.93,0
20230106,22.83,22.83,22.83,22.83,27
20230109,22.83,22.83,22.83,22.83,0
20230110,22.83,22.83,22.83,22.83,0
20230111,22.83,22.83,22.83,22.83,0
20230112,22.83,22.83,22.83,22.83,0
20230113,22.83,22.83,22.83,22.83,0
20230116,22.99,22.99,22.99,22.99,22
20230117,22.99,22.99,22.99,22.99,38
20230118,22.99,23.11,22.99,23.07,39
20230119,23.07,23.07,23.07,23.07,0
20230120,23.07,23.07,23.07,23.07,0
20230123,23.07,23.07,23.07,23.07,0
20230124,23.07,23.07,23.07,23.07,0
20230125,23.07,23.07,23.07,23.07,0
20230127,23.07,23.07,23.07,23.07,0
20230130,23.15,23.15,23.15,23.15,25
20230131,23.16,23.16,23.16,23.16,166
20230201,22.77,22.77,22.77,22.77,68
20230202,22.77,22.77,22.77,22.77,0
20230203,23.29,23.29,23.29,23.29,27
20230206,23.29,23.29,23.29,23.29,0
20230207,23.29,23.29,23.29,23.29,0
20230208,23.29,23.29,23.29,23.29,0
20230209,23.3,23.3,23.3,23.3,663
20230210,23.35,23.35,23.33,23.33,2050
20230213,23.33,23.33,23.33,23.33,0
20230214,23.33,23.33,23.33,23.33,0
20230215,23.33,23.33,23.33,23.33,0
20230216,23.34,23.34,23.34,23.34,1000
20230217,23.34,23.34,23.34,23.34,0
20230220,23.34,23.34,23.34,23.34,0
20230221,23.34,23.34,23.34,23.34,0
20230222,23.34,23.34,23.34,23.34,0
20230223,23.37,23.37,23.37,23.37,63
20230224,23.36,23.36,23.36,23.36,4
20230227,23.35,23.35,23.35,23.35,17
20230228,23.35,23.35,23.35,23.35,0
20230301,23.29,23.31,23.29,23.31,128
20230302,23.31,23.31,23.31,23.31,0
20230303,23.31,23.31,23.31,23.31,0
20230306,23.31,23.31,23.31,23.31,0
20230307,23.33,23.33,23.33,23.33,2000
20230308,23.33,23.33,23.33,23.33,0
20230309,23.33,23.33,23.33,23.33,250
20230310,23.33,23.33,23.33,23.33,0
20230313,23.33,23.33,23.33,23.33,0
20230314,23.33,23.33,23.33,23.33,0
20230315,23.33,23.33,23.33,23.33,0
20230316,23.07,23.07,23.07,23.07,312
20230317,23.07,23.07,23.07,23.07,0
20230320,23.07,23.07,23.07,23.07,0
