Date,Open,High,Low,Close,Volume
20200722,10.11,10.13,10.11,10.13,396083
20200723,10.2,10.2,10.17,10.2,858
20200724,10.17,10.17,10,10,14670
20200727,10,10,9.9,9.93,5177
20200728,10.01,10.01,10.01,10.01,5000
20200729,10.01,10.01,9.9,9.9,23626
20200730,9.99,9.99,9.99,9.99,100
20200731,9.99,9.99,9.93,9.93,10950
20200803,9.95,9.98,9.95,9.98,20251
20200804,9.98,9.98,9.98,9.98,0
20200805,10.15,10.17,10.14,10.17,4561
20200806,10.3,10.3,10.23,10.23,5331
20200807,10.17,10.25,10.17,10.22,9390
20200810,10.25,10.26,10.24,10.24,10840
20200811,10.25,10.26,10.25,10.25,5595
20200812,10.2,10.2,10.19,10.19,5825
20200813,10.34,10.35,10.33,10.33,18962
20200814,10.37,10.37,10.37,10.37,7545
20200817,10.36,10.36,10.36,10.36,10
20200818,10.36,10.36,10.36,10.36,0
20200819,10.48,10.48,10.48,10.48,8000
20200820,10.46,10.46,10.34,10.34,9687
20200821,10.34,10.34,10.34,10.34,0
20200824,10.55,10.55,10.55,10.55,3046
20200825,10.76,10.76,10.65,10.66,31205
20200826,10.63,10.64,10.63,10.64,14469
20200827,10.72,10.77,10.72,10.75,11282
20200828,10.83,10.85,10.8,10.8,6992
20200831,10.86,10.86,10.82,10.83,12885
20200901,10.83,10.83,10.83,10.83,3983440
20200902,10.94,10.94,10.93,10.93,4668
20200903,10.93,10.93,10.93,10.93,0
20200904,10.76,10.76,10.55,10.56,7181
20200907,10.56,10.56,10.39,10.41,34291
20200908,10.51,10.51,10.51,10.51,1739
20200909,10.37,10.37,10.15,10.18,36846
20200910,10.46,10.46,10.45,10.46,6400
20200911,10.5,10.5,10.36,10.36,5115
20200914,10.33,10.34,10.31,10.34,19698
20200915,10.42,10.46,10.42,10.46,8010
20200916,10.51,10.54,10.51,10.53,5330
20200917,10.53,10.53,10.34,10.38,93961
20200918,10.38,10.38,10.38,10.38,721
20200921,10.34,10.37,10.3,10.3,43755
20200922,10.26,10.27,10.26,10.27,438
20200923,10.29,10.32,10.24,10.32,16915
20200924,10.1,10.1,10.09,10.09,487
20200925,10.14,10.14,10.14,10.14,59375
20200928,10.14,10.14,10.14,10.14,0
20200929,10.45,10.45,10.45,10.45,211
20200930,10.41,10.41,10.32,10.32,42786
20201001,10.52,10.52,10.52,10.52,3312
20201002,10.51,10.51,10.51,10.51,1137
20201005,10.75,10.75,10.51,10.51,10603
20201006,10.64,10.64,10.64,10.64,4700
20201007,10.58,10.58,10.58,10.58,945
20201008,10.58,10.58,10.58,10.58,0
20201009,10.76,10.77,10.76,10.77,16515
20201012,10.77,10.77,10.77,10.77,0
20201013,10.97,10.97,10.89,10.92,5887
20201014,10.91,10.91,10.91,10.91,1498
20201015,10.82,10.82,10.79,10.79,9582
20201016,10.79,10.79,10.79,10.79,548
20201019,10.78,10.79,10.78,10.79,31326
20201020,10.68,10.68,10.66,10.67,78640
20201021,10.68,10.69,10.68,10.69,2333
20201022,10.63,10.63,10.56,10.57,4292
20201023,10.62,10.62,10.62,10.62,2400
20201026,10.56,10.56,10.56,10.56,1420
20201027,10.46,10.46,10.42,10.42,98057
20201028,10.35,10.36,10.35,10.35,100412
20201029,10.31,10.31,10.12,10.18,17481
20201030,10.07,10.08,10.06,10.08,12997
20201102,10.1,10.1,10.05,10.05,8434
20201103,10.15,10.15,10.15,10.15,80
20201104,10.29,10.5,10.29,10.44,13100
20201105,10.64,10.64,10.62,10.62,4682
20201106,10.7,10.84,10.7,10.81,168658
20201109,10.93,11.02,10.93,11.02,7301
20201110,11.05,11.05,10.85,10.85,6621
20201111,10.89,10.89,10.88,10.88,9567
20201112,10.88,10.88,10.88,10.88,0
20201113,10.88,10.91,10.87,10.91,18523
20201116,10.91,10.91,10.91,10.91,0
20201117,11.05,11.09,11.05,11.07,124658
20201118,11.08,11.08,11.07,11.08,37287
20201119,11.03,11.04,11.03,11.04,9000
20201120,11.04,11.04,11.03,11.03,16539
20201123,11.05,11.05,11.03,11.03,6526
20201124,11.17,11.2,11.16,11.16,17460
20201125,11.28,11.28,11.26,11.26,8891
20201126,11.26,11.28,11.25,11.27,26622
20201127,11.25,11.25,11.25,11.25,12010
20201130,11.34,11.34,11.2,11.2,10247
20201201,11.34,11.38,11.34,11.38,43647
20201202,11.34,11.35,11.33,11.35,8382
20201203,11.4,11.41,11.37,11.41,26064
20201204,11.41,11.41,11.38,11.38,4897
20201207,11.5,11.5,11.44,11.44,20223
20201208,11.5,11.5,11.46,11.46,41467
20201209,11.52,11.55,11.52,11.54,46559
20201210,11.74,11.74,11.37,11.37,105571
20201211,11.4,11.42,11.37,11.37,15885
20201214,11.42,11.44,11.42,11.42,39383
20201215,11.43,11.44,11.38,11.38,50293
20201216,11.6,11.6,11.48,11.48,54550
20201217,11.56,11.58,11.56,11.58,5123
20201218,11.65,11.65,11.61,11.62,64649
20201221,11.62,11.64,11.62,11.64,20842
20201222,11.55,11.55,11.5,11.5,2554
20201223,11.57,11.58,11.54,11.54,25007
20201224,11.58,11.58,11.57,11.57,26431
20201229,11.57,11.57,11.57,11.57,0
20201230,11.7,11.73,11.7,11.72,18375
20201231,11.76,11.76,11.74,11.74,6264
20210104,11.74,11.82,11.74,11.74,30367
20210105,11.72,11.72,11.66,11.66,8203
20210106,11.71,11.71,11.65,11.65,22303
20210107,11.77,11.77,11.77,11.77,10075
20210108,11.96,11.97,11.95,11.95,4498
20210111,12.03,12.03,11.97,12,15962
20210112,12.05,12.05,11.95,11.97,32702
20210113,11.99,12.01,11.99,12.01,12735
20210114,12.32,12.32,12.04,12.06,27226
20210115,12.06,12.06,11.91,11.91,57507
20210118,11.91,11.91,11.85,11.87,26396
20210119,11.85,11.97,11.85,11.97,1095
20210120,12.04,12.04,12.04,12.04,13635
20210121,12.14,12.25,12.14,12.19,15833
20210122,12.21,12.21,12.15,12.15,24807
20210125,12.15,12.19,12.14,12.19,2697
