Date,Open,High,Low,Close,Volume
20160516,9.92,9.92,9.91,9.91,300
20160517,9.91,9.91,9.91,9.91,0
20160518,9.89,9.9,9.89,9.9,1178
20160519,9.9,9.9,9.9,9.9,0
20160520,9.9,9.9,9.9,9.9,0
20160523,9.9,9.9,9.9,9.9,0
20160524,9.95,9.95,9.95,9.95,3113
20160525,9.95,9.95,9.95,9.95,0
20160526,10.28,10.28,10.27,10.27,3414
20160527,10.35,10.35,10.35,10.35,5845
20160530,10.35,10.35,10.35,10.35,0
20160531,10.39,10.45,10.39,10.45,157011
20160601,10.31,10.31,10.3,10.3,2994
20160602,10.3,10.3,10.3,10.3,0
20160603,10.35,10.35,10.35,10.35,3800
20160606,10.21,10.21,10.21,10.21,1278
20160607,10.21,10.21,10.21,10.21,0
20160608,10.31,10.31,10.31,10.31,1741
20160609,10.26,10.26,10.26,10.26,2429
20160610,10.26,10.26,10.26,10.26,0
20160614,10,10,9.72,9.72,3848
20160615,9.64,9.65,9.64,9.64,3110
20160616,9.69,9.69,9.64,9.64,17268
20160617,9.75,9.78,9.75,9.78,800
20160620,9.92,9.93,9.92,9.92,24910
20160621,9.99,10.01,9.99,10.01,9320
20160622,10.13,10.16,10.13,10.16,14061
20160623,10.16,10.16,10.15,10.15,9342
20160624,10.09,10.09,9.55,9.55,1163
20160627,9.2,9.28,9.2,9.28,3970
20160628,9.51,9.53,9.5,9.53,44024
20160629,9.63,9.7,9.63,9.7,109582
20160630,9.8,9.82,9.75,9.78,83131
20160701,9.86,9.88,9.85,9.87,33923
20160704,9.89,9.92,9.89,9.91,18105
20160705,9.82,9.82,9.81,9.82,9752
20160706,9.61,9.61,9.61,9.61,11360
20160707,9.59,9.6,9.59,9.6,3819
20160708,9.57,9.57,9.57,9.57,4363
20160711,9.74,9.78,9.74,9.76,11569
20160712,9.85,9.87,9.85,9.87,13509
20160713,10.04,10.04,10.04,10.04,2400
20160714,10.05,10.05,10.05,10.05,780
20160715,10.11,10.13,10.11,10.12,16506
20160718,10.13,10.15,10.13,10.15,17544
20160719,10.1,10.11,10.1,10.11,5146
20160720,10.08,10.08,10.08,10.08,9300
20160721,10.18,10.18,10.17,10.17,3026
20160722,10.17,10.18,10.17,10.17,1294
20160725,10.23,10.23,10.23,10.23,138
20160726,10.23,10.25,10.23,10.25,14064
20160727,10.31,10.31,10.31,10.31,352
20160728,10.39,10.39,10.37,10.37,9288
20160729,10.36,10.36,10.36,10.36,565
20160801,10.37,10.39,10.37,10.39,1789
20160802,10.39,10.39,10.39,10.39,0
20160803,10.39,10.39,10.39,10.39,0
20160804,10.1,10.1,10.07,10.07,3336
20160805,10.07,10.07,10.07,10.07,0
20160808,10.25,10.25,10.25,10.25,649
20160809,10.31,10.31,10.31,10.31,4329
20160810,10.43,10.43,10.43,10.43,18706
20160811,10.43,10.43,10.43,10.43,0
20160812,10.54,10.54,10.54,10.54,3550
20160815,10.55,10.55,10.55,10.55,2450
20160816,10.55,10.55,10.55,10.55,0
20160817,10.48,10.48,10.48,10.48,21322
20160818,10.42,10.42,10.41,10.41,5497
20160819,10.41,10.41,10.41,10.41,0
20160822,10.37,10.37,10.37,10.37,5435
20160823,10.37,10.37,10.37,10.37,495
20160824,10.37,10.37,10.37,10.37,0
20160825,10.46,10.47,10.46,10.47,6004
20160826,10.38,10.38,10.37,10.37,1499
20160829,10.45,10.45,10.41,10.41,35044
20160830,10.48,10.48,10.48,10.48,1192
20160831,10.54,10.54,10.51,10.51,2933
20160901,10.49,10.49,10.49,10.49,3748
20160902,10.49,10.49,10.49,10.49,0
20160905,10.67,10.7,10.67,10.7,7578
20160906,10.7,10.71,10.7,10.71,1086
20160907,10.69,10.69,10.63,10.67,17793
20160908,10.68,10.71,10.67,10.71,11338
20160909,10.68,10.68,10.68,10.68,908
20160912,10.37,10.37,10.37,10.37,4607
20160913,10.53,10.53,10.49,10.49,8666
20160914,10.42,10.42,10.36,10.36,15182
20160915,10.27,10.28,10.25,10.26,42729
20160916,10.29,10.36,10.29,10.36,934
20160919,10.36,10.36,10.36,10.36,0
20160920,10.38,10.38,10.38,10.38,4948
20160921,10.38,10.38,10.38,10.38,0
20160922,10.44,10.51,10.44,10.51,740
20160923,10.61,10.63,10.61,10.62,6248
20160926,10.62,10.62,10.62,10.62,0
20160927,10.62,10.62,10.62,10.62,0
20160928,10.48,10.48,10.48,10.48,4282
20160929,10.58,10.58,10.58,10.58,1905
20160930,10.35,10.35,10.16,10.16,2398
20161003,10.16,10.16,10.16,10.16,0
20161004,10.5,10.5,10.5,10.5,2335
20161005,10.55,10.55,10.55,10.55,338
20161006,10.55,10.55,10.55,10.55,0
20161007,10.55,10.55,10.55,10.55,0
20161010,10.51,10.51,10.51,10.51,271
20161011,10.51,10.51,10.51,10.51,0
20161012,10.58,10.6,10.58,10.6,427
20161013,10.6,10.6,10.6,10.6,0
20161014,10.42,10.44,10.42,10.44,3140
20161017,10.53,10.54,10.53,10.54,356
20161018,10.54,10.54,10.54,10.54,0
20161019,10.6,10.6,10.6,10.6,107
20161020,10.69,10.69,10.69,10.69,4200
20161021,10.69,10.69,10.69,10.69,0
20161024,10.76,10.76,10.76,10.76,2300
20161025,10.8,10.81,10.8,10.81,16400
20161026,10.73,10.73,10.72,10.72,4855
20161027,10.69,10.79,10.69,10.79,1496
20161028,10.7,10.7,10.7,10.7,6560
20161031,10.66,10.66,10.66,10.66,90
20161101,10.69,10.69,10.69,10.69,1000
20161102,10.48,10.48,10.45,10.45,2908
20161103,10.37,10.39,10.37,10.39,5993
20161104,10.37,10.37,10.36,10.36,4114
20161107,10.36,10.37,10.36,10.37,116
20161108,10.46,10.49,10.46,10.48,8431
20161109,10.6,10.6,10.12,10.12,13835
20161110,10.61,10.62,10.6,10.62,10301
20161111,10.62,10.62,10.62,10.62,0
20161114,10.51,10.51,10.51,10.51,372
20161115,10.45,10.46,10.45,10.46,1505
20161116,10.54,10.54,10.53,10.53,740
20161117,10.53,10.53,10.53,10.53,0
20161118,10.54,10.54,10.54,10.54,1217
20161121,10.5,10.5,10.38,10.43,123322
20161122,10.5,10.57,10.49,10.5,101089
20161123,10.49,10.53,10.49,10.51,24915
20161124,10.45,10.45,10.41,10.41,16115
20161125,10.42,10.48,10.42,10.48,18400
20161128,10.49,10.49,10.49,10.49,1420
20161129,10.43,10.43,10.43,10.43,745
20161130,10.48,10.48,10.48,10.48,650
20161201,10.52,10.52,10.48,10.48,63046
20161202,10.39,10.39,10.39,10.39,5000
20161205,10.16,10.19,10.16,10.19,3730
20161206,10.52,10.52,10.48,10.48,27515
20161207,10.67,10.67,10.67,10.67,12070
20161208,10.82,10.86,10.82,10.82,4348
20161209,11,11,10.99,10.99,9265
20161212,11.04,11.04,11.04,11.04,599
20161213,11,11,10.97,10.98,6693
20161214,11.1,11.16,11.1,11.12,12144
20161215,11.12,11.12,11.12,11.12,0
20161216,11.16,11.16,11.15,11.15,1757
20161219,11.17,11.27,11.17,11.17,7240
20161220,11.23,11.23,11.2,11.2,9367
20161221,11.29,11.29,11.28,11.29,30999
20161222,11.29,11.29,11.29,11.29,3500
20161223,11.29,11.33,11.29,11.33,1741
20161228,11.33,11.33,11.33,11.33,0
20161229,11.33,11.33,11.33,11.33,0
20161230,11.33,11.33,11.33,11.33,0
20170103,11.33,11.33,11.33,11.33,0
20170104,11.42,11.42,11.42,11.42,4380
20170105,11.42,11.42,11.42,11.42,0
20170106,11.42,11.42,11.42,11.42,0
20170109,11.37,11.38,11.37,11.38,5710
20170110,11.35,11.35,11.32,11.32,962
20170111,11.32,11.32,11.32,11.32,0
20170112,11.32,11.32,11.32,11.32,0
20170113,11.32,11.32,11.32,11.32,0
20170116,11.32,11.32,11.32,11.32,0
20170117,11.32,11.32,11.25,11.25,7850
20170118,11.28,11.29,11.28,11.29,8283
20170119,11.29,11.29,11.29,11.29,0
20170120,11.33,11.33,11.32,11.32,2265
20170123,11.29,11.29,11.29,11.29,1406
20170124,11.28,11.29,11.27,11.27,5272
20170125,11.35,11.35,11.32,11.35,1962
20170127,11.45,11.45,11.41,11.41,7323
20170130,11.32,11.39,11.32,11.39,7632
20170131,11.32,11.32,11.32,11.32,2000
20170201,11.26,11.26,11.26,11.26,700
20170202,11.25,11.25,11.25,11.25,3005
20170203,11.33,11.33,11.28,11.32,17349
20170206,11.35,11.36,11.35,11.36,6400
20170207,11.27,11.28,11.24,11.24,5300
20170208,11.24,11.24,11.24,11.24,0
20170209,11.31,11.32,11.31,11.32,8800
20170210,11.42,11.44,11.42,11.44,9580
20170213,11.44,11.47,11.4,11.43,190400
20170214,11.56,11.56,11.54,11.54,2358
20170215,11.6,11.61,11.6,11.61,21611
20170216,11.66,11.67,11.66,11.66,21073
20170217,11.64,11.64,11.61,11.63,13627
20170220,11.66,11.66,11.63,11.63,16317
20170221,11.61,11.61,11.61,11.61,426
20170222,11.73,11.73,11.73,11.73,5115
20170223,11.76,11.76,11.73,11.73,11471
20170224,11.74,11.76,11.73,11.73,8038
20170227,11.73,11.73,11.69,11.7,17837
20170228,11.71,11.72,11.71,11.72,4978
20170301,11.72,11.75,11.72,11.75,20304
20170302,11.92,11.92,11.88,11.88,10560
20170303,11.89,11.89,11.89,11.89,500
20170306,11.88,11.9,11.88,11.9,7025
20170307,11.9,11.9,11.9,11.9,0
20170308,11.87,11.87,11.83,11.83,10905
20170309,11.85,11.9,11.85,11.89,15418
20170310,12,12.04,12,12.04,22552
20170313,11.98,11.99,11.94,11.99,23317
20170314,12.03,12.04,12.02,12.03,26688
20170315,12.01,12.03,12.01,12.03,42145
20170316,12.03,12.08,12.02,12.07,25941
20170317,12.15,12.17,12.15,12.17,11924
20170320,12.22,12.22,12.18,12.22,32073
20170321,12.2,12.23,12.2,12.23,23035
20170322,12.07,12.07,12.02,12.04,25924
20170323,12.1,12.11,12.07,12.07,5597
20170324,12.13,12.16,12.13,12.13,589
20170327,12.14,12.14,12.12,12.13,12000
20170328,12.21,12.25,12.21,12.25,62398
20170329,12.31,12.32,12.29,12.3,149665
20170330,12.3,12.32,12.27,12.29,143265
20170331,12.3,12.3,12.27,12.29,111470
20170403,12.36,12.36,12.32,12.36,9967
20170404,12.22,12.31,12.22,12.26,68239
20170405,12.36,12.36,12.3,12.31,73460
20170406,12.22,12.26,12.2,12.26,30351
20170407,12.34,12.35,12.27,12.27,31270
20170410,12.39,12.41,12.39,12.39,19124
20170411,12.35,12.35,12.33,12.33,17307
20170412,12.35,12.38,12.33,12.34,32162
20170413,12.31,12.34,12.28,12.34,19788
20170418,12.33,12.33,12.29,12.29,22004
20170419,12.2,12.2,12.15,12.16,22813
20170420,12.16,12.2,12.16,12.16,14646
20170421,12.28,12.3,12.27,12.3,18125
20170424,12.35,12.75,12.35,12.75,33964
20170426,12.53,12.9,12.53,12.77,126675
20170427,12.75,12.75,12.7,12.72,34882
20170428,12.77,12.89,12.75,12.89,24701
20170501,12.74,12.76,12.74,12.76,15936
20170502,12.77,12.81,12.77,12.8,36480
20170503,12.84,12.86,12.84,12.85,51140
20170504,12.9,12.9,12.88,12.9,17550
20170505,13.03,13.03,13,13.03,22477
20170508,13.19,13.25,13.19,13.23,51214
20170509,13.19,13.22,13.1,13.12,93756
20170510,13.12,13.12,13.1,13.1,17998
20170511,13.14,13.14,13.09,13.1,11270
20170512,13.02,13.04,13,13,14084
20170515,13.04,13.1,13.04,13.09,22514
20170516,13.09,13.1,13.08,13.1,33822
20170517,13.03,13.04,12.99,12.99,32638
20170518,12.83,12.86,12.8,12.83,79262
20170519,12.8,12.8,12.77,12.78,19597
20170522,12.89,12.91,12.89,12.91,21445
20170523,12.9,12.9,12.81,12.81,30046
20170524,12.93,12.94,12.91,12.94,36216
20170525,12.9,12.95,12.9,12.95,32247
20170526,12.91,12.92,12.9,12.9,37968
20170529,12.94,12.96,12.94,12.96,27636
20170530,13.21,13.21,12.92,12.93,35671
20170531,12.9,12.9,12.85,12.88,58014
20170601,12.88,12.88,12.85,12.88,34077
20170602,12.97,13.02,12.97,13.02,39427
20170605,13.03,13.06,13.03,13.06,24333
20170606,13.02,13.02,12.98,12.99,16875
20170607,12.88,12.89,12.88,12.88,25407
20170608,12.89,12.92,12.89,12.91,26541
20170609,12.86,12.94,12.86,12.91,23033
20170613,12.9,12.9,12.82,12.86,25237
20170614,12.95,12.95,12.92,12.94,20189
20170615,12.94,12.94,12.85,12.87,30502
20170616,12.81,12.85,12.81,12.85,30880
20170619,13.05,13.05,12.88,12.94,27435
20170620,13.04,13.05,13.01,13.03,20780
20170621,13.01,13.01,12.9,12.94,40261
20170622,12.89,12.91,12.88,12.9,19716
20170623,12.9,12.91,12.9,12.9,28733
20170626,12.98,12.98,12.85,12.88,12234
20170627,12.89,12.95,12.8,12.94,62346
20170628,12.85,12.85,12.74,12.75,14058
20170629,12.8,12.81,12.8,12.8,21845
20170630,12.51,12.51,12.47,12.47,33582
20170703,12.4,12.4,12.32,12.33,118214
20170704,12.37,12.46,12.37,12.39,35937
20170705,12.45,12.45,12.38,12.39,12165
20170706,12.45,12.45,12.4,12.41,25813
20170707,12.32,12.32,12.29,12.3,22841
20170710,12.38,12.4,12.37,12.37,31137
20170711,12.39,12.4,12.39,12.4,12237
20170712,12.39,12.39,12.36,12.37,18318
20170713,12.51,12.51,12.51,12.51,25431
20170714,12.57,12.58,12.57,12.57,12126
20170717,12.56,12.58,12.54,12.55,80925
20170718,12.55,12.55,12.53,12.53,30346
20170719,12.47,12.47,12.44,12.46,48130
20170720,12.49,12.53,12.49,12.49,138155
20170721,12.5,12.5,12.48,12.48,10068
20170724,12.35,12.35,12.31,12.33,19814
20170725,12.32,12.34,12.32,12.34,40748
20170726,12.37,12.37,12.33,12.33,5543
20170727,12.39,12.4,12.39,12.39,24228
20170728,12.4,12.4,12.38,12.39,6815
20170731,12.34,12.35,12.31,12.35,11588
20170801,12.3,12.3,12.27,12.29,20155
20170802,12.34,12.35,12.31,12.31,40403
20170803,12.29,12.29,12.26,12.28,48197
20170804,12.32,12.32,12.32,12.32,1130
20170807,12.48,12.48,12.48,12.48,257
20170808,12.43,12.44,12.41,12.44,12595
20170809,12.41,12.41,12.39,12.41,54670
20170810,12.36,12.36,12.33,12.34,16759
20170811,12.14,12.14,12.13,12.13,52384
20170814,12.13,12.13,12.12,12.12,6965
20170815,12.24,12.3,12.24,12.28,12373
20170816,12.29,12.3,12.27,12.28,16483
20170817,12.33,12.37,12.32,12.37,31708
20170818,12.21,12.25,12.21,12.25,35985
20170821,12.23,12.23,12.21,12.23,19979
20170822,12.2,12.22,12.19,12.21,29556
20170823,12.32,12.32,12.29,12.31,22263
20170824,12.24,12.25,12.23,12.25,7528
20170825,12.27,12.29,12.26,12.29,36070
20170828,12.24,12.24,12.2,12.23,7561
20170829,12.1,12.11,12.06,12.11,10853
20170830,12.09,12.13,12.09,12.11,69157
20170831,12.17,12.17,12.15,12.16,17722
20170901,12.21,12.22,12.2,12.21,18639
20170904,12.28,12.28,12.24,12.24,48161
