Date,Open,High,Low,Close,Volume
20230518,50.47,50.47,50.42,50.47,261
20230519,50.94,50.98,50.94,50.94,923
20230522,50.82,50.88,50.82,50.88,268
20230523,51.03,51.04,50.98,50.98,11538
20230524,50.6,50.6,50.39,50.41,21
20230525,50.07,50.1,50.07,50.1,4792
20230526,50.09,50.09,50.09,50.09,25
20230529,50.09,50.09,50.09,50.09,0
20230530,50.87,50.9,50.84,50.89,1281
20230531,50.89,50.89,50.89,50.89,0
20230601,50.43,50.43,50.43,50.43,4
20230602,50.43,50.43,50.43,50.43,0
20230605,50.43,50.43,50.43,50.43,0
20230606,51.43,51.43,51.43,51.43,11
20230607,51.73,51.73,51.72,51.72,20
20230608,51.44,51.44,51.44,51.44,63
20230609,51.63,51.63,51.63,51.63,12
20230613,52.06,52.36,52.06,52.36,5800
20230614,52.36,52.36,52.36,52.36,0
20230615,52.45,52.45,52.45,52.45,333
20230616,52.91,52.91,52.91,52.91,38
20230619,52.91,52.91,52.74,52.74,38
20230620,52.67,52.67,52.62,52.62,47
20230621,52.62,52.62,52.62,52.62,0
20230622,52.45,52.45,52.34,52.34,23
20230623,52.4,52.4,52.23,52.23,2173
20230626,52.06,52.07,52.06,52.07,56
20230627,51.9,51.9,51.9,51.9,7
20230628,51.9,51.9,51.9,51.9,0
20230629,52.6,52.6,52.6,52.6,36
20230630,52.6,52.6,52.6,52.6,0
20230703,53.06,53.06,53.05,53.05,16
20230704,53.04,53.04,53.04,53.04,10
20230705,53.04,53.04,53.04,53.04,0
20230706,52.81,52.81,52.51,52.51,1765
20230707,52.23,52.27,52.23,52.25,197
20230710,51.8,51.8,51.8,51.8,10
20230711,51.8,51.8,51.8,51.8,0
20230712,51.8,51.8,51.8,51.8,0
20230713,53.05,53.05,53.05,53.05,10
20230714,53.35,53.35,53.34,53.34,36
20230717,53.21,53.21,53.18,53.18,188
20230718,53.35,53.39,53.35,53.39,3518
20230719,53.79,53.8,53.79,53.8,4
20230720,53.88,53.88,53.85,53.85,126
20230721,53.71,53.71,53.7,53.7,942
20230724,53.7,53.7,53.7,53.7,0
20230725,53.87,53.87,53.87,53.87,2
20230726,53.98,53.98,53.87,53.95,9253
20230727,54.76,54.76,53.99,54.15,740
20230728,54.53,54.53,53.86,53.89,15
20230731,54.34,54.36,54.24,54.24,141
20230801,54.38,54.38,54.38,54.38,5
20230802,54.13,54.13,54.06,54.06,962
20230803,53.43,53.43,53.39,53.39,328
20230804,53.3,53.3,53.3,53.3,18
20230807,53.12,53.17,53.12,53.17,284
20230808,53.46,53.46,53.34,53.34,59
20230809,53.29,53.29,53.28,53.28,578
20230810,53.16,53.16,53.16,53.16,433
20230811,53.11,53.11,53.09,53.09,40
20230814,53.1,53.1,53.1,53.1,46
20230815,53.1,53.1,53.1,53.1,0
20230816,52.46,52.51,52.46,52.51,10257
20230817,52.03,52.16,52.03,52.12,268
20230818,51.71,51.79,51.67,51.67,940
20230821,51.77,51.79,51.69,51.69,74
20230822,51.87,52.01,51.87,52.01,9292
20230823,52.14,52.14,52.14,52.14,6138
20230824,52.14,52.14,52.14,52.14,0
20230825,51.91,51.91,51.91,51.91,376040
20230828,52.2,52.28,52.2,52.28,4007
20230829,52.62,52.66,52.58,52.66,1434
20230830,53.375,53.38,53.35,53.35,1905
20230831,53.45,53.5,53.41,53.5,864
20230901,53.46,53.47,53.4,53.43,1968
20230904,53.56,53.56,53.52,53.55,260
20230905,53.45,53.45,53.36,53.36,138
20230906,53.34,53.35,53.26,53.29,3789
20230907,53.12,53.12,52.93,52.93,270
20230908,52.91,52.91,52.82,52.84,135
20230911,52.95,52.98,52.91,52.97,380
20230912,53.23,53.23,53.12,53.18,662
20230913,53.04,53.09,52.92,53.02,41896
20230914,53.16,53.29,53.16,53.24,771
20230915,53.72,53.76,53.64,53.76,1456
20230918,53.32,53.32,53.2,53.32,6743
20230919,53.18,53.18,53.09,53.11,4475
20230920,53.01,53.01,52.93,52.94,1977
20230921,52.53,52.57,52.46,52.5,3889
20230922,51.87,51.96,51.8,51.95,758
20230925,51.85,51.93,51.79,51.92,371
20230926,51.89,51.89,51.69,51.75,5947
20230927,51.34,51.38,51.26,51.38,1979
20230928,51.33,51.35,51.18,51.18,3452
20230929,51.42,51.53,51.42,51.43,2769
20231002,51.63,51.68,51.63,51.63,359
20231003,51.27,51.3,51.15,51.15,1376
20231004,50.57,50.57,50.33,50.34,530
20231005,50.8,50.97,50.8,50.97,3315
20231006,50.89,50.91,50.87,50.91,6509
20231009,51.04,51.08,51.03,51.05,989
20231010,51.7,51.79,51.7,51.79,2429
20231011,52.01,52.01,52.01,52.01,43
20231012,52.405,52.47,52.38,52.47,2815
20231013,52.09,52.09,52,52,2255
20231016,51.81,51.81,51.79,51.79,483
20231017,52.12,52.14,52.02,52.03,5737
20231018,52.09,52.09,51.93,52.06,1172
20231019,51.42,51.5,51.27,51.35,1992
20231020,50.88,50.9,50.74,50.9,1332
20231023,50.45,50.47,50.39,50.41,3642
20231024,50.34,50.37,50.17,50.33,2621
20231025,50.47,50.58,50.47,50.54,3878
20231026,49.76,49.81,49.7,49.73,3814
20231027,49.655,49.8,49.655,49.77,3634
20231030,49.47,49.47,49.39,49.39,1698
20231031,49.705,49.75,49.67,49.73,2143
20231101,50.08,50.16,50.08,50.16,1917
20231102,50.83,50.83,50.77,50.77,68130
20231103,51.495,51.53,51.495,51.53,29598
20231106,51.99,51.99,51.87,51.97,1292
20231107,51.89,51.89,51.83,51.83,186
20231108,52.015,52.02,51.9,51.9,124639
20231109,51.95,52.12,51.94,52.12,25489
20231110,51.79,51.87,51.75,51.87,1253
20231113,52.355,52.355,52.21,52.21,6
20231114,52.51,52.52,52.45,52.52,98092
20231115,53.49,53.49,53.3,53.42,13785
20231116,53.36,53.44,53.27,53.33,2750950
20231117,53.48,53.52,53.435,53.47,405143
20231120,53.58,53.6,53.5,53.52,321861
20231121,53.88,53.89,53.845,53.89,3243
20231122,53.65,53.79,53.65,53.77,124131
20231123,53.9,53.95,53.87,53.91,58698
20231124,53.98,54.01,53.96,53.98,35344
20231127,53.91,53.92,53.8,53.83,43270
20231128,53.9,53.9,53.81,53.83,47782
20231129,53.83,53.89,53.82,53.88,452783
20231130,53.92,53.92,53.85,53.91,9153
20231201,54.05,54.11,53.99,54.08,9251
20231204,54.23,54.27,54.21,54.24,5380
20231205,54.2,54.2,53.95,54,4164
20231206,54.14,54.32,54.14,54.32,6661
20231207,54.02,54.02,53.9,53.94,7674
20231208,54.21,54.23,54.19,54.21,5232
20231211,54.56,54.56,54.45,54.48,4192
20231212,54.74,54.775,54.72,54.72,11810
20231213,54.98,54.99,54.89,54.89,9940
20231214,55.56,55.69,55.56,55.67,217964
20231215,55.6,55.68,55.58,55.68,11718
20231218,55.5,55.58,55.47,55.55,11975
20231219,55.69,55.76,55.63,55.72,9978
20231220,56.02,56.09,56.01,56.06,5734
20231221,55.42,55.5,55.38,55.5,7807
20231222,55.83,55.84,55.71,55.71,19851
20231227,56.41,56.41,56.11,56.18,74283
20231228,56.24,56.33,56.23,56.27,39250
20231229,56.29,56.29,56.19,56.19,8387
20240102,56.32,56.32,55.98,56.05,8780
20240103,56.55,56.55,55.64,55.68,6648
20240104,55.37,55.37,55.25,55.31,1589
20240105,55.39,55.39,55.26,55.27,375
20240108,55.36,55.4,55.25,55.29,8707
20240109,56.01,56.03,55.92,55.92,9266
20240110,55.86,55.91,55.82,55.84,6205
20240111,56.26,56.39,56.24,56.38,6494
20240112,56.14,56.19,56.09,56.12,2608
20240115,56.18,56.34,56.18,56.33,4758
20240116,56.24,56.24,56.02,56.02,18633
20240117,56.05,56.06,55.87,55.88,4710
20240118,55.65,55.68,55.59,55.59,83705
20240119,56.17,56.19,56.09,56.16,525356
20240122,56.56,56.88,56.56,56.81,128329
20240123,56.91,56.92,56.8,56.8,16126
20240124,57.05,57.07,56.99,57.03,142582
20240125,57.1,57.1,57.01,57.07,28818
20240129,57.26,57.34,57.21,57.29,90337
20240130,57.75,57.82,57.72,57.72,18149
20240131,57.52,57.58,57.47,57.58,5107
20240201,57.05,57.16,57.03,57.14,9574
20240202,57.8,57.88,57.74,57.85,5297
20240205,58.05,58.05,57.81,57.82,6148
20240206,57.87,57.91,57.73,57.91,7697
20240207,58.01,58.08,57.96,57.96,10278
20240208,58.36,58.39,58.3,58.37,10563
20240209,58.4,58.41,58.33,58.34,3997
20240212,58.6,58.7,58.6,58.69,8579
20240213,58.66,58.66,58.58,58.61,6329
20240214,58.03,58.03,57.86,57.9,29430
20240215,58.63,58.65,58.46,58.51,14805
20240216,59.01,59.01,58.83,58.9,5910
20240219,58.68,58.84,58.68,58.79,43224
20240220,58.8,58.8,58.57,58.62,10448
20240221,58.57,58.57,58.41,58.43,8790
20240222,58.84,58.98,58.84,58.91,14675
20240223,59.65,59.68,59.52,59.59,20526
20240226,59.66,59.69,59.51,59.51,5351
20240227,59.49,59.58,59.42,59.45,16330
20240228,59.64,59.64,59.54,59.6,11856
20240229,59.41,59.54,59.4,59.54,8638
20240301,59.69,59.89,59.63,59.87,7382
20240304,60.21,60.22,60.14,60.14,4512
20240305,60.08,60.08,59.98,60.05,8002
20240306,59.72,59.74,59.62,59.72,11099
20240307,60.03,60.03,59.77,59.81,8864
20240308,60.51,60.61,60.44,60.55,11625
20240311,60.06,60.13,59.91,59.93,8447
20240312,60.22,60.22,60.1,60.15,3492
20240313,60.66,60.69,60.5,60.61,3685
20240314,60.64,60.67,60.55,60.59,8008
20240315,60.44,60.49,60.33,60.43,6323
20240318,60.28,60.36,60.19,60.33,10212
20240319,60.42,60.47,60.34,60.47,7622
20240320,60.85,60.85,60.7,60.76,10689
20240321,61.52,61.53,61.38,61.49,12944
20240322,61.61,61.62,61.5,61.58,13677
20240325,61.44,61.5,61.35,61.43,7129
20240326,61.3,61.38,61.29,61.38,20457
20240327,61.34,61.48,61.34,61.48,42163
20240328,61.65,61.7,61.63,61.69,38733
20240402,61.85,61.85,61.42,61.44,7585
20240403,61.14,61.14,61.01,61.08,14434
20240404,61.3,61.47,61.3,61.4,15084
20240405,60.54,60.58,60.44,60.56,29317
20240408,61.14,61.17,61.02,61.08,10607
20240409,61.18,61.25,61.15,61.25,7387
20240410,61.3,61.32,61.24,61.27,9939
20240411,60.66,60.82,60.66,60.82,4850
20240412,61.12,61.18,61.07,61.09,7323
20240415,60.5,60.61,60.4,60.61,7290
20240416,59.71,59.72,59.43,59.59,21225
20240417,59.59,59.62,59.49,59.49,9353
20240418,59.26,59.43,59.23,59.4,6517
20240419,59,59,58.16,58.54,36634
20240422,58.93,59.01,58.85,58.97,5351
20240423,59.34,59.35,59.21,59.32,4099
20240424,60.14,60.29,60.14,60.22,5617
20240426,60.02,60.16,59.97,60.16,6980
20240429,60.38,60.54,60.38,60.52,30144
20240430,60.45,60.48,60.32,60.32,10793
20240501,59.54,59.67,59.54,59.6,12854
20240502,59.7,59.82,59.68,59.79,3870
20240503,59.99,60.08,59.95,60.03,6799
20240506,60.64,60.65,60.53,60.54,37921
20240507,61.19,61.19,61.03,61.05,27248
20240508,61.27,61.27,61.12,61.13,13651
20240509,61.2,61.28,61.15,61.15,22030
20240510,61.59,61.61,61.52,61.52,7623
20240513,61.62,61.71,61.61,61.66,7643
20240514,61.69,61.69,61.59,61.62,5126
20240515,62.01,62.03,61.91,61.91,6977
20240516,62.55,62.63,62.53,62.63,9355
20240517,62.37,62.44,62.34,62.36,7810
20240520,62.61,62.66,62.6,62.63,14544
20240521,62.62,62.63,62.53,62.58,17061
20240522,62.7,62.71,62.61,62.63,7877
20240523,62.58,62.81,62.58,62.74,16610
20240524,62.03,62.17,62.02,62.1,6653
20240527,62.32,62.4,62.29,62.38,6371
20240528,62.49,62.55,62.45,62.54,6259
20240529,62.38,62.38,62.13,62.18,11606
20240530,61.7,61.71,61.51,61.54,10477
20240531,61.65,61.72,61.51,61.64,50950
20240603,62.39,62.4,62.35,62.35,3376
20240604,62.22,62.24,62.16,62.17,4332
20240605,62.2,62.29,62.2,62.27,9417
20240606,62.85,62.94,62.8,62.8,10929
20240607,62.92,62.96,62.86,62.86,18626
20240611,62.9,62.92,62.82,62.9,9735
20240612,62.92,62.92,62.86,62.87,4733
20240613,63.45,63.46,63.37,63.37,28010
20240614,63.3,63.4,63.27,63.3,7804
20240617,63.14,63.17,63.08,63.15,15196
20240618,63.61,63.62,63.51,63.58,6869
20240619,63.72,63.74,63.69,63.73,7021
20240620,63.7,63.86,63.66,63.86,5501
20240621,63.72,63.73,63.645,63.67,10651
20240624,63.56,63.57,63.37,63.52,9561
20240625,63.52,63.66,63.49,63.66,7393
20240626,63.72,63.86,63.72,63.86,18533
20240627,63.78,63.78,63.5,63.72,29367
20240628,63.99,64.06,63.96,63.99,19543
20240701,63,63.71,62.7,62.94,11001
20240702,62.79,62.86,62.72,62.84,859094
20240703,63.19,63.27,63.12,63.27,739939
20240704,63.43,63.52,63.43,63.52,18522
20240705,63.56,63.59,63.54,63.59,12393
20240708,63.71,63.71,63.63,63.65,16727
20240709,63.9,63.97,63.85,63.95,16816
20240710,63.82,63.86,63.77,63.82,22437
20240711,64.41,64.47,64.37,64.45,20423
20240712,63.99,64.11,63.99,64.09,21919
20240715,64.43,64.46,64.39,64.46,11489
20240716,64.56,64.56,64.49,64.54,17028
20240717,64.77,64.77,64.59,64.59,28796
20240718,64.07,64.14,64.01,64.05,58687
20240719,63.61,63.61,63.48,63.57,10368
20240722,63.34,63.34,63.05,63.23,26255
20240723,63.7,63.7,63.55,63.64,15912
20240724,63.48,63.48,63.2,63.23,27002
20240725,62.36,62.44,62.07,62.07,24032
20240726,62.04,62.26,62.02,62.07,9273
20240729,62.78,62.97,62.78,62.78,75399
20240730,62.49,62.65,62.36,62.59,16996
20240731,62.49,62.86,62.43,62.86,14448
20240801,63.52,63.52,63.32,63.38,27120
20240802,61.99,62.09,61.6,61.65,37233
20240805,61.03,61.03,58.27,58.27,167182
20240806,59.81,60.2,59.68,59.95,20074
20240807,59.39,60.4,59.32,60.09,111693
20240808,59.11,59.72,59.11,59.42,25256
20240809,60.79,60.89,60.49,60.62,15767
20240812,60.99,61.1,60.93,61.04,16118
20240813,61.07,61.22,61.04,61.18,18008
20240814,61.95,62.06,61.89,62.02,20217
20240815,62.27,62.46,62.27,62.39,25038
20240816,63.29,63.46,63.28,63.39,11016
20240819,63.33,63.52,63.3,63.32,24857
20240820,63.85,63.96,63.81,63.93,38112
20240821,63.67,63.84,63.67,63.79,18331
20240822,63.99,63.99,63.83,63.92,30829
20240823,63.66,63.8,63.65,63.79,16679
20240826,64.03,64.13,64,64.06,19203
20240827,63.93,64.04,63.9,64.01,10773
20240828,63.99,64.11,63.97,64.1,21952
20240829,63.45,63.76,63.45,63.76,37466
20240830,63.92,64.15,63.92,64.11,33849
20240902,64.41,64.46,64.31,64.44,27994
20240903,64.43,64.49,64.25,64.45,131924
20240904,63.01,63.13,62.76,62.82,332091
20240905,62.84,63.05,62.78,62.9,13535
20240906,62.67,62.73,62.5,62.64,24933
20240909,61.6,62.04,61.6,61.97,25145
20240910,62.42,62.45,62.26,62.3,11365
20240911,62.47,62.47,62.13,62.28,22466
20240912,63.22,63.36,63.155,63.35,31258
20240913,63.69,63.77,63.54,63.56,21107
20240916,63.93,63.94,63.8,63.85,20272
20240917,63.9,63.98,63.79,63.98,32680
20240918,64,64.02,63.89,63.95,31051
20240919,64.25,64.45,64.045,64.41,16684
20240920,64.91,64.91,64.71,64.73,23124
20240923,64.86,64.95,64.75,64.77,23939
20240924,64.82,64.88,64.67,64.85,13846
20240925,64.94,65,64.75,64.78,35359
20240926,65.14,65.47,65.07,65.47,44821
20240927,65.43,65.56,65.28,65.47,44330
20240930,65.33,65.33,65.08,65.08,43354
20241001,65.3,65.48,65.3,65.44,16855
20241002,64.81,64.94,64.63,64.63,16855
20241003,65.02,65.02,64.77,64.82,15861
20241004,64.78,64.92,64.72,64.82,13541
20241007,65.47,65.48,65.3,65.3,19382
20241008,64.79,64.95,64.63,64.63,28125
20241009,65.27,65.27,65.09,65.1,23951
20241010,65.73,65.75,65.63,65.63,21459
20241011,65.65,65.71,65.57,65.57,12236
20241014,65.94,66,65.89,65.92,9731
20241015,66.51,66.61,66.44,66.44,18568
20241016,65.86,65.93,65.83,65.86,13280
20241017,66.14,66.14,65.96,65.96,18262
20241018,66.26,66.27,66.08,66.13,26090
20241021,66.53,66.53,66.35,66.35,13350
20241022,66.29,66.29,66.02,66.02,12893
20241023,66.04,66.17,66.04,66.13,27835
20241024,65.71,65.81,65.6,65.66,16879
20241025,65.74,65.77,65.57,65.57,17696
20241028,65.84,66.11,65.84,66.11,21847
20241029,66.02,66.07,65.94,65.98,20580
20241030,66.2,66.29,66.12,66.13,20340
20241031,65.63,65.68,65.5,65.5,17456
20241101,64.69,64.73,64.55,64.62,43195
20241104,64.79,65.08,64.76,65,9438
20241105,65,65,64.69,64.78,21268
20241106,65.52,66.25,65.45,65.9,34821
20241107,66.83,66.84,66.58,66.78,22461
20241108,67.18,67.28,67.11,67.13,17528
20241111,67.42,67.44,67.3,67.35,14819
20241112,67.39,67.5,67.32,67.35,8426
20241113,67.13,67.13,67.01,67.01,27608
20241114,67.19,67.26,67.02,67.02,20466
20241115,67.03,67.03,66.68,66.74,10289
20241118,66.22,66.33,66.15,66.3,30164
20241119,66.32,66.56,66.28,66.56,36487
20241120,66.66,66.72,66.56,66.62,23410
20241121,66.69,66.69,66.35,66.45,26186
20241122,66.7,67.02,66.7,66.92,12003
20241125,67.44,67.54,67.43,67.54,15378
20241126,67.6,67.6,67.01,67.24,20236
20241127,67.51,67.65,67.46,67.46,21344
20241128,67.42,67.53,67.39,67.51,27464
20241129,67.51,67.64,67.41,67.51,16008
20241202,67.8,67.83,67.67,67.72,17857
20241203,68.11,68.2,68.04,68.12,50252
20241204,68.3,68.3,68.04,68.1,67717
20241205,68.66,68.67,68.35,68.35,80353
20241206,68.4,68.47,68.35,68.42,26463
20241209,68.74,68.74,68.58,68.59,21683
20241210,68.31,68.31,68.22,68.25,28239
20241211,68.17,68.17,68.05,68.08,28348
20241212,68.59,68.63,68.5,68.52,67614
20241213,68.3,68.38,68.24,68.32,144880
20241216,68.34,68.39,68.17,68.17,23954
20241217,68.32,68.4,68.31,68.32,15263
20241218,68.27,68.27,68.01,68.11,23612
20241219,67.32,67.32,66.25,66.4,23318
20241220,66.38,66.42,65.9,66.04,34744
20241223,66.92,67.06,66.88,67.06,20918
20241224,67.51,67.51,67.14,67.2,10686
20241227,68.16,68.16,67.76,67.76,41363
20241230,67.79,67.79,67.25,67.25,13163
20241231,66.59,66.78,66.56,66.67,41613
20250102,66.48,66.48,66,66.44,21516
20250103,66.31,66.32,66.11,66.27,20101
20250106,66.8,66.86,66.69,66.81,13239
20250107,67.3,67.3,67.08,67.08,18296
20250108,66.79,66.82,66.57,66.71,16223
20250109,66.85,66.85,66.51,66.53,11489
20250110,66.54,66.6,66.39,66.46,17478
20250113,65.82,65.82,65.42,65.48,19260
20250114,66,66.01,65.84,65.93,16799
20250115,65.97,65.97,65.87,65.89,17176
20250116,66.91,67.06,66.91,67.01,22807
20250117,66.89,67.05,66.87,66.97,16847
