Date,Open,High,Low,Close,Volume
20211007,10.09,10.13,10.05,10.11,381687
20211008,10.33,10.33,10.25,10.31,154198
20211011,10.5,10.5,10.31,10.35,231031
20211012,10.65,10.65,10.37,10.4,165570
20211013,10.79,10.94,10.75,10.93,378806
20211014,12,12.25,11.41,11.53,396187
20211015,11.7,11.7,11.41,11.42,247948
20211018,11.5,11.5,11.24,11.28,172484
20211019,11.45,11.45,11.37,11.42,209262
20211020,11.57,11.59,11.47,11.49,128908
20211021,11.45,11.45,11.28,11.3,125974
20211022,11.46,11.62,11.46,11.62,99758
20211025,11.34,11.34,11.25,11.32,129697
20211026,11.71,11.83,11.71,11.82,77589
20211027,11.98,11.98,11.88,11.95,71865
20211028,11.98,11.98,11.9,11.9,136468
20211029,12.16,12.17,12.1,12.17,159633
20211101,12.4,12.53,12.4,12.49,135256
20211102,12.84,13.06,12.84,13.04,180637
20211103,13.2,13.2,12.86,12.93,166664
20211104,12.82,12.86,12.76,12.86,151515
20211105,12.94,12.94,12.86,12.91,120908
20211108,12.85,12.85,12.75,12.81,146418
20211109,13.01,13.43,13.01,13.43,114204
20211110,13.32,13.32,13.25,13.27,170273
20211111,13.5,13.5,13.16,13.23,131360
20211112,13.38,13.48,13.33,13.45,107304
20211115,13.84,14,13.55,13.62,165802
20211116,13.46,13.46,13.17,13.33,254591
20211117,13.35,13.39,13.29,13.35,103125
20211118,13.27,13.3,13.23,13.3,126371
20211119,13.25,13.25,12.82,12.86,246948
20211122,13.01,13.13,13.01,13.07,70018
20211123,13,13,12.73,12.79,200739
20211124,12.7,12.7,12.48,12.53,118792
20211125,12.54,12.59,12.53,12.57,93380
20211126,12.73,12.73,12.58,12.6,155881
20211129,12.36,12.39,12.21,12.35,238336
20211130,12.38,12.43,12.34,12.39,54268
20211201,12.36,12.38,12.22,12.36,65527
20211202,12.21,12.21,11.8,11.94,129304
20211203,11.88,11.88,11.66,11.78,75294
20211206,11.7,11.7,11.38,11.47,136129
20211207,11.47,11.5,11.41,11.5,43630
20211208,11.83,11.88,11.81,11.83,84082
20211209,11.9,11.9,11.7,11.74,50006
20211210,11.68,11.68,11.3,11.31,96539
20211213,11.3,11.3,11.11,11.21,41253
20211214,11.04,11.04,10.9,11.01,84509
20211215,10.9,10.9,10.7,10.74,50392
20211216,10.81,10.9,10.8,10.9,46302
20211217,10.9,10.9,10.66,10.73,95421
20211220,10.7,10.81,10.63,10.66,54994
20211221,10.65,10.68,10.55,10.68,39173
20211222,10.7,10.93,10.7,10.86,57380
20211223,10.95,10.95,10.85,10.86,14144
20211224,10.9,11.22,10.89,11.01,15264
20211229,10.92,10.94,10.81,10.85,37653
20211230,10.75,10.75,10.48,10.59,41142
20211231,10.6,10.86,10.6,10.79,13318
20220104,10.82,11.02,10.82,10.97,18882
20220105,10.89,10.89,10.73,10.75,27105
20220106,10.65,10.65,10.44,10.45,41494
20220107,10.44,10.44,10.23,10.26,66794
20220110,10.3,10.3,10.1,10.12,16805
20220111,10.05,10.05,9.9,9.91,98935
20220112,10,10.07,10,10.04,34080
20220113,10.06,10.06,9.91,9.92,76673
20220114,9.91,9.91,9.74,9.75,55195
20220117,9.75,9.79,9.64,9.66,72288
20220118,9.66,9.7,9.6,9.64,43506
20220119,9.51,9.51,9.29,9.3,58430
20220120,9.25,9.25,9.04,9.1,39674
20220121,9.1,9.17,9.07,9.11,49610
20220124,9.02,9.02,8.85,8.93,47052
20220125,8.8,8.8,8.51,8.53,29346
20220127,8.53,8.59,8.23,8.27,51381
20220128,8.34,8.34,8.13,8.21,51889
20220131,8.19,8.33,8.19,8.33,11832
20220201,8.63,8.81,8.63,8.77,25662
20220202,8.93,8.95,8.8,8.92,60769
20220203,9,9.2,8.71,8.73,33557
20220204,8.66,8.66,8.44,8.5,40172
20220207,8.5,8.53,8.44,8.49,24381
20220208,8.51,8.51,8.39,8.4,18969
20220209,8.5,8.5,8.38,8.42,14402
20220210,8.67,8.81,8.67,8.74,28884
20220211,8.7,8.7,8.51,8.53,14166
20220214,8.58,8.58,8.41,8.44,29935
20220215,8.46,8.46,8.31,8.31,25621
20220216,8.67,8.85,8.67,8.82,38507
20220217,8.85,8.85,8.8,8.82,20989
20220218,8.77,8.77,8.61,8.71,26660
20220221,8.61,8.61,8.38,8.48,27968
20220222,8.26,8.26,8.13,8.14,70403
20220223,8.14,8.21,8.14,8.2,81490
20220224,8.16,8.16,7.76,7.83,97635
20220225,8.32,8.51,8.32,8.5,77835
20220228,8.5,8.66,8.45,8.61,104985
20220301,9.4,9.55,9.4,9.49,75440
20220302,9.41,9.41,9.12,9.28,15424
20220303,9.35,9.43,9.34,9.37,7530
20220304,9.16,9.16,8.8,8.8,41431
20220307,8.75,8.75,8.29,8.42,65473
20220308,8.81,8.9,8.81,8.85,11380
20220309,9.43,9.7,9.43,9.7,32283
20220310,9.88,9.88,9.74,9.74,29873
