Date,Open,High,Low,Close,Volume
20240430,1.005,1.005,1.005,1.005,1000000
20240501,1.01,1.01,1.01,1.01,520
20240502,1.01,1.01,1.01,1.01,10
20240503,1.01,1.01,1.01,1.01,0
20240506,1.01,1.01,1.01,1.01,0
20240507,1.01,1.01,1.01,1.01,1000000
20240508,1.01,1.01,1.01,1.01,2000000
20240509,1.015,1.015,1.015,1.015,76
20240510,1.015,1.015,1,1,152
20240513,1.015,1.015,1.015,1.015,8
20240514,1.015,1.015,1.015,1.015,10
20240515,1.015,1.015,1.015,1.015,1849
20240516,1.025,1.025,1.025,1.025,487
20240517,1.025,1.025,1.025,1.025,1862
20240520,1.025,1.025,1.025,1.025,0
20240521,1.025,1.025,1.025,1.025,1000000
20240522,1.025,1.025,1.02,1.02,820
20240523,1.02,1.02,1.02,1.02,0
20240524,1.02,1.02,1.02,1.02,0
20240527,1.02,1.02,1.02,1.02,0
20240528,1.02,1.02,1.02,1.02,0
20240529,1.025,1.025,1.025,1.025,39
20240530,1.025,1.025,1.025,1.025,0
20240531,1.025,1.025,1.025,1.025,0
20240603,1.025,1.025,1.025,1.025,0
20240604,1.025,1.025,1.025,1.025,0
20240605,1.01,1.01,1.005,1.005,208
20240606,1.005,1.005,1.005,1.005,0
20240607,1.005,1.005,1.005,1.005,0
20240611,1.035,1.035,1.03,1.03,89
20240612,1.025,1.025,1.025,1.025,18
20240613,1.03,1.03,1.03,1.03,412
20240614,1.025,1.025,1.025,1.025,8
20240617,1.015,1.015,1.015,1.015,1061
20240618,1.015,1.015,1.015,1.015,66
20240619,1.005,1.005,1.005,1.005,250032
20240620,1.005,1.005,1.005,1.005,1034
20240621,1.005,1.005,1.005,1.005,0
20240624,1.005,1.005,1.005,1.005,0
20240625,1.005,1.005,1.005,1.005,0
20240626,1,1,1,1,180
20240627,1,1,1,1,0
20240628,1,1,1,1,0
20240701,0.985,0.985,0.985,0.985,25
20240702,0.98,0.98,0.98,0.98,255
20240703,0.985,0.985,0.985,0.985,254
