Date,Open,High,Low,Close,Volume
20240430,1.005,1.005,1.005,1.005,1000000
20240501,1.01,1.01,1.01,1.01,520
20240502,1.01,1.01,1.01,1.01,10
20240503,1.01,1.01,1.01,1.01,0
20240506,1.01,1.01,1.01,1.01,0
20240507,1.01,1.01,1.01,1.01,1000000
20240508,1.01,1.01,1.01,1.01,2000000
20240509,1.065,1.065,1.065,1.065,10
20240510,1.015,1.015,1.015,1.015,39
20240513,1.01,1.01,1,1.01,29
20240514,1.015,1.015,1.015,1.015,22
20240515,1.015,1.015,1.015,1.015,499
20240516,1.01,1.01,1.01,1.01,10
20240517,1.01,1.01,1.01,1.01,1185
20240520,1.01,1.01,1.01,1.01,25
20240521,1.015,1.015,1.015,1.015,1001970
20240522,1.01,1.01,1.01,1.01,138
20240523,1.01,1.01,1.01,1.01,0
20240524,1.01,1.01,1.01,1.01,0
20240527,1.01,1.01,1.01,1.01,39
20240528,1.01,1.01,1.01,1.01,0
20240529,1.01,1.01,1.01,1.01,138
20240530,1,1,1,1,1003
20240531,1.005,1.005,1.005,1.005,3
20240603,1.005,1.005,1.005,1.005,0
20240604,1.005,1.005,1.005,1.005,0
20240605,1.005,1.005,1.005,1.005,0
20240606,0.995,0.995,0.995,0.995,5025
20240607,1,1,1,1,13
20240611,0.99,0.99,0.99,0.99,2726
20240612,0.985,0.985,0.985,0.985,10
20240613,0.985,0.985,0.985,0.985,253
20240614,0.98,0.98,0.98,0.98,5
20240617,0.975,0.975,0.97,0.975,1086
20240618,0.97,0.975,0.97,0.975,1064
20240619,0.965,0.965,0.965,0.965,17
20240620,0.965,0.965,0.965,0.965,0
20240621,0.965,0.965,0.965,0.965,0
20240624,0.965,0.965,0.965,0.965,0
20240625,0.975,0.975,0.975,0.975,369
20240626,0.97,0.97,0.97,0.97,97
20240627,0.97,0.97,0.97,0.97,11
20240628,0.97,0.97,0.97,0.97,0
20240701,0.975,0.975,0.975,0.975,136
20240702,0.98,0.98,0.98,0.98,224
20240703,0.985,0.985,0.98,0.98,1254
