Date,Open,High,Low,Close,Volume
20160516,10.1,10.1,10.09,10.09,300
20160517,10.09,10.09,10.09,10.09,0
20160518,10.11,10.11,10.11,10.11,1023
20160519,10.2,10.2,10.15,10.15,2000
20160520,10.15,10.15,10.15,10.15,0
20160523,10.15,10.15,10.15,10.15,0
20160524,10.15,10.15,10.15,10.15,0
20160525,10.18,10.18,10.18,10.18,1930
20160526,10.22,10.22,10.22,10.22,1000
20160527,10.22,10.22,10.22,10.22,0
20160530,10.22,10.22,10.22,10.22,0
20160531,10.4,10.44,10.4,10.44,121746
20160601,10.28,10.31,10.18,10.18,3274
20160602,10.2,10.2,10.2,10.2,1000
20160603,10.2,10.2,10.2,10.2,0
20160606,9.92,10.03,9.92,10.03,2652
20160607,10.03,10.03,10.03,10.03,0
20160608,10.16,10.16,10.15,10.15,1322
20160609,10.08,10.09,10.08,10.09,1845
20160610,10.09,10.09,10.09,10.09,0
20160614,9.7,9.7,9.51,9.54,4967
20160615,9.64,9.64,9.61,9.61,3363
20160616,9.46,9.46,9.34,9.34,5720
20160617,9.4,9.4,9.36,9.4,1599
20160620,9.74,9.76,9.74,9.76,18923
20160621,9.71,9.71,9.71,9.71,125
20160622,9.68,9.68,9.65,9.65,5989
20160623,9.7,9.74,9.7,9.74,7544
20160624,9.91,9.91,9,9,6517
20160627,9.15,9.17,9.15,9.17,2219
20160628,9.31,9.31,9.31,9.31,1195
20160629,9.17,9.17,9.17,9.17,997
20160630,9.27,9.27,9.24,9.24,1397
20160701,9.21,9.21,9.21,9.21,3030
20160704,9.19,9.19,9.19,9.19,3000
20160705,9.22,9.23,9.22,9.23,662
20160706,9.05,9.05,9.05,9.05,1740
20160707,9,9,8.96,8.96,1342
20160708,8.87,8.87,8.87,8.87,2569
20160711,9.16,9.16,9.16,9.16,2000
20160712,9.49,9.5,9.47,9.5,13391
20160713,9.7,9.7,9.62,9.63,33355
20160714,9.71,9.76,9.7,9.76,16588
20160715,9.83,9.83,9.75,9.79,20124
20160718,9.86,9.86,9.86,9.86,4360
20160719,9.85,9.95,9.85,9.95,5533
20160720,9.84,9.85,9.84,9.85,7000
20160721,9.95,9.95,9.91,9.91,1136
20160722,9.91,9.91,9.91,9.91,100908
20160725,9.95,9.95,9.91,9.91,106
20160726,9.91,9.91,9.91,9.91,0
20160727,9.83,9.85,9.83,9.84,2273
20160728,9.84,9.84,9.84,9.84,0
20160729,9.77,9.77,9.75,9.75,3280
20160801,9.75,9.75,9.75,9.75,0
20160802,9.84,9.84,9.84,9.84,25399
20160803,9.84,9.84,9.84,9.84,0
20160804,9.59,9.59,9.59,9.59,734
20160805,9.59,9.59,9.59,9.59,0
20160808,9.84,9.88,9.84,9.88,2251
20160809,9.91,9.91,9.91,9.91,17500
20160810,10.06,10.06,10.04,10.04,920
20160811,10.04,10.04,10.04,10.04,0
20160812,10.05,10.05,10.05,10.05,3451
20160815,9.98,9.99,9.98,9.99,3000
20160816,9.97,9.97,9.97,9.97,3000
20160817,9.86,9.88,9.86,9.88,56000
20160818,9.9,9.9,9.84,9.84,2146
20160819,9.91,9.95,9.88,9.88,6000
20160822,10.02,10.03,9.98,9.98,3000
20160823,9.99,10.04,9.95,9.95,9000
20160824,9.95,9.95,9.95,9.95,0
20160825,10.01,10.01,10,10,900
20160826,9.87,9.87,9.86,9.86,3191
20160829,10.08,10.08,10.08,10.08,20000
20160830,10.12,10.13,10.12,10.13,1461
20160831,10.26,10.29,10.26,10.28,4252
20160901,10.35,10.35,10.34,10.35,7093
20160902,10.35,10.35,10.35,10.35,0
20160905,10.48,10.48,10.43,10.43,6524
20160906,10.42,10.5,10.42,10.49,2839
20160907,10.39,10.47,10.39,10.47,49900
20160908,10.37,10.37,10.35,10.35,1500
