Date,Open,High,Low,Close,Volume
20231113,23.95,23.95,23.95,23.95,420
20231114,23.97,23.97,23.97,23.97,3000
20231115,24.31,24.33,24.31,24.33,2001
20231116,24.43,24.43,24.43,24.43,3100
20231117,24.43,24.43,24.43,24.43,0
20231120,24.43,24.43,24.43,24.43,0
20231121,24.48,24.48,24.48,24.48,40
20231122,24.31,24.31,24.31,24.31,41
20231123,24.43,24.43,24.43,24.43,13078
20231124,24.47,24.47,24.47,24.47,40
20231127,24.47,24.47,24.47,24.47,0
20231128,24.47,24.47,24.47,24.47,0
20231129,24.38,24.38,24.38,24.38,4
20231130,24.47,24.47,24.47,24.47,1500
20231201,24.47,24.47,24.47,24.47,0
20231204,24.47,24.47,24.47,24.47,0
20231205,24.47,24.47,24.47,24.47,0
20231206,24.73,24.73,24.73,24.73,8000
20231207,24.66,24.66,24.66,24.66,2
20231208,24.66,24.66,24.66,24.66,0
20231211,24.66,24.66,24.66,24.66,0
20231212,24.66,24.66,24.66,24.66,0
20231213,24.66,24.66,24.66,24.66,0
20231214,24.66,24.66,24.66,24.66,0
20231215,24.66,24.66,24.66,24.66,0
20231218,24.66,24.66,24.66,24.66,0
20231219,24.66,24.66,24.66,24.66,0
20231220,24.66,24.66,24.66,24.66,0
20231221,24.66,24.66,24.66,24.66,0
20231222,25.34,25.34,25.34,25.34,9865
20231227,25.34,25.34,25.34,25.34,0
20231228,25.56,25.56,25.53,25.53,40
20231229,25.56,25.56,25.56,25.56,3906
20240102,25.56,25.56,25.56,25.56,0
20240103,25.56,25.56,25.56,25.56,0
20240104,25.56,25.56,25.56,25.56,0
20240105,25.56,25.56,25.56,25.56,0
20240108,25.56,25.56,25.56,25.56,0
20240109,25.56,25.56,25.56,25.56,0
20240110,25.56,25.56,25.56,25.56,0
20240111,25.56,25.56,25.56,25.56,0
20240112,25.6,25.6,25.6,25.6,22
20240115,25.6,25.6,25.6,25.6,0
20240116,25.55,25.55,25.55,25.55,5
20240117,25.55,25.55,25.55,25.55,0
20240118,25.55,25.55,25.55,25.55,0
20240119,25.55,25.55,25.55,25.55,0
20240122,25.55,25.55,25.55,25.55,0
20240123,25.75,25.75,25.75,25.75,73
20240124,25.8,25.8,25.8,25.8,20
20240125,25.8,25.8,25.8,25.8,0
20240129,25.8,25.8,25.8,25.8,0
20240130,25.8,25.8,25.8,25.8,0
20240131,25.8,25.8,25.8,25.8,0
20240201,25.86,25.91,25.86,25.91,335
20240202,25.91,25.91,25.91,25.91,0
20240205,25.92,25.92,25.84,25.84,2575
20240206,25.64,25.64,25.64,25.64,779
20240207,25.64,25.64,25.64,25.64,0
20240208,25.64,25.64,25.64,25.64,0
20240209,25.64,25.64,25.64,25.64,0
20240212,25.64,25.64,25.64,25.64,0
20240213,25.64,25.64,25.64,25.64,0
20240214,25.8,25.8,25.8,25.8,1000
20240215,26,26,26,26,3200
20240216,26,26,26,26,0
20240219,26,26,26,26,0
20240220,26.15,26.15,26.14,26.14,437
20240221,26.15,26.15,26.15,26.15,171
20240222,26.15,26.15,26.15,26.15,0
20240223,26.15,26.15,26.15,26.15,0
20240226,26.15,26.15,26.15,26.15,0
20240227,26.15,26.15,26.15,26.15,0
20240228,26.15,26.15,26.15,26.15,0
20240229,26.35,26.35,26.35,26.35,850
20240301,26.35,26.35,26.35,26.35,0
20240304,26.64,26.64,26.63,26.64,10001
20240305,26.64,26.64,26.64,26.64,0
20240306,26.64,26.64,26.64,26.64,0
20240307,26.91,26.91,26.83,26.83,6000
20240308,26.83,26.83,26.83,26.83,0
20240311,26.83,26.83,26.83,26.83,0
20240312,26.84,26.87,26.84,26.87,932
20240313,26.82,26.84,26.82,26.84,5000
20240314,26.84,26.84,26.83,26.83,9100
20240315,26.74,26.74,26.74,26.74,1952
20240318,26.74,26.74,26.74,26.74,0
20240319,26.74,26.74,26.74,26.74,0
20240320,26.74,26.74,26.74,26.74,0
20240321,26.74,26.74,26.74,26.74,0
20240322,26.74,26.74,26.74,26.74,0
20240325,26.74,26.74,26.74,26.74,0
20240326,27.46,27.46,27.46,27.46,483
20240327,27.46,27.46,27.46,27.46,0
20240328,27.72,27.72,27.72,27.72,389
20240402,27.72,27.72,27.72,27.72,0
20240403,27.44,27.44,27.43,27.43,2587
20240404,27.7,27.7,27.7,27.7,2000
20240405,27.39,27.44,27.39,27.42,526
20240408,27.42,27.42,27.42,27.42,0
20240409,27.42,27.42,27.42,27.42,0
20240410,27.83,27.83,27.83,27.83,109
20240411,27.6,27.6,27.6,27.6,1000
20240412,27.6,27.6,27.6,27.6,0
20240415,27.6,27.6,27.6,27.6,0
20240416,27.6,27.6,27.6,27.6,0
20240417,27.5,27.5,27.5,27.5,40
