Date,Open,High,Low,Close,Volume
20141103,25.33,25.33,25.33,25.33,1000
20141104,25.28,25.28,25.26,25.26,2185
20141105,25.28,25.28,25.28,25.28,500
20141106,25.32,25.32,25.2,25.22,16141
20141107,25.29,25.34,25.29,25.32,8345
20141110,25.32,25.32,25.17,25.23,17346
20141111,25.3,25.32,25.23,25.31,12388
20141112,25.25,25.25,25.17,25.19,14174
20141113,25.17,25.17,25.05,25.1,22972
20141114,25.02,25.13,25,25.11,5600
20141117,25,25,24.86,24.89,5152
20141118,24.89,24.89,24.82,24.85,9700
20141119,24.84,24.84,24.83,24.83,2600
20141120,24.7,24.86,24.7,24.75,18094
20141121,24.7,24.72,24.69,24.69,3704
20141124,24.76,24.8,24.71,24.74,15785
20141125,24.7,24.7,24.7,24.7,1250
20141126,24.96,24.96,24.89,24.94,5846
20141127,25,25.04,25,25.01,4035
20141128,25.01,25.01,24.84,24.85,13743
20141201,24.65,24.7,24.44,24.45,12247
20141202,24.45,24.71,24.45,24.7,40379
20141203,24.7,24.79,24.7,24.79,5060
20141204,24.85,24.95,24.85,24.95,1800
20141205,24.99,25.04,24.9,24.9,9253
20141208,24.97,25.16,24.97,25.1,12101
20141209,25,25,24.88,24.92,10879
20141210,24.9,24.9,24.69,24.79,39035
20141211,24.69,24.74,24.61,24.72,17520
20141212,24.69,24.75,24.67,24.74,18364
20141215,24.67,24.67,24.56,24.65,15809
20141216,24.58,24.59,24.5,24.51,35942
20141217,24.58,24.62,24.55,24.59,16060
20141218,24.41,24.71,24.41,24.6,19665
20141219,24.75,24.9,24.74,24.9,26763
20141222,24.99,25.08,24.94,25.05,30845
20141223,25.12,25.12,25,25,13383
20141224,25.02,25.05,25,25.05,8964
20141229,25.08,25.23,25.08,25.23,10490
20141230,25.27,25.27,25.1,25.1,26238
20141231,25.12,25.12,25.07,25.07,11298
20150102,24.8,24.92,24.8,24.91,6750
20150105,24.9,24.96,24.9,24.91,13950
20150106,24.83,24.83,24.69,24.71,20040
20150107,24.65,24.76,24.65,24.76,9700
20150108,24.77,24.81,24.77,24.79,12740
20150109,24.94,24.98,24.9,24.96,30527
20150112,24.94,24.94,24.89,24.9,10981
20150113,24.85,24.86,24.79,24.85,17511
20150114,24.83,24.83,24.72,24.72,88011
20150115,24.72,24.72,24.63,24.72,13763
20150116,24.62,24.68,24.5,24.5,47668
20150119,24.72,24.74,24.65,24.65,10359
20150120,24.65,24.65,24.58,24.63,12951
20150121,24.72,24.8,24.72,24.79,5888
20150122,24.86,24.92,24.86,24.9,31336
20150123,25,25.08,25,25.06,9028
20150127,25.09,25.19,25.09,25.19,11726
20150128,25.18,25.23,25.1,25.19,38389
20150129,25.18,25.26,25.14,25.25,22460
20150130,25.33,25.38,25.32,25.34,121353
20150202,25.14,25.21,25.08,25.19,23369
20150203,25.26,25.42,25.2,25.42,11826
20150204,25.65,25.65,25.5,25.57,130239
20150205,25.62,25.7,25.43,25.68,28514
20150206,25.76,25.76,25.66,25.76,85797
20150209,25.67,25.68,25.59,25.61,34619
20150210,25.72,25.72,25.59,25.65,27182
20150211,25.6,25.62,25.5,25.56,77265
20150212,25.51,25.51,25.4,25.45,77816
20150213,25.66,26.02,25.66,26.01,39650
20150216,26.16,26.17,26,26.11,20189
20150217,26.1,26.18,26.09,26.09,44347
20150218,26.2,26.22,26.16,26.2,106706
20150219,26.39,26.39,26.16,26.25,44452
20150220,26.2,26.27,26.17,26.19,69679
20150223,26.23,26.37,26.23,26.37,26211
20150224,26.36,26.41,26.23,26.4,37414
20150225,26.47,26.54,26.44,26.51,47451
