Date,Open,High,Low,Close,Volume
20210322,3.8,3.82,3.79,3.82,2121888
20210323,3.84,3.84,3.82,3.84,1287299
20210324,3.85,3.89,3.85,3.89,1200904
20210325,3.85,3.85,3.77,3.79,925790
20210326,3.78,3.78,3.77,3.77,434448
20210329,3.77,3.77,3.73,3.75,320799
20210330,3.76,3.76,3.73,3.74,808512
20210331,3.78,3.8,3.78,3.79,657293
20210401,3.89,3.92,3.89,3.92,549461
20210406,3.99,3.99,3.97,3.97,957880
20210407,4.01,4.01,3.98,4,1924799
20210408,4.03,4.05,4.03,4.04,980483
20210409,4.09,4.1,4.08,4.09,921656
20210412,4.11,4.13,4.1,4.11,629972
20210413,4.14,4.15,4.14,4.14,1050987
20210414,4.22,4.23,4.22,4.22,674661
20210415,4.12,4.12,4.1,4.12,792247
20210416,4.16,4.16,4.14,4.16,339118
20210419,4.15,4.16,4.14,4.15,618421
20210420,4.08,4.08,4.05,4.06,584598
20210421,4.06,4.06,4.04,4.05,503501
20210422,4.08,4.09,4.08,4.09,446726
20210423,4.08,4.08,4.07,4.07,936110
20210426,4.11,4.11,4.1,4.1,218435
20210427,4.14,4.15,4.13,4.15,240150
20210428,4.13,4.15,4.13,4.14,570897
20210429,4.11,4.13,4.11,4.12,619696
20210430,4.07,4.07,4.04,4.05,463555
20210503,4.09,4.09,4.08,4.08,527755
20210504,4,4.01,3.99,4.01,480605
20210505,3.98,3.98,3.93,3.93,689208
20210506,3.91,3.92,3.9,3.91,541808
20210507,3.9,3.9,3.89,3.9,656171
20210510,3.9,3.91,3.89,3.89,397167
20210511,3.78,3.78,3.72,3.75,771493
20210512,3.78,3.79,3.76,3.78,335908
20210513,3.73,3.76,3.73,3.75,432481
20210514,3.73,3.74,3.72,3.74,266288
20210517,3.78,3.79,3.77,3.79,163215
20210518,3.77,3.77,3.75,3.77,231988
20210519,3.74,3.74,3.71,3.72,248601
20210520,3.75,3.76,3.74,3.75,399001
20210521,3.83,3.84,3.82,3.82,379008
20210524,3.8,3.82,3.8,3.81,282989
20210525,3.89,3.9,3.89,3.9,281077
20210526,3.91,3.93,3.89,3.91,376336
20210527,3.9,3.95,3.9,3.94,471645
20210528,3.96,3.97,3.94,3.95,358782
20210531,3.97,3.97,3.94,3.96,430279
20210601,3.95,3.96,3.93,3.95,234080
20210602,3.93,3.94,3.92,3.94,180412
20210603,3.94,3.94,3.93,3.94,290074
20210604,3.89,3.89,3.86,3.88,506632
20210607,3.91,3.91,3.9,3.9,52385
20210608,3.93,3.94,3.92,3.93,226700
20210609,3.93,3.94,3.92,3.93,204811
20210610,3.93,3.94,3.93,3.93,133364
20210611,3.98,3.99,3.98,3.98,279634
20210615,4.07,4.09,4.06,4.08,392322
20210616,4.07,4.07,4.04,4.04,844855
