Date,Open,High,Low,Close,Volume
20220216,12.34,12.34,12.34,12.34,235
20220217,12.17,12.17,12,12.03,7437
20220218,11.81,11.81,11.72,11.72,1761
20220221,11.38,11.38,11.2,11.3,5127
20220222,11.02,11.02,10.94,10.94,1589
20220223,10.96,10.96,10.96,10.96,19
20220224,10.9,10.9,10.32,10.32,2664
20220225,10.82,10.82,10.81,10.81,11500
20220228,10.75,10.77,10.74,10.74,12000
20220301,10.91,10.91,10.91,10.91,10000
20220302,10.72,10.72,10.68,10.68,3118
20220303,10.59,10.59,10.59,10.59,750
20220304,10.31,10.31,9.98,9.98,6274
20220307,9.8,9.8,9.34,9.34,3083
20220308,9.16,9.16,9.15,9.15,713
20220309,9.18,9.2,9.18,9.2,9100
20220310,9.67,9.67,9.67,9.67,163
20220311,9.2,9.2,9.15,9.15,318
20220314,9.09,9.09,8.9,8.9,843
20220315,8.57,8.57,8.46,8.54,4124
20220316,8.82,8.82,8.75,8.78,4208
20220317,10.07,10.14,9.89,9.89,34494
20220318,9.89,9.89,9.75,9.75,13469
20220321,10.31,10.31,10.16,10.16,2026
20220322,10.16,10.16,10.16,10.16,0
20220323,10.43,10.43,10.43,10.43,15
20220324,10.23,10.23,10.23,10.23,336
20220325,10.23,10.23,10.23,10.23,0
20220328,9.89,9.94,9.85,9.94,8088
20220329,9.94,9.94,9.94,9.94,0
20220330,9.94,9.94,9.94,9.94,0
20220331,9.94,9.94,9.94,9.94,0
20220401,9.94,9.94,9.94,9.94,0
20220404,10.19,10.19,10.15,10.17,2009
20220405,10.17,10.17,10.17,10.17,0
20220406,10.17,10.17,10.14,10.14,146
20220407,9.87,9.9,9.82,9.9,10502
20220408,9.73,9.73,9.7,9.71,666
20220411,9.58,9.6,9.5,9.5,734
20220412,9.5,9.5,9.5,9.5,0
20220413,9.5,9.5,9.5,9.5,0
20220414,9.65,9.65,9.65,9.65,700
20220419,9.43,9.43,9.43,9.43,125
20220420,9.3,9.3,9.25,9.25,5344
20220421,8.92,8.92,8.87,8.88,1168
20220422,8.5,8.52,8.46,8.52,37370
20220426,8.69,8.69,8.69,8.69,168
20220427,8.54,8.59,8.54,8.59,125
20220428,8.68,8.68,8.65,8.65,6047
20220429,8.68,8.69,8.68,8.69,12000
20220502,8.83,8.83,8.83,8.83,13200
20220503,9,9.02,9,9.02,3156
20220504,8.87,8.87,8.81,8.82,6785
20220505,8.87,8.88,8.87,8.88,9000
20220506,8.29,8.31,8.29,8.3,3280
20220509,8.11,8.11,8.01,8.01,194
20220510,7.74,7.79,7.61,7.79,17020
20220511,7.92,7.92,7.92,7.92,235
20220512,7.55,7.55,7.53,7.53,1752
20220513,7.53,7.53,7.53,7.53,0
20220516,8.22,8.22,8.16,8.16,16222
20220517,8.16,8.16,8.16,8.16,0
20220518,8.16,8.16,8.16,8.16,0
20220519,7.75,7.75,7.75,7.75,130
20220520,8.07,8.08,8.07,8.08,8600
20220523,8.01,8.03,8.01,8.03,12200
20220524,7.89,7.89,7.89,7.89,1000
20220525,7.5,7.53,7.48,7.53,9370
20220526,7.72,7.72,7.72,7.72,30
20220527,8.03,8.03,8.03,8.03,5000
20220530,8.29,8.29,8.29,8.29,3000
20220531,8.39,8.39,8.39,8.39,5000
20220601,8.4,8.4,8.4,8.4,59
20220602,8.2,8.2,8.15,8.15,5061
20220603,8.51,8.51,8.5,8.5,520
20220606,8.37,8.37,8.37,8.37,636
20220607,8.52,8.52,8.52,8.52,400
20220608,8.52,8.52,8.52,8.52,0
20220609,8.96,8.96,8.96,8.96,2000
20220610,8.96,8.96,8.96,8.96,0
