Date,Open,High,Low,Close,Volume
20200603,100.05,100.05,100.05,100.05,15000
20200604,100.05,100.05,100.05,100.05,0
20200605,100.05,100.05,100.05,100.05,0
20200609,100.06,100.06,100.06,100.06,15000
20200610,100.06,100.06,100.06,100.06,0
20200611,100.06,100.06,100.06,100.06,0
20200612,100.06,100.06,100.06,100.06,0
20200615,100.06,100.06,100.06,100.06,0
20200616,100.06,100.06,100.06,100.06,0
20200617,100.06,100.06,100.06,100.06,0
20200618,100.06,100.06,100.06,100.06,0
20200619,100.8,100.82,100.8,100.8,2565
20200622,100.86,100.86,100.85,100.85,262
20200623,100.84,100.84,100.84,100.84,1495
20200624,100.82,100.82,100.82,100.82,9
20200625,100.82,100.82,100.82,100.82,0
20200626,100.82,100.82,100.82,100.82,0
20200629,101,101,101,101,1000
20200630,100.94,100.94,100.94,100.94,390
20200701,100.74,100.74,100.74,100.74,22629
20200702,100.5,100.75,100.5,100.75,893
20200703,100.58,100.89,100.58,100.89,83
20200706,100.94,100.94,100.94,100.94,162
20200707,100.73,100.73,100.73,100.73,5
20200708,101.13,101.13,100.84,100.84,9
20200709,100.84,101.17,100.84,101.17,42
20200710,101.28,101.28,101.28,101.28,175
20200713,100.98,100.98,100.98,100.98,124
20200714,101.23,101.23,101.23,101.23,414
20200715,101.15,101.15,101.15,101.15,658
20200716,101.26,101.26,101.26,101.26,2
20200717,101.3,101.3,101.3,101.3,459
20200720,101.25,101.25,101.25,101.25,451
20200721,101.16,101.4,101.16,101.4,62
20200722,101.28,101.4,101.28,101.4,328
20200723,101.43,101.43,101.43,101.43,44
20200724,101.32,101.49,101.32,101.49,5
20200727,101.48,101.48,101.24,101.24,747
20200728,101.27,101.52,101.27,101.52,236
20200729,101.52,101.52,101.52,101.52,192
20200730,101.64,101.64,101.64,101.64,161
20200731,101.66,101.66,101.66,101.66,752
20200803,101.66,101.66,101.65,101.65,375
20200804,101.59,101.59,101.59,101.59,76
20200805,101.59,101.59,101.59,101.59,206
20200806,101.59,101.59,101.47,101.59,614
20200807,101.59,101.59,101.59,101.59,105
20200810,101.77,101.77,101.77,101.77,365
20200811,101.78,101.78,101.78,101.78,403
20200812,101.78,101.78,101.61,101.61,1224
20200813,101.78,101.78,101.78,101.78,124
20200814,101.78,101.78,101.78,101.78,0
20200817,101.51,101.75,101.51,101.75,1185
20200818,101.9,101.9,101.9,101.9,232
20200819,101.7,101.94,101.7,101.94,45
20200820,101.94,101.94,101.94,101.94,76
20200821,101.94,101.99,101.94,101.99,602
20200824,101.99,101.99,101.99,101.99,53
20200825,102.1,102.1,102.1,102.1,161
20200826,102.01,102.01,102,102,401
20200827,101.86,102.1,101.86,102.1,838
20200828,101.9,101.9,101.74,101.9,99
20200831,101.98,101.98,101.98,101.98,298
20200901,101.96,101.96,101.96,101.96,436
20200902,101.83,101.96,101.83,101.96,155
20200903,101.96,102.22,101.96,102.22,19447
20200904,102.24,102.24,102.24,102.24,2545
20200907,101.97,102.09,101.97,102.09,18106
20200908,102.1,102.1,102.1,102.1,63
20200909,102.2,102.2,102.2,102.2,1171
20200910,102.14,102.14,102.14,102.14,445
20200911,102.17,102.17,102.17,102.17,179
20200914,102.15,102.15,102.15,102.15,2
20200915,102.3,102.3,102.08,102.29,681
20200916,102.35,102.35,102.35,102.35,33
20200917,102.51,102.51,102.51,102.51,163
20200918,102.21,102.26,102.21,102.26,196
20200921,102.41,102.41,102.41,102.41,233
20200922,102.48,102.48,102.48,102.48,200
20200923,102.48,102.48,102.48,102.48,0
20200924,102.48,102.48,102.48,102.48,108
20200925,102.39,102.39,102.39,102.39,258
20200928,102.45,102.45,102.45,102.45,212
20200929,102.45,102.45,102.45,102.45,263
20200930,102.37,102.37,102.37,102.37,1
20201001,102.53,102.53,102.53,102.53,7
20201002,102.43,102.43,102.43,102.43,7
20201005,102.32,102.32,102.32,102.32,7
20201006,102.01,102.23,102.01,102.23,10
20201007,102.4,102.59,102.4,102.59,325
