Date,Open,High,Low,Close,Volume
20220602,11.83,11.83,11.82,11.82,3615
20220603,11.93,11.94,11.91,11.93,4552
20220606,11.9,11.9,11.89,11.9,3735
20220607,11.89,11.89,11.75,11.75,4326
20220608,11.87,11.87,11.87,11.87,88
20220609,11.83,11.83,11.83,11.83,772
20220610,11.64,11.64,11.64,11.64,2991
20220614,11.28,11.29,11.28,11.28,2507
20220615,11.18,11.18,11.18,11.18,49
20220616,11.18,11.18,11.18,11.18,0
20220617,10.82,10.88,10.82,10.88,3377
20220620,11.05,11.05,10.94,10.94,316
20220621,11.05,11.07,11.05,11.07,1334
20220622,11.09,11.09,11.09,11.09,84
20220623,11.13,11.13,11.13,11.13,500
20220624,11.09,11.2,11.09,11.2,219
20220627,11.2,11.2,11.2,11.2,0
20220628,11.51,11.51,11.51,11.51,600
20220629,11.45,11.45,11.45,11.45,1000
20220630,11.45,11.45,11.4,11.4,1828
20220701,11.4,11.4,11.4,11.4,0
20220704,11.4,11.4,11.4,11.4,0
20220705,11.4,11.4,11.4,11.4,0
20220706,11.4,11.4,11.4,11.4,0
20220707,11.75,11.75,11.75,11.75,212
20220708,11.71,11.71,11.71,11.71,1580
20220711,11.6,11.6,11.6,11.6,800
20220712,11.6,11.6,11.6,11.6,0
20220713,11.6,11.6,11.6,11.6,0
20220714,11.6,11.6,11.6,11.6,0
20220715,11.3,11.3,11.3,11.3,115
20220718,11.35,11.35,11.35,11.35,131
20220719,11.35,11.35,11.35,11.35,0
20220720,11.61,11.61,11.61,11.61,86
20220721,11.61,11.61,11.61,11.61,0
20220722,11.71,11.71,11.69,11.69,170
20220725,11.64,11.64,11.63,11.63,441
20220726,11.63,11.63,11.63,11.63,0
20220727,11.5,11.5,11.5,11.5,130
20220728,11.54,11.54,11.54,11.54,870
20220729,11.54,11.54,11.54,11.54,0
20220801,11.54,11.54,11.54,11.54,0
20220802,11.75,11.75,11.74,11.74,178
20220803,11.75,11.75,11.75,11.75,100
20220804,11.72,11.75,11.72,11.75,10424
20220805,11.63,11.64,11.63,11.64,3214
20220808,11.76,11.76,11.64,11.65,911
20220809,11.64,11.65,11.64,11.65,231
20220810,11.54,11.54,11.47,11.49,492
20220811,11.49,11.49,11.49,11.49,0
20220812,11.58,11.58,11.58,11.58,1000
20220815,11.77,11.79,11.77,11.79,217
20220816,11.9,11.9,11.9,11.9,413
20220817,11.9,11.9,11.9,11.9,0
20220818,11.9,11.9,11.9,11.9,0
20220819,11.95,11.95,11.95,11.95,500
20220822,11.83,11.83,11.83,11.83,43
20220823,11.6,11.6,11.57,11.57,630
20220824,11.54,11.54,11.54,11.54,44
20220825,11.6,11.6,11.6,11.6,610
20220826,11.67,11.67,11.67,11.67,425
20220829,11.51,11.51,11.5,11.5,308
20220830,11.36,11.36,11.36,11.36,88
20220831,11.33,11.33,11.27,11.27,65
20220901,11.27,11.27,11.27,11.27,0
20220902,11.2,11.2,11.11,11.11,677
20220905,11.06,11.06,11,11,15805
20220906,11,11,11,11,0
20220907,10.93,10.95,10.93,10.95,300
20220908,11.2,11.2,11.2,11.2,45
20220909,11.18,11.18,11.18,11.18,447
20220912,11.18,11.18,11.18,11.18,0
20220913,11.18,11.18,11.18,11.18,0
20220914,11.08,11.08,11.08,11.08,13
20220915,10.92,10.92,10.92,10.92,212
20220916,10.92,10.92,10.92,10.92,0
20220919,10.66,10.66,10.66,10.66,94
20220920,10.67,10.67,10.67,10.67,100
20220921,10.7,10.7,10.53,10.53,439
20220923,10.53,10.53,10.53,10.53,0
20220926,10.53,10.53,10.53,10.53,0
20220927,10.53,10.53,10.53,10.53,0
20220928,10.53,10.53,10.53,10.53,0
20220929,10.4,10.4,10.4,10.4,5000
20220930,10.4,10.4,10.4,10.4,0
20221003,10.4,10.4,10.4,10.4,0
20221004,10.4,10.4,10.4,10.4,0
20221005,10.4,10.4,10.4,10.4,0
20221006,10.72,10.72,10.72,10.72,48
20221007,10.63,10.63,10.63,10.63,47
20221010,10.47,10.47,10.47,10.47,471
20221011,10.47,10.47,10.47,10.47,0
20221012,10.47,10.47,10.47,10.47,0
20221013,10.47,10.47,10.47,10.47,0
20221014,10.47,10.47,10.47,10.47,0
20221017,10.47,10.47,10.47,10.47,0
20221018,10.88,10.88,10.88,10.88,100
20221019,11.14,11.14,11.14,11.14,9
20221020,11.02,11.02,11.02,11.02,1
20221021,11.02,11.02,11.02,11.02,0
20221024,10.93,10.94,10.9,10.94,26136
20221025,10.94,10.94,10.94,10.94,0
20221026,10.94,10.94,10.94,10.94,0
20221027,10.94,10.94,10.94,10.94,0
20221028,11.19,11.19,11.19,11.19,186
20221031,11.38,11.38,11.38,11.38,250
20221101,11.38,11.38,11.38,11.38,0
20221102,11.44,11.44,11.44,11.44,44
20221103,11.44,11.44,11.44,11.44,0
20221104,11.44,11.44,11.44,11.44,0
20221107,11.26,11.26,11.26,11.26,244
20221108,11.32,11.32,11.32,11.32,132
20221109,11.32,11.32,11.32,11.32,0
20221110,11.32,11.32,11.32,11.32,0
20221111,11.32,11.32,11.32,11.32,0
20221114,11.65,11.65,11.65,11.65,12
20221115,11.56,11.56,11.54,11.54,922
20221116,11.54,11.54,11.54,11.54,0
20221117,11.54,11.54,11.54,11.54,0
20221118,11.39,11.39,11.37,11.37,45
20221121,11.37,11.37,11.37,11.37,0
20221122,11.37,11.37,11.37,11.37,0
20221123,11.45,11.46,11.45,11.46,3319
20221124,11.46,11.46,11.46,11.46,0
20221125,11.47,11.47,11.47,11.47,436
20221128,11.39,11.48,11.39,11.48,258
20221129,11.44,11.44,11.41,11.41,56
20221130,11.41,11.41,11.41,11.41,0
20221201,11.41,11.41,11.41,11.41,0
20221202,11.41,11.41,11.41,11.41,0
20221205,11.41,11.41,11.41,11.41,0
20221206,11.39,11.39,11.32,11.32,51
20221207,11.32,11.32,11.32,11.32,0
20221208,11.28,11.28,11.28,11.28,14
20221209,11.2,11.2,11.1,11.1,178
20221212,11.1,11.1,11.1,11.1,0
20221213,11.1,11.1,11.1,11.1,0
20221214,11.1,11.1,11.1,11.1,0
20221215,11.26,11.26,11.26,11.26,1
20221216,11.26,11.26,11.26,11.26,0
20221219,11.1,11.1,11.06,11.06,1132
20221220,11,11,11,11,50
20221221,11,11,11,11,0
20221222,11,11,11,11,0
20221223,11.07,11.09,11.04,11.05,1716
20221228,11.18,11.18,11.02,11.02,91
20221229,11.02,11.02,11.02,11.02,0
20221230,11.06,11.06,11.06,11.06,1
20230103,10.96,10.96,10.96,10.96,88
20230104,10.94,10.94,10.94,10.94,417
20230105,10.99,10.99,10.99,10.99,46
20230106,11.01,11.01,10.98,11.01,118
20230109,11.06,11.06,11.06,11.06,11
20230110,11.14,11.14,11.07,11.07,1581
20230111,11.07,11.07,11.07,11.07,0
20230112,11.07,11.07,11.07,11.07,0
20230113,11.07,11.07,11.07,11.07,0
20230116,11.07,11.07,11.07,11.07,0
20230117,11.36,11.36,11.28,11.29,2821
20230118,11.25,11.25,11.25,11.25,45
20230119,11.25,11.25,11.25,11.25,2027
20230120,11.18,11.18,11.18,11.18,1
20230123,11.2,11.2,11.2,11.2,1
20230124,11.2,11.2,11.17,11.17,364
20230125,11,11,11,11,90
20230127,10.99,10.99,10.99,10.99,109
20230130,11.02,11.02,11,11,11
20230131,11,11,11,11,0
20230201,11,11,11,11,0
20230202,11,11,11,11,0
20230203,11,11,11,11,0
20230206,11,11,11,11,0
20230207,11,11,11,11,0
20230208,11,11,11,11,0
20230209,11.23,11.23,11.23,11.23,33
20230210,11.03,11.03,10.97,10.98,2342
20230213,10.97,10.97,10.89,10.89,10
20230214,10.92,10.92,10.92,10.92,200
20230215,10.94,10.94,10.94,10.94,6
20230216,10.94,10.94,10.94,10.94,0
20230217,10.94,10.94,10.94,10.94,0
20230220,10.94,10.94,10.94,10.94,0
20230221,11.13,11.13,11.13,11.13,17
20230222,11,11.06,11,11.06,1450
