Date,Open,High,Low,Close,Volume
20071010,174.84,175.34,174.71,175.09,1771
20071011,175,177.23,174.97,177.23,3444
20071012,176.9,176.9,173.08,173.33,8024
20071015,175.55,175.59,175,175.26,2006
20071016,176.4,176.63,176.2,176.2,1164
20071017,176.25,176.25,172.06,173.11,6370
20071018,176.24,176.59,175.07,175.95,2101
20071019,176.65,177.15,175.7,175.7,2504
20071022,170.99,172.89,170.5,171.05,2721
20071023,172,172.14,171.7,171.91,1464
20071024,174.59,174.8,173.05,173.45,3134
20071025,174,174,172.15,172.7,2738
20071026,174.2,174.35,173.4,173.6,2100
20071029,176.35,177.53,176.35,177.53,1860
20071030,180.25,181.28,180.25,181.2,2210
20071031,181.25,181.25,177.85,178,2386
20071101,178.7,179.3,178.7,179.3,354
20071102,180.5,180.5,176.25,176.35,5046
20071105,176.35,176.35,173.72,174,3249
20071106,174,174,171.55,172.35,1215
20071107,172.85,173.36,172.5,173.33,517
20071108,171,171,168,168,2439
20071109,169.1,170,169.1,169.59,1286
20071112,170.01,173.1,169.93,172.65,702
20071113,170.17,170.18,168.22,168.22,2207
20071114,168.98,171.75,168.98,171.75,1017
20071115,174.55,175.1,174.4,174.75,3900
20071116,173.3,173.3,172,172.64,5299
20071119,175,175,172,172.3,1133
20071120,172.5,172.5,169.12,169.12,1433
20071121,169.41,170.5,169.41,169.5,808
20071122,168.3,168.58,165.7,167.05,696
20071123,166.57,167.22,166.57,166.75,491
20071126,167.25,169.42,167.25,168.69,477
20071127,168,168.41,163.91,168.41,1722
20071128,164.41,167.9,164.41,166.58,451
20071129,174.9,175.94,174.9,175.94,259
20071130,175.94,175.94,174.6,175.1,526
20071203,175.63,176.35,175.63,176.3,1576
20071204,176.55,176.55,174.31,176.2,1248
20071205,176.2,176.42,174.65,176.42,2056
20071206,180.3,183.34,180.3,183.25,2940
20071207,184.92,185.05,184.69,184.96,2741
20071210,185,185,183.97,184.29,2668
20071211,185.1,185.1,182.6,183.81,1147
20071212,179.76,179.8,176.44,179.65,2166
20071213,179.32,180.26,179.32,179.53,506
20071214,178.56,178.56,175.5,176,1510
20071217,176.78,176.78,175.11,175.44,232
20071218,175.27,175.27,168.8,170.07,2332
20071219,171.16,171.7,171.16,171.31,232
20071220,173.93,173.93,173.93,173.93,30
20071221,174.23,175.09,174.23,174.5,981
20071224,178.18,178.18,178.18,178.18,20
20071227,178.68,178.68,178.52,178.52,70
20071228,174.37,175,174.37,175,175
20071231,173.7,173.7,173,173,100
20080102,173.66,173.96,172.62,172.62,375
20080103,170,170.18,168.15,169,1670
20080104,170.3,170.5,169.94,170.5,347
20080107,165.9,166.19,165.4,165.88,334
20080108,166.23,166.69,166.23,166.64,450
20080109,165,165,164.48,165,243
20080110,167,169.39,167,168.68,468
20080111,167.19,167.19,165,165,583
20080114,166.04,166.35,164.22,164.22,643
20080115,166.65,166.65,165.68,165.68,400
20080116,166,166,160.74,161.44,935
20080117,157,158.14,156.74,157.22,1130
20080118,156.5,156.5,152.8,154.03,1114
20080121,154.3,154.33,154,154,1050
20080122,152.5,152.5,140,140.85,3334
20080123,142,151.46,142,149.68,806
20080124,150.22,150.66,149.68,150.66,763
20080125,151.46,155.49,151.46,155.33,344
20080129,156.55,156.55,155,155.34,682
20080130,152.92,154,152.92,153.5,306
20080131,151.5,151.5,149.6,149.97,898
20080201,151.47,152.6,151.47,152.3,444
20080204,155.9,156.76,155.32,156.76,980
20080205,154.82,154.86,154.5,154.62,260
20080206,150,150,147.61,148.35,552
20080207,146.18,146.43,146.1,146.41,232
20080208,149.22,149.26,148.99,148.99,665
20080211,148.7,148.89,147.4,147.4,578
20080212,146.5,147.54,146.5,147.54,130
20080213,151.39,151.39,151.39,151.39,4
20080214,155.79,155.79,154.99,155.25,192
20080215,155,155,153.54,154.03,304
20080218,153.5,153.5,152.25,152.25,736
20080219,155,155.18,154.56,155.1,324
20080220,153,153.19,152.44,152.44,250
20080221,152.9,154,152.82,154,1299
20080222,152.62,152.8,152.46,152.8,455
20080225,153.85,153.85,153.85,153.85,177
20080226,155.75,156.01,155.56,155.56,767
20080227,157.05,157.62,157.05,157.62,107
20080228,157.62,157.62,156.4,156.5,566
20080229,153.75,153.75,153.75,153.75,2567
20080303,152.01,152.01,149.8,149.8,1108
20080304,150.34,150.92,149.66,150.92,293
20080305,150.8,150.8,149.25,149.48,344
20080306,149.5,150.44,149.5,150.44,124
20080307,147.51,147.51,146.27,146.41,440
20080310,145,145,142.9,142.93,463
20080311,143,144.68,142.87,143.92,1599
20080312,151.24,151.39,150.97,151,2217
20080313,146,146.18,145.64,145.64,1330
20080314,144.6,144.6,143,143.28,735
20080317,140.9,140.93,137.85,139.54,257
20080318,140.15,140.15,132.12,132.12,1028
20080319,144.39,144.54,144.39,144.54,51
20080320,138.6,138.6,138.44,138.44,170
20080325,147.14,147.14,146.07,146.07,52
20080326,146.99,146.99,146.99,146.99,10
20080327,151.35,151.35,144.56,144.89,771
20080328,145.3,147.8,145.3,147.77,1177
20080331,146.7,147,146.7,146.75,134
20080401,147.75,148.5,147.75,148.5,287
20080402,154.55,154.91,154.55,154.91,443
20080403,153.71,154.5,152.98,154.2,1134
20080404,155.7,156.76,155.7,156.15,786
20080407,155,155.54,154.44,155.54,3006
20080408,154.75,154.75,154.01,154.01,357
20080409,154.29,154.85,153.68,153.91,1375
20080410,154.01,154.01,151.1,152.4,1180
20080411,152.7,153.96,152.7,153.84,218
20080414,152.27,152.41,152.2,152.41,197
20080415,152.15,152.32,151.67,151.67,428
20080416,153.47,153.47,153.47,153.47,16
20080417,155.19,155.98,155.19,155.93,245
20080418,155.5,155.76,155.38,155.76,844
20080421,156.5,156.93,156.02,156.06,713
20080422,156.5,156.5,155.68,155.75,533
20080423,155.75,155.75,155.16,155.5,566
20080424,155.98,156.94,155.98,156.94,320
20080428,157.65,158.19,157.5,157.5,415
20080429,157.48,157.62,157.48,157.62,754
20080430,157,157,156.2,156.22,455
20080501,156.5,157.25,156.5,157.25,190
20080502,159,160.72,159,160.6,746
20080505,161.32,161.32,159.28,160.16,3488
20080506,159.11,159.66,158.51,159.66,1506
20080507,160.5,161.17,159.98,160.05,586
20080508,162,162,158.42,159.08,1743
20080509,159,159,157.25,157.28,658
20080512,156.64,157.7,156.64,157.66,672
20080513,158.6,158.82,157.7,158.53,891
20080514,160.17,160.47,159.85,160.47,511
20080515,161.6,162.43,161.6,162.25,1727
20080516,162.7,163.86,162.7,163.54,1986
20080519,163.6,163.85,163.49,163.83,2307
20080520,164.1,164.1,161.94,161.98,1099
20080521,160,160.5,160,160.45,1998
20080522,158.24,158.3,157.85,157.92,899
20080523,159.62,159.62,158.58,158.58,904
20080526,156.37,156.38,154.31,155.04,1308
20080527,155.1,155.69,155.1,155.5,2396
20080528,155.08,155.6,154.33,154.77,1518
20080529,158.02,158.18,158.02,158.1,505
20080530,160,160,158.66,158.86,386
20080602,161,161,159,160.46,1845
20080603,158.72,158.72,157.03,157.2,2932
20080604,155.9,155.9,154.94,155.06,844
20080605,152.98,153.7,152.46,153.7,745
20080606,157.85,157.85,157,157.79,406
20080610,153.62,153.62,152.05,152.18,2000
20080611,150,150.84,149.5,150.8,1361
20080612,147.96,149.25,147.96,149.17,810
20080613,149.74,149.99,149.49,149.49,364
20080616,151.86,151.86,151,151,733
20080617,151,151.87,150.69,151.62,1503
20080618,152,152.88,152,152.88,773
20080619,150.5,150.89,150.37,150.66,628
20080620,149.89,149.89,149.44,149.44,629
20080623,151,151,146.51,146.52,1285
20080624,146,146.02,144.85,145.54,1704
20080625,144.5,144.8,144,144.8,2122
20080626,144.8,144.8,143.76,144.57,239
20080627,145,145,140.02,141.2,1088
20080630,140.2,141.3,140.2,141.15,1231
20080701,142.91,142.91,142.16,142.65,469
20080702,143,143,139.13,139.13,1128
20080703,138,138,135.68,136.38,492
20080704,136.12,136.12,135,135,1395
20080707,135,135.6,134.73,135.42,7060
20080708,135,135.2,134.2,134.35,2609
20080709,137.11,137.5,137.02,137.12,1956
20080710,134.7,150,134.7,136,874
20080711,136.05,136.3,136,136.2,578
20080714,136,136.12,135.3,135.38,787
20080715,134.8,134.8,131.12,131.43,3528
20080716,43.6,43.9,43.6,43.9,4662
20080717,44.66,44.66,44.46,44.46,8348
20080718,44.74,44.74,44.42,44.42,4456
20080721,44.87,45.05,44.8,44.9,11224
20080722,44.9,44.9,44.63,44.85,2306
20080723,45.51,45.54,45.51,45.54,3000
20080724,46.12,46.39,46.12,46.39,1486
20080725,44.76,44.9,44.43,44.5,2865
20080728,44.4,44.51,44.4,44.51,156
20080729,43.9,43.9,43.58,43.58,1673
20080730,45.55,45.59,45.45,45.45,691
20080731,46.73,46.75,46.73,46.75,1066
20080801,46.06,46.06,45.86,45.86,2226
20080804,46.24,46.24,46.05,46.05,5043
20080805,45,45.2,44.91,45.1,7462
20080806,45.97,46.04,45.79,46.04,2462
20080807,46.59,46.66,46.49,46.66,3201
20080808,45.82,46.5,45.82,46.35,2551
20080811,46.71,46.83,46.56,46.78,929
20080812,47,47,46.41,46.94,1563
20080813,47.09,47.4,46.94,47.19,3266
20080814,47,47,46.8,46.87,1436
20080815,47.65,47.65,47.6,47.6,1995
20080818,46.5,46.5,46.09,46.14,4738
20080819,46.14,46.14,45.9,45.9,3738
20080820,45.2,45.58,45.2,45.58,1170
20080821,46.01,46.01,45.87,45.88,2649
20080822,45.98,45.98,45.54,45.54,1147
20080825,46.75,47,46.6,47,5038
20080826,48,48,46.16,46.2,3319
20080827,46.24,46.24,46,46.2,1276
20080828,46.53,46.6,46.4,46.4,5184
20080829,47.14,47.14,46.8,46.8,1131
20080901,47.21,47.21,46.8,46.8,1249
20080902,46.62,46.62,46.46,46.46,2559
20080903,46.2,46.99,46.2,46.95,1652
20080904,46.08,46.18,45.83,45.9,9329
20080905,45,45.11,44.7,44.85,11323
20080908,46.13,46.13,46,46,1235
20080909,46.13,46.57,46.13,46.52,1398
20080910,45.19,45.19,44.43,44.64,2756
20080911,44.86,44.96,44.86,44.96,400
20080912,44.4,44.45,44.12,44.41,3013
20080915,44,44,43.12,43.24,5241
20080916,42.25,42.85,42,42.85,1808
20080917,42.8,42.8,42.01,42.01,3491
20080918,40.3,40.59,39.01,39.42,2146
20080919,43.62,43.62,43.09,43.09,1037
20080922,45.64,46.5,45.32,46.08,4298
20080923,46,46,43.15,43.55,6115
20080924,43.25,43.25,43.09,43.12,4749
20080925,42.73,42.79,42.51,42.79,3885
20080926,44.36,44.37,43.62,43.62,1510
20080929,43.5,43.5,42.65,42.65,1056
20080930,42.24,42.24,40.1,40.81,3456
20081001,43.31,43.31,42.62,42.62,767
20081002,43.76,43.76,42.68,42.68,3910
20081003,42.55,42.55,41.5,41.71,4023
20081006,41,41,40.13,40.13,1309
20081007,39.8,40.31,39.11,40.31,5147
20081008,37.94,39.2,37.84,38,11874
20081009,38.77,38.77,37.5,37.8,15122
20081010,36,36.43,34.94,36.43,10911
20081013,36.82,38.1,36.82,38,15191
20081014,43.86,44.46,43.86,43.98,1740
20081015,44,44,41.08,41.67,4660
20081016,37.15,37.15,36.23,36.35,5461
20081017,37,37,36.06,36.06,844
20081020,35.38,35.8,35.29,35.8,2088
20081021,37.76,37.76,36.86,36.9,1734
20081022,36.41,36.49,35.38,35.41,5439
20081023,33.6,33.79,33.25,33.25,4292
20081024,33.16,33.7,33.15,33.44,3123
20081027,32.18,32.18,31.69,31.7,2563
20081028,32.1,32.1,31.54,31.82,10265
20081029,35.8,36.25,35.8,36.25,503
20081030,36.25,36.78,34.15,36.45,1798
20081031,38.61,38.74,38.5,38.5,1250
20081103,38.5,39.12,38.14,39.12,9498
20081104,39.12,39.12,38.02,38.33,851
20081105,39.56,41.88,39.56,41.88,3776
20081106,40.7,40.7,37.9,37.9,3427
20081107,37.93,37.93,37.4,37.4,140
20081110,36.86,36.86,36.5,36.5,339
20081111,37.26,37.65,37.13,37.53,1847
20081112,36.5,36.5,35.9,35.9,5446
20081113,33.85,34.06,33.82,34.06,1695
20081114,36.84,36.84,36.1,36.1,1822
20081117,34.19,34.66,34.19,34.66,468
20081118,33.98,34.01,33.8,33.9,2351
20081119,34,34.85,33.4,34.02,6483
20081120,32.06,32.06,31.04,31.04,1282
20081121,30,30.69,30,30.59,660
20081124,30.5,34.76,30.5,32.76,1232
20081125,34.04,34.22,32.74,33.85,9834
20081126,34,34.99,33.45,34.77,4354
20081127,36.38,37.16,36.2,36.51,2887
20081128,37.04,37.24,37,37.24,491
20081201,45.54,45.54,35.3,36,2230
20081202,35.1,35.1,33.58,34.22,8476
20081203,34.72,34.72,34.41,34.41,1514
20081204,34.5,34.7,34.5,34.6,3774
20081205,33.69,34.01,33.69,34.01,585
20081208,34.89,36.28,34.8,36.28,3556
20081209,37,37,36.1,36.4,4714
20081210,36.55,37.78,36.55,37.78,1329
20081211,38.66,38.75,38.4,38.75,2573
20081212,36.1,36.47,36.1,36.13,1401
20081215,37.9,37.9,37.28,37.53,6888
20081216,37,37.5,36.89,36.94,369
20081217,38.42,38.42,37.31,37.31,12433
20081218,37.4,37.78,37.4,37.78,2499
20081219,37.32,38.38,37.32,38.38,1664
20081222,38.38,38.38,37.46,37.64,2951
20081223,36.41,36.41,35.73,35.92,4751
20081224,35.57,36.69,35.36,35.93,1819
20081229,35.43,35.82,34.82,35.4,2726
20081230,37,37,35.26,36.14,2180
20081231,36.26,36.26,36.26,36.26,550
20090102,36.18,37.38,36.18,37.38,33
20090105,37,38.22,37,38.22,951
20090106,38.25,38.96,38.25,38.65,367
20090107,39,39.46,39,39.46,6120
20090108,40,40,36.96,38.3,1743
20090109,37,37.62,36.26,37.56,4694
20090112,37.5,37.5,35.68,36.15,8208
20090113,35.78,36.09,35.53,35.94,1964
20090114,36.46,36.46,36.3,36.35,631
20090115,34.73,35.01,34.55,35.01,6747
20090116,34,35.98,34,35.3,1667
20090119,35.38,35.88,35.01,35.1,1551
20090120,36.3,37.5,35.3,35.3,4455
20090121,35.42,35.57,35.22,35.46,2378
20090122,35,35.48,35,35.48,3982
20090123,35.3,35.3,34.4,34.48,1948
20090127,34.59,34.83,34.08,34.83,1431
20090128,35.37,35.38,35.17,35.17,1039
20090129,36.5,36.5,36.41,36.5,1190
20090130,35.65,36.37,35.65,36.37,3391
20090202,36.1,36.59,36.1,36.5,1415
20090203,35.97,36.17,35.89,36.14,1212
20090204,35.61,35.97,35.61,35.95,575
20090205,36.5,37,36.5,36.92,2985
20090206,36.7,36.7,36.62,36.62,3121
20090209,37.02,37.02,36.6,36.6,11820
20090210,36.6,36.75,36.6,36.75,2165
20090211,36.1,37.08,36.1,36.96,7905
20090212,37.1,37.5,37.1,37.49,858
20090213,37.49,38.39,37.49,38.39,1905
20090216,37,37.47,36.98,37.26,5294
20090217,37.05,37.34,36.92,37.25,11210
20090218,36.68,36.68,35.6,35.73,2967
20090219,36.44,37.14,35.9,37.14,2132
20090220,34.57,35.34,34.57,35.09,19240
20090223,34.11,34.9,34.03,34.21,12361
20090224,34.39,34.39,33.16,33.4,5460
20090225,34.29,34.37,34.12,34.13,11343
20090226,34.2,34.59,33.82,34.04,754
20090227,33.82,34.54,33.82,34.3,1042
20090302,33.76,33.76,32.94,32.94,4255
20090303,32.37,32.9,32.16,32.71,4782
20090304,32.3,32.94,31.96,32.82,4871
20090305,33.95,34.25,33.71,33.71,733
20090306,32,34.16,32,33.6,851
20090309,33.8,34,33.51,34,9638
20090310,34,34.38,33.48,34.38,7718
20090311,34.99,35.07,34.5,34.76,5672
20090312,35.13,35.6,34.64,34.7,1125
20090313,36.15,36.15,36.15,36.15,270
20090316,36.2,36.6,36.2,36.38,2780
20090317,36.33,36.38,36.3,36.38,2123
20090318,36.75,37.68,36.6,36.66,2574
20090319,36.55,36.76,36.55,36.66,3124
20090320,35.94,35.97,35.8,35.8,2007
20090323,35.17,35.74,35.17,35.74,5093
20090324,37.6,37.6,36.77,36.9,18819
20090325,37,37.05,36.8,36.98,2350
20090326,37.4,37.9,37.4,37.9,2945
20090327,37.95,38,37.7,37.7,7268
20090330,37.52,37.68,36.7,36.7,7302
20090331,36.7,36.7,36.23,36.26,1225
20090401,36.99,36.99,35.88,36.37,4802
20090402,36.58,37,36.58,37,15037
20090403,38,38.05,37.5,37.89,8978
20090406,38.06,40,38.06,38.78,1171
20090407,38.9,38.9,38.27,38.27,8333
20090408,37.79,37.81,37.11,37.17,2618
20090409,38.38,38.59,38.08,38.54,3649
20090414,38.66,38.91,38.66,38.89,5160
20090415,38.52,39,38.52,38.9,14158
20090416,38.9,38.91,38.61,38.84,9519
20090417,38.84,39.73,38.84,39.22,6619
20090420,39.22,39.38,39.06,39.25,3137
20090421,38.7,39.09,38.44,39.09,3242
20090422,38.91,39.09,38.7,38.94,5479
20090423,38.59,38.75,38.53,38.75,1212
20090424,39.03,39.03,38.71,38.71,1121
20090427,39.02,39.02,38.5,38.5,5965
20090428,38.44,38.68,38.32,38.32,972
20090429,38.22,38.78,38.02,38.14,5688
20090430,38.98,39.8,38.78,39.68,10461
20090501,39.68,39.73,39.57,39.73,3000
20090504,40.04,41.79,40.04,40.32,8195
20090505,42.21,42.58,41,41.31,5242
20090506,41.86,42.36,41.34,41.7,4759
20090507,44.44,44.44,41.29,41.3,12999
20090508,41.27,41.52,41.24,41.4,7858
20090511,41.9,41.96,41,41.39,5106
20090512,40.8,41.04,40.76,40.76,8382
20090513,40.9,41.2,40.85,41.03,3198
20090514,41.26,41.26,40.04,40.04,3087
20090515,40.37,40.9,40.37,40.86,2980
20090518,41,41,40,40.34,2532
20090519,44.27,44.27,41.77,41.77,2227
20090520,41.91,42.04,41.65,41.78,1300
20090521,41.94,42.24,41.58,41.8,4845
20090522,41.26,41.34,40.98,40.98,5374
20090525,41.29,41.5,40.62,40.95,4176
20090526,40.95,41.01,40.93,40.95,3105
20090527,41.15,41.84,41.05,41.49,10180
20090528,41.5,41.5,41.15,41.47,4133
20090529,42.09,42.09,41.72,41.83,4011
20090601,41.91,42.05,41.82,41.87,5982
20090602,42.36,43.64,42.36,42.94,35350
20090603,42.94,42.94,41.9,42.31,5275
20090604,42.3,42.3,41.2,41.2,6989
20090605,42.13,42.5,41.79,42.15,4669
20090609,41.78,42.52,41.68,42.02,2951
20090610,41.7,42.28,41.7,41.88,2491
20090611,42.18,43,41.92,42.55,4888
20090612,42.88,44,42.2,43,3244
20090615,43.2,43.2,41.7,41.7,8491
20090616,42.5,42.5,40.1,40.1,38420
20090617,40.67,41.06,40.52,40.9,5277
20090618,40.9,43.4,40.03,40.03,7734
20090619,40,40.08,39.52,39.9,7340
20090622,39.83,40.5,39.75,40.5,5356
20090623,39.32,40.26,39.3,39.3,7705
20090624,39.25,39.96,38.78,39.96,11711
20090625,40,40.75,39.57,40.04,5953
20090626,40.1,40.82,40,40,5288
20090629,40.64,40.75,40.2,40.6,5944
20090630,41,41.25,40.4,40.51,6070
20090701,40.95,40.95,40.2,40.8,8641
20090702,41.34,41.7,40.82,40.82,3908
20090703,40.81,42.14,40.65,41,14367
20090706,40.99,40.99,40.6,40.83,1894
20090707,40.72,40.72,40.28,40.3,8226
20090708,40,40.04,39.7,39.8,2609
20090709,39.8,40.08,39.8,39.91,3491
20090710,40,40.59,40,40.34,3659
