Date,Open,High,Low,Close,Volume
20210604,25.28,25.37,25.28,25.37,5210
20210607,25.41,25.41,25.41,25.41,475
20210608,25.58,25.58,25.58,25.58,1
20210609,25.58,25.58,25.58,25.58,6617
20210610,25.56,25.56,25.56,25.56,20
20210611,25.52,25.52,25.52,25.52,300
20210615,25.52,25.52,25.52,25.52,0
20210616,25.52,25.52,25.52,25.52,0
20210617,25.52,25.52,25.52,25.52,0
20210618,25.52,25.52,25.52,25.52,0
20210621,25.67,25.67,25.42,25.46,4017
20210622,25.75,25.81,25.75,25.8,2673
20210623,25.8,25.84,25.65,25.65,1962
20210624,25.57,25.66,25.4,25.4,3902
20210625,25.53,25.6,25.53,25.6,429
20210628,25.57,25.57,25.5,25.5,4414
20210629,25.54,25.54,25.45,25.45,314
20210630,25.74,25.74,25.74,25.74,4000
20210701,25.61,25.61,25.5,25.5,509
20210702,25.61,25.61,25.55,25.55,120
20210705,25.7,25.75,25.64,25.64,731
20210706,25.67,25.67,25.5,25.5,702
20210707,25.64,25.64,25.64,25.64,197
20210708,25.64,25.64,25.64,25.64,0
20210709,25.64,25.64,25.4,25.4,553
20210712,25.59,25.59,25.59,25.59,80
20210713,25.75,25.75,25.75,25.75,7780
20210714,25.82,25.82,25.82,25.82,95
20210715,25.75,25.75,25.75,25.75,20
20210716,25.76,25.76,25.76,25.76,787
20210719,25.6,25.6,25.6,25.6,113
20210720,26,26,25.5,25.58,338
20210721,25.88,25.88,25.88,25.88,5000
20210722,26.12,26.12,25.97,26.02,1864
20210723,26.02,26.02,26,26,124
20210726,26.17,26.36,26.17,26.36,700
20210727,26.21,26.24,26.21,26.24,124
20210728,26.78,26.78,26.09,26.09,34569
20210729,26.11,26.25,26.02,26.25,20181
20210730,26.39,26.39,26.2,26.2,264651
20210802,26.39,26.5,26.39,26.42,10765
20210803,26.4,26.4,26.3,26.3,1272
20210804,26.36,26.36,26.36,26.36,188
20210805,26.59,26.59,26.43,26.5,93
20210806,26.48,26.48,26.48,26.48,20
20210809,26.78,26.78,26.58,26.62,1941
20210810,26.59,26.59,26.59,26.59,19
20210811,26.74,26.74,26.74,26.74,746
20210812,26.7,26.7,26.65,26.65,427
20210813,26.8,26.89,26.8,26.83,306
20210816,26.8,26.8,26.75,26.79,45204
20210817,26.76,26.76,26.6,26.64,2448
20210818,26.7,26.71,26.67,26.68,11239
20210819,26.6,26.75,26.6,26.75,306
20210820,26.74,26.74,26.72,26.72,386
20210823,26.81,26.82,26.8,26.82,110541
20210824,26.89,26.89,26.81,26.81,15573
20210825,27.16,27.16,26.78,26.78,7684
20210826,26.69,26.76,26.67,26.68,716535
20210827,26.71,26.71,26.65,26.68,8375
20210830,26.69,26.74,26.69,26.73,47749
20210831,26.77,26.9,26.74,26.89,14453
20210901,26.68,26.81,26.6,26.81,6572
20210902,26.86,26.89,26.67,26.77,13470
20210903,26.92,26.98,26.91,26.95,150258
20210906,27.25,27.25,26.75,26.95,20506
20210907,27.08,27.08,27.02,27.03,368
20210908,26.94,27,26.92,26.95,18658
20210909,26.9,26.9,26.39,26.48,4045
20210910,26.59,26.61,26.52,26.61,88508
20210913,26.92,26.92,26.55,26.66,27316
20210914,26.73,26.73,26.6,26.61,11446
20210915,27.08,27.08,26.59,26.79,19192
20210916,26.94,26.97,26.94,26.97,4633
20210917,26.71,26.75,26.68,26.71,12397
20210920,26.52,26.52,26.17,26.2,47721
20210921,26.08,26.29,26.08,26.28,18641
20210922,26.17,26.36,26.17,26.36,5087
20210923,26.52,26.6,26.51,26.57,810
20210924,26.57,26.57,26.42,26.43,7650
20210927,26.59,26.59,26.5,26.55,24936
20210928,26.4,26.4,26.04,26.04,1452
20210929,25.8,25.8,25.6,25.68,80385
20210930,25.8,26.02,25.8,26.02,32199
20211001,25.78,25.78,25.57,25.57,1850
20211004,25.83,25.9,25.8,25.9,92475
20211005,25.76,25.78,25.71,25.75,562
20211006,25.85,25.87,25.6,25.6,5098
20211007,25.8,25.8,25.8,25.8,52
20211008,25.76,25.82,25.67,25.82,2545
20211011,25.69,25.69,25.59,25.64,73518
20211012,25.69,25.7,25.68,25.68,2681
20211013,25.66,25.73,25.66,25.73,4974
20211014,26.01,26.01,25.97,25.97,392
20211015,26.03,26.03,25.97,26.03,1684
20211018,26.06,26.08,26.03,26.03,74192
20211019,26.08,26.19,26.08,26.17,2344
20211020,26.405,26.41,26.35,26.37,3420
