Date,Open,High,Low,Close,Volume
20120314,99.85,99.85,99.45,99.45,1160
20120315,99.2,99.2,98.93,98.93,1250
20120316,98.93,98.93,98.93,98.93,0
20120319,98.85,98.85,98.85,98.85,500
20120320,98.6,98.65,98.6,98.65,5020
20120321,98.65,98.65,98.65,98.65,0
20120322,99.31,99.31,99.31,99.31,100
20120323,99.31,99.31,99.31,99.31,0
20120326,99.31,99.31,99.31,99.31,0
20120327,99.31,99.31,99.31,99.31,0
20120328,99.68,99.68,99.68,99.68,50
20120329,99.68,99.68,99.68,99.68,0
20120330,99.68,99.68,99.68,99.68,0
20120402,99.68,99.68,99.68,99.68,0
20120403,100.3,100.3,100.3,100.3,30
20120404,100.3,100.3,100.3,100.3,0
20120405,100.55,100.55,100.55,100.55,249
20120410,100.94,100.94,100.94,100.94,700
20120411,101.2,101.2,101.2,101.2,123
20120412,101.2,101.2,101.2,101.2,0
20120413,101,101,101,101,60
20120416,101,101,101,101,0
20120417,101.48,101.48,101.48,101.48,75
20120418,101.26,101.26,101.26,101.26,110
20120419,101.49,101.49,101.49,101.49,700
20120420,102,102,101.57,101.57,400
20120423,101.57,101.57,101.57,101.57,0
20120424,101.9,102.25,101.9,102.25,1688
20120426,102.25,102.25,102.25,102.25,0
20120427,102.2,102.2,102.2,102.2,69
20120430,102.25,102.25,102.15,102.15,125
20120501,102.15,102.15,102.15,102.15,0
20120502,102.15,102.15,102.15,102.15,0
20120503,102.85,102.85,102.85,102.85,580
20120504,102.85,102.85,102.85,102.85,0
20120507,102.85,102.85,102.85,102.85,0
20120508,103.54,103.54,103.54,103.54,30
20120509,103.7,103.7,103.7,103.7,860
20120510,103.75,103.95,103.75,103.95,153
20120511,103.95,103.95,103.95,103.95,0
20120514,104.05,104.05,104.05,104.05,192
20120515,104.34,104.34,104.34,104.34,384
20120516,104.2,104.2,104.2,104.2,748
20120517,104.12,104.12,103.86,103.86,500
20120518,105,105.25,104.95,105.12,2334
20120521,105.1,105.1,104.8,104.8,441
20120522,104.7,104.7,104.7,104.7,104
20120523,105.06,105.06,105.06,105.06,29
20120524,105.03,105.1,105,105.1,820
20120525,104.9,105.05,104.9,105.05,551
20120528,104.8,104.8,104.8,104.8,285
20120529,104.8,104.8,104.8,104.8,0
20120530,104.8,104.8,104.8,104.8,0
20120531,104.8,104.8,104.8,104.8,0
20120601,106.07,106.07,106.07,106.07,1000
20120604,106.97,106.97,106.97,106.97,188
20120605,106.97,106.97,106.97,106.97,0
20120606,106.97,106.97,106.97,106.97,0
20120607,107,107,107,107,9
20120608,105.25,105.25,105.25,105.25,10
20120612,105.72,105.75,105.65,105.65,1573
20120613,105.5,105.5,105.5,105.5,200
20120614,106,106,106,106,6500
20120615,105.88,105.88,105.74,105.74,338
20120618,105.14,105.14,105.14,105.14,10
20120619,105.65,105.65,105.65,105.65,10
20120620,105.4,105.4,105.4,105.4,25
20120621,104.9,104.9,104.9,104.9,25
20120622,105.45,105.45,105.45,105.45,56
20120625,105.4,105.4,105.4,105.4,202
20120626,105.85,105.85,105.85,105.85,244
20120627,105.85,105.85,105.85,105.85,0
20120628,105.85,105.85,105.85,105.85,0
20120629,105.15,105.15,105.15,105.15,700
20120702,105.15,105.15,105.15,105.15,0
20120703,104.2,104.2,104.02,104.02,523
20120704,104.02,104.02,104.02,104.02,0
20120705,104.02,104.02,104.02,104.02,100
20120706,104.02,104.02,104.02,104.02,0
20120709,105.08,105.08,105.08,105.08,50
20120710,105.08,105.08,105.08,105.08,0
20120711,105.08,105.08,105.08,105.08,0
20120712,105.35,105.35,105.35,105.35,90
20120713,105.35,105.35,105.35,105.35,0
20120716,105.35,105.35,105.35,105.35,0
20120717,105.35,105.4,105.35,105.4,279
20120718,105.4,105.4,105.4,105.4,0
20120719,105.4,105.4,105.4,105.4,0
20120720,105.3,105.3,105.3,105.3,9
20120723,105.85,105.85,105.65,105.65,391
20120724,105.75,105.77,105.75,105.77,20000
20120725,105.7,105.7,105.7,105.7,5000
20120726,105.51,105.56,105.51,105.52,30100
20120727,105,105.4,104.6,105.05,76693
20120730,105.05,105.05,105.05,105.05,0
20120731,105.5,105.5,105.5,105.5,4455
20120801,104,104.3,104,104.3,1005
20120802,103.91,103.91,103.91,103.91,1
20120803,103.91,103.91,103.91,103.91,0
20120806,103.68,103.68,103.62,103.62,250
20120807,103.62,103.62,103.62,103.62,0
20120808,103.21,103.21,103.21,103.21,219
20120809,103.21,103.21,103.21,103.21,0
20120810,103.21,103.21,103.21,103.21,0
20120813,103.66,103.66,103.66,103.66,30
20120814,103.66,103.66,103.66,103.66,0
20120815,103.33,103.33,103.22,103.22,267
20120816,103.22,103.22,103.22,103.22,0
20120817,103.3,103.3,102.93,102.93,20
20120820,103.2,103.2,103.2,103.2,296
20120821,103.2,103.2,103.2,103.2,9
20120822,103.2,103.2,103.2,103.2,0
20120823,103.2,103.2,103.2,103.2,0
20120824,103.65,103.65,103.65,103.65,280
20120827,103.65,103.65,103.65,103.65,0
20120828,103.65,103.65,103.65,103.65,0
20120829,104.12,104.12,104.12,104.12,300
20120830,104.12,104.12,104.12,104.12,0
20120831,104.12,104.12,104.12,104.12,0
20120903,104.88,104.88,104.88,104.88,600
20120904,105.2,105.2,105.2,105.2,95
20120905,104.9,104.9,104.9,104.9,202
20120906,104.8,104.8,104.71,104.71,5150
20120907,104.35,104.36,104.35,104.36,249
20120910,104.63,104.63,104.59,104.59,2285
20120911,104.59,104.59,104.59,104.59,0
20120912,104.43,104.43,104.43,104.43,1506
20120913,104.21,104.21,104.12,104.12,56
20120914,104.12,104.12,104.12,104.12,0
20120917,104.12,104.12,104.12,104.12,0
20120918,104.12,104.12,104.12,104.12,0
20120919,103.36,103.36,103.35,103.35,272
20120920,103.35,103.35,103.35,103.35,0
20120921,103.62,103.62,103.26,103.4,7769
20120924,103.6,103.63,103.6,103.63,764
20120925,103.85,103.85,103.85,103.85,3350
20120926,104.29,104.3,104.29,104.3,118
20120927,104.64,104.64,104.4,104.4,72
20120928,104.2,104.56,104.2,104.56,10955
20121001,104.6,104.82,104.6,104.82,440
20121002,104.73,104.73,104.7,104.72,750
20121003,104.73,104.73,104.73,104.73,100
20121004,104.73,104.73,104.73,104.73,0
20121005,104.5,104.6,104.5,104.55,563
20121008,104.45,104.57,104.45,104.57,520
20121009,104.51,104.51,104.49,104.49,2073
20121010,104.49,104.53,104.49,104.5,1367
20121011,104.54,104.54,104.3,104.3,3760
20121012,104.3,104.3,104.3,104.3,0
20121015,104.3,104.3,104.3,104.3,0
20121016,104.73,104.73,104.73,104.73,750
20121017,104.25,104.35,104.25,104.35,779
20121018,104,104,103.88,103.88,2580
20121019,103.92,104.02,103.92,104.02,1450
20121022,104.31,104.31,104.31,104.31,100
20121023,104.19,104.19,104,104,19900
20121024,104.28,104.28,104.03,104.13,15170
20121025,104.13,104.13,104.13,104.13,0
20121026,103.83,103.9,103.83,103.9,1890
20121029,104.21,104.21,104.2,104.2,391
20121030,104.2,104.2,104.2,104.2,0
20121031,104.35,104.35,104.35,104.35,5000
20121101,104.35,104.35,104.35,104.35,0
20121102,104.25,104.25,104.2,104.25,6610
20121105,104.05,104.05,103.95,103.95,5252
20121106,103.95,103.95,103.95,103.95,0
20121107,103.95,103.95,103.95,103.95,0
20121108,103.95,103.95,103.95,103.95,0
20121109,104.25,104.25,104.25,104.25,47
20121112,104.25,104.25,104.25,104.25,0
20121113,104.55,104.55,104.55,104.55,348
20121114,104.55,104.55,104.55,104.55,0
20121115,104.75,104.75,104.75,104.75,1000
20121116,104.75,104.75,104.75,104.75,0
20121119,104.9,104.9,104.64,104.64,5100
20121120,104.43,104.43,104.43,104.43,5478
20121121,104.43,104.43,104.43,104.43,0
20121122,103.92,103.92,103.92,103.92,1470
20121123,103.92,103.92,103.92,103.92,0
20121126,103.79,103.79,103.79,103.79,601
20121127,103.85,103.85,103.85,103.85,95
20121128,103.92,104.05,103.92,104.05,2035
20121129,104.21,104.21,104.21,104.21,287
20121130,104.27,104.3,104.27,104.3,10022
20121203,104.3,104.3,104.3,104.3,0
20121204,104.3,104.3,104.3,104.3,0
20121205,104.45,104.45,104.45,104.45,34
20121206,104.42,104.42,104.42,104.42,47
20121207,104.42,104.42,104.42,104.42,0
20121210,103.5,103.5,103.5,103.5,100
20121211,103.7,103.7,103.7,103.7,6
20121212,103.43,103.43,103.43,103.43,5000
20121213,103.07,103.07,103.07,103.07,52
20121214,102.8,102.8,102.8,102.8,5000
20121217,102.79,102.79,102.79,102.79,48
20121218,102.56,102.56,102.56,102.56,52
20121219,102.56,102.56,102.56,102.56,0
20121220,102.84,102.84,102.75,102.75,791
20121221,102.97,103.03,102.97,103.03,4500
20121224,102.61,102.61,102.61,102.61,5
20121227,102.61,102.61,102.61,102.61,0
20121228,102.56,103.08,102.56,103.08,62
20121231,103.08,103.08,103.08,103.08,0
20130102,102.8,102.8,102.8,102.8,4744
20130103,102.41,102.85,102.41,102.85,4198
20130104,102.55,102.55,102.55,102.55,70
20130107,102.45,102.5,102.45,102.5,5120
20130108,102.71,102.71,102.71,102.71,195
20130109,102.8,102.8,102.75,102.75,5000
20130110,102.75,102.75,102.75,102.75,2000
20130111,102.47,102.6,102.47,102.6,4258
20130114,102.6,102.6,102.6,102.6,0
20130115,102.6,102.6,102.6,102.6,0
20130116,102.6,102.6,102.6,102.6,0
20130117,103.14,103.14,103.14,103.14,166
20130118,103.12,103.12,103.12,103.12,4000
20130121,103.12,103.12,103.12,103.12,0
20130122,103.12,103.12,103.12,103.12,0
20130123,103.12,103.12,103.12,103.12,0
20130124,103.5,103.5,103.5,103.5,5000
20130125,103.5,103.5,103.5,103.5,0
20130129,102.89,102.89,102.63,102.63,16284
20130130,102.63,102.63,102.63,102.63,2
20130131,102.63,102.63,102.63,102.63,0
20130201,102.63,102.63,102.63,102.63,0
20130204,102.63,102.63,102.63,102.63,0
20130205,102.63,102.63,102.63,102.63,0
20130206,102.6,102.6,102.6,102.6,240
20130207,102.8,102.8,102.64,102.8,11551
20130208,102.8,102.8,102.8,102.8,0
20130211,102.8,102.92,102.8,102.92,262
20130212,102.98,102.98,102.98,102.98,84
20130213,102.55,102.55,102.55,102.55,10
20130214,102.55,102.55,102.55,102.55,0
20130215,102.55,102.55,102.55,102.55,0
20130218,102.55,102.55,102.55,102.55,0
20130219,102.55,102.55,102.55,102.55,0
20130220,102.35,102.35,102.35,102.35,5000
20130221,102.65,102.69,102.65,102.69,1996
20130222,102.69,102.69,102.69,102.69,0
20130225,102.8,102.8,102.8,102.8,1460
20130226,103.17,103.17,103.17,103.17,4000
20130227,103.23,103.23,103.23,103.23,8
20130228,103.42,103.42,103.42,103.42,6
20130301,103.42,103.42,103.35,103.35,300
20130304,103.7,103.7,103.7,103.7,1
20130305,103.5,103.5,103.5,103.5,200
20130306,103.25,103.25,103.25,103.25,200
20130307,103.02,103.02,103.02,103.02,387
20130308,102.78,102.78,102.78,102.78,1252
20130311,102.35,102.35,102.35,102.35,5000
20130312,102.35,102.35,102.35,102.35,0
20130313,102.36,102.36,102.36,102.36,13
20130314,102.36,102.36,102.36,102.36,0
20130315,101.8,101.8,101.8,101.8,287
20130318,102.94,102.94,102.94,102.94,10
20130319,102.94,102.94,102.94,102.94,0
20130320,102.94,102.94,102.94,102.94,0
20130321,102.94,102.94,102.94,102.94,0
20130322,102.69,102.69,102.65,102.65,1031
20130325,102.35,102.38,102.34,102.34,5735
20130326,102.34,102.34,102.34,102.34,0
20130327,102.65,102.65,102.61,102.61,5241
20130328,103.2,103.2,103.13,103.13,10583
20130402,103.13,103.13,103.13,103.13,0
20130403,102.2,102.2,102.2,102.2,11
20130404,102.54,102.54,102.54,102.54,50
20130405,102.72,102.72,102.72,102.72,1
20130408,103.01,103.01,103.01,103.01,1
20130409,103,103,103,103,482
20130410,102.8,102.93,102.8,102.93,192
20130411,102.55,102.55,102.55,102.55,25
20130412,102.59,102.59,102.59,102.59,29
20130415,102.68,102.68,102.68,102.68,20
20130416,103.35,103.35,103.02,103.1,1279
20130417,103.12,103.12,103.12,103.12,205
20130418,103.48,103.48,103.09,103.09,1264
20130419,103.42,103.42,103.13,103.13,29
20130422,103.13,103.13,103.13,103.13,0
20130423,103.25,103.3,103.25,103.3,70
20130424,103.3,103.3,103.3,103.3,0
20130426,103.3,103.3,103.3,103.3,0
20130429,103.89,103.89,103.89,103.89,152
20130430,104.01,104.01,104.01,104.01,470
20130501,103.83,103.83,103.7,103.7,117
20130502,104.26,104.26,104.22,104.22,195
20130503,104.22,104.22,104.22,104.22,0
20130506,104,104,104,104,137
20130507,104,104,104,104,0
20130508,104.13,104.13,104.13,104.13,250
20130509,104.13,104.13,104.13,104.13,0
20130510,104.03,104.03,103.62,103.62,7
20130513,103.55,103.55,103.55,103.55,1535
20130514,103.55,103.55,103.55,103.55,0
20130515,103.46,103.51,103.46,103.51,175
20130516,103.69,103.69,103.65,103.65,402
20130517,103.65,103.65,103.65,103.65,0
20130520,103.6,103.6,103.6,103.6,1
20130521,103.88,103.88,103.69,103.69,187
20130522,103.69,103.69,103.69,103.69,0
20130523,103.17,103.17,103.17,103.17,490
20130524,103.41,103.41,103.41,103.41,2
20130527,103.41,103.41,103.41,103.41,0
20130528,103.32,103.32,103.32,103.32,480
20130529,102.76,102.76,102.68,102.68,161
20130530,103,103,103,103,16
20130531,103,103,103,103,0
20130603,102.82,103.16,102.82,103.16,492
20130604,103.25,103.3,103.25,103.3,5000
20130605,103.3,103.3,103.3,103.3,0
20130606,103.55,103.55,103.25,103.25,140
20130607,103.69,103.69,103.69,103.69,1395
20130611,103.17,103.17,103.17,103.17,1
20130612,103.17,103.17,103.17,103.17,0
20130613,103.1,103.1,103.1,103.1,190
20130614,103,103.1,103,103.1,395
20130617,103,103.12,103,103.12,283
20130618,103.04,103.4,103.04,103.4,65
20130619,103.41,103.41,103.03,103.03,8
20130620,102.51,102.51,102.51,102.51,250
20130621,102.12,102.12,101.65,101.65,863
20130624,100.59,100.59,100.5,100.5,368
20130625,101.39,101.39,101.39,101.39,47
20130626,101.5,101.5,101.25,101.25,5006
20130627,101.25,101.25,101.25,101.25,0
20130628,101.92,102.23,101.92,102.23,53
20130701,99.82,99.82,99.82,99.82,8
20130702,100.28,100.44,100.28,100.44,706
20130703,100.1,100.27,100.07,100.24,2058
20130704,100.24,100.24,100.24,100.24,0
20130705,100.24,100.24,100.24,100.24,0
20130708,100.24,100.24,100.24,100.24,0
20130709,100.24,100.24,100.24,100.24,0
20130710,99.87,99.95,99.87,99.95,5340
20130711,100.54,100.54,100.54,100.54,146
20130712,100.45,100.45,100.19,100.19,59
20130715,100.19,100.19,100.19,100.19,0
20130716,100.69,100.69,100.64,100.64,247
20130717,100.42,100.42,100.42,100.42,40
20130718,100.87,100.87,100.87,100.87,68
20130719,100.73,100.82,100.73,100.8,252
20130722,101,101,100.95,100.95,59
20130723,101,101,100.85,100.99,272
20130724,100.93,100.93,100.7,100.7,618
20130725,100.69,100.69,100.64,100.64,3005
20130726,100.64,100.64,100.64,100.64,0
20130729,100.72,100.72,100.72,100.72,400
20130730,100.37,100.37,100.37,100.37,100
20130731,100.37,100.37,100.37,100.37,0
20130801,100.37,100.37,100.37,100.37,0
20130802,100.37,100.37,100.37,100.37,0
20130805,101.09,101.09,101.09,101.09,1
20130806,101.05,101.15,101.05,101.15,482
20130807,101.14,101.14,101.13,101.13,121
20130808,101.03,101.03,101.03,101.03,33
20130809,101.03,101.03,101.03,101.03,0
20130812,101.03,101.03,101.03,101.03,0
20130813,100.72,100.82,100.68,100.68,556
20130814,100.34,100.34,100.34,100.34,1
20130815,100.34,100.34,100.34,100.34,0
20130816,100.11,100.11,99.72,99.72,278
20130819,99.55,99.55,99.55,99.55,327
20130820,99.69,100.07,99.52,100.07,6012
20130821,99.84,99.84,99.84,99.84,2
20130822,99.42,99.42,99.42,99.42,50
20130823,99.47,99.47,99.47,99.47,4
20130826,99.97,99.97,99.97,99.97,201
20130827,99.97,99.97,99.97,99.97,0
20130828,100.2,100.2,100.2,100.2,5000
20130829,100.06,100.15,100.06,100.15,6596
20130830,100.15,100.15,100.15,100.15,0
20130902,100.12,100.12,100.12,100.12,308
20130903,100.12,100.12,100.12,100.12,37
20130904,100.12,100.12,100.12,100.12,0
20130905,100.12,100.12,100.12,100.12,0
20130906,99.27,99.27,99.12,99.12,219
20130909,99.4,99.4,99.4,99.4,100
20130910,99.17,99.17,99.17,99.17,3
20130911,99.21,99.21,99.11,99.11,529
20130912,99.4,99.55,99.4,99.55,6000
20130913,99.5,99.5,99.5,99.5,626
20130916,99.9,99.9,99.8,99.8,5123
20130917,99.85,99.85,99.85,99.85,4
20130918,99.85,99.85,99.85,99.85,0
20130919,100.56,100.56,100.56,100.56,1234
20130920,99.92,99.92,99.92,99.92,10
20130923,99.92,99.92,99.92,99.92,0
20130924,100.42,100.42,100.23,100.23,204
20130925,100.47,100.47,100.47,100.47,50
20130926,100.48,100.5,100.48,100.5,600
20130927,100.56,100.56,100.56,100.56,4
20130930,100.56,100.56,100.56,100.56,0
20131001,100.93,100.93,100.93,100.93,13
20131002,100.35,100.62,100.3,100.62,3357
20131003,99.93,99.93,99.93,99.93,855
20131004,99.48,99.54,99.48,99.54,3126
20131007,99.48,99.48,99.44,99.44,9
20131008,99.55,99.55,99.55,99.55,338
20131009,99.55,99.55,99.55,99.55,0
20131010,99.28,99.28,99.28,99.28,42
20131011,99.22,99.22,99.22,99.22,839
20131014,99.33,99.33,99.33,99.33,1
20131015,99.33,99.33,99.33,99.33,0
20131016,98.81,99.12,98.52,98.59,5675
20131017,98.59,98.59,98.59,98.59,0
20131018,99.47,99.47,99.47,99.47,585
20131021,99.55,99.55,99.55,99.55,176
20131022,99.49,99.49,99.45,99.45,3327
20131023,99.86,99.86,99.86,99.86,272
20131024,99.66,100,99.66,100,103
20131025,100,100,100,100,0
20131028,99.64,99.64,99.64,99.64,2
20131029,99.64,99.64,99.64,99.64,0
20131030,100.19,100.5,100.19,100.5,258
20131031,99.9,99.9,99.59,99.63,4
20131101,99.75,99.75,99.75,99.75,788
20131104,99.36,99.36,99.36,99.36,120
20131105,99.4,99.4,99.36,99.36,217
20131106,99.25,99.25,99.25,99.25,192
20131107,99.25,99.25,99.25,99.25,0
20131108,99.27,99.31,99.27,99.31,2
20131111,99.16,99.16,99.16,99.16,69
20131112,99.1,99.31,99.1,99.31,57
20131113,99.31,99.31,99.31,99.31,0
20131114,99.21,99.5,99.21,99.42,490
20131115,99.42,99.47,99.42,99.47,1500
20131118,99.46,99.46,99.37,99.37,79
20131119,99.59,99.59,99.19,99.19,378
20131120,99.25,99.25,99,99,91
20131121,99,99,99,99,0
20131122,99,99,99,99,0
20131125,99.23,99.23,99.23,99.23,53
20131126,99.35,99.35,99.35,99.35,100
20131127,99.45,99.45,99.45,99.45,594
20131128,99.18,99.18,99.18,99.18,141
20131129,99.5,99.5,99.4,99.4,56
20131202,99.06,99.38,99.06,99.38,707
20131203,98.87,98.95,98.87,98.95,47
20131204,99.15,99.15,99.15,99.15,94
20131205,99.15,99.15,99.15,99.15,0
20131206,98.56,98.9,98.56,98.9,665
20131209,98.91,98.91,98.91,98.91,1
20131210,98.91,98.91,98.91,98.91,0
20131211,98.9,99.04,98.9,99.04,3001
20131212,99.04,99.04,99.04,99.04,0
20131213,99.47,99.47,99.47,99.47,755
20131216,99.47,99.47,99.47,99.47,0
20131217,99.76,99.76,99.76,99.76,4
20131218,99.76,99.76,99.76,99.76,0
20131219,99.75,99.82,99.51,99.82,461
20131220,99.86,99.86,99.25,99.58,341
20131223,99.48,99.7,99.48,99.7,22
20131224,99.5,99.5,99.5,99.5,121
20131227,99.91,99.91,99.54,99.54,55
20131230,99.54,99.54,99.54,99.54,0
20131231,99.14,99.14,99.14,99.14,27
20140102,99.14,99.14,99.14,99.14,0
20140103,99.14,99.14,99.14,99.14,0
20140106,99.14,99.14,99.14,99.14,0
20140107,99.14,99.14,99.14,99.14,0
20140108,99.14,99.14,99.14,99.14,0
20140109,98.74,98.74,98.74,98.74,100
20140110,98.94,98.94,98.94,98.94,18
20140113,98.94,98.94,98.94,98.94,0
20140114,99.14,99.32,99.14,99.32,3195
20140115,99.15,99.15,99.15,99.15,10
20140116,98.84,98.84,98.84,98.84,3
20140117,99.78,99.78,99.78,99.78,2
20140120,99.78,99.78,99.78,99.78,0
20140121,99.78,99.78,99.78,99.78,0
20140122,99.82,99.82,99.82,99.82,200
20140123,99.82,99.82,99.82,99.82,0
20140124,100.03,100.03,100.03,100.03,50
20140128,98.3,99.61,98.3,99.61,407
20140129,99.99,99.99,99.88,99.88,398
20140130,100.18,100.3,100.18,100.3,841
20140131,100.26,100.26,100.26,100.26,1
20140203,100.22,100.22,100.22,100.22,232
20140204,100.05,100.05,100.05,100.05,500
20140205,100.05,100.05,100.05,100.05,0
20140206,99.97,99.97,99.88,99.88,204
20140207,99.88,99.88,99.88,99.88,0
20140210,99.32,99.37,99.32,99.37,814
20140211,99.4,99.4,99.4,99.4,2
20140212,99.15,99.15,99.15,99.15,100
20140213,99.52,99.52,99.34,99.34,3321
20140214,99.42,99.42,99.42,99.42,73
20140217,99.67,99.67,99.67,99.67,2852
20140218,99.36,99.36,99.36,99.36,46
20140219,99.53,99.53,99.53,99.53,12
20140220,99.53,99.53,99.53,99.53,0
20140221,99.53,99.53,99.53,99.53,0
20140224,99.68,99.68,99.68,99.68,308
20140225,99.46,99.46,99.46,99.46,6
20140226,99.73,99.73,99.73,99.73,2
20140227,99.73,100.24,99.73,100.24,215
20140228,100.08,100.08,100.08,100.08,4
20140303,100.67,100.67,100.42,100.42,285
20140304,100.38,100.57,100.38,100.57,379
20140305,100.03,100.03,100.03,100.03,958
20140306,99.89,99.89,99.89,99.89,3
20140307,99.8,99.8,99.8,99.8,2500
20140310,99.83,99.83,99.83,99.83,10
20140311,99.9,99.98,99.9,99.98,861
20140312,99.71,99.9,99.7,99.9,19
20140313,99.65,99.65,99.65,99.65,100
20140314,100.02,100.02,100.02,100.02,73
20140317,100.57,100.57,100.3,100.3,3457
20140318,100.24,100.24,100.24,100.24,1
20140319,100.5,100.5,100.21,100.21,696
20140320,100.04,100.04,100.04,100.04,104
20140321,100.12,100.12,100.12,100.12,25
20140324,99.95,100.13,99.95,100.13,101
20140325,99.81,99.81,99.81,99.81,1
20140326,100.25,100.25,100.25,100.25,149
20140327,100.4,100.4,100.4,100.4,10
20140328,100.42,100.42,100.42,100.42,3
20140331,100.42,100.42,100.37,100.37,3244
20140401,100.12,100.12,99.95,99.95,143
20140402,99.78,100.05,99.78,100.05,277
20140403,100.05,100.05,100.05,100.05,0
20140404,99.34,99.34,99.34,99.34,53
20140407,99.66,99.66,99.66,99.66,4
20140408,99.5,99.5,99.5,99.5,1
20140409,99.81,99.81,99.81,99.81,538
20140410,99.54,99.54,99.54,99.54,2
20140411,99.99,99.99,99.99,99.99,58
20140414,99.82,99.82,99.82,99.82,130
20140415,100.08,100.08,100.08,100.08,1
