Date,Open,High,Low,Close,Volume
20220818,25.57,25.57,25.57,25.57,10038
20220819,25.65,25.65,25.63,25.63,698
20220822,25.5,25.5,25.3,25.32,4097
20220823,25.05,25.05,24.94,24.94,7658
20220824,24.47,24.85,24.47,24.85,1036
20220825,24.98,24.98,24.98,24.98,40
20220826,25.07,25.07,25.07,25.07,1900
20220829,25,25,24.48,24.48,51
20220830,24.48,24.48,24.48,24.48,19
20220831,24.46,24.46,24.46,24.46,25
20220901,24.23,24.23,24.23,24.23,200
20220902,24.3,24.3,24.3,24.3,4400
20220905,24.3,24.3,24.3,24.3,0
20220906,23.8,24.2,23.8,24.2,4762
20220907,24.08,24.08,24.08,24.08,114
20220908,24.08,24.08,24.08,24.08,0
20220909,24.08,24.08,24.08,24.08,0
20220912,24.08,24.08,24.08,24.08,0
20220913,24.08,24.08,24.08,24.08,0
20220914,24.08,24.08,24.08,24.08,0
20220915,24.45,24.45,24.45,24.45,41
20220916,24.13,24.13,24.13,24.13,20
20220919,24.13,24.13,24.13,24.13,0
20220920,24.13,24.13,24.13,24.13,0
20220921,23.96,23.96,23.96,23.96,2000
20220923,23.96,23.96,23.96,23.96,0
20220926,23.96,23.96,23.96,23.96,0
20220927,23.96,23.96,23.96,23.96,0
20220928,23.96,23.96,23.96,23.96,0
20220929,23.96,23.96,23.96,23.96,0
20220930,23.96,23.96,23.2,23.2,6049
20221003,22.97,22.97,22.97,22.97,1000
20221004,22.97,22.97,22.97,22.97,0
20221005,23.99,24,23.99,24,4000
20221006,24,24,24,24,0
20221007,23.95,23.96,23.95,23.96,1000
20221010,23.78,23.78,23.52,23.52,2000
20221011,23.92,23.92,23.58,23.58,2204
20221012,23.58,23.58,23.58,23.58,0
20221013,23.58,23.58,23.58,23.58,0
20221014,23.58,23.58,23.58,23.58,0
20221017,23.58,23.58,23.58,23.58,0
20221018,23.58,23.58,23.58,23.58,0
20221019,23.58,23.58,23.58,23.58,0
20221020,23.58,23.58,23.58,23.58,0
20221021,23.6,23.6,23.6,23.6,500
20221024,23.6,23.6,23.6,23.6,0
20221025,23.6,23.6,23.6,23.6,0
20221026,23.6,23.6,23.6,23.6,0
20221027,23.6,23.6,23.6,23.6,0
20221028,23.97,23.97,23.88,23.88,6029
20221031,23.88,23.88,23.88,23.88,0
20221101,23.88,23.88,23.88,23.88,0
20221102,23.88,23.88,23.88,23.88,0
20221103,24.03,24.03,24.03,24.03,20
20221104,24.03,24.03,24.03,24.03,0
20221107,24.03,24.03,24.03,24.03,0
20221108,24.03,24.03,24.03,24.03,0
20221109,24.03,24.03,24.03,24.03,0
20221110,24.03,24.03,24.03,24.03,0
20221111,24.03,24.03,24.03,24.03,0
20221114,24.03,24.03,24.03,24.03,0
20221115,24.03,24.03,24.03,24.03,0
20221116,24.03,24.03,24.03,24.03,0
20221117,24.61,24.69,24.61,24.69,4004
20221118,24.67,24.67,24.66,24.67,10000
20221121,24.8,24.8,24.8,24.8,5000
20221122,24.9,24.9,24.9,24.9,79
20221123,25.02,25.03,25.02,25.03,9699
20221124,25.03,25.03,25.03,25.03,0
20221125,25.03,25.03,25.03,25.03,0
20221128,25.03,25.03,25.03,25.03,0
20221129,24.96,24.96,24.96,24.96,4
20221130,24.96,24.96,24.96,24.96,0
20221201,24.96,24.96,24.96,24.96,0
20221202,24.96,24.96,24.96,24.96,0
20221205,25.19,25.23,25.12,25.15,12231
20221206,25.15,25.15,25.15,25.15,0
20221207,25.27,25.27,24.97,24.97,2
20221208,24.97,24.97,24.97,24.97,0
