Date,Open,High,Low,Close,Volume
20151217,99.7,99.7,99.7,99.7,55
20151218,99.7,99.7,99.7,99.7,0
20151221,99.7,99.7,99.7,99.7,0
20151222,99.7,99.7,99.7,99.7,0
20151223,99.7,99.7,99.7,99.7,0
20151224,99.7,99.7,99.7,99.7,0
20151229,99.7,99.7,99.7,99.7,0
20151230,99.7,99.7,99.7,99.7,0
20151231,99.89,99.89,99.89,99.89,10
20160104,99.89,99.89,99.89,99.89,0
20160105,99.89,99.89,99.89,99.89,0
20160106,99.89,99.89,99.89,99.89,0
20160107,99.89,99.89,99.89,99.89,0
20160108,99.93,99.93,99.93,99.93,35
20160111,99.93,99.93,99.93,99.93,0
20160112,99.93,99.93,99.93,99.93,0
20160113,99.93,99.93,99.93,99.93,0
20160114,99.93,99.93,99.93,99.93,0
20160115,99.93,99.93,99.93,99.93,0
20160118,99.93,99.93,99.93,99.93,0
20160119,100.11,100.11,100.11,100.11,95
20160120,100.11,100.11,100.11,100.11,0
20160121,100.11,100.11,100.11,100.11,0
20160122,99.46,99.46,99.46,99.46,300
20160125,99.46,99.46,99.46,99.46,0
20160127,99.46,99.46,99.46,99.46,0
20160128,99.56,99.56,99.56,99.56,10
20160129,99.56,99.56,99.56,99.56,0
20160201,99.56,99.56,99.56,99.56,0
20160202,99.26,99.26,99.26,99.26,100
20160203,100.03,100.03,100.03,100.03,2
20160204,100.03,100.03,100.03,100.03,0
20160205,100.03,100.03,100.03,100.03,0
20160208,100.03,100.03,100.03,100.03,0
20160209,100.22,100.22,100.22,100.22,80
20160210,99.92,99.92,99.92,99.92,150
20160211,99.92,99.92,99.92,99.92,0
20160212,99.92,99.92,99.92,99.92,0
20160215,99.92,99.92,99.92,99.92,0
20160216,99.92,99.92,99.92,99.92,0
20160217,99.92,99.92,99.92,99.92,0
20160218,99.92,99.92,99.92,99.92,0
20160219,99.73,99.73,99.73,99.73,2
20160222,99.72,99.72,99.72,99.72,1
20160223,99.72,99.72,99.72,99.72,0
20160224,100.73,100.73,100.73,100.73,2
20160225,100.88,100.88,100.86,100.86,667
20160226,100.86,100.86,100.86,100.86,0
20160229,100.86,100.86,100.86,100.86,0
20160301,100.86,100.86,100.86,100.86,0
20160302,100.77,100.77,100.77,100.77,89
20160303,100.77,100.77,100.77,100.77,0
20160304,101.03,101.03,101.03,101.03,590
20160307,100.72,100.72,100.72,100.72,24
20160308,100.72,100.72,100.72,100.72,0
20160309,101.14,101.14,101.12,101.12,26
20160310,101.12,101.12,101.12,101.12,0
20160311,101.1,101.1,101.1,101.1,348
20160314,101.05,101.05,101.05,101.05,350
20160315,101.05,101.05,101.05,101.05,0
20160316,102.97,102.97,102.97,102.97,46
20160317,102.97,102.97,102.97,102.97,0
20160318,102.97,102.97,102.97,102.97,0
20160321,102.97,102.97,102.97,102.97,103
20160322,102.97,102.97,102.97,102.97,0
20160323,102.74,102.74,102.74,102.74,1
20160324,103.3,103.3,103.3,103.3,108
20160329,103.3,103.3,103.3,103.3,0
20160330,103.3,103.3,103.3,103.3,0
20160331,103.1,103.1,103.1,103.1,30
