Date,Open,High,Low,Close,Volume
20101209,15,15.02,15,15.01,7673
20101210,15.07,15.09,15.04,15.04,3675
20101213,15.04,15.04,15.04,15.04,0
20101214,15.04,15.04,15.04,15.04,0
20101215,15.06,15.07,15.06,15.07,500
20101216,15.07,15.07,15.07,15.07,0
20101217,15.14,15.14,15.14,15.14,6500
20101220,15.14,15.14,15.07,15.08,5220
20101221,15.1,15.1,15.1,15.1,3300
20101222,15.08,15.08,15.05,15.05,2165
20101223,15.07,15.07,15.07,15.07,265
20101224,15.1,15.1,15.1,15.1,1800
20101229,15.09,15.09,15.05,15.05,17500
20101230,15.16,15.17,15.16,15.17,2262
20101231,15.15,15.15,15.11,15.11,2186
20110104,15.11,15.12,15.07,15.07,21035
20110105,15.07,15.07,15.07,15.07,0
20110106,14.94,14.96,14.94,14.96,1367
20110107,14.96,14.96,14.96,14.96,0
20110110,14.96,14.96,14.96,14.96,0
20110111,15.03,15.03,15.03,15.03,3320
20110112,15.03,15.03,15.03,15.03,1330
20110113,15.03,15.03,15.03,15.03,0
20110114,15.25,15.25,15.25,15.25,250
20110117,15.25,15.25,15.25,15.25,0
20110118,15.23,15.23,15.23,15.23,100
20110119,15.28,15.34,15.28,15.34,24167
20110120,15.33,15.33,15.33,15.33,940
20110121,15.27,15.27,15.24,15.25,32250
20110124,15.22,15.22,15.22,15.22,2500
20110125,15.29,15.32,15.26,15.3,124900
20110127,15.14,15.16,15.11,15.12,115874
20110128,15.15,15.15,15.02,15.03,13076
20110131,14.95,14.95,14.92,14.93,12377
20110201,14.97,14.97,14.96,14.96,12503
20110202,15.07,15.08,15.01,15.01,13401
20110203,15.03,15.03,15.02,15.03,12967
20110204,15.12,15.2,15.05,15.17,13792
20110207,15.22,15.22,15.15,15.15,5980
20110208,15.15,15.15,15.1,15.15,33239
20110209,15.19,15.2,15.18,15.2,15156
20110210,15.18,15.21,15.16,15.17,40456
20110211,15.17,15.17,15.14,15.14,26250
20110214,15.2,15.22,15.17,15.21,25878
20110215,15.25,15.27,15.24,15.27,11700
20110216,15.28,15.29,15.26,15.27,21441
20110217,15.3,15.3,15.28,15.28,8545
20110218,15.32,15.32,15.3,15.3,13585
20110221,15.3,15.3,15.25,15.26,2089
20110222,15.22,15.22,15.1,15.15,36549
20110223,15.1,15.12,15.09,15.12,8200
20110224,15.09,15.13,15.09,15.13,3640
20110225,15.13,15.13,15.12,15.13,3835
20110228,15.16,15.16,15.14,15.14,450
20110301,15.2,15.2,15.2,15.2,1061
20110302,15.3,15.3,15.1,15.1,1100
20110303,15.15,15.18,15.14,15.18,13383
20110304,15.42,15.42,15.39,15.39,2328
20110307,15.35,15.35,15.18,15.18,3863
20110308,15.09,15.19,15.09,15.19,105310
20110309,15.19,15.19,15.03,15.03,103417
20110310,15.03,15.03,14.93,14.93,3916
20110311,14.83,14.83,14.75,14.75,3999
20110314,14.59,14.73,14.59,14.73,600
20110315,14.63,14.65,14.41,14.51,16530
20110316,14.4,14.52,14.4,14.52,2934
20110317,14.52,14.52,14.51,14.51,2750
20110318,14.57,14.63,14.49,14.63,231730
20110321,14.69,14.74,14.69,14.73,7171
20110322,14.79,14.81,14.76,14.76,12171
20110323,14.78,14.79,14.76,14.79,8620
20110324,14.93,14.93,14.9,14.92,6530
20110325,14.97,14.97,14.97,14.97,1000
20110328,15.11,15.11,15.06,15.06,2009
20110329,15.1,15.18,15.08,15.18,17229
20110330,15.25,15.25,15.25,15.25,2000
20110331,15.31,15.31,15.28,15.29,3372
20110401,15.3,15.43,15.26,15.43,20119
20110404,15.48,15.48,15.4,15.4,11530
20110405,15.4,15.46,15.38,15.38,4860
20110406,15.36,15.38,15.36,15.38,820
20110407,15.43,15.43,15.4,15.4,2015
20110408,15.4,15.4,15.4,15.4,0
20110411,15.48,15.48,15.43,15.43,4035
20110412,15.44,15.44,15.34,15.34,181360
20110413,15.28,15.28,15.28,15.28,3000
20110414,15.28,15.3,15.21,15.21,203298
20110415,15.13,15.14,15.1,15.14,2000
20110418,15.19,15.19,15.19,15.19,1970
20110419,15.04,15.05,15.03,15.05,10252
20110420,15.17,15.19,15.17,15.19,9989
20110421,15.39,15.39,15.39,15.39,556
20110427,15.43,15.53,15.34,15.34,2496
20110428,15.35,15.35,15.34,15.34,6805
20110429,15.34,15.34,15.03,15.03,6504
20110502,15.2,15.2,15,15,9123
20110503,15.01,15.06,15.01,15.06,9687
20110504,15.06,15.06,14.9,14.92,6851
20110505,14.9,14.92,14.9,14.92,2125
20110506,15.02,15.02,15,15,4185
20110509,15,15,15,15,67000
20110510,14.85,14.85,14.85,14.85,1000
20110511,14.98,14.98,14.91,14.96,14431
20110512,14.9,14.9,14.9,14.9,2005
20110513,14.83,14.94,14.83,14.94,5285
20110516,14.82,14.84,14.82,14.84,227599
20110517,14.84,14.89,14.83,14.89,6855
20110518,14.86,14.9,14.86,14.9,2680
20110519,15.03,15.04,15.03,15.04,5375
20110520,15.04,15.04,15.04,15.04,2000
20110523,14.85,14.85,14.8,14.8,10254
20110524,14.75,14.8,14.75,14.8,8185
20110525,14.68,14.68,14.64,14.66,8050
20110526,14.82,14.82,14.82,14.82,3500
20110527,14.89,14.89,14.89,14.89,162
20110530,14.92,14.92,14.91,14.91,6878
20110531,15,15,14.92,14.96,11068
20110601,14.95,15.01,14.95,15.01,7800
20110602,15,15,14.71,14.71,44019
20110603,14.75,14.75,14.68,14.69,9532
20110606,14.56,14.59,14.55,14.55,19977
20110607,14.62,14.63,14.62,14.62,10997
20110608,14.61,14.61,14.59,14.59,1120
20110609,14.57,14.58,14.55,14.58,15353
20110610,14.7,14.7,14.61,14.61,12424
