Date,Open,High,Low,Close,Volume
20151214,99.46,99.46,98.65,98.65,56
20151215,98.65,98.65,98.65,98.65,0
20151216,98.65,98.65,98.65,98.65,0
20151217,98.65,98.65,98.65,98.65,0
20151218,98.65,98.65,98.65,98.65,0
20151221,98.65,98.65,98.65,98.65,0
20151222,99.07,99.07,99.07,99.07,8
20151223,99.07,99.07,99.07,99.07,0
20151224,99.07,99.07,99.07,99.07,0
20151229,99.07,99.07,99.07,99.07,0
20151230,99.07,99.07,99.07,99.07,0
20151231,99.07,99.07,99.07,99.07,0
20160104,99.07,99.07,99.07,99.07,0
20160105,99.07,99.07,99.07,99.07,0
20160106,99.07,99.07,99.07,99.07,0
20160107,99.07,99.07,99.07,99.07,0
20160108,99.07,99.07,99.07,99.07,0
20160111,99.07,99.07,99.07,99.07,0
20160112,99.07,99.07,99.07,99.07,0
20160113,99.07,99.07,99.07,99.07,0
20160114,99.07,99.07,99.07,99.07,0
20160115,99.07,99.07,99.07,99.07,0
20160118,99.07,99.07,99.07,99.07,0
20160119,99.07,99.07,99.07,99.07,0
20160120,99.07,99.07,99.07,99.07,0
20160121,99.07,99.07,99.07,99.07,0
20160122,99.07,99.07,99.07,99.07,0
20160125,99.07,99.07,99.07,99.07,0
20160127,97.46,97.46,97.46,97.46,6
20160128,97.46,97.46,97.46,97.46,0
20160129,97.46,97.46,97.46,97.46,0
20160201,97.46,97.46,97.46,97.46,0
20160202,97.46,97.46,97.46,97.46,0
20160203,97.46,97.46,97.46,97.46,0
20160204,97.46,97.46,97.46,97.46,0
20160205,98.73,98.73,98.73,98.73,200
20160208,98.73,98.73,98.73,98.73,0
20160209,98.73,98.73,98.73,98.73,0
20160210,98.73,98.73,98.73,98.73,0
20160211,98.73,98.73,98.73,98.73,0
20160212,98.73,98.73,98.73,98.73,0
20160215,98.73,98.73,98.73,98.73,0
20160216,98.73,98.73,98.73,98.73,0
20160217,98.73,98.73,98.73,98.73,0
20160218,98.73,98.73,98.73,98.73,0
20160219,98.73,98.73,98.73,98.73,0
20160222,98.73,98.73,98.73,98.73,0
20160223,98.73,98.73,98.73,98.73,0
20160224,100,100,100,100,178
20160225,100,100,100,100,0
20160226,100,100,100,100,0
20160229,100,100,100,100,0
20160301,100,100,100,100,0
20160302,100,100,100,100,0
20160303,100,100,100,100,0
20160304,100,100,100,100,0
20160307,101.7,101.7,101.7,101.7,24
20160308,101.7,101.7,101.7,101.7,0
20160309,101.7,101.7,101.7,101.7,0
20160310,101.7,101.7,101.7,101.7,0
20160311,101.7,101.7,101.7,101.7,0
20160314,101.7,101.7,101.7,101.7,0
20160315,101.7,101.7,101.7,101.7,0
20160316,101.7,101.7,101.7,101.7,0
20160317,101.7,101.7,101.7,101.7,0
20160318,101.7,101.7,101.7,101.7,0
20160321,101.7,101.7,101.7,101.7,0
20160322,101.7,101.7,101.7,101.7,0
20160323,101.7,101.7,101.7,101.7,0
20160324,101.7,101.7,101.7,101.7,0
20160329,101.7,101.7,101.7,101.7,0
20160330,101.7,101.7,101.7,101.7,0
20160331,101.7,101.7,101.7,101.7,0
20160401,101.7,101.7,101.7,101.7,0
20160404,101.7,101.7,101.7,101.7,0
20160405,103.45,103.45,103.45,103.45,78
20160406,103.45,103.45,103.45,103.45,0
20160407,103.65,103.65,103.65,103.65,239
20160408,103.55,103.55,103.55,103.55,13
20160411,103.55,103.55,103.55,103.55,248
20160412,103.55,103.55,103.55,103.55,0
20160413,103.55,103.55,103.55,103.55,0
20160414,104.94,104.94,104.94,104.94,551
20160415,104.94,104.94,104.94,104.94,0
20160418,105.52,105.52,105.52,105.52,188
20160419,105.48,105.48,105.48,105.48,20
20160420,105.48,105.48,105.48,105.48,0
20160421,105.92,105.92,105.92,105.92,47
20160422,105.81,105.81,105.81,105.81,234
20160426,106.03,106.03,106.03,106.03,29
20160427,106.03,106.03,106.03,106.03,0
20160428,105.43,105.43,105.43,105.43,141
20160429,105.43,105.43,105.43,105.43,0
20160502,105.43,105.43,105.43,105.43,0
20160503,105.43,105.43,105.43,105.43,0
20160504,105.43,105.43,105.43,105.43,0
20160505,105.7,105.7,105.7,105.7,331
20160506,105.7,105.7,105.7,105.7,0
