Date,Open,High,Low,Close,Volume
20151214,98.2,98.2,97.07,97.07,57
20151215,97.07,97.07,97.07,97.07,0
20151216,97.07,97.07,97.07,97.07,0
20151217,97.07,97.07,97.07,97.07,0
20151218,97.07,97.07,97.07,97.07,0
20151221,96.67,96.67,96.67,96.67,42
20151222,96.67,96.67,96.67,96.67,0
20151223,96.67,96.67,96.67,96.67,0
20151224,96.67,96.67,96.67,96.67,0
20151229,96.67,96.67,96.67,96.67,0
20151230,96.67,96.67,96.67,96.67,0
20151231,96.67,96.67,96.67,96.67,0
20160104,97.37,97.37,97.37,97.37,200
20160105,97.37,97.37,97.37,97.37,0
20160106,97.37,97.37,97.37,97.37,0
20160107,97.37,97.37,97.37,97.37,0
20160108,97.37,97.37,97.37,97.37,0
20160111,96.16,96.16,96.16,96.16,300
20160112,96.16,96.16,96.16,96.16,0
20160113,96.16,96.16,96.16,96.16,0
20160114,96.16,96.16,96.16,96.16,0
20160115,96.16,96.16,96.16,96.16,0
20160118,96.16,96.16,96.16,96.16,0
20160119,96.16,96.16,96.16,96.16,0
20160120,96.16,96.16,96.16,96.16,0
20160121,94.13,94.13,94.13,94.13,100
20160122,93,93,93,93,70
20160125,93,93,93,93,0
20160127,93,93,93,93,0
20160128,93,93,93,93,0
20160129,93,93,93,93,0
20160201,93,93,93,93,0
20160202,93,93,93,93,0
20160203,95.51,95.51,95.51,95.51,170
20160204,95.51,95.51,95.51,95.51,0
20160205,95.51,95.51,95.51,95.51,0
20160208,95.51,95.51,95.51,95.51,0
20160209,94.97,94.97,94.97,94.97,63
20160210,94.97,94.97,94.97,94.97,0
20160211,94.97,94.97,94.97,94.97,0
20160212,94.97,94.97,94.97,94.97,0
20160215,94.97,94.97,94.97,94.97,0
20160216,94.97,94.97,94.97,94.97,0
20160217,94.97,94.97,94.97,94.97,0
20160218,94.97,94.97,94.97,94.97,0
20160219,94.97,94.97,94.97,94.97,0
20160222,94.97,94.97,94.97,94.97,0
20160223,94.97,94.97,94.97,94.97,0
20160224,95.1,95.1,95.03,95.03,254
20160225,94.75,94.75,94.75,94.75,200
20160226,94.75,94.75,94.75,94.75,0
20160229,94.75,94.75,94.75,94.75,0
20160301,94.75,94.75,94.75,94.75,0
20160302,94.75,94.75,94.75,94.75,0
20160303,94.75,94.75,94.75,94.75,0
20160304,94.75,94.75,94.75,94.75,0
20160307,98.09,98.09,98.09,98.09,50
20160308,98.09,98.09,98.09,98.09,0
20160309,98.09,98.09,98.09,98.09,0
20160310,98.09,98.09,98.09,98.09,0
20160311,98.62,98.62,98.57,98.57,14
20160314,98.57,98.57,98.57,98.57,0
20160315,98.57,98.57,98.57,98.57,0
20160316,98.57,98.57,98.57,98.57,0
20160317,98.57,98.57,98.57,98.57,0
20160318,98.57,98.57,98.57,98.57,0
20160321,100.8,100.8,100.8,100.8,11
20160322,100.8,100.8,100.8,100.8,0
20160323,100.8,100.8,100.8,100.8,0
20160324,100.8,100.8,100.8,100.8,0
20160329,100.8,100.8,100.8,100.8,0
20160330,100.8,100.8,100.8,100.8,0
20160331,100.45,100.45,100.45,100.45,30
20160401,100.45,100.45,100.45,100.45,0
20160404,100.45,100.45,100.45,100.45,0
20160405,100.45,100.45,100.45,100.45,0
20160406,100,100,100,100,50
20160407,100,100,100,100,0
20160408,100,100,100,100,0
20160411,100,100,100,100,0
20160412,100,100,100,100,0
20160413,100.79,100.79,100.79,100.79,524
20160414,101.28,101.28,101.28,101.28,247
20160415,101.28,101.28,101.28,101.28,0
20160418,101.28,101.28,101.28,101.28,0
20160419,101.28,101.28,101.28,101.28,0
20160420,101.28,101.28,101.28,101.28,0
20160421,101.28,101.28,101.28,101.28,0
20160422,102.4,102.4,102.4,102.4,29
20160426,102.4,102.4,102.4,102.4,0
20160427,102.4,102.4,102.4,102.4,0
20160428,102.71,102.71,102.71,102.71,258
20160429,102.78,102.78,102.73,102.73,146
20160502,102.73,102.73,102.73,102.73,0
20160503,102.73,102.73,102.73,102.73,0
20160504,102.81,102.81,102.81,102.81,10
20160505,102.45,102.45,102.45,102.45,341
20160506,102.4,102.4,102.4,102.4,100
20160509,102.4,102.4,102.4,102.4,0
20160510,101.87,101.87,101.87,101.87,50
20160511,101.87,101.87,101.87,101.87,0
20160512,101.87,101.87,101.87,101.87,0
20160513,101.87,101.87,101.87,101.87,0
20160516,101.87,101.87,101.87,101.87,0
20160517,101.87,101.87,101.87,101.87,0
20160518,101.87,101.87,101.87,101.87,0
20160519,101.87,101.87,101.87,101.87,0
20160520,101.87,101.87,101.87,101.87,0
20160523,102.11,102.13,102.11,102.13,191
20160524,102.13,102.13,102.13,102.13,0
20160525,102.13,102.13,102.13,102.13,0
20160526,103.04,103.04,103.04,103.04,3345
20160527,103.04,103.04,103.04,103.04,0
20160530,103.61,103.61,103.6,103.6,560
20160531,103.6,103.6,103.6,103.6,0
20160601,103.6,103.6,103.6,103.6,0
20160602,102.96,102.96,102.96,102.96,194
20160603,102.96,102.96,102.96,102.96,0
20160606,103.07,103.07,103,103.05,1412
20160607,103.5,103.5,103.5,103.5,194
20160608,104.1,104.1,104.08,104.08,176
20160609,104.19,104.21,104.19,104.21,1048
20160610,104.21,104.21,104.21,104.21,0
20160614,104.52,104.52,103.79,103.79,882
20160615,103.05,103.05,102.51,102.51,600
20160616,102.51,102.51,102.51,102.51,0
20160617,103.29,103.29,103.29,103.29,7
20160620,103.29,103.29,103.29,103.29,0
20160621,103.29,103.29,103.29,103.29,0
20160622,103.29,103.29,103.29,103.29,0
20160623,103.29,103.29,103.29,103.29,0
20160624,103.29,103.29,103.29,103.29,0
20160627,103.79,103.79,103.29,103.29,230
20160628,102.45,102.45,102.45,102.45,100
20160629,102.44,102.69,102.44,102.69,65
20160630,102.69,102.69,102.69,102.69,0
20160701,102.69,102.69,102.69,102.69,0
20160704,101.02,101.02,101.02,101.02,50
20160705,102.6,102.6,102.6,102.6,1364
20160706,102.21,102.21,102.2,102.2,1208
20160707,101.6,101.73,101.6,101.73,571
20160708,101.67,101.67,101.67,101.67,486
20160711,101.67,101.67,101.67,101.67,0
20160712,102.36,102.36,102.36,102.36,15
20160713,102.36,102.36,102.36,102.36,0
20160714,103.5,103.5,103.5,103.5,84
20160715,103.5,103.5,103.5,103.5,0
20160718,103.29,103.29,103.29,103.29,775
20160719,103.29,103.29,103.29,103.29,0
20160720,103.48,103.48,103.48,103.48,478
20160721,103.48,103.48,103.48,103.48,0
20160722,103.48,103.48,103.48,103.48,0
20160725,103.48,103.48,103.48,103.48,0
20160726,103.48,103.48,103.48,103.48,0
20160727,103.48,103.48,103.48,103.48,0
20160728,103.48,103.48,103.48,103.48,0
20160729,103.3,103.3,103.3,103.3,8592
20160801,103.81,103.81,103.81,103.81,79
20160802,103.81,103.81,103.81,103.81,0
20160803,103.25,103.25,103.25,103.25,435
20160804,103.25,103.25,103.25,103.25,275
20160805,103.12,103.12,103.12,103.12,275
20160808,103.12,103.12,103.12,103.12,0
20160809,104.12,104.12,104.12,104.12,912
20160810,104.13,104.13,104.12,104.12,203
20160811,104.12,104.12,104.12,104.12,0
20160812,104.25,104.25,104.1,104.1,482
20160815,104.1,104.1,104.1,104.1,0
20160816,104.7,104.7,104.7,104.7,240
20160817,104.7,104.7,104.7,104.7,0
20160818,104.7,104.7,104.7,104.7,0
20160819,105,105,105,105,345
20160822,104.97,105.18,104.97,105.18,1100
20160823,105.18,105.18,105.18,105.18,0
20160824,105.1,105.1,105,105,515
20160825,105,105,105,105,0
20160826,105.4,105.4,105.4,105.4,205
20160829,105.28,105.28,105.28,105.28,88
20160830,105.28,105.28,105.28,105.28,0
20160831,105.28,105.28,105.28,105.28,0
20160901,105.28,105.28,105.28,105.28,0
20160902,105.28,105.28,105.28,105.28,0
20160905,105.46,105.46,105.4,105.4,257
20160906,105.4,105.4,105.4,105.4,0
20160907,106.01,106.01,106.01,106.01,1408
20160908,106.01,106.01,106.01,106.01,0
20160909,106.01,106.01,106.01,106.01,0
20160912,105.02,105.02,105.02,105.02,6
20160913,105.75,105.75,105,105,115
20160914,104.42,104.42,104.42,104.42,10
20160915,104.42,104.42,104.42,104.42,0
20160916,104.42,104.42,104.42,104.42,0
20160919,104.55,104.55,104.55,104.55,239
20160920,104.55,104.55,104.55,104.55,0
20160921,104.55,104.55,104.55,104.55,0
20160922,104.55,104.55,104.55,104.55,0
20160923,104.55,104.55,104.55,104.55,0
20160926,104.55,104.55,104.55,104.55,0
20160927,105.1,105.4,105.09,105.4,1347
20160928,105.5,105.5,105.18,105.18,1354
20160929,105.18,105.18,105.18,105.18,0
20160930,105.4,105.4,105.4,105.4,240
20161003,105.81,105.81,105.81,105.81,1
20161004,105.81,105.81,105.8,105.8,74
20161005,105.8,105.8,105.8,105.8,0
20161006,105.8,105.8,105.8,105.8,0
20161007,105.8,105.8,105.8,105.8,0
20161010,105.8,105.8,105.8,105.8,0
20161011,106,106,106,106,10
20161012,106.63,106.63,106.63,106.63,850
20161013,106.63,106.63,106.63,106.63,0
20161014,106.63,106.63,106.63,106.63,0
20161017,106.63,106.63,106.63,106.63,0
20161018,106.25,106.25,106.25,106.25,120
20161019,106.66,106.66,106.66,106.66,20
20161020,106.51,106.51,106.51,106.51,5
20161021,106.51,106.51,106.51,106.51,0
20161024,106.51,106.51,106.51,106.51,0
20161025,106.86,107.12,106.86,107.12,3087
20161026,106.96,106.97,106.96,106.96,7796
20161027,106.34,106.89,106.34,106.82,612
20161028,106.68,106.68,106.11,106.45,9310
20161031,106.35,106.39,106.33,106.39,7119
20161101,106.43,106.43,106.43,106.43,1481
20161102,105.93,105.93,105.93,105.93,557
20161103,105.93,105.93,105.93,105.93,0
20161104,105.36,105.36,105.36,105.36,1156
20161107,104.72,104.72,104.72,104.72,463
20161108,105.85,105.99,105.85,105.95,8305
20161109,105.95,105.95,105.95,105.95,0
20161110,106.3,106.3,106.24,106.24,5599
20161111,106.24,106.24,106.24,106.24,0
20161114,106.24,106.24,106.24,106.24,0
20161115,104,104,104,104,28
20161116,104,104,104,104,0
20161117,104.89,104.89,104.89,104.89,48
20161118,104.89,104.89,104.89,104.89,0
20161121,104.89,104.89,104.89,104.89,0
20161122,104.89,104.92,104.89,104.92,99
20161123,105.04,105.04,105.04,105.04,296
20161124,105.04,105.04,105.04,105.04,0
20161125,105.01,105.01,105.01,105.01,94
20161128,105.01,105.01,105.01,105.01,0
20161129,105.01,105.01,105.01,105.01,0
20161130,105.17,105.17,105.17,105.17,700
20161201,105.17,105.17,105.17,105.17,0
20161202,105.78,105.78,105.7,105.77,28317
20161205,105.85,106.35,105.85,106.35,132
20161206,105.83,106.35,105.83,106.35,1223
20161207,106.4,106.65,106.4,106.65,357
20161208,106.5,106.5,106.2,106.2,86
20161209,107.06,107.06,107.06,107.06,13100
20161212,107.06,107.06,107,107,130
20161213,106.55,107.12,106.55,107.12,1246
20161214,107.12,107.12,106.6,106.6,56
20161215,107.08,107.08,107.08,107.08,4
20161216,107.6,107.6,106.5,106.5,511
20161219,106.74,107.21,106.65,106.65,2694
20161220,107.37,107.37,107.37,107.37,557
20161221,107.25,107.25,107.25,107.25,1706
20161222,107.02,107.02,107,107,34
20161223,106.58,107.73,106.58,107.73,1268
20161228,107.65,107.84,107.63,107.84,418
20161229,107.96,107.96,107.86,107.86,407
20161230,107.8,107.8,107.64,107.7,644
20170103,107.69,107.69,107.69,107.69,44
20170104,107.73,107.73,107.67,107.67,497
20170105,107,107,107,107,1
20170106,108.09,108.09,108.09,108.09,71
20170109,107.9,107.9,107.9,107.9,109
20170110,107.79,107.79,107.79,107.79,115
20170111,107.63,107.63,107.63,107.63,104
20170112,108.33,108.33,108.33,108.33,72
20170113,107.94,108.13,107.52,108.13,651
20170116,107.6,107.6,107.6,107.6,6
20170117,107.61,108.23,107.61,108.23,217
20170118,108.54,108.54,108.54,108.54,872
20170119,108.04,108.07,108.04,108.07,291
20170120,108.085,108.17,107.67,107.67,126
20170123,107.72,107.72,107.72,107.72,3
20170124,108.42,108.42,108.42,108.42,603
20170125,107.57,107.57,107.57,107.57,84
20170127,108.2,108.75,108.2,108.75,170
20170130,108.65,108.65,108.65,108.65,27
20170131,108.36,108.36,108.34,108.34,382
20170201,108.21,108.21,108.08,108.08,400
20170202,108.3,108.3,108.3,108.3,154
20170203,108.28,108.28,108.28,108.28,68
20170206,108.77,108.83,108.77,108.83,265
20170207,109.29,109.29,109.29,109.29,6
20170208,109.24,109.24,109,109,95
20170209,109.19,109.19,108.7,108.7,116
20170210,108.66,108.66,108.47,108.65,2026
20170213,108.7,108.7,108.7,108.7,8
20170214,108.73,108.73,108.73,108.73,4
20170215,109.11,109.11,109.11,109.11,77
20170216,109,109,109,109,1414
20170217,109.26,109.26,109.26,109.26,3
20170220,109.36,109.36,109.36,109.36,20
20170221,109.29,109.29,109.29,109.29,51
20170222,109.71,109.71,109.5,109.5,472
20170223,109.45,109.52,109.43,109.52,463
20170224,109.52,109.52,109.52,109.52,0
20170227,109.72,109.72,109.72,109.72,4
