Date,Open,High,Low,Close,Volume
20141222,95.3,95.57,95.3,95.57,4904
20141223,95.82,95.82,95.82,95.82,210
20141224,96.05,96.05,96.05,96.05,250
20141229,96.05,96.05,96.05,96.05,0
20141230,96.05,96.05,96.05,96.05,0
20141231,96.05,96.05,96.05,96.05,0
20150102,96.05,96.05,96.05,96.05,0
20150105,96.05,96.05,96.05,96.05,0
20150106,96.05,96.05,96.05,96.05,0
20150107,96.05,96.05,96.05,96.05,0
20150108,93.33,93.33,93.32,93.32,3000
20150109,94.45,94.45,94.45,94.45,400
20150112,94.45,94.45,94.45,94.45,0
20150113,94.45,94.45,94.45,94.45,0
20150114,93,93,93,93,2610
20150115,93,93,93,93,0
20150116,92.27,92.27,91.96,92.05,17906
20150119,93.73,93.73,93.16,93.16,19450
20150120,93.2,93.2,93.2,93.2,4
20150121,93.4,93.53,93.4,93.48,8183
20150122,94,94.2,94,94.2,3225
20150123,95.28,95.28,95.28,95.28,6529
20150127,95.54,95.54,95.54,95.54,1061
20150128,95.2,95.5,95.11,95.5,1399
20150129,93.5,93.5,93.45,93.45,850
20150130,94.45,94.63,94.44,94.49,12122
20150202,93.7,93.8,93.39,93.7,12239
20150203,94.7,94.72,94.5,94.5,5921
20150204,96.09,96.11,95.95,95.95,1242
20150205,95.43,95.56,95.43,95.56,1846
20150206,96.11,96.32,96,96,943
20150209,95.92,95.92,95.7,95.84,1067
20150210,95.78,95.78,95.73,95.73,1575
20150211,96.82,96.82,96.5,96.5,1371
20150212,96.5,96.58,96.5,96.58,359
20150213,97.1,97.1,97.01,97.01,374
20150216,98.05,98.05,98.05,98.05,228
20150217,97.8,97.8,97.65,97.65,500
20150218,98.52,98.52,98.25,98.25,806
20150219,97.78,97.78,97.78,97.78,56
20150220,98.45,98.47,98.43,98.43,718
20150223,98.8,98.8,98.8,98.8,62
20150224,98.85,98.98,98.85,98.98,2207
20150225,99.11,99.11,99.03,99.07,1130
20150226,99.44,99.44,99.44,99.44,958
20150227,99.09,99.1,99.09,99.1,350
20150302,99.52,99.52,99.44,99.44,954
20150303,99.76,99.77,99.05,99.05,4721
20150304,99.26,99.26,99.21,99.25,4239
20150305,99.21,99.22,99,99,950
20150306,99,99.36,99,99.35,1124
20150309,98.95,98.95,97.87,97.93,10457
20150310,98.71,98.71,98.44,98.61,6660
20150311,97.55,97.72,97.55,97.72,2590
20150312,97.45,97.53,97.3,97.53,2255
20150313,98.29,98.29,98.29,98.29,450
20150316,97.5,97.89,97.5,97.89,1732
20150317,98.84,98.88,98.84,98.88,895
20150318,98.88,98.93,98.88,98.93,1126
20150319,100.36,100.39,100.3,100.3,750
20150320,99.55,99.55,99.21,99.21,8200
20150323,100.49,100.49,100.29,100.37,7000
20150324,100.28,100.28,100.26,100.26,1048
20150325,99.85,99.85,99.85,99.85,97
20150326,98.79,98.79,98.78,98.78,429
20150327,98.77,98.78,98.77,98.78,507
20150330,98.28,98.35,98.28,98.35,1225
20150331,99.16,99.16,99.15,99.16,3040
20150401,98.35,98.35,97.45,97.68,11787
20150402,98.07,98.07,98.07,98.07,200
20150407,99.03,99.07,99.03,99.05,508
20150408,98.89,98.93,98.89,98.93,1010
20150409,99.74,99.74,99.74,99.74,400
20150410,99.79,99.8,99.79,99.8,2795
20150413,100.49,100.49,100.49,100.49,555
20150414,100.5,100.81,100.5,100.76,1786
20150415,100.94,100.94,100.94,100.94,1032
20150416,101.34,101.34,101.25,101.25,796
20150417,101.4,101.4,101.4,101.4,50
20150420,100.31,100.47,99.99,99.99,4839
20150421,100.58,100.88,100.58,100.88,5100
20150422,100.76,100.78,100.76,100.78,554
20150423,101.16,101.16,101.12,101.12,847
20150424,101.15,101.15,101,101,1722
20150427,101.5,101.54,101.49,101.54,3088
20150428,101.42,101.42,101.2,101.33,2905
20150429,101.62,101.78,101.12,101.78,3901
20150430,101.02,101.02,100.9,100.9,310
20150501,100.12,100.12,99.84,99.84,958
20150504,100.67,100.68,100.65,100.65,2760
20150505,101.03,101.03,100.9,100.93,682
20150506,100.14,100.16,99.95,99.95,1340
20150507,99.1,99.45,99,99.4,1886
20150508,99.2,99.56,98.95,99.56,660
20150511,100.54,100.85,100.4,100.4,5268
20150512,100.48,100.48,100.3,100.42,632
20150513,100.49,100.49,100.49,100.49,159
20150514,100,100.18,99.85,100.18,1076
20150515,101.19,101.19,101.18,101.18,296
20150518,101,101,100.87,100.96,1506
20150519,101.19,101.19,101.19,101.19,70
20150520,100.87,101.06,100.85,101.04,5193
20150521,101.5,101.51,101.12,101.51,1117
20150522,102.08,102.11,102.08,102.1,464
20150525,102.07,102.27,102,102.12,3102
20150526,101.93,101.93,101.82,101.84,648
20150527,101.05,101.08,101,101,2038
20150528,101.72,101.72,101.68,101.68,118
20150529,102.04,102.04,101.94,101.95,819
20150601,102,102,101.2,101.45,1366
20150602,101.08,101.08,101.08,101.08,233
20150603,100.29,101.06,100.29,101.06,1431
20150604,100.69,100.69,100.53,100.53,1049
20150605,99.65,100.02,99.55,100,2271
20150609,99,99.01,98.88,98.98,1119
20150610,99.21,99.21,98.7,98.71,2223
20150611,99.57,99.6,99.57,99.6,949
20150612,99.88,99.88,99.34,99.34,870
20150615,99.17,99.17,99.17,99.17,5
20150616,98.63,98.63,98.62,98.62,205
20150617,98.62,98.62,98.62,98.62,0
20150618,98.62,98.62,98.55,98.55,432
20150619,99.68,99.69,99.17,99.17,212
20150622,98.97,98.98,98.49,98.98,3127
20150623,99.48,100.42,99.47,100.16,6846
20150624,100.17,100.37,100.17,100.37,4559
20150625,100.51,100.51,100.08,100.48,4708
20150626,100,100,99.67,99.67,568
20150629,98.45,98.45,98.2,98.2,355
20150630,97.3,97.6,97.3,97.55,2424
20150701,96,96,96,96,87
20150702,96.22,96.22,95.5,95.85,3234
20150703,95.96,95.96,95.96,95.96,343
20150706,95.96,95.96,94.27,94.81,390
20150707,95.23,96,94.5,94.5,4518
20150708,94.34,94.37,94.34,94.34,523
20150709,94,94.2,93.56,94.2,2620
20150710,94.1,94.23,94.09,94.23,4000
20150713,94.85,96.03,94.85,96.03,2750
20150714,97.37,97.37,97.33,97.33,694
