Date,Open,High,Low,Close,Volume
20160429,24.98,24.98,24.98,24.98,500
20160502,24.98,24.98,24.98,24.98,0
20160503,24.98,24.98,24.98,24.98,0
20160504,24.98,24.98,24.98,24.98,0
20160505,24.98,24.98,24.98,24.98,0
20160506,24.98,24.98,24.98,24.98,0
20160509,24.58,24.58,24.58,24.58,200
20160510,24.58,24.58,24.58,24.58,0
20160511,24.58,24.58,24.58,24.58,0
20160512,24.58,24.58,24.58,24.58,0
20160513,24.58,24.58,24.58,24.58,0
20160516,24.53,24.53,24.53,24.53,813
20160517,24.53,24.53,24.53,24.53,0
20160518,24.53,24.53,24.53,24.53,0
20160519,24.53,24.53,24.53,24.53,0
20160520,24.53,24.53,24.53,24.53,0
20160523,24.81,24.81,24.81,24.81,1000
20160524,24.81,24.81,24.81,24.81,0
20160525,25.05,25.05,25.05,25.05,100
20160526,25.05,25.05,25.05,25.05,0
20160527,25.33,25.33,25.33,25.33,105
20160530,25.33,25.33,25.33,25.33,0
20160531,25.33,25.33,25.33,25.33,0
20160601,25.33,25.33,25.33,25.33,0
20160602,25.33,25.33,25.33,25.33,0
20160603,25.42,25.42,25.42,25.42,2600
20160606,25.35,25.38,25.35,25.38,165
20160607,25.38,25.38,25.38,25.38,0
20160608,25.5,25.5,25.5,25.5,14000
20160609,25.6,25.6,25.6,25.6,156
20160610,25.6,25.6,25.6,25.6,0
20160614,25.25,25.25,24.95,24.95,1243
20160615,24.95,24.95,24.95,24.95,0
20160616,24.95,24.95,24.95,24.95,0
20160617,24.95,24.95,24.95,24.95,0
20160620,24.95,24.95,24.95,24.95,0
20160621,24.95,24.95,24.95,24.95,0
20160622,25.05,25.05,25.05,25.05,11900
20160623,25.23,25.23,25.21,25.21,255
20160624,25.21,25.21,25.21,25.21,0
20160627,25.21,25.21,25.21,25.21,0
20160628,25.21,25.21,25.21,25.21,0
20160629,25.21,25.21,25.21,25.21,0
20160630,25.21,25.21,25.21,25.21,0
20160701,25.21,25.21,25.21,25.21,0
20160704,25.21,25.21,25.21,25.21,0
20160705,25.21,25.21,25.21,25.21,0
20160706,25.21,25.21,25.21,25.21,0
20160707,25.01,25.02,25.01,25.02,439
20160708,25.02,25.02,25.02,25.02,0
20160711,25.39,25.39,25.39,25.39,400
20160712,25.39,25.39,25.39,25.39,0
20160713,25.75,25.75,25.75,25.75,600
20160714,25.75,25.75,25.75,25.75,0
20160715,25.75,25.75,25.75,25.75,0
20160718,25.75,25.75,25.75,25.75,0
20160719,25.75,25.75,25.75,25.75,0
20160720,25.75,25.75,25.75,25.75,0
20160721,25.75,25.75,25.75,25.75,0
20160722,25.75,25.75,25.75,25.75,0
20160725,25.75,25.75,25.75,25.75,0
20160726,26.04,26.04,26.04,26.04,388
20160727,26.11,26.11,26.11,26.11,4500
20160728,26.11,26.11,26.11,26.11,0
20160729,26.11,26.11,26.11,26.11,0
20160801,26.24,26.24,26.24,26.24,1730
20160802,26.24,26.24,26.24,26.24,0
20160803,26.24,26.24,26.24,26.24,0
20160804,26.24,26.24,26.24,26.24,0
20160805,25.89,25.89,25.89,25.89,3000
20160808,25.89,25.89,25.89,25.89,0
20160809,25.89,25.89,25.89,25.89,0
20160810,25.89,25.89,25.89,25.89,0
20160811,25.89,25.89,25.89,25.89,0
20160812,26.31,26.31,26.31,26.31,186
20160815,26.31,26.31,26.31,26.31,0
20160816,26.31,26.31,26.31,26.31,0
20160817,26.31,26.31,26.31,26.31,0
20160818,26.31,26.31,26.31,26.31,0
20160819,26.31,26.31,26.31,26.31,0
20160822,26.24,26.24,26.24,26.24,752
20160823,26.24,26.24,26.24,26.24,0
20160824,26.24,26.24,26.24,26.24,0
20160825,26.24,26.24,26.24,26.24,0
20160826,26.24,26.24,26.24,26.24,0
20160829,26.24,26.24,26.24,26.24,0
20160830,26.24,26.24,26.24,26.24,0
20160831,26.24,26.24,26.24,26.24,0
20160901,26.24,26.24,26.24,26.24,0
20160902,26.24,26.24,26.24,26.24,0
20160905,26.24,26.24,26.24,26.24,0
20160906,26.24,26.24,26.24,26.24,0
20160907,26.64,26.64,26.64,26.64,5164
20160908,26.56,26.56,26.53,26.53,2707
20160909,26.53,26.53,26.53,26.53,0
20160912,26.53,26.53,26.53,26.53,0
20160913,26.53,26.53,26.53,26.53,0
20160914,25.95,25.95,25.95,25.95,39
20160915,25.95,25.95,25.95,25.95,0
20160916,25.85,25.85,25.85,25.85,39
20160919,25.92,25.92,25.92,25.92,105
20160920,25.92,25.92,25.92,25.92,0
20160921,25.92,25.92,25.92,25.92,0
20160922,25.92,25.92,25.92,25.92,0
20160923,26.39,26.39,26.39,26.39,800
20160926,26.39,26.39,26.39,26.39,0
20160927,26.39,26.39,26.39,26.39,0
20160928,26.39,26.39,26.39,26.39,0
20160929,26.39,26.39,26.39,26.39,0
20160930,26.39,26.39,26.39,26.39,0
20161003,26.39,26.39,26.39,26.39,0
20161004,26.39,26.39,26.39,26.39,0
20161005,26.39,26.39,26.39,26.39,0
20161006,26.39,26.39,26.39,26.39,0
20161007,26.39,26.39,26.39,26.39,0
20161010,26.4,26.4,26.4,26.4,950
20161011,26.4,26.4,26.4,26.4,0
20161012,26.4,26.4,26.4,26.4,0
20161013,26.4,26.4,26.4,26.4,0
20161014,26.4,26.4,26.4,26.4,0
20161017,26.4,26.4,26.4,26.4,0
20161018,26.4,26.4,26.4,26.4,0
20161019,26.4,26.4,26.4,26.4,0
20161020,26.4,26.4,26.4,26.4,0
20161021,26.4,26.4,26.4,26.4,0
20161024,26.38,26.38,26.38,26.38,5150
20161025,26.38,26.38,26.38,26.38,0
20161026,26.38,26.38,26.38,26.38,0
20161027,26.38,26.38,26.38,26.38,0
20161028,26.38,26.38,26.38,26.38,0
20161031,26.38,26.38,26.38,26.38,0
20161101,26.38,26.38,26.38,26.38,0
20161102,26,26,26,26,950
20161103,26,26,26,26,0
20161104,26,26,26,26,0
20161107,26,26,26,26,0
20161108,26,26,26,26,0
20161109,26,26,26,26,0
20161110,26,26,26,26,0
20161111,26,26,26,26,0
20161114,26,26,26,26,0
20161115,26,26,26,26,0
20161116,26,26,26,26,0
20161117,26,26,26,26,0
20161118,26,26,26,26,0
20161121,26,26,26,26,0
20161122,26,26,26,26,0
20161123,26,26,26,26,0
20161124,26,26,26,26,0
20161125,26,26,26,26,0
20161128,27.12,27.12,27.12,27.12,100
20161129,27.12,27.12,27.12,27.12,0
20161130,27.12,27.12,27.12,27.12,0
20161201,27.12,27.12,27.12,27.12,0
20161202,27.1,27.1,27.1,27.1,125
20161205,27.1,27.1,27.1,27.1,0
20161206,27.1,27.1,27.1,27.1,0
20161207,27.1,27.1,27.1,27.1,0
20161208,27.1,27.1,27.1,27.1,0
20161209,27.9,27.9,27.9,27.9,535
20161212,27.9,27.9,27.9,27.9,0
20161213,27.9,27.9,27.9,27.9,0
20161214,27.9,27.9,27.9,27.9,0
20161215,27.85,27.85,27.85,27.85,180
20161216,27.89,27.89,27.89,27.89,390
20161219,28.11,28.11,28.1,28.1,2155
20161220,28.16,28.16,28.16,28.16,266
20161221,28.27,28.27,28.27,28.27,1
20161222,28.27,28.27,28.27,28.27,0
20161223,28.27,28.27,28.27,28.27,0
20161228,28.15,28.15,28.11,28.11,2000
20161229,28.02,28.02,28.02,28.02,1000
20161230,28.02,28.02,28.02,28.02,0
20170103,28.02,28.02,28.02,28.02,0
20170104,28.02,28.02,28.02,28.02,0
20170105,28.02,28.02,28.02,28.02,0
20170106,28.4,28.4,28.4,28.4,1056
20170109,28.45,28.45,28.45,28.45,579
20170110,28.45,28.45,28.45,28.45,0
20170111,28.45,28.45,28.45,28.45,0
20170112,28.54,28.54,28.54,28.54,500
20170113,28.4,28.4,28.4,28.4,102
20170116,28.4,28.4,28.4,28.4,0
20170117,28.4,28.4,28.4,28.4,0
20170118,28.2,28.2,28.2,28.2,70
20170119,28.2,28.2,28.2,28.2,0
20170120,28.2,28.2,28.2,28.2,0
20170123,28.22,28.22,28.22,28.22,3012
