Date,Open,High,Low,Close,Volume
20201006,2.51,2.51,2.5,2.51,156030
20201007,2.54,2.54,2.52,2.53,100574
20201008,2.53,2.54,2.52,2.53,102229
20201009,2.66,2.71,2.54,2.54,82976
20201012,2.6,2.6,2.52,2.53,77675
20201013,2.53,2.55,2.53,2.53,51817
20201014,2.53,2.55,2.52,2.55,78824
20201015,2.56,2.56,2.55,2.55,51842
20201016,2.55,2.55,2.53,2.54,68844
20201019,2.56,2.56,2.55,2.55,26096
20201020,2.55,2.55,2.52,2.54,50208
20201021,2.55,2.55,2.55,2.55,38163
20201022,2.54,2.54,2.52,2.52,32000
20201023,2.53,2.53,2.52,2.52,19379
20201026,2.52,2.52,2.51,2.51,28781
20201027,2.5,2.5,2.46,2.46,165089
20201028,2.46,2.49,2.46,2.48,101852
20201029,2.48,2.48,2.41,2.47,14241
20201030,2.45,2.45,2.42,2.42,101802
20201102,2.41,2.41,2.39,2.4,75729
20201103,2.43,2.44,2.43,2.44,5260
20201104,2.44,2.47,2.43,2.47,19479
20201105,2.47,2.48,2.46,2.47,50915
20201106,2.48,2.49,2.48,2.49,50400
20201109,2.52,2.53,2.52,2.53,6960
20201110,2.55,2.63,2.55,2.61,132092
20201111,2.64,2.64,2.61,2.63,61022
20201112,2.63,2.65,2.62,2.64,18005
20201113,2.63,2.64,2.63,2.63,19201
20201116,2.65,2.68,2.65,2.66,13406
20201117,2.66,2.68,2.65,2.67,112501
20201118,2.69,2.69,2.69,2.69,46482
20201119,2.69,2.69,2.67,2.68,43190
20201120,2.65,2.69,2.64,2.68,12486
20201123,2.68,2.69,2.68,2.69,12364
20201124,2.69,2.7,2.68,2.7,46641
20201125,2.69,2.72,2.69,2.69,137436
20201126,2.71,2.71,2.69,2.7,36448
20201127,2.71,2.71,2.7,2.7,12125
20201130,2.7,2.7,2.68,2.7,13254
20201201,2.67,2.72,2.67,2.72,10112
20201202,2.72,2.72,2.71,2.71,1580
20201203,2.71,2.74,2.71,2.74,27587
20201204,2.75,2.75,2.75,2.75,98010
20201207,2.75,2.77,2.75,2.76,12796
