Date,Open,High,Low,Close,Volume
20190806,7.98,7.98,7.98,7.98,261
20190807,8.02,8.02,8.02,8.02,1000
20190808,8,8.08,7.98,8.03,111669
20190809,8.17,8.19,8.14,8.19,44821
20190812,8.15,8.17,8.13,8.17,197935
20190813,8.11,8.16,8.1,8.16,44458
20190814,8,8.09,7.98,8.08,92177
20190815,8.02,8.03,8,8.02,8103
20190816,8.01,8.01,7.95,7.99,39732
20190819,8.05,8.13,8.05,8.13,9732
20190820,8.06,8.09,7.99,7.99,39462
20190821,8.05,8.05,7.99,8.01,15179
20190822,8,8.06,7.94,7.94,77932
20190823,7.94,7.98,7.89,7.98,21305
20190826,8.03,8.03,7.94,7.97,73848
20190827,8.07,8.12,8.07,8.1,51243
20190828,8.17,8.18,8.12,8.12,30354
20190829,8.11,8.11,8.05,8.06,41989
20190830,8.13,8.16,8.08,8.08,3547
20190902,8.17,8.18,8.08,8.08,5845
20190903,8.21,8.21,8.07,8.07,22498
20190904,8.01,8.01,7.93,7.94,110601
20190905,7.95,7.96,7.94,7.95,58721
20190906,8.01,8.03,7.98,8.03,28477
20190909,8.01,8.01,7.95,7.97,17952
20190910,7.99,7.99,7.97,7.97,14331
20190911,7.98,8.01,7.97,8.01,7148
20190912,8.03,8.03,7.99,7.99,43362
20190913,8.01,8.04,7.97,7.99,41872
20190916,8,8,7.94,7.98,184733
20190917,8.02,8.03,7.96,7.99,6587
20190918,7.97,8,7.96,7.96,31799
20190919,8.07,8.07,8,8,4954
20190920,7.99,8.19,7.97,8.19,38861
20190923,8.36,8.47,8.35,8.47,46698
20190924,8.51,8.54,8.47,8.47,51868
20190925,8.44,8.45,8.4,8.42,46506
20190926,8.48,8.48,8.46,8.46,34247
20190927,8.49,8.51,8.48,8.48,6965
20190930,8.49,8.49,8.45,8.45,14998
20191001,8.57,8.59,8.5,8.59,29000
20191002,8.47,8.49,8.44,8.47,16851
20191003,8.43,8.43,8.37,8.39,17946
20191004,8.42,8.47,8.42,8.45,6005
20191007,8.4,8.4,8.34,8.39,14594
20191008,8.37,8.38,8.37,8.38,1245
20191009,8.37,8.37,8.35,8.36,3125
20191010,8.38,8.38,8.37,8.38,7761
20191011,8.38,8.38,8.38,8.38,0
20191014,8.37,8.37,8.37,8.37,1900
20191015,8.39,8.41,8.37,8.41,8165
20191016,8.47,8.48,8.46,8.48,2718
20191017,8.5,8.52,8.48,8.48,13731
20191018,8.59,8.59,8.54,8.54,63138
20191021,8.57,8.61,8.57,8.61,11357
20191022,8.61,8.63,8.56,8.56,2998
20191023,8.54,8.62,8.54,8.62,16146
20191024,8.66,8.66,8.61,8.63,8437
20191025,8.64,8.66,8.62,8.66,31980
20191028,8.68,8.69,8.66,8.68,4975
