Date,Open,High,Low,Close,Volume
20230331,2.51,2.51,2.51,2.51,20656
20230403,2.53,2.53,2.51,2.51,46186
20230404,2.51,2.51,2.51,2.51,19140
20230405,2.55,2.55,2.5,2.51,64536
20230406,2.51,2.51,2.48,2.48,47348
20230411,2.5,2.5,2.49,2.49,167968
20230412,2.5,2.5,2.49,2.49,94490
20230413,2.48,2.48,2.48,2.48,101591
20230414,2.48,2.49,2.48,2.49,35418
20230417,2.56,2.56,2.51,2.51,12806
20230418,2.51,2.51,2.5,2.5,33992
20230419,2.52,2.52,2.51,2.51,2673
20230420,2.53,2.53,2.53,2.53,5183
20230421,2.53,2.53,2.49,2.49,19747
20230424,2.51,2.53,2.51,2.53,19705
20230426,2.53,2.53,2.53,2.53,10
20230427,2.54,2.54,2.54,2.54,15880
20230428,2.55,2.55,2.53,2.55,20318
20230501,2.56,2.56,2.56,2.56,13738
20230502,2.56,2.56,2.54,2.54,3418
20230503,2.54,2.54,2.54,2.54,0
20230504,2.53,2.53,2.52,2.52,36748
20230505,2.51,2.51,2.5,2.5,21736
20230508,2.5,2.52,2.5,2.51,108000
20230509,2.51,2.51,2.5,2.5,28276
20230510,2.5,2.51,2.49,2.5,125047
20230511,2.52,2.52,2.52,2.52,39
20230512,2.52,2.54,2.52,2.54,5981
20230515,2.53,2.53,2.53,2.53,555
20230516,2.52,2.52,2.5,2.5,25381
20230517,2.52,2.52,2.52,2.52,80
20230518,2.51,2.53,2.49,2.53,20000
20230519,2.6,2.6,2.57,2.57,18171
20230522,2.57,2.57,2.53,2.56,83851
20230523,2.53,2.57,2.53,2.57,2447
20230524,2.58,2.58,2.55,2.55,4854
20230525,2.56,2.56,2.54,2.54,14113
20230526,2.54,2.56,2.54,2.56,824
20230529,2.56,2.58,2.56,2.58,29294
20230530,2.58,2.58,2.58,2.58,0
20230531,2.57,2.57,2.55,2.55,20155
20230601,2.56,2.56,2.56,2.56,9500
20230602,2.56,2.56,2.55,2.55,19640
20230605,2.55,2.55,2.55,2.55,0
20230606,2.57,2.57,2.57,2.57,3830
20230607,2.58,2.58,2.57,2.57,13655
20230608,2.57,2.57,2.57,2.57,83
20230609,2.56,2.56,2.55,2.55,10430
20230613,2.56,2.56,2.56,2.56,11207
20230614,2.56,2.56,2.56,2.56,0
20230615,2.56,2.56,2.56,2.56,200
20230616,2.55,2.55,2.55,2.55,3891
20230619,2.56,2.56,2.56,2.56,13875
20230620,2.56,2.57,2.56,2.57,3966
20230621,2.57,2.57,2.55,2.55,9025
20230622,2.57,2.57,2.55,2.55,21563
20230623,2.55,2.55,2.55,2.55,0
20230626,2.58,2.58,2.57,2.57,3577
20230627,2.56,2.56,2.56,2.56,11156
20230628,2.59,2.61,2.59,2.61,23128
20230629,2.63,2.63,2.63,2.63,35371
20230630,2.63,2.63,2.63,2.63,0
20230703,2.64,2.64,2.64,2.64,1169
20230704,2.63,2.63,2.61,2.61,2117
20230705,2.61,2.63,2.61,2.63,5439
20230706,2.6,2.6,2.6,2.6,5
20230707,2.6,2.61,2.6,2.61,5481
20230710,2.6,2.6,2.57,2.57,1794
20230711,2.61,2.61,2.6,2.61,10578
20230712,2.63,2.63,2.63,2.63,8000
20230713,2.64,2.64,2.63,2.64,39920
20230714,2.65,2.65,2.63,2.64,25386
20230717,2.65,2.66,2.63,2.66,2251
20230718,2.67,2.67,2.66,2.66,15508
20230719,2.68,2.69,2.68,2.69,48260
20230720,2.69,2.69,2.68,2.68,25090
20230721,2.67,2.67,2.67,2.67,3319
20230724,2.67,2.67,2.67,2.67,4196
20230725,2.67,2.67,2.66,2.66,7108
20230726,2.66,2.67,2.66,2.67,53066
20230727,2.67,2.68,2.66,2.67,26302
20230728,2.67,2.7,2.67,2.7,40250
20230731,2.72,2.72,2.71,2.71,7695
20230801,2.71,2.72,2.7,2.7,58712
20230802,2.73,2.73,2.73,2.73,28248
20230803,2.73,2.73,2.71,2.71,41064
20230804,2.71,2.71,2.69,2.71,3703
20230807,2.72,2.72,2.72,2.72,12401
20230808,2.84,2.84,2.72,2.73,66930
20230809,2.72,2.72,2.72,2.72,4386
20230810,2.72,2.72,2.72,2.72,33919
20230811,2.74,2.74,2.74,2.74,1732
20230814,2.74,2.75,2.73,2.74,19203
20230815,2.74,2.75,2.74,2.74,25534
20230816,2.73,2.73,2.73,2.73,35216
20230817,2.73,2.74,2.73,2.74,8500
20230818,2.72,2.72,2.69,2.71,36018
20230821,2.71,2.71,2.71,2.71,37735
20230822,2.7,2.7,2.69,2.7,14331
20230823,2.69,2.69,2.69,2.69,2594
20230824,2.72,2.72,2.72,2.72,5562
20230825,2.69,2.7,2.68,2.7,10637
20230828,2.71,2.71,2.71,2.71,7737
20230829,2.71,2.71,2.71,2.71,0
20230830,2.71,2.71,2.71,2.71,198
20230831,2.74,2.74,2.74,2.74,22197
20230901,2.75,2.75,2.75,2.75,281
20230904,2.74,2.76,2.74,2.76,5452
20230905,2.76,2.76,2.76,2.76,2425
