Date,Open,High,Low,Close,Volume
20071011,101.5,101.76,101.46,101.46,285
20071012,100.56,100.56,100.56,100.56,17
20071015,100.61,100.61,100.61,100.61,50
20071016,100.53,100.59,100.53,100.54,300
20071017,100.96,101.01,100.96,101.01,275
20071018,100.25,100.25,100.25,100.25,25
20071019,99.8,99.8,99.8,99.8,50
20071022,95.56,97.62,95.56,97.62,472
20071023,99.28,99.28,99.28,99.28,50
20071024,98.32,98.32,97.71,97.72,484
20071025,97.76,97.76,97.76,97.76,25
20071026,96.84,96.84,96.84,96.84,50
20071029,97,97,97,97,22
20071030,97,97,97,97,511
20071031,96.26,96.26,96.26,96.26,225
20071101,97.1,97.1,97.1,97.1,20
20071102,96.52,96.56,96.48,96.54,640
20071105,95.8,95.8,95.8,95.8,11
20071106,95,95,95,95,20
20071107,95.15,95.15,95.14,95.14,150
20071108,92.88,92.88,92.88,92.88,10
20071109,93.6,93.74,93.58,93.74,225
20071112,94.68,95.46,94.5,95.46,622
20071113,94.92,94.92,94.92,94.92,7
20071114,95.46,95.46,95.46,95.46,10
20071115,96.42,96.42,96.42,96.42,31
20071116,96.16,96.16,96,96,251
20071119,95.12,95.12,95.12,95.12,10
20071120,94.96,95.93,94.96,95.93,77
20071121,93.99,93.99,93.99,93.99,10
20071122,94,94,94,94,10
20071123,94.42,94.42,94.42,94.42,25
20071126,95.02,95.02,95.02,95.02,8
20071127,93.85,94.1,93.85,94.09,87
20071128,94.51,94.98,93.83,94.23,304
20071129,96.65,96.65,96.65,96.65,51
20071130,96.89,97.01,96.75,96.75,380
20071203,97.74,97.97,97.65,97.66,698
20071204,97.53,97.53,97.53,97.53,75
20071205,98.07,98.07,97.51,97.51,225
20071206,99.64,99.64,99.64,99.64,10
20071207,100.41,100.41,100.1,100.1,510
20071210,100.95,100.95,100.95,100.95,497
20071211,100.95,100.96,100.94,100.96,300
20071212,98.68,98.68,98.68,98.68,225
20071213,98.22,98.22,98.22,98.22,77
20071214,99.32,99.32,99.32,99.32,13
20071217,100.04,100.04,100.04,100.04,77
20071218,98.23,98.23,98.23,98.23,12
20071219,98.43,98.43,98.43,98.43,50
20071220,98.66,98.66,98.66,98.66,25
20071221,100.26,100.26,100.26,100.26,53
20071224,100.48,100.48,100.48,100.48,75
20071227,100.47,100.47,100.47,100.47,14
20071228,99.18,99.18,99.18,99.18,12
20071231,97.54,97.54,97.54,97.54,10
20080102,97.45,97.45,97.45,97.45,77
20080103,97.45,97.45,97.45,97.45,0
20080104,95.27,95.27,95.27,95.27,77
20080107,94.9,94.9,92.67,92.67,302
20080108,92.13,92.14,92.13,92.14,375
20080109,89.98,89.98,89.98,89.98,26
20080110,90.1,90.1,90.1,90.1,11
20080111,89.51,89.51,89.51,89.51,22
20080114,88.73,88.73,88.73,88.73,20
20080115,89.09,89.09,89.09,89.09,12
20080116,88.31,88.31,88.31,88.31,11
20080117,88.88,88.88,88.88,88.88,10
20080118,86.68,86.99,86.68,86.97,227
20080121,85.85,85.85,85.85,85.85,10
20080122,83.48,83.48,83.48,83.48,75
20080123,85.36,85.36,85.35,85.36,300
20080124,88.07,88.07,88.07,88.07,8
20080125,88.24,88.24,88.14,88.14,122
20080129,88.84,88.84,88.84,88.84,3
20080130,88.72,88.72,88.72,88.72,75
20080131,87.17,87.17,87.17,87.17,8
20080201,89.04,89.04,89.04,89.04,5
20080204,90.67,90.67,90.67,90.67,13
20080205,89.56,89.74,89.56,89.74,109
20080206,88.65,88.65,88.65,88.65,5
20080207,87.67,87.67,87.67,87.67,13
20080208,88.64,88.64,88.64,88.64,13
20080211,87.76,87.76,87.76,87.76,34
20080212,88.3,88.3,88.3,88.3,39
20080213,88.43,88.44,88.43,88.44,375
20080214,89.97,89.97,89.97,89.97,75
20080215,87.73,87.73,87.73,87.73,10
20080218,86.98,86.98,86.98,86.98,5
20080219,87.02,87.02,87.02,87.02,7
20080220,87.07,87.07,87.07,87.07,3
20080221,87.68,87.68,87.68,87.68,5
20080222,86.8,86.8,86.8,86.8,3
20080225,86.7,86.7,86.7,86.7,4
20080226,87.48,87.48,87.48,87.48,2
20080227,88.05,88.05,88.05,88.05,75
20080228,86.86,86.86,86.86,86.86,5
20080229,85.31,85.31,85.31,85.31,3
20080303,84.36,84.36,84.36,84.36,6
20080304,83.78,83.78,83.78,83.78,75
20080305,84.77,84.77,84.77,84.77,5
20080306,84.38,84.53,84.38,84.53,308
20080307,82.75,82.75,82.75,82.75,2
