Date,Open,High,Low,Close,Volume
20071010,16.14,16.17,16.14,16.17,1000
20071011,16.1,16.3,16.06,16.24,9300
20071012,16.16,16.16,16.1,16.1,1200
20071015,16.01,16.01,15.99,15.99,2900
20071016,15.97,15.97,15.83,15.84,10000
20071017,15.96,15.98,15.76,15.76,8000
20071018,15.83,15.84,15.78,15.84,4000
20071019,15.8,15.84,15.74,15.74,9725
20071022,15.86,15.86,15.53,15.84,11784
20071023,15.88,15.88,15.88,15.88,1000
20071024,15.7,15.75,15.62,15.63,5239
20071025,15.51,15.53,15.39,15.39,3500
20071026,15.46,15.49,15.46,15.49,1500
20071029,15.63,15.76,15.58,15.65,2340
20071030,15.52,15.52,15.43,15.43,651
20071031,15.51,15.51,15.51,15.51,500
20071101,15.43,15.5,15.43,15.49,1500
20071102,15.4,15.4,15.14,15.36,8325
20071105,15.44,15.44,15.36,15.36,2299
20071106,15.14,15.24,15.1,15.2,4307
20071107,15.04,15.15,14.92,14.92,2290
20071108,14.78,14.78,14.64,14.64,5340
20071109,14.55,14.76,14.55,14.76,9750
20071112,14.88,14.88,14.82,14.84,3203
20071113,15.41,15.41,15.24,15.24,3900
20071114,15.1,15.42,15.1,15.42,6200
20071115,15.46,15.5,15.43,15.43,3865
20071116,15.34,15.34,15.12,15.17,6761
20071119,15.22,15.22,15.15,15.15,3521
20071120,14.93,14.93,14.93,14.93,500
20071121,15.24,15.24,15.15,15.15,1110
20071122,15.4,15.4,15.26,15.27,1711
20071123,15.5,15.51,15.36,15.4,2500
20071126,15.59,15.7,15.59,15.7,4003
20071127,15.74,16.23,15.46,16.23,4642
20071128,15.9,15.96,15.86,15.9,1135
20071129,15.9,16.16,15.72,16.11,3766
20071130,16.02,16.02,15.95,16,3632
20071203,15.97,16.04,15.97,16.04,1122
20071204,16.19,16.19,16.18,16.18,3710
20071205,16.08,16.2,16.04,16.2,960
20071206,16.08,16.56,16.08,16.53,1272
20071207,16.35,16.55,16.35,16.55,360
20071210,16.35,16.35,16.23,16.23,1610
20071211,16.38,16.38,16.15,16.15,3085
20071212,16.09,16.15,15.87,16.1,12155
20071213,15.74,15.89,15.74,15.89,639
20071214,15.71,15.77,15.66,15.66,2038
20071217,15.69,15.69,15.69,15.69,500
20071218,15.53,15.53,15.34,15.34,1680
20071219,15.49,15.49,15.49,15.49,50
20071220,15.89,15.89,15.55,15.55,662
20071221,15.56,15.58,15.56,15.58,2500
20071224,15.59,15.59,15.59,15.59,626
20071227,15.06,15.06,15.06,15.06,50
20071228,15.16,15.16,15.16,15.16,100
20071231,15.24,15.24,15.24,15.24,1500
20080102,15.24,15.24,15.24,15.24,12
20080103,15.2,15.2,15.18,15.18,1363
20080104,15.21,15.21,14.92,14.92,2135
20080107,14.82,14.99,14.77,14.99,7510
20080108,14.69,14.75,14.69,14.73,1590
20080109,14.73,14.85,14.7,14.85,3000
20080110,14.94,14.94,14.94,14.94,15
20080111,14.71,14.74,14.55,14.55,3000
20080114,14.37,14.39,14.37,14.39,1699
20080115,14.39,14.39,14.39,14.39,5442
20080116,14.26,14.26,14.18,14.18,1010
20080117,14.14,14.21,14.14,14.21,1200
20080118,14.15,14.52,14.13,14.52,1485
20080121,14.3,14.3,14.08,14.28,2595
20080122,13.76,13.81,13.7,13.81,2345
20080123,13.95,14.07,13.87,13.91,3976
20080124,14.17,14.19,14.17,14.18,4500
20080125,14.48,14.48,14.48,14.48,570
20080129,14.19,14.19,14.19,14.19,34
20080130,14.3,14.3,14.3,14.3,550
20080131,13.96,13.96,13.96,13.96,500
20080201,14.39,14.39,14.35,14.35,1175
20080204,14.22,14.5,14.22,14.45,6570
20080205,14.2,14.2,14.17,14.17,1200
20080206,13.88,13.89,13.63,13.63,1673
20080207,13.63,13.63,13.63,13.63,500
20080208,13.67,13.67,13.67,13.67,12
20080211,13.63,13.63,13.5,13.5,1517
20080212,13.59,13.59,13.59,13.59,30
20080213,13.59,13.59,13.59,13.59,100
20080214,13.7,13.9,13.7,13.9,605
20080215,13.78,13.78,13.78,13.78,70
20080218,13.85,13.86,13.85,13.86,1000
20080219,13.65,13.81,13.65,13.81,1121
20080220,13.72,13.72,13.56,13.63,1213
20080221,13.63,13.63,13.63,13.63,1500
20080222,13.6,13.6,13.6,13.6,15
20080225,13.8,13.8,13.77,13.77,2500
20080226,13.88,13.88,13.68,13.68,5870
20080227,13.94,13.94,13.9,13.9,3000
20080228,13.59,13.59,13.59,13.59,13
20080229,13.52,13.52,13.5,13.5,1010
20080303,13.61,13.84,13.36,13.4,4700
20080304,13.39,13.4,13.39,13.4,2000
20080305,13.46,13.46,13.46,13.46,15
20080306,13.3,13.5,13.3,13.5,900
20080307,13.41,13.41,13.13,13.13,2500
20080310,13.04,13.06,13.04,13.06,320
20080311,13.06,13.06,13.06,13.06,500
20080312,13.39,13.51,13.39,13.51,2005
20080313,13.07,13.07,13.03,13.03,550
20080314,13.03,13.03,13.03,13.03,1000
20080317,12.75,12.84,12.75,12.84,865
20080318,13.02,13.08,13.01,13.08,4500
20080319,13.08,13.08,13.08,13.08,2005
20080320,13.33,13.33,13.33,13.33,50
20080325,13.66,13.66,13.66,13.66,2
20080326,13.46,13.46,13.46,13.46,1
20080327,13.55,13.56,13.55,13.56,1005
20080328,13.85,13.85,13.85,13.85,1
20080331,13.66,13.66,13.66,13.66,5
20080401,13.68,13.68,13.68,13.68,100
20080402,14.17,14.2,14.17,14.2,6010
20080403,13.86,14.14,13.86,14.14,175
20080404,14.24,14.27,14.16,14.27,102198
20080407,14.11,14.11,14.11,14.11,300
20080408,13.85,13.85,13.85,13.85,500
20080409,13.62,13.62,13.62,13.62,2
20080410,13.47,13.64,13.47,13.64,1092
20080411,13.58,13.58,13.58,13.58,2
20080414,13.8,13.8,13.8,13.8,3
20080415,13.59,13.59,13.59,13.59,50
20080416,13.66,13.66,13.66,13.66,3
20080417,13.64,13.76,13.64,13.76,502
20080418,13.87,13.87,13.87,13.87,2
20080421,13.87,13.87,13.87,13.87,3
20080422,13.88,13.88,13.8,13.8,833
20080423,13.83,13.83,13.83,13.83,464
20080424,13.85,13.85,13.85,13.85,3
20080428,14.2,14.2,14.2,14.2,4
20080429,14.2,14.27,14.2,14.27,1000
20080430,14.26,14.26,14.17,14.17,1150
20080501,14.13,14.13,14.13,14.13,500
20080502,14.4,14.42,14.37,14.42,3265
20080505,14.19,14.19,14.19,14.19,5
20080506,14.37,14.37,14.37,14.37,3
20080507,14.31,14.31,14.29,14.29,4900
20080508,14.47,14.47,14.47,14.47,2
20080509,14.18,14.18,14.18,14.18,1000
20080512,14.01,14.1,14.01,14.1,5400
20080513,13.96,13.96,13.96,13.96,1100
20080514,14.09,14.14,14.02,14.09,19537
20080515,14.41,14.47,14.41,14.47,34709
20080516,14.51,14.51,14.43,14.43,1556
20080519,14.34,14.35,14.34,14.35,502
20080520,14.35,14.35,14.35,14.35,0
20080521,14.21,14.21,14.21,14.21,4
20080522,14.26,14.26,14.26,14.26,5
20080523,14.23,14.23,14.23,14.23,500
20080526,13.96,13.97,13.96,13.97,502
20080527,13.97,13.97,13.97,13.97,0
20080528,13.87,13.87,13.87,13.87,1960
20080529,13.92,13.92,13.92,13.92,7
20080530,14.21,14.21,14.21,14.21,8
20080602,14.31,14.31,14.31,14.31,4
20080603,14.38,14.38,14.38,14.38,731
20080604,14.44,14.45,14.44,14.45,1000
20080605,14.54,14.54,14.54,14.54,5
20080606,14.52,14.52,14.52,14.52,200
20080610,14.09,14.09,14.08,14.08,2485
20080611,13.87,13.87,13.87,13.87,6
20080612,13.82,13.82,13.75,13.75,1004
20080613,13.75,13.75,13.75,13.75,0
20080616,13.89,14.04,13.89,14.04,610
20080617,14.08,14.08,14.08,14.08,4
20080618,14.1,14.1,14.01,14.01,2822
20080619,13.82,13.82,13.71,13.71,1925
20080620,13.71,13.71,13.71,13.71,0
20080623,13.48,13.48,13.48,13.48,2
20080624,13.22,13.27,13.15,13.19,136655
20080625,13.21,13.25,12.98,13.25,10456
20080626,13.22,13.22,13.22,13.22,8
20080627,13,13,12.95,12.95,1050
20080630,13.13,13.13,13.13,13.13,350
20080701,13.15,13.15,13.13,13.13,1627
20080702,12.99,12.99,12.99,12.99,4
20080703,12.99,12.99,12.99,12.99,0
20080704,12.77,12.77,12.71,12.77,3005
20080707,12.72,12.72,12.72,12.72,2500
20080708,12.81,12.81,12.7,12.7,16500
20080709,12.8,12.8,12.8,12.8,4
20080710,12.65,12.65,12.65,12.65,500
20080711,12.64,12.64,12.64,12.64,7
20080714,12.62,12.62,12.62,12.62,4
20080715,12.5,12.5,12.31,12.31,1625
20080716,12.22,12.22,12.22,12.22,2
20080717,12.44,12.44,12.44,12.44,250
20080718,12.39,12.39,12.24,12.25,377
20080721,12.32,12.32,12.29,12.29,21502
20080722,12.32,12.32,12.32,12.32,4
20080723,12.59,12.67,12.59,12.67,2000
20080724,12.9,12.9,12.9,12.9,2
20080725,12.8,12.82,12.8,12.82,5999
20080728,12.81,12.81,12.81,12.81,3
20080729,12.53,12.53,12.53,12.53,4
20080730,12.53,12.53,12.53,12.53,0
20080731,12.72,12.72,12.72,12.72,2500
20080801,12.6,12.6,12.6,12.6,1000
20080804,12.58,12.58,12.58,12.58,8
20080805,12.67,12.67,12.67,12.67,2
20080806,12.89,12.89,12.87,12.87,2500
20080807,12.95,12.95,12.95,12.95,64
20080808,12.68,12.68,12.68,12.68,1002
20080811,13.15,13.15,13.15,13.15,5
20080812,13.25,13.25,13.25,13.25,3
20080813,13.35,13.41,13.35,13.39,2578
20080814,13.1,13.23,13.1,13.23,6502
20080815,13.23,13.23,13.23,13.23,0
20080818,13.23,13.23,13.23,13.23,0
20080819,13.09,13.09,13.09,13.09,763
20080820,13.09,13.09,13.09,13.09,0
20080821,13.09,13.09,13.09,13.09,0
20080822,13.09,13.09,13.09,13.09,0
20080825,13.03,13.03,13.03,13.03,4
20080826,13.19,13.19,13.19,13.19,4
20080827,13.11,13.11,13.07,13.07,700
20080828,13.01,13.01,13.01,13.01,1
20080829,13.31,13.31,13.31,13.31,375
20080901,13.44,13.44,13.44,13.44,2
20080902,13.39,13.39,13.39,13.39,5
20080903,13.62,13.62,13.62,13.62,200
20080904,13.49,13.49,13.49,13.49,4
20080905,13.61,13.61,13.61,13.61,5
20080908,13.61,13.61,13.61,13.61,370
20080909,13.83,13.83,13.83,13.83,1599
20080910,13.79,13.81,13.79,13.81,400
20080911,13.66,13.66,13.65,13.66,12500
20080912,13.56,13.62,13.56,13.62,5500
20080915,13.23,13.23,13.23,13.23,500
20080916,13.61,13.62,13.58,13.62,2296
20080917,13.62,13.62,13.62,13.62,0
20080918,13.15,13.15,13.15,13.15,291
20080919,13.31,13.37,13.31,13.37,252
20080922,13.31,13.31,13.31,13.31,3
20080923,13.51,13.51,13.51,13.51,400
20080924,13.25,13.25,13.25,13.25,1
20080925,13.1,13.1,13.1,13.1,800
20080926,13.1,13.1,13.1,13.1,0
20080929,13.08,13.08,13.08,13.08,3
20080930,13.33,13.33,13.33,13.33,500
20081001,13.17,13.17,13.17,13.17,2
20081002,13.33,13.33,13.22,13.25,1577
20081003,13.16,13.16,12.93,12.93,25800
20081006,12.9,12.9,12.9,12.9,500
20081007,13.33,13.36,13.33,13.33,3756
20081008,13.13,13.17,13.13,13.16,6200
20081009,13.3,13.3,13.3,13.3,2500
20081010,12.72,12.72,12.62,12.66,9132
20081013,12.6,12.6,12.58,12.58,3300
20081014,13.74,13.74,13.37,13.39,3654
20081015,13.57,13.57,13.57,13.57,100
20081016,12.64,12.64,12.64,12.64,4
20081017,12.85,12.85,12.85,12.85,750
20081020,12.61,13,12.61,13,201
20081021,13.41,13.43,13.37,13.43,6502
20081022,13.6,13.6,13.53,13.6,1900
20081023,12.93,13.09,12.93,13.08,14042
20081024,13.22,13.22,13.17,13.17,3952
20081027,13.6,14,13.42,13.42,6031
20081028,13.24,13.24,13.2,13.2,2004
20081029,13.41,13.41,13.17,13.17,1280
20081030,13,13.36,13,13.36,2345
20081031,13.48,13.57,13.4,13.57,11784
20081103,13.38,13.38,13.38,13.38,250
20081104,13.62,13.62,13.62,13.62,2200
20081105,13.48,13.76,13.48,13.76,9469
20081106,13.66,13.66,13.66,13.66,2500
20081107,12.96,13.42,12.96,13.42,1200
20081110,13.42,13.42,13.42,13.42,0
20081111,13.65,13.65,13.65,13.65,180
20081112,13.44,13.5,13.44,13.5,5500
20081113,13.31,13.58,13.31,13.58,6212
20081114,13.56,13.82,13.56,13.65,4780
20081117,13.28,13.51,13.28,13.51,4379
20081118,13.51,13.51,13.51,13.51,0
20081119,13.5,13.5,13.21,13.25,16405
20081120,12.7,12.85,12.67,12.85,2254
20081121,13.19,13.19,13.19,13.19,150
20081124,13.35,13.35,12.97,13.1,10104
20081125,13.26,13.26,13.18,13.23,2210
20081126,13.2,13.21,13.18,13.18,7000
20081127,13.6,13.6,13.28,13.28,4650
20081128,13.28,13.28,13.28,13.28,0
20081201,13.3,13.3,13.25,13.25,29766
20081202,13.21,13.28,13.15,13.25,10202
20081203,13.26,13.26,13.02,13.02,10351
20081204,13.02,13.02,13.02,13.02,0
20081205,13.13,13.13,12.97,12.97,4308
20081208,13.09,13.09,13.09,13.09,200
20081209,13.24,13.28,13.18,13.18,3406
20081210,13.18,13.18,13.18,13.18,0
20081211,13.71,13.71,13.71,13.71,150
20081212,13.74,13.74,13.42,13.42,6904
20081215,13.82,13.82,13.82,13.82,18740
20081216,13.6,13.6,13.6,13.6,150
20081217,13.52,13.55,13.28,13.28,25038
20081218,13.37,13.37,13.37,13.37,250
20081219,13.56,13.56,13.51,13.51,2002
20081222,13.32,13.32,13.32,13.32,150
20081223,13.32,13.32,13.32,13.32,0
20081224,13.3,13.3,13.3,13.3,200
20081229,13.3,13.3,13.3,13.3,0
20081230,13.3,13.3,13.3,13.3,0
20081231,13.8,13.8,13.8,13.8,1001
20090102,13.41,13.41,13.41,13.41,2002
20090105,13.37,13.37,13.37,13.37,2002
20090106,13.38,13.38,13.38,13.38,8996
20090107,12.95,12.95,12.95,12.95,3002
20090108,12.95,12.95,12.95,12.95,0
20090109,13.07,13.07,13.07,13.07,600
20090112,13.38,13.4,13.28,13.4,8922
20090113,13.29,13.29,13.29,13.29,70
20090114,13.63,13.63,13.63,13.63,1001
20090115,13.15,13.39,13.15,13.39,1120
20090116,13.39,13.39,13.39,13.39,0
20090119,13.39,13.39,13.39,13.39,0
20090120,13.24,13.24,13.24,13.24,350
20090121,13.24,13.24,13.24,13.24,0
20090122,13.24,13.24,13.24,13.24,0
20090123,13.14,13.14,13.14,13.14,1
20090127,13.15,13.15,13.15,13.15,500
20090128,13.15,13.15,13.15,13.15,0
20090129,13.15,13.15,13.15,13.15,0
20090130,13.42,13.5,13.42,13.5,5600
20090202,13.5,13.5,13.5,13.5,0
20090203,13.52,13.54,13.51,13.51,4501
20090204,13.25,13.25,13.25,13.25,500
20090205,13.55,13.55,13.55,13.55,200
20090206,13.55,13.55,13.55,13.55,0
20090209,12.79,12.79,12.75,12.75,735
20090210,12.75,12.75,12.75,12.75,0
20090211,12.7,12.7,12.7,12.7,9440
20090212,12.7,12.7,12.7,12.7,0
20090213,12.83,12.83,12.82,12.82,2002
20090216,12.82,12.82,12.82,12.82,0
20090217,12.82,12.82,12.82,12.82,0
20090218,12.82,12.82,12.82,12.82,0
20090219,12.82,12.82,12.82,12.82,0
20090220,12.82,12.82,12.82,12.82,0
20090223,12.82,12.82,12.82,12.82,0
20090224,11.64,11.64,11.64,11.64,2000
20090225,11.74,11.74,11.54,11.54,2592
20090226,11.49,11.6,11.49,11.6,4876
20090227,11.6,11.64,11.6,11.64,9872
20090302,11.82,11.84,11.66,11.66,10377
20090303,11.52,11.52,11.52,11.52,1001
20090304,11.52,11.52,11.52,11.52,0
20090305,11.52,11.52,11.52,11.52,0
20090306,11.52,11.52,11.52,11.52,0
20090309,11.23,11.23,11.04,11.04,2270
20090310,11.01,11.01,11.01,11.01,250
20090311,11.01,11.01,11.01,11.01,0
20090312,11.01,11.01,11.01,11.01,0
20090313,11.02,11.02,10.98,10.98,2200
20090316,11.5,11.5,11.5,11.5,171
20090317,11.5,11.5,11.5,11.5,0
