Date,Open,High,Low,Close,Volume
20120314,100.01,100.01,99.5,99.5,50160
20120315,97.85,97.85,97.85,97.85,150
20120316,97.85,97.89,97.85,97.89,128
20120319,97.75,97.75,97.64,97.64,280
20120320,100.01,100.01,100.01,100.01,20
20120321,100.01,100.01,100.01,100.01,0
20120322,97.48,97.48,97.48,97.48,52
20120323,97.48,97.48,97.48,97.48,0
20120326,97.48,97.48,97.48,97.48,0
20120327,97.71,97.71,97.71,97.71,750
20120328,97.71,97.71,97.71,97.71,0
20120329,97.71,97.71,97.71,97.71,0
20120330,97.71,97.71,97.71,97.71,0
20120402,98.76,98.95,98.76,98.95,303
20120403,98.99,98.99,98.99,98.99,202
20120404,98.99,98.99,98.99,98.99,0
20120405,98.99,98.99,98.99,98.99,0
20120410,98.99,98.99,98.99,98.99,0
20120411,98.99,98.99,98.99,98.99,0
20120412,98.99,98.99,98.99,98.99,0
20120413,98.99,98.99,98.99,98.99,0
20120416,98.99,98.99,98.99,98.99,0
20120417,98.99,98.99,98.99,98.99,0
20120418,98.99,98.99,98.99,98.99,0
20120419,98.99,98.99,98.99,98.99,0
20120420,98.99,98.99,98.99,98.99,0
20120423,98.99,98.99,98.99,98.99,0
20120424,101.11,101.14,101.11,101.14,907
20120426,101.14,101.14,101.14,101.14,0
20120427,100.92,100.92,100.92,100.92,90
20120430,100.92,100.92,100.92,100.92,0
20120501,100.92,100.92,100.92,100.92,0
20120502,100.92,100.92,100.92,100.92,0
20120503,101.35,101.35,101.35,101.35,590
20120504,101.35,101.35,101.35,101.35,0
20120507,102.75,102.75,102.75,102.75,24
20120508,102.85,102.85,102.78,102.78,96
20120509,103.1,103.1,102.74,102.74,137
20120510,102.75,102.75,102.75,102.75,3000
20120511,102.75,102.75,102.75,102.75,280
20120514,102.75,102.75,102.75,102.75,0
20120515,103.65,103.95,103.65,103.95,409
20120516,103.87,103.87,103.87,103.87,720
20120517,103.87,103.87,103.87,103.87,0
20120518,103.6,103.6,103.6,103.6,350
20120521,104.2,104.2,103.75,103.75,895
20120522,103.6,103.6,103.55,103.55,251
20120523,103.75,103.75,103.75,103.75,18
20120524,103.99,103.99,103.99,103.99,100
20120525,103.99,103.99,103.99,103.99,0
20120528,104,104,103.95,103.95,588
20120529,103.95,103.95,103.95,103.95,0
20120530,103.95,103.95,103.95,103.95,0
20120531,104.4,106.25,104.4,106.25,3090
20120601,106.25,106.25,106.25,106.25,5
20120604,106.25,106.25,106.25,106.25,0
20120605,106.25,106.25,106.25,106.25,0
20120606,105.55,105.55,105.55,105.55,90
20120607,105.55,105.55,105.55,105.55,0
20120608,105.44,105.44,105.44,105.44,10
20120612,105.64,105.64,105.64,105.64,95
