Date,Open,High,Low,Close,Volume
20230912,3.96,3.96,3.96,3.96,20238
20230913,3.95,3.95,3.95,3.95,10
20230914,3.93,3.93,3.93,3.93,19083
20230915,3.93,3.93,3.93,3.93,0
20230918,3.93,3.93,3.93,3.93,0
20230919,3.93,3.93,3.93,3.93,7633
20230920,3.91,3.91,3.91,3.91,64202
20230921,3.89,3.89,3.89,3.89,20460
20230922,3.89,3.89,3.89,3.89,0
20230925,3.89,3.89,3.89,3.89,0
20230926,3.89,3.89,3.89,3.89,0
20230927,3.88,3.88,3.88,3.88,25773
20230928,3.88,3.88,3.88,3.88,0
20230929,3.87,3.88,3.87,3.88,55093
20231002,3.88,3.88,3.88,3.88,0
20231003,3.85,3.85,3.85,3.85,9
20231004,3.85,3.85,3.85,3.85,0
20231005,3.81,3.86,3.81,3.86,20
20231006,3.86,3.86,3.86,3.86,0
20231009,3.86,3.86,3.86,3.86,0
20231010,3.89,3.89,3.89,3.89,14
20231011,3.89,3.89,3.89,3.89,0
20231012,3.89,3.89,3.89,3.89,0
20231013,3.88,3.88,3.88,3.88,46148
20231016,3.88,3.88,3.88,3.88,0
20231017,3.88,3.88,3.88,3.88,25
20231018,3.88,3.88,3.88,3.88,0
20231019,3.88,3.88,3.88,3.88,0
20231020,3.8,3.8,3.8,3.8,25
20231023,3.8,3.8,3.8,3.8,0
20231024,3.8,3.8,3.8,3.8,0
20231025,3.8,3.8,3.8,3.8,0
20231026,3.8,3.8,3.8,3.8,0
20231027,3.73,3.73,3.73,3.73,2680
20231030,3.73,3.73,3.73,3.73,0
20231031,3.72,3.72,3.72,3.72,2681
20231101,3.72,3.72,3.72,3.72,0
20231102,3.72,3.72,3.72,3.72,0
20231103,3.72,3.72,3.72,3.72,0
20231106,3.72,3.72,3.72,3.72,0
20231107,3.72,3.72,3.72,3.72,0
20231108,3.72,3.72,3.72,3.72,0
20231109,3.72,3.72,3.72,3.72,0
20231110,3.84,3.84,3.84,3.84,5221
20231113,3.84,3.84,3.84,3.84,0
20231114,3.84,3.84,3.84,3.84,0
20231115,3.84,3.84,3.84,3.84,0
20231116,3.87,3.87,3.87,3.87,2325
20231117,3.84,3.84,3.84,3.84,7906
20231120,3.84,3.84,3.84,3.84,0
20231121,3.84,3.84,3.84,3.84,0
20231122,3.84,3.84,3.84,3.84,0
20231123,3.82,3.82,3.82,3.82,26
20231124,3.82,3.82,3.82,3.82,0
20231127,3.82,3.82,3.82,3.82,5471
20231128,3.82,3.82,3.82,3.82,0
20231129,3.83,3.83,3.83,3.83,4533
20231130,3.83,3.83,3.83,3.83,0
20231201,3.83,3.83,3.83,3.83,0
20231204,3.83,3.83,3.83,3.83,0
20231205,3.83,3.83,3.83,3.83,0
20231206,3.83,3.83,3.83,3.83,0
20231207,3.83,3.83,3.83,3.83,0
20231208,3.83,3.83,3.83,3.83,0
20231211,3.83,3.83,3.83,3.83,0
20231212,3.83,3.83,3.83,3.83,0
20231213,3.83,3.83,3.83,3.83,0
20231214,3.83,3.83,3.83,3.83,0
20231215,3.83,3.83,3.83,3.83,0
20231218,3.98,3.99,3.98,3.98,10209
20231219,3.97,3.98,3.97,3.98,3788
20231220,3.98,3.98,3.98,3.98,0
20231221,3.98,3.98,3.98,3.98,0
20231222,3.98,3.98,3.98,3.98,2160
20231227,3.98,3.98,3.98,3.98,0
20231228,3.98,3.98,3.98,3.98,0
20231229,4,4,4,4,247
20240102,4,4,4,4,0
20240103,4,4,4,4,0
20240104,4,4,4,4,0
20240105,4,4,4,4,0
20240108,4,4,4,4,0
20240109,3.97,3.97,3.97,3.97,249
20240110,3.97,3.97,3.95,3.95,4603
20240111,3.95,3.95,3.95,3.95,14
20240112,3.95,3.95,3.95,3.95,0
20240115,3.95,3.95,3.95,3.95,0
20240116,3.93,3.93,3.93,3.93,125
20240117,3.93,3.93,3.93,3.93,0
20240118,3.93,3.93,3.93,3.93,0
20240119,3.93,3.93,3.93,3.93,0
20240122,3.93,3.93,3.93,3.93,0
20240123,3.97,3.97,3.96,3.96,6
20240124,3.96,3.96,3.96,3.96,0
20240125,3.96,3.96,3.96,3.96,0
20240129,3.96,3.96,3.96,3.96,0
20240130,3.96,3.96,3.96,3.96,0
20240131,3.96,3.96,3.96,3.96,0
20240201,3.96,3.96,3.96,3.96,0
20240202,4.05,4.05,4.05,4.05,35
20240205,4.07,4.07,4.07,4.07,25
20240206,4.04,4.04,4.04,4.04,12376
20240207,4.04,4.04,4.04,4.04,0
20240208,4.04,4.04,4.04,4.04,0
20240209,4.04,4.04,4.04,4.04,0
20240212,4.09,4.09,4.09,4.09,35
20240213,4.09,4.09,4.09,4.09,0
20240214,4.09,4.09,4.09,4.09,12
20240215,4.01,4.01,4.01,4.01,46100
20240216,4.02,4.02,4.02,4.02,18300
20240219,4.01,4.01,4.01,4.01,3
20240220,4.01,4.01,4.01,4.01,0
20240221,4.01,4.01,4.01,4.01,0
20240222,4.01,4.01,4.01,4.01,125
20240223,4.01,4.01,4.01,4.01,1244
20240226,4.01,4.01,4.01,4.01,0
20240227,4.01,4.01,4.01,4.01,0
20240228,4,4,4,4,7980
20240229,4,4,4,4,0
20240301,4.04,4.04,4.04,4.04,941
