Date,Open,High,Low,Close,Volume
20190523,4.02,4.03,4.02,4.03,2545
20190524,4.02,4.02,4,4,8741
20190527,4,4,4,4,0
20190528,4,4,4,4,0
20190529,4,4,4,4,0
20190530,4,4,4,4,0
20190531,4,4,4,4,0
20190603,4,4,4,4,0
20190604,3.91,3.91,3.91,3.91,50
20190605,3.93,3.93,3.93,3.93,127
20190606,3.93,3.93,3.93,3.93,0
20190607,3.95,3.95,3.95,3.95,2500
20190611,3.95,3.95,3.95,3.95,0
20190612,3.95,3.95,3.95,3.95,0
20190613,3.95,3.95,3.95,3.95,0
20190614,3.95,3.95,3.95,3.95,0
20190617,3.95,3.95,3.95,3.95,0
20190618,3.95,3.95,3.95,3.95,0
20190619,3.95,3.95,3.95,3.95,0
20190620,3.95,3.95,3.95,3.95,0
20190621,3.95,3.95,3.95,3.95,0
20190624,3.95,3.95,3.95,3.95,0
20190625,3.95,3.95,3.95,3.95,0
20190626,3.95,3.95,3.95,3.95,0
20190627,3.95,3.95,3.95,3.95,0
20190628,3.95,3.95,3.95,3.95,0
20190701,3.95,3.95,3.95,3.95,0
20190702,3.95,3.95,3.95,3.95,0
20190703,3.95,3.95,3.95,3.95,0
20190704,3.95,3.95,3.95,3.95,0
20190705,3.95,3.95,3.95,3.95,127
20190708,3.95,3.95,3.95,3.95,0
20190709,3.95,3.95,3.95,3.95,0
20190710,3.95,3.95,3.95,3.95,0
20190711,3.95,3.95,3.95,3.95,0
20190712,3.95,3.95,3.95,3.95,0
20190715,3.95,3.95,3.95,3.95,0
20190716,3.95,3.95,3.95,3.95,0
20190717,4.09,4.09,4.09,4.09,10630
20190718,4.09,4.09,4.09,4.09,0
20190719,4.09,4.09,4.09,4.09,0
20190722,4.09,4.09,4.09,4.09,0
20190723,4.09,4.09,4.09,4.09,0
20190724,4.09,4.09,4.09,4.09,0
20190725,4.09,4.09,4.09,4.09,0
20190726,4.09,4.09,4.09,4.09,0
20190729,4.09,4.09,4.09,4.09,0
20190730,4.22,4.22,4.22,4.22,6112
20190731,4.2,4.2,4.2,4.2,1200
20190801,4.2,4.2,4.2,4.2,0
20190802,4.2,4.2,4.2,4.2,0
20190805,4.2,4.2,4.2,4.2,0
20190806,4.05,4.05,4.01,4.01,5092
20190807,4.01,4.01,4.01,4.01,0
20190808,4.01,4.01,4.01,4.01,0
20190809,4.01,4.01,4.01,4.01,0
20190812,4.01,4.01,4.01,4.01,0
20190813,4.13,4.13,4.13,4.13,1241
20190814,4.13,4.13,4.13,4.13,0
20190815,4.09,4.09,4.09,4.09,750
20190816,3.98,3.98,3.98,3.98,760
20190819,3.98,3.98,3.98,3.98,0
20190820,4.01,4.01,4.01,4.01,2500
20190821,4.01,4.01,4.01,4.01,0
20190822,4.01,4.01,4.01,4.01,0
20190823,4.01,4.01,4.01,4.01,0
20190826,4.01,4.01,4.01,4.01,246
20190827,4.01,4.01,4.01,4.01,0
20190828,4.01,4.01,4.01,4.01,0
20190829,4.01,4.01,4.01,4.01,0
20190830,4.01,4.01,4.01,4.01,0
20190902,4.01,4.01,4.01,4.01,0
20190903,4.01,4.01,4.01,4.01,0
20190904,4.01,4.01,4.01,4.01,0
20190905,4.01,4.01,4.01,4.01,0
20190906,4.01,4.01,4.01,4.01,0
20190909,4.01,4.01,4.01,4.01,0
20190910,4.01,4.01,4.01,4.01,0
20190911,4.01,4.01,4.01,4.01,0
20190912,4.01,4.01,4.01,4.01,0
20190913,4.01,4.01,4.01,4.01,0
20190916,4.01,4.01,4.01,4.01,0
20190917,4.01,4.01,4.01,4.01,0
20190918,4.01,4.01,4.01,4.01,0
20190919,4.01,4.01,4.01,4.01,0
20190920,4.27,4.27,4.27,4.27,2469
20190923,4.27,4.27,4.27,4.27,113
20190924,4.27,4.27,4.27,4.27,0
20190925,4.27,4.27,4.27,4.27,0
20190926,4.27,4.27,4.27,4.27,0
20190927,4.27,4.27,4.27,4.27,0
20190930,4.27,4.27,4.27,4.27,0
20191001,4.27,4.27,4.27,4.27,0
20191002,4.27,4.27,4.27,4.27,0
20191003,4.27,4.27,4.27,4.27,0
20191004,4.23,4.23,4.23,4.23,238
20191007,4.23,4.23,4.23,4.23,0
20191008,4.26,4.26,4.25,4.25,5889
20191009,4.25,4.25,4.25,4.25,0
20191010,4.25,4.25,4.25,4.25,0
20191011,4.31,4.31,4.31,4.31,2300
20191014,4.31,4.31,4.31,4.31,0
20191015,4.31,4.31,4.31,4.31,0
20191016,4.31,4.31,4.31,4.31,0
20191017,4.31,4.31,4.31,4.31,0
20191018,4.31,4.31,4.31,4.31,0
20191021,4.31,4.31,4.31,4.31,0
20191022,4.31,4.31,4.31,4.31,0
20191023,4.34,4.34,4.33,4.33,755
20191024,4.33,4.33,4.33,4.33,0
20191025,4.34,4.34,4.34,4.34,6340
20191028,4.34,4.34,4.34,4.34,0
20191029,4.34,4.34,4.34,4.34,0
20191030,4.34,4.34,4.34,4.34,0
20191031,4.34,4.34,4.34,4.34,6912
20191101,4.34,4.34,4.34,4.34,0
20191104,4.34,4.34,4.34,4.34,0
20191105,4.34,4.34,4.34,4.34,0
20191106,4.34,4.34,4.34,4.34,0
20191107,4.34,4.34,4.34,4.34,0
20191108,4.34,4.34,4.34,4.34,0
20191111,4.34,4.34,4.34,4.34,0
20191112,4.34,4.34,4.34,4.34,0
20191113,4.34,4.34,4.34,4.34,0
20191114,4.34,4.34,4.34,4.34,0
20191115,4.37,4.37,4.37,4.37,1616
20191118,4.37,4.37,4.37,4.37,0
20191119,4.4,4.4,4.36,4.36,40150
20191120,4.36,4.36,4.36,4.36,0
20191121,4.35,4.35,4.34,4.34,36520
20191122,4.34,4.34,4.34,4.34,0
20191125,4.34,4.34,4.34,4.34,0
20191126,4.34,4.34,4.34,4.34,0
20191127,4.34,4.34,4.34,4.34,0
20191128,4.34,4.34,4.34,4.34,0
20191129,4.43,4.43,4.43,4.43,2252
20191202,4.43,4.43,4.43,4.43,0
20191203,4.43,4.43,4.43,4.43,0
20191204,4.36,4.37,4.34,4.34,21200
20191205,4.34,4.34,4.34,4.34,0
20191206,4.34,4.34,4.34,4.34,0
20191209,4.37,4.37,4.37,4.37,12000
20191210,4.37,4.37,4.37,4.37,0
20191211,4.34,4.34,4.34,4.34,4604
20191212,4.34,4.34,4.34,4.34,0
20191213,4.34,4.34,4.34,4.34,4500
20191216,4.34,4.34,4.34,4.34,0
20191217,4.34,4.34,4.34,4.34,0
20191218,4.41,4.41,4.41,4.41,4550
20191219,4.41,4.41,4.41,4.41,0
20191220,4.43,4.43,4.43,4.43,3340
20191223,4.43,4.43,4.43,4.43,150
20191224,4.43,4.43,4.43,4.43,0
20191227,4.4,4.4,4.4,4.4,79
20191230,4.4,4.4,4.4,4.4,0
20191231,4.4,4.4,4.4,4.4,0
20200102,4.4,4.4,4.4,4.4,0
